0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,1428.0,1.0,36.0,2.0,,,,,,,,,44.0,,,38.0,,,,,,,,,,,,,40.0,,39.0,36.0,,42.0,42.0,5.0,,,,,,,,,,,,,,,,41.0,,,,,,39.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,
,,1165.0,5.0,0.0,41.0,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,44.0,34.0,2.0,40.0,5.0,,,,,35.0,9.0,9.0,,,,,,,,,,45.0,,,,29.0,37.0,34.0,,,,30.0,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,
,33.0,35.0,34.0,3.0,5.0,,,,,,,,,,,,40.0,,,,,,,,,,,,36.0,1366.0,,1328.0,38.0,3.0,0.0,4.0,44.0,35.0,,44.0,1.0,33.0,8.0,33.0,6.0,7.0,5.0,3.0,,,,,,,,,,,,,,,40.0,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,38.0,
,38.0,37.0,39.0,4.0,9.0,,,,,,,,,43.0,,,34.0,,,,,,,,,,,,,36.0,,1492.0,3.0,,,34.0,4.0,,,,,,,,,,,,,,,,,,,,,,37.0,,,,37.0,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,210.0,,34.0,,606.0,,,41.0,
,41.0,1451.0,1.0,0.0,36.0,,,,,,,,,36.0,,,35.0,,,,,,,,,,,,,1884.0,,1269.0,15.0,18.0,,,,,,,,,,4.0,,,,,,,,,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31.0,39.0,,8.0,40.0,,,,,,,,,37.0,,,44.0,,,44.0,,,,,,,,,36.0,40.0,,41.0,44.0,41.0,42.0,2.0,44.0,39.0,6.0,35.0,4.0,5.0,1.0,,,,,,,,,,35.0,,,,,,33.0,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,
,35.0,39.0,4.0,32.0,35.0,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,1549.0,8.0,2.0,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,
,39.0,35.0,36.0,32.0,37.0,,,,,,,,,44.0,,,35.0,,,,,,,,,,,,,33.0,,39.0,8.0,,39.0,,,,,,,,,,,,,,,,,,39.0,,,,41.0,,34.0,,,,40.0,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33.0,1429.0,31.0,9.0,8.0,,,,,,,,,41.0,,,36.0,,,41.0,,,,,,,,,,44.0,,875.0,0.0,,,43.0,,,,,,38.0,4.0,8.0,,,,,,,,,42.0,,,,,,38.0,,,,39.0,,,,,,,44.0,,,,,,,,,,,,,,,,,,1263.0,,,950.0,,,,,,,,
,31.0,35.0,0.0,38.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,37.0,39.0,44.0,40.0,36.0,7.0,43.0,,39.0,1.0,40.0,,,,,,,,,,,,,,,37.0,,29.0,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,,0.0,,1949.0,,,29.0,
,,1590.0,41.0,37.0,2.0,,,,,,,,,30.0,,,32.0,,,34.0,,,,,,,,,36.0,34.0,,1704.0,0.0,,,,,,,,,,,,,,,,,,,,37.0,,,,,,42.0,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,
