0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,640.0,37.0,36.0,36.0,34.0,32.0,9.0,,,,35.0,,,,,,,,,,35.0,37.0,36.0,38.0,40.0,0.0,0.0,40.0,41.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,,,,,,1031.0,,,1099.0,,40.0,,,796.0,,,,,,,,,,31.0,30.0,7.0,35.0,39.0,1.0,41.0,482.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,,,,8.0,,7.0,,,199.0,,,3.0,,,,,,,31.0,38.0,3.0,35.0,,,564.0,34.0,37.0,,9.0,9.0,,1.0,,,,8.0,,,,40.0,,,,,32.0,35.0,37.0,32.0,36.0,40.0,,8.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.0,,38.0,,,,,,,,,,,,,,,,40.0,,,,,37.0,,556.0,,36.0,39.0,35.0,,,,,,
,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,34.0,,,,,,,,,,347.0,,32.0,,,,,3.0,,,,,,36.0,4.0,34.0,,,,,41.0,,39.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,39.0,,,,,,,,,,,44.0,,,824.0,,270.0,,,,,30.0,,,,698.0,33.0,30.0,6.0,,,,,,,,,,,,,,,31.0,5.0,32.0,34.0,36.0,31.0,7.0,5.0,322.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,31.0,,39.0,,,,,563.0,2.0,,,,1.0,,,,,,,,,,,,,35.0,8.0,0.0,0.0,9.0,31.0,322.0,104.0,,9.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,39.0,91.0,37.0,,,,,,,,,,,,7.0,,,,31.0,,,,,,,,,528.0,38.0,687.0,,,1.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.0,,,3.0,31.0,8.0,,,,,,,,31.0,399.0,,,,,,,,,,,,,,,,,,,,,,8.0,,35.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,514.0,,748.0,,,9.0,,,1011.0,,,,,,,,,,40.0,31.0,3.0,3.0,5.0,,4.0,2.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0,4.0,,31.0,,,,,,,,,,,,,,,,,41.0,,,,,,36.0,4.0,36.0,,,,37.0,35.0,39.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,40.0,,,,,773.0,,,,,,,254.0,,,,,,,,,,35.0,,255.0,36.0,,7.0,,33.0,34.0,8.0,34.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,,,,,,33.0,,,,,,590.0,811.0,906.0,851.0,,,,9.0,,41.0,,,,,,,,,31.0,1.0,30.0,32.0,38.0,3.0,796.0,85.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,810.0,,,,32.0,806.0,,,,,,32.0,33.0,,,9.0,,,31.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,2.0,,,,
,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.0,,,1.0,,,,,,,,,,1028.0,,799.0,,,,,,,,,,,30.0,30.0,32.0,1.0,35.0,,,8.0,37.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,,,,,,32.0,,,,,37.0,,34.0,,,,,,,,34.0,726.0,34.0,,,,37.0,36.0,,484.0,31.0,168.0,41.0,,,,,,,,,,,,,,,,31.0,7.0,,,,40.0,3.0,,1.0,6.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,3.0,,,,,,,,,,593.0,,,8.0,,,,,,,6.0,30.0,35.0,37.0,785.0,1061.0,39.0,,,,5.0,,,6.0,,,,38.0,,,,,,,,,,4.0,9.0,38.0,4.0,35.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,983.0,47.0,,7.0,2.0,2.0,107.0,,,,802.0,,,,,,,,,,31.0,35.0,37.0,1.0,37.0,6.0,192.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.0,,,,,,,,,641.0,,,,1023.0,,701.0,,,,,,,,,39.0,,,37.0,3.0,35.0,,,550.0,,467.0,37.0,,,,,,,,,,,6.0,,,,35.0,,,1.0,2.0,0.0,6.0,32.0,30.0,4.0,2.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,1076.0,,,,,4.0,,,,,,,,,,,,,,6.0,39.0,32.0,7.0,37.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0,,,,,,,40.0,,39.0,,,,,,36.0,,,,,33.0,288.0,35.0,,,,,,,,,,,4.0,,,,33.0,,39.0,38.0,38.0,4.0,33.0,9.0,9.0,6.0,6.0,175.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,34.0,30.0,,,,,,,,,,,,87.0,,,,4.0,,,,,33.0,,307.0,,,,39.0,,38.0,0.0,,37.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,45.0,6.0,37.0,,,,,432.0,612.0,682.0,33.0,619.0,34.0,,38.0,,,,,,,,,,,40.0,5.0,33.0,2.0,37.0,9.0,186.0,31.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,0.0,35.0,,,,,,748.0,,774.0,,408.0,,0.0,,,,,,,,,,,38.0,0.0,3.0,6.0,9.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.0,,37.0,,,,,,,,,,,,,,,,,,,,913.0,,,,,34.0,157.0,31.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,0.0,36.0,365.0,
,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,244.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,881.0,737.0,34.0,542.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,43.0,38.0,31.0,,,,,856.0,,,,,,,,,,,8.0,6.0,,,,,,856.0,,34.0,,32.0,,38.0,,,,
