0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,37.0,,,,,,30.0,6.0,,3.0,30.0,41.0,,,,,38.0,,,30.0,,,36.0,,,32.0,,,,,,,37.0,38.0,,,,30.0,,,,,,,,,,,,,9.0,,5.0,,,,,34.0,,,,,,,36.0,,33.0,,,,,,,,,,40.0,,,,,,,,,,,,,
,,,,,,,,,,,,,31.0,0.0,,,8978.0,6920.0,,,,,,,40.0,,,,,,36.0,,,,,,,,,,,,33.0,41.0,,,8.0,,,,,,,,,,,,,31.0,,,,,,32.0,35.0,,,,,,38.0,32.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5038.0,,,,,8404.0,3970.0,33.0,38.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,
,,,,,,,5636.0,,,,,,41.0,9.0,995.0,34.0,35.0,4.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,33.0,,3.0,,,,,,,,,,,,,,,,,,,,,,34.0,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,31.0,2.0,,,,,,,
,,,,,,,,33.0,,,,,,3839.0,,41.0,32.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,40.0,4.0,31.0,34.0,30.0,36.0,,,,34.0,,,,,,,,,,,,,,,,,33.0,,,6.0,,6.0,,,,,,33.0,,,,,,,,,,,,,,40.0,,8.0,,32.0,39.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,917.0,,,,,,,,8.0,1166.0,2883.0,3214.0,9.0,,36.0,,30.0,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,30.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4841.0,0.0,37.0,,38.0,3033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,,,0.0,,41.0,39.0,1696.0,40.0,3079.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,35.0,,31.0,8.0,,,,,,,,,,,,,,,,,,,,,9.0,,,41.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6820.0,938.0,,,,,6.0,,,33.0,115.0,39.0,31.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,32.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,38.0,,,34.0,10949.0,1.0,3831.0,35.0,39.0,,,,9.0,,,,,,,,,,,,,,,,,6.0,,,36.0,,3.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,30.0,,3.0,7.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,,,,,37.0,39.0,772.0,5964.0,,39.0,2759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30.0,6965.0,,,,,,,,8.0,32.0,38.0,33.0,,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,40.0,,,39.0,33.0,3850.0,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8102.0,0.0,10288.0,,,,8.0,,11598.0,31.0,138.0,,,37.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11969.0,,,,,,,41.0,34.0,,3434.0,,34.0,893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,40.0,1235.0,40.0,3285.0,,39.0,743.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,33.0,,,,,,,,,,,,,,,,,,,,,33.0,,,7.0,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,,,,,2047.0,4010.0,1099.0,37.0,2554.0,3.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,36.0,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,33.0,,6666.0,,,,,,31.0,0.0,40.0,3965.0,4099.0,33.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5514.0,33.0,6353.0,,,,36.0,,36.0,3.0,2776.0,37.0,31.0,36.0,1567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1472.0,,,,,,,,31.0,1363.0,1827.0,37.0,31.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,40.0,41.0,1258.0,37.0,38.0,7.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,9.0,,34.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,41.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
