0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,1130.0,7.0,38.0,7.0,38.0,37.0,3.0,36.0,39.0,3.0,33.0,43.0,6.0,,,,,,,,,,,,678.0,34.0,44.0,42.0,9.0,8.0,39.0,1.0,33.0,39.0,8.0,,44.0,36.0,0.0,,,,,,,,,,,274.0,39.0,44.0,34.0,40.0,43.0,42.0,42.0,35.0,33.0,36.0,40.0,42.0,42.0,4.0,9.0,,,0.0,,,,,,775.0,33.0,7.0,5.0,5.0,8.0,9.0,8.0,5.0,2.0,2.0,3.0,,34.0,43.0,,,,,,,,,
,,,859.0,3.0,6.0,8.0,35.0,38.0,7.0,42.0,42.0,6.0,43.0,44.0,38.0,35.0,,,,,,,,,,,149.0,11.0,1.0,13.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,43.0,43.0,13.0,0.0,,,,,,,,,,,142.0,10.0,2.0,1.0,0.0,18.0,12.0,16.0,13.0,18.0,2.0,,4.0,9.0,15.0,,,,43.0,,,,,,805.0,8.0,5.0,1.0,18.0,10.0,4.0,1.0,8.0,14.0,16.0,12.0,,43.0,15.0,12.0,43.0,,,,,,,
,,,839.0,34.0,36.0,34.0,0.0,40.0,0.0,0.0,8.0,38.0,,38.0,9.0,,,,,,,,,,,,448.0,9.0,41.0,44.0,5.0,6.0,9.0,38.0,6.0,7.0,37.0,37.0,38.0,1.0,33.0,,,,,,,,,,,364.0,42.0,3.0,34.0,42.0,0.0,9.0,38.0,44.0,3.0,35.0,,41.0,,,,,,,,,,,,,224.0,40.0,42.0,4.0,4.0,4.0,5.0,34.0,37.0,1.0,5.0,,38.0,,,,,,,,,,
,,,725.0,41.0,34.0,36.0,33.0,7.0,7.0,1.0,4.0,41.0,37.0,42.0,36.0,44.0,2.0,,,,,,,,,,476.0,6.0,39.0,4.0,9.0,36.0,0.0,34.0,38.0,44.0,34.0,34.0,,40.0,9.0,,,,,,,,,,789.0,8.0,36.0,44.0,3.0,41.0,28.0,25.0,45.0,29.0,27.0,30.0,30.0,34.0,43.0,30.0,31.0,31.0,,45.0,,,,,,,,450.0,33.0,1.0,1.0,0.0,26.0,38.0,45.0,35.0,40.0,33.0,38.0,32.0,33.0,31.0,,,,,,,
,,,1039.0,8.0,2.0,1.0,3.0,8.0,36.0,9.0,38.0,7.0,33.0,36.0,37.0,44.0,,,,,,,,,,,535.0,9.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,6.0,,34.0,38.0,43.0,,,,,,,,,,,279.0,36.0,37.0,37.0,9.0,7.0,9.0,6.0,1.0,43.0,39.0,35.0,43.0,1.0,,,,,,,,,,,,256.0,38.0,41.0,43.0,44.0,41.0,1.0,9.0,44.0,4.0,34.0,42.0,9.0,42.0,6.0,,,,,,,,
,,,974.0,5.0,34.0,39.0,43.0,4.0,40.0,43.0,42.0,4.0,,4.0,36.0,,,,,,,,,,,,628.0,5.0,8.0,36.0,35.0,34.0,41.0,7.0,42.0,31.0,31.0,,38.0,37.0,37.0,,28.0,,,,,,,,,297.0,2.0,36.0,3.0,8.0,44.0,5.0,40.0,3.0,38.0,6.0,41.0,6.0,,,,,,,,,,,,808.0,35.0,2.0,38.0,1.0,35.0,2.0,34.0,44.0,8.0,42.0,2.0,,40.0,,36.0,,37.0,,,,,,
,,,980.0,40.0,41.0,38.0,40.0,44.0,0.0,37.0,44.0,39.0,,39.0,33.0,8.0,,,,,,,,,,,704.0,4.0,6.0,8.0,7.0,7.0,7.0,1.0,44.0,5.0,41.0,,38.0,6.0,1.0,,,,,,,,,,,481.0,38.0,66.0,9.0,37.0,66.0,36.0,66.0,36.0,37.0,37.0,37.0,66.0,65.0,66.0,45.0,,,3.0,,,,,,886.0,45.0,3.0,5.0,6.0,9.0,66.0,40.0,9.0,2.0,40.0,8.0,36.0,0.0,64.0,38.0,,38.0,,,,,,
,,,686.0,41.0,7.0,31.0,38.0,38.0,36.0,6.0,5.0,35.0,,1.0,42.0,38.0,,,,,,,,,,,571.0,3.0,6.0,3.0,44.0,42.0,42.0,38.0,8.0,7.0,42.0,,39.0,5.0,,,,,,,,,,,,220.0,40.0,0.0,6.0,37.0,39.0,41.0,40.0,38.0,38.0,36.0,,,,32.0,43.0,,,43.0,,,,,,,299.0,7.0,7.0,37.0,36.0,4.0,7.0,34.0,41.0,43.0,44.0,35.0,43.0,,3.0,,35.0,,,,,,
,,,1020.0,37.0,39.0,35.0,34.0,41.0,7.0,9.0,37.0,44.0,40.0,37.0,35.0,39.0,4.0,34.0,39.0,38.0,,,,,,,547.0,39.0,9.0,8.0,9.0,33.0,34.0,37.0,37.0,36.0,36.0,39.0,39.0,1.0,33.0,,34.0,,,,,,,,,345.0,0.0,3.0,4.0,3.0,42.0,40.0,38.0,0.0,7.0,33.0,36.0,44.0,,42.0,,,,40.0,,,,,,,420.0,3.0,28.0,33.0,42.0,45.0,32.0,25.0,33.0,44.0,30.0,44.0,,,,,,,,,,,
,,,567.0,4.0,9.0,37.0,8.0,1.0,6.0,7.0,1.0,9.0,41.0,1.0,35.0,,,,,,,,,,,,696.0,38.0,36.0,3.0,35.0,41.0,8.0,0.0,44.0,39.0,39.0,,,0.0,44.0,,,,,,,,,,,232.0,6.0,3.0,0.0,41.0,37.0,37.0,9.0,3.0,36.0,6.0,,44.0,3.0,26.0,,,,45.0,,,,,,,,404.0,39.0,39.0,42.0,40.0,39.0,40.0,40.0,37.0,32.0,24.0,24.0,28.0,32.0,,,,,,,,
