0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,1405.0,3.0,37.0,5.0,30.0,38.0,4.0,42.0,45.0,37.0,46.0,,,9.0,44.0,,1274.0,747.0,1102.0,347.0,315.0,,,,999.0,7.0,4.0,1.0,36.0,44.0,5.0,42.0,9.0,8.0,46.0,35.0,,39.0,,,1620.0,1133.0,456.0,98.0,5.0,,,,,828.0,36.0,44.0,0.0,45.0,46.0,1.0,7.0,2.0,3.0,2.0,41.0,40.0,,,39.0,1042.0,141.0,1067.0,36.0,,,,,1598.0,37.0,0.0,8.0,5.0,38.0,8.0,36.0,38.0,39.0,5.0,46.0,1.0,37.0,,,636.0,79.0,138.0,677.0,6.0,337.0,1849.0,,
,,161.0,0.0,8.0,30.0,33.0,6.0,0.0,38.0,7.0,39.0,39.0,,,,36.0,880.0,1826.0,1388.0,1426.0,580.0,302.0,,,,1037.0,38.0,1.0,36.0,6.0,8.0,39.0,6.0,45.0,46.0,6.0,3.0,,,43.0,1854.0,787.0,51.0,157.0,7.0,44.0,,,,,730.0,39.0,2.0,1.0,39.0,45.0,37.0,1.0,7.0,36.0,4.0,42.0,,,,,824.0,240.0,1460.0,995.0,1530.0,1192.0,,,1714.0,9.0,45.0,43.0,42.0,43.0,38.0,6.0,46.0,37.0,4.0,42.0,4.0,,44.0,,1641.0,258.0,134.0,1218.0,7.0,452.0,,,
,,641.0,33.0,8.0,4.0,33.0,9.0,4.0,45.0,43.0,46.0,1.0,39.0,,7.0,44.0,,851.0,75.0,879.0,528.0,283.0,,,,1143.0,39.0,9.0,7.0,40.0,5.0,2.0,1.0,44.0,41.0,43.0,8.0,,,,,658.0,1223.0,1002.0,191.0,36.0,,,2.0,,733.0,7.0,39.0,46.0,41.0,4.0,43.0,7.0,1.0,39.0,37.0,39.0,35.0,,,46.0,,306.0,1471.0,37.0,,,,,1396.0,1.0,5.0,38.0,3.0,43.0,2.0,39.0,41.0,38.0,7.0,43.0,9.0,,,,,198.0,449.0,668.0,1.0,146.0,,,
,,100.0,3.0,40.0,35.0,2.0,46.0,41.0,0.0,44.0,6.0,38.0,42.0,41.0,,40.0,,,666.0,,1345.0,55.0,,,,1044.0,8.0,44.0,38.0,9.0,39.0,35.0,41.0,46.0,45.0,4.0,3.0,,37.0,38.0,,361.0,425.0,104.0,8.0,9.0,,,38.0,,776.0,3.0,36.0,44.0,7.0,42.0,0.0,1.0,8.0,0.0,39.0,42.0,,,,,809.0,469.0,1261.0,,,,,,1292.0,9.0,5.0,42.0,39.0,1.0,40.0,39.0,41.0,41.0,43.0,4.0,37.0,,43.0,,140.0,413.0,38.0,497.0,37.0,500.0,1213.0,,
,,358.0,0.0,7.0,33.0,31.0,43.0,2.0,40.0,44.0,43.0,40.0,36.0,,,,,2.0,590.0,675.0,163.0,153.0,,,,1115.0,1.0,7.0,39.0,45.0,6.0,37.0,2.0,40.0,43.0,39.0,9.0,,,,,1061.0,43.0,51.0,9.0,39.0,,,43.0,,787.0,35.0,7.0,36.0,42.0,43.0,42.0,4.0,5.0,8.0,1.0,8.0,,37.0,,,582.0,249.0,,1484.0,,,,,1331.0,7.0,41.0,38.0,37.0,6.0,9.0,45.0,46.0,44.0,43.0,44.0,4.0,43.0,36.0,,1256.0,86.0,45.0,517.0,5.0,677.0,1561.0,,
,,64.0,36.0,6.0,34.0,6.0,43.0,38.0,1.0,41.0,44.0,41.0,,,,35.0,36.0,9.0,1576.0,861.0,268.0,240.0,,,,1307.0,44.0,1.0,9.0,37.0,4.0,5.0,4.0,39.0,0.0,7.0,7.0,,46.0,38.0,1407.0,9.0,797.0,37.0,40.0,0.0,,,1.0,,904.0,36.0,38.0,43.0,7.0,6.0,6.0,35.0,42.0,36.0,46.0,35.0,41.0,,,,1313.0,98.0,1199.0,40.0,,,,,1476.0,40.0,37.0,44.0,44.0,42.0,37.0,46.0,0.0,7.0,37.0,0.0,45.0,42.0,,,,484.0,44.0,1048.0,6.0,565.0,346.0,,
,,419.0,7.0,4.0,36.0,33.0,1.0,36.0,5.0,38.0,2.0,38.0,41.0,,,,,985.0,42.0,828.0,101.0,172.0,,,,1020.0,43.0,0.0,37.0,40.0,42.0,0.0,40.0,5.0,0.0,0.0,2.0,,,41.0,1234.0,96.0,97.0,48.0,39.0,41.0,,,,,809.0,43.0,37.0,9.0,44.0,44.0,37.0,37.0,44.0,8.0,46.0,8.0,,,,,292.0,90.0,933.0,40.0,,1599.0,,,1461.0,46.0,0.0,44.0,8.0,36.0,9.0,41.0,1.0,39.0,7.0,7.0,41.0,,39.0,,1463.0,511.0,37.0,1329.0,37.0,390.0,1177.0,,
,1945.0,33.0,1.0,33.0,40.0,9.0,4.0,35.0,9.0,9.0,8.0,40.0,44.0,36.0,1.0,,,5.0,113.0,994.0,223.0,482.0,,,,1022.0,7.0,1.0,39.0,43.0,5.0,35.0,36.0,40.0,43.0,43.0,37.0,,42.0,,43.0,1402.0,1050.0,191.0,37.0,36.0,,,7.0,,679.0,41.0,44.0,39.0,40.0,39.0,36.0,40.0,37.0,3.0,42.0,41.0,39.0,,,,1549.0,250.0,1082.0,46.0,,,,,1499.0,39.0,42.0,39.0,7.0,36.0,40.0,6.0,36.0,43.0,45.0,2.0,1.0,,,,1770.0,670.0,46.0,899.0,8.0,389.0,1059.0,,
,,466.0,41.0,36.0,7.0,38.0,3.0,8.0,41.0,4.0,42.0,44.0,40.0,46.0,4.0,45.0,,37.0,835.0,1012.0,331.0,190.0,,,,977.0,5.0,3.0,5.0,40.0,45.0,46.0,42.0,0.0,2.0,2.0,2.0,,40.0,39.0,,577.0,508.0,47.0,6.0,43.0,,,,,659.0,36.0,45.0,6.0,43.0,38.0,38.0,2.0,42.0,38.0,0.0,37.0,44.0,,,,1518.0,501.0,1577.0,36.0,,,,,,99.0,1.0,2.0,41.0,38.0,39.0,42.0,45.0,43.0,39.0,44.0,41.0,,,,1189.0,694.0,45.0,289.0,46.0,316.0,1489.0,,
,,232.0,34.0,31.0,3.0,30.0,4.0,6.0,8.0,40.0,41.0,44.0,,,,42.0,1116.0,811.0,98.0,639.0,261.0,45.0,,,,1513.0,39.0,42.0,45.0,42.0,8.0,3.0,40.0,43.0,43.0,8.0,36.0,,38.0,39.0,,566.0,861.0,250.0,1.0,40.0,,,3.0,,717.0,3.0,8.0,39.0,0.0,5.0,8.0,4.0,41.0,44.0,43.0,37.0,,,,,869.0,192.0,1475.0,36.0,,,,,1739.0,0.0,44.0,1.0,42.0,7.0,0.0,41.0,3.0,2.0,5.0,45.0,45.0,44.0,,,,1052.0,37.0,1574.0,398.0,339.0,1201.0,,
