0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,54.0,37.0,43.0,45.0,,46.0,55.0,54.0,50.0,43.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.0,41.0,42.0,39.0,29.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,41.0,40.0,40.0,39.0,35.0,44.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,39.0,37.0,35.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,49.0,64.0,46.0,58.0,49.0,50.0,55.0,61.0,59.0,45.0,62.0,44.0,51.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,71.0,40.0,34.0,47.0,40.0,52.0,35.0,50.0,43.0,38.0,53.0,52.0,,,,,,,,,,,,,,,,,,,,,
,,,,1673.0,1705.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,53.0,52.0,55.0,47.0,46.0,47.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1595.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,51.0,48.0,41.0,35.0,45.0,53.0,48.0,51.0,43.0,34.0,47.0,37.0,48.0,34.0,43.0,44.0,,,,,,,,,,,,,,,,,
,,,,1598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,50.0,39.0,41.0,55.0,48.0,35.0,35.0,55.0,40.0,51.0,56.0,,,,,,,,,,,,,,,,,,,,,,
