0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1121.0,,,,38.0,,,,1172.0,,,,,,,,,,,,,,587.0,,1059.0,,1035.0,,1271.0,,1563.0,,952.0,,616.0,,597.0,,41.0,,414.0,,50.0,,32.0,,40.0,,936.0,,1028.0,,1390.0,,,,,,1562.0,,,,1082.0,,,,1418.0,,,,,,,,1202.0,,908.0,,953.0,,1251.0,,574.0,,728.0,,,,1227.0,,621.0,,532.0,,53.0,,785.0,,1324.0
,1436.0,,,,,,,,1176.0,,,,,,,,,,,,,,390.0,,,,,,,,1538.0,,1110.0,,828.0,,550.0,,42.0,,40.0,,43.0,,455.0,,33.0,,588.0,,1507.0,,52.0,,1554.0,,,,1481.0,,,,1077.0,,,,1478.0,,,,,,,,1090.0,,1249.0,,933.0,,813.0,,799.0,,645.0,,1396.0,,1046.0,,719.0,,507.0,,573.0,,1052.0,,43.0
,1529.0,,,,,,1809.0,,1034.0,,,,,,,,,,,,,,490.0,,907.0,,1152.0,,1264.0,,,,1096.0,,497.0,,43.0,,693.0,,335.0,,32.0,,43.0,,38.0,,726.0,,1276.0,,1165.0,,,,,,,,,,1122.0,,,,1309.0,,,,899.0,,,,1337.0,,841.0,,949.0,,1127.0,,41.0,,1063.0,,,,1215.0,,962.0,,743.0,,50.0,,1550.0,,1357.0
,1459.0,,,,,,,,938.0,,,,,,,,,,,,1562.0,,470.0,,1195.0,,1221.0,,1393.0,,,,988.0,,781.0,,50.0,,51.0,,46.0,,33.0,,41.0,,42.0,,977.0,,,,33.0,,1017.0,,,,,,,,1136.0,,,,974.0,,,,,,,,1132.0,,820.0,,924.0,,1038.0,,727.0,,33.0,,1170.0,,51.0,,712.0,,560.0,,579.0,,853.0,,
,1645.0,,,,,,1617.0,,950.0,,,,,,,,,,,,,,479.0,,1014.0,,1092.0,,864.0,,1530.0,,743.0,,518.0,,52.0,,598.0,,274.0,,50.0,,47.0,,265.0,,727.0,,1131.0,,1083.0,,,,,,1438.0,,,,1087.0,,,,1303.0,,,,,,,,1210.0,,863.0,,796.0,,947.0,,769.0,,879.0,,,,1302.0,,748.0,,41.0,,40.0,,1420.0,,
,1220.0,,,,,,,,1054.0,,,,,,,,,,,,,,395.0,,851.0,,1014.0,,1220.0,,,,674.0,,1281.0,,495.0,,1010.0,,512.0,,41.0,,429.0,,32.0,,629.0,,,,1146.0,,,,,,1421.0,,,,1198.0,,,,1388.0,,,,,,,,1343.0,,731.0,,1135.0,,986.0,,959.0,,964.0,,,,,,35.0,,1282.0,,813.0,,1278.0,,1166.0
,1464.0,,,,,,,,1252.0,,,,,,,,,,,,1604.0,,510.0,,856.0,,765.0,,1080.0,,1496.0,,1076.0,,563.0,,42.0,,42.0,,387.0,,356.0,,42.0,,38.0,,44.0,,1107.0,,35.0,,,,1538.0,,,,,,,,,,1574.0,,,,,,,,1061.0,,662.0,,1054.0,,982.0,,810.0,,608.0,,1334.0,,1162.0,,36.0,,804.0,,611.0,,1237.0,,42.0
,1243.0,,,,100.0,,1817.0,,1061.0,,,,,,,,,,,,1532.0,,476.0,,942.0,,,,1347.0,,1257.0,,,,1095.0,,592.0,,725.0,,45.0,,433.0,,37.0,,39.0,,797.0,,40.0,,1056.0,,,,,,,,,,1092.0,,,,1270.0,,,,,,,,1287.0,,568.0,,1286.0,,1032.0,,48.0,,725.0,,,,858.0,,49.0,,44.0,,588.0,,,,1034.0
,1524.0,,,,,,,,1017.0,,,,,,,,,,,,1537.0,,439.0,,1003.0,,1124.0,,1362.0,,,,1201.0,,629.0,,51.0,,670.0,,36.0,,38.0,,478.0,,45.0,,655.0,,1233.0,,1085.0,,,,1380.0,,1205.0,,,,1217.0,,,,1291.0,,,,1519.0,,,,958.0,,663.0,,1108.0,,806.0,,810.0,,34.0,,,,53.0,,53.0,,48.0,,437.0,,988.0,,1369.0
,1515.0,,,,,,1625.0,,1111.0,,,,,,,,,,,,,,450.0,,1015.0,,1292.0,,1263.0,,,,819.0,,799.0,,645.0,,1032.0,,338.0,,511.0,,38.0,,53.0,,34.0,,1043.0,,33.0,,,,,,,,,,1244.0,,,,1225.0,,,,,,,,,,858.0,,1042.0,,1167.0,,970.0,,593.0,,,,1026.0,,680.0,,53.0,,42.0,,1387.0,,1121.0
,1412.0,,,,,,,,970.0,,,,,,,,,,,,,,493.0,,899.0,,1306.0,,1127.0,,,,1193.0,,618.0,,602.0,,882.0,,513.0,,36.0,,432.0,,36.0,,757.0,,1359.0,,32.0,,,,,,1461.0,,,,1065.0,,,,1331.0,,,,,,,,1014.0,,1063.0,,1331.0,,940.0,,770.0,,1027.0,,1127.0,,35.0,,52.0,,34.0,,,,1373.0,,
,1329.0,,,,,,,,894.0,,,,,,,,,,,,,,469.0,,,,1158.0,,401.0,,1571.0,,1037.0,,969.0,,712.0,,1389.0,,635.0,,391.0,,45.0,,46.0,,53.0,,1111.0,,1046.0,,,,,,1435.0,,,,1088.0,,,,1399.0,,,,,,,,1255.0,,774.0,,803.0,,1478.0,,36.0,,51.0,,,,39.0,,43.0,,41.0,,35.0,,,,1493.0
,1338.0,,,,,,,,1191.0,,,,,,,,,,,,,,522.0,,988.0,,1190.0,,1198.0,,1471.0,,785.0,,950.0,,421.0,,799.0,,39.0,,32.0,,47.0,,577.0,,712.0,,1334.0,,34.0,,,,,,,,,,1174.0,,,,1389.0,,,,1374.0,,,,1019.0,,762.0,,977.0,,1051.0,,850.0,,50.0,,1558.0,,751.0,,1137.0,,541.0,,48.0,,,,1357.0
,1175.0,,,,,,1532.0,,979.0,,,,,,,,,,,,1559.0,,398.0,,1040.0,,1281.0,,1247.0,,,,1025.0,,640.0,,446.0,,815.0,,51.0,,385.0,,42.0,,35.0,,43.0,,1285.0,,1076.0,,,,,,,,,,984.0,,,,1123.0,,,,1518.0,,,,1076.0,,567.0,,777.0,,41.0,,32.0,,36.0,,1537.0,,965.0,,38.0,,,,37.0,,,,1123.0
,1521.0,,,,,,,,848.0,,,,,,,,,,,,,,388.0,,980.0,,,,1138.0,,1508.0,,42.0,,602.0,,51.0,,886.0,,370.0,,53.0,,596.0,,680.0,,592.0,,,,1308.0,,,,,,,,,,1220.0,,,,,,,,,,,,,,836.0,,1004.0,,1076.0,,529.0,,41.0,,,,,,33.0,,33.0,,42.0,,1298.0,,
