0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.0,,,,362.0,,42.0,,53.0,,38.0,,694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.0,,,,707.0,,,,40.0,,820.0,,35.0,,54.0,,584.0,,565.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,54.0,,36.0,,51.0,,38.0,,923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0,,,,617.0,,752.0,,43.0,,53.0,,45.0,,864.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,,378.0,,51.0,,47.0,,53.0,,680.0,,506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.0,,385.0,,44.0,,866.0,,916.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,871.0,,42.0,,51.0,,41.0,,40.0,,51.0,,,,525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.0,,,,55.0,,38.0,,46.0,,51.0,,831.0,,183.0
,,,,,,,,,,,,,,,,,,,,,,,849.0,,,,,,,,,,,,859.0,,51.0,,667.0,,34.0,,53.0,,45.0,,55.0,,606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.0,,,,770.0,,777.0,,41.0,,47.0,,47.0,,850.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.0,,,,40.0,,46.0,,49.0,,52.0,,55.0,,806.0,,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.0,,,,,,,,,,754.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.0,,880.0,,43.0,,52.0,,38.0,,47.0,,347.0,,,,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.0,,,,522.0,,,,,,,,36.0,,51.0,,51.0,,614.0
,,,,,,,,,,,,,,,,,,,,,,,754.0,,,,,,,,,,643.0,,,,,,,,49.0,,45.0,,44.0,,36.0,,657.0,,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.0,,,,859.0,,603.0,,41.0,,37.0,,867.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.0,,,,,,,,48.0,,330.0,,34.0,,37.0,,34.0,,912.0,,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0,,,,36.0,,701.0,,51.0,,51.0,,41.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.0,,,,37.0,,38.0,,39.0,,40.0,,39.0,,,,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,621.0,,,,55.0,,45.0,,39.0,,
