0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,319.0,,60.0,,58.0,,48.0,,,,489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,69.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.0,,51.0,,416.0,,67.0,,87.0,,57.0,,635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.0,,,,55.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,,,,56.0,,326.0,,51.0,,49.0,,51.0,,,,575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0,,55.0,,44.0,,58.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.0,,,,51.0,,59.0,,52.0,,56.0,,47.0,,484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0,,229.0,,40.0,,,,51.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.0,,,,311.0,,48.0,,44.0,,57.0,,45.0,,505.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.0,,,,51.0,,,,42.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,59.0,,43.0,,46.0,,46.0,,46.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,53.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.0,,,,60.0,,328.0,,335.0,,41.0,,50.0,,521.0,,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,,52.0,,361.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.0,,,,209.0,,71.0,,57.0,,42.0,,53.0,,628.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.0,,54.0,,51.0,,53.0,,56.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,45.0,,55.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,47.0,,,,40.0,,502.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0,,64.0,,49.0,,55.0,,46.0,,,,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,479.0,,46.0,,516.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.0,,,,44.0,,45.0,,41.0,,45.0,,40.0,,55.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,43.0,,48.0,,656.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,51.0,,56.0,,50.0,,58.0,,55.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,,,,,,743.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,52.0,,48.0,,48.0,,42.0,,,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,48.0,,51.0,,676.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,443.0,,60.0,,483.0,,51.0,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,,,,241.0,,456.0,,50.0,,49.0,,43.0,,44.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.0,,530.0,,361.0,,264.0,,51.0,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.0,,,,,,653.0,,53.0,,48.0,,369.0,,587.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,401.0,,50.0,,54.0,,89.0,,42.0,,545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.0,,655.0,,59.0,,48.0,,49.0,,45.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.0,,641.0,,152.0,,349.0,,74.0,,,,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,59.0,,49.0,,44.0,,44.0,,41.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,686.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.0,,,,59.0,,61.0,,62.0,,70.0,,51.0,,399.0,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,138.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.0,,149.0,,55.0,,51.0,,49.0,,470.0,,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,555.0,,44.0,,,,170.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.0,,637.0,,44.0,,51.0,,51.0,,59.0,,43.0,,95.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,,,,55.0,,56.0,,58.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,54.0,,45.0,,51.0,,50.0,,438.0,,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.0,,61.0,,41.0,,45.0,,61.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,75.0,,45.0,,53.0,,61.0,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,458.0,,52.0,,42.0,,59.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0,,364.0,,42.0,,45.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,48.0,,338.0,,511.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0,,46.0,,61.0,,52.0,,61.0,,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.0,,,,,,,,671.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0,,498.0,,52.0,,57.0,,44.0,,48.0,,54.0,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,41.0,,425.0,,45.0,,648.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,41.0,,59.0,,50.0,,55.0,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.0,,,,59.0,,,,530.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0,,,,46.0,,55.0,,43.0,,47.0,,41.0,,54.0,,426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.0,,44.0,,58.0,,413.0,,52.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.0,,,,45.0,,55.0,,42.0,,48.0,,80.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,,305.0,,60.0,,42.0,,635.0,,465.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,345.0,,45.0,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,41.0,,42.0,,344.0,,536.0
