0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1788.0,,,,,,,,,,,,,,,,,,,,,,1066.0,,1665.0,,1385.0,,,,,,1008.0,,1073.0,,636.0,,1126.0,,36.0,,,,,,50.0,,52.0,,,,1199.0,,,,,,,,,,,,,,,,,,,,,,,,1406.0,,1407.0,,1379.0,,,,999.0,,,,1560.0,,1169.0,,1028.0,,696.0,,36.0,,1511.0
,,,1881.0,,,,1965.0,,1429.0,,,,,,,,,,,,,,1448.0,,1308.0,,,,,,,,1458.0,,1143.0,,956.0,,825.0,,50.0,,533.0,,758.0,,,,963.0,,1557.0,,,,,,,,,,,,1697.0,,,,,,,,,,,,,,968.0,,,,,,1328.0,,1451.0,,,,1640.0,,37.0,,50.0,,42.0,,1461.0,,
,,,1889.0,,,,,,1648.0,,,,,,,,,,,,,,1318.0,,1581.0,,,,,,,,1065.0,,992.0,,1636.0,,49.0,,1162.0,,948.0,,562.0,,609.0,,725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.0,,,,1284.0,,984.0,,804.0,,,,959.0,,1384.0,,515.0,,41.0,,1513.0,,1656.0
,,,,,,,1786.0,,1712.0,,,,,,,,,,,,,,1371.0,,1601.0,,,,1643.0,,,,1709.0,,1230.0,,,,1257.0,,936.0,,412.0,,490.0,,1060.0,,,,1486.0,,1436.0,,,,,,,,,,1644.0,,,,,,,,,,,,,,,,1683.0,,913.0,,1465.0,,752.0,,,,1368.0,,45.0,,1043.0,,1425.0,,,,1010.0
,,,2030.0,,,,,,1632.0,,,,,,,,,,,,,,1239.0,,1534.0,,,,,,,,,,1111.0,,36.0,,710.0,,34.0,,602.0,,909.0,,48.0,,963.0,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,1602.0,,1636.0,,1032.0,,1299.0,,506.0,,,,1437.0,,,,,,,,1382.0,,
,,,,,,,,,1636.0,,,,,,,,,,,,,,,,1622.0,,,,,,,,,,46.0,,33.0,,801.0,,44.0,,436.0,,942.0,,,,,,,,1202.0,,,,,,,,,,,,,,,,,,,,,,,,1529.0,,,,,,1392.0,,,,,,1347.0,,1114.0,,964.0,,1189.0,,1609.0,,35.0
,,,,,,,,,1518.0,,,,,,,,,,,,,,,,,,,,,,,,38.0,,1276.0,,1107.0,,1190.0,,48.0,,32.0,,768.0,,52.0,,43.0,,,,1407.0,,,,,,,,,,1554.0,,,,,,,,,,,,,,1403.0,,,,1227.0,,1259.0,,922.0,,,,53.0,,766.0,,42.0,,1267.0,,1226.0,,
,,,,,,,1716.0,,1481.0,,,,,,,,,,,,,,1611.0,,,,1591.0,,1584.0,,,,,,1169.0,,1532.0,,1171.0,,39.0,,,,1117.0,,37.0,,886.0,,1099.0,,1198.0,,,,,,,,,,,,,,,,,,,,,,,,1036.0,,1361.0,,1334.0,,50.0,,,,1689.0,,,,1272.0,,,,1299.0,,1522.0,,1356.0
,,,,,,,,,,,,,,,,,,,,,,,1519.0,,1416.0,,47.0,,,,1631.0,,1282.0,,1138.0,,1480.0,,1363.0,,675.0,,530.0,,41.0,,702.0,,,,,,1461.0,,,,,,,,,,1549.0,,,,,,,,,,,,,,1220.0,,1666.0,,34.0,,32.0,,,,,,1116.0,,1213.0,,1013.0,,1492.0,,1533.0,,
,,,,,,,,,1512.0,,,,,,,,,,,,,,1509.0,,,,,,,,,,1001.0,,1311.0,,43.0,,1158.0,,1140.0,,760.0,,655.0,,889.0,,33.0,,1347.0,,1070.0,,,,,,,,,,,,,,,,,,,,,,,,1424.0,,,,1071.0,,1393.0,,747.0,,,,,,39.0,,,,,,,,1209.0
