0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1359.0,,,,,,,,1508.0,,,,,,,,,,,,,,1165.0,,1429.0,,961.0,,1576.0,,,,48.0,,1021.0,,733.0,,668.0,,44.0,,47.0,,49.0,,43.0,,52.0,,34.0,,52.0,,,,,,,,,,1477.0,,,,,,,,,,,,1437.0,,1515.0,,1559.0,,839.0,,46.0,,43.0,,1376.0,,32.0,,45.0,,37.0,,36.0,,905.0,,47.0
,,,1981.0,,,,,,1759.0,,,,,,,,,,,,,,890.0,,1612.0,,1031.0,,,,1716.0,,670.0,,1219.0,,45.0,,33.0,,37.0,,39.0,,46.0,,35.0,,47.0,,35.0,,886.0,,,,,,,,,,1688.0,,,,,,,,,,,,,,1418.0,,,,40.0,,828.0,,34.0,,44.0,,39.0,,35.0,,51.0,,36.0,,1061.0,,1300.0
,,,,,,,,,1554.0,,,,,,,,,,,,,,1302.0,,,,,,,,,,1032.0,,1282.0,,1023.0,,1033.0,,44.0,,44.0,,44.0,,35.0,,52.0,,35.0,,32.0,,,,,,,,,,1294.0,,,,,,,,,,,,,,815.0,,,,972.0,,37.0,,38.0,,,,1052.0,,52.0,,47.0,,47.0,,971.0,,1071.0
,,,1869.0,,,,,,1494.0,,,,,,,,,,,,,,1397.0,,1554.0,,,,,,,,1410.0,,1581.0,,672.0,,1090.0,,42.0,,53.0,,39.0,,32.0,,47.0,,1149.0,,1186.0,,,,,,,,,,,,,,,,,,,,,,,,1249.0,,1236.0,,44.0,,863.0,,1195.0,,1398.0,,41.0,,34.0,,46.0,,51.0,,39.0,,1125.0
,1964.0,,,,,,,,1714.0,,,,,,,,,,,,,,45.0,,1544.0,,1608.0,,,,,,879.0,,1622.0,,39.0,,1287.0,,46.0,,46.0,,32.0,,43.0,,702.0,,1003.0,,1147.0,,,,,,,,,,,,,,,,,,1339.0,,,,,,1368.0,,,,42.0,,931.0,,43.0,,1635.0,,32.0,,39.0,,52.0,,47.0,,1090.0,,981.0
,,,,,,,,,1542.0,,,,,,,,,,,,,,1452.0,,,,,,,,,,1374.0,,1220.0,,1288.0,,1136.0,,625.0,,38.0,,32.0,,50.0,,33.0,,1105.0,,836.0,,,,,,,,,,,,,,,,,,1048.0,,,,,,1444.0,,,,1084.0,,1064.0,,34.0,,39.0,,40.0,,47.0,,35.0,,32.0,,46.0,,39.0
,,,,,,,,,1386.0,,,,,,,,,,,,,,1386.0,,969.0,,1579.0,,,,,,,,1334.0,,783.0,,937.0,,48.0,,52.0,,33.0,,51.0,,51.0,,1072.0,,32.0,,,,,,,,,,1571.0,,,,,,,,47.0,,,,,,1419.0,,,,959.0,,755.0,,35.0,,1224.0,,44.0,,46.0,,37.0,,41.0,,38.0,,1120.0
,,,,,,,,,1763.0,,,,,,,,,,,,,,1009.0,,1431.0,,1337.0,,,,,,1152.0,,1339.0,,32.0,,1105.0,,48.0,,32.0,,45.0,,45.0,,606.0,,1076.0,,42.0,,,,,,,,,,1619.0,,,,,,,,,,,,,,1289.0,,1381.0,,1343.0,,928.0,,830.0,,1448.0,,49.0,,33.0,,41.0,,39.0,,995.0,,1204.0
,,,,,,,,,1538.0,,,,,,,,,,,,,,576.0,,1332.0,,52.0,,,,1496.0,,1098.0,,1479.0,,982.0,,1292.0,,46.0,,39.0,,37.0,,48.0,,49.0,,991.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,1227.0,,,,36.0,,906.0,,51.0,,,,871.0,,851.0,,38.0,,41.0,,1103.0,,45.0
,,,,,,,1881.0,,,,,,,,,,,,,,,,1354.0,,1490.0,,,,,,,,,,563.0,,732.0,,53.0,,51.0,,50.0,,47.0,,47.0,,49.0,,33.0,,45.0,,,,,,,,,,,,,,,,,,1305.0,,,,,,1197.0,,1486.0,,38.0,,40.0,,51.0,,1342.0,,898.0,,982.0,,41.0,,40.0,,1076.0,,924.0
,,,1796.0,,,,,,1378.0,,,,,,,,,,,,,,914.0,,1347.0,,1219.0,,1641.0,,1487.0,,947.0,,922.0,,32.0,,47.0,,34.0,,50.0,,42.0,,48.0,,41.0,,47.0,,41.0,,,,,,,,,,,,,,,,,,1632.0,,,,,,,,1508.0,,757.0,,46.0,,44.0,,1081.0,,950.0,,35.0,,39.0,,37.0,,1020.0,,1063.0
,,,,,,,,,1484.0,,,,,,,,,,,,,,1033.0,,1592.0,,,,,,,,34.0,,1080.0,,676.0,,813.0,,33.0,,37.0,,46.0,,37.0,,47.0,,958.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,1434.0,,,,1421.0,,1137.0,,44.0,,1521.0,,777.0,,38.0,,42.0,,53.0,,1325.0,,41.0
,,,,,,,,,1513.0,,,,,,,,,,,,,,873.0,,1327.0,,1143.0,,,,,,901.0,,,,1364.0,,1352.0,,51.0,,35.0,,694.0,,50.0,,35.0,,48.0,,993.0,,,,,,,,,,1563.0,,,,,,,,1000.0,,,,,,1170.0,,1518.0,,1075.0,,821.0,,33.0,,45.0,,53.0,,777.0,,52.0,,35.0,,45.0,,37.0
,1998.0,,,,,,,,1638.0,,,,,,,,,,,,,,906.0,,1568.0,,,,,,,,1209.0,,,,1152.0,,1632.0,,53.0,,52.0,,38.0,,53.0,,647.0,,1124.0,,35.0,,,,,,,,,,1485.0,,,,,,,,1398.0,,,,,,1473.0,,,,1463.0,,712.0,,34.0,,1175.0,,52.0,,39.0,,35.0,,45.0,,975.0,,46.0
