0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1545.0,,,,,,1945.0,,1784.0,,,,,,,,,,,,,,52.0,,1287.0,,,,,,,,35.0,,1466.0,,494.0,,683.0,,48.0,,47.0,,40.0,,40.0,,41.0,,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,1585.0,,,,690.0,,890.0,,53.0,,1479.0,,36.0,,38.0,,36.0,,47.0,,44.0,,45.0
,,,,,,,2009.0,,1828.0,,,,,,,,,,,,,,1189.0,,1481.0,,,,,,,,,,1149.0,,1059.0,,775.0,,51.0,,43.0,,35.0,,400.0,,49.0,,,,47.0,,,,1642.0,,1389.0,,,,1521.0,,,,,,,,,,,,1257.0,,,,,,1279.0,,1253.0,,1092.0,,1752.0,,36.0,,41.0,,,,55.0,,778.0,,34.0
,,,1970.0,,,,,,1700.0,,,,,,,,,,,,,,901.0,,1592.0,,55.0,,1664.0,,,,949.0,,1495.0,,,,919.0,,48.0,,39.0,,50.0,,55.0,,55.0,,,,569.0,,,,,,,,,,1575.0,,,,,,,,,,,,,,1472.0,,1348.0,,,,37.0,,34.0,,912.0,,38.0,,563.0,,44.0,,51.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,52.0,,1561.0,,,,1765.0,,1675.0,,36.0,,1116.0,,55.0,,43.0,,45.0,,48.0,,52.0,,34.0,,44.0,,34.0,,53.0,,,,,,,,,,1776.0,,,,,,,,,,,,,,1056.0,,1674.0,,708.0,,1030.0,,716.0,,1151.0,,805.0,,,,51.0,,47.0,,42.0,,808.0
,,,,,,,1933.0,,1697.0,,,,,,,,,,,,,,728.0,,1590.0,,,,,,,,841.0,,1014.0,,50.0,,44.0,,52.0,,45.0,,52.0,,45.0,,51.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,1304.0,,1612.0,,48.0,,562.0,,41.0,,1717.0,,37.0,,50.0,,34.0,,53.0,,38.0,,39.0
,,,,,,,,,1624.0,,,,,,,,,,,,,,734.0,,1262.0,,1699.0,,,,,,811.0,,1189.0,,533.0,,730.0,,37.0,,46.0,,48.0,,44.0,,36.0,,813.0,,,,,,,,,,,,,,,,,,,,,,,,,,1385.0,,,,,,844.0,,51.0,,1252.0,,50.0,,45.0,,52.0,,41.0,,51.0,,44.0
,2057.0,,1782.0,,,,,,1861.0,,,,,,,,,,,,,,567.0,,1607.0,,,,1701.0,,1456.0,,889.0,,1054.0,,35.0,,53.0,,40.0,,46.0,,39.0,,40.0,,44.0,,881.0,,931.0,,,,,,,,,,,,,,,,,,1222.0,,,,,,1066.0,,,,1242.0,,1077.0,,,,,,770.0,,475.0,,40.0,,38.0,,880.0,,
,,,,,,,,,1832.0,,,,,,,,,,,,,,44.0,,1696.0,,,,,,1431.0,,,,1288.0,,722.0,,35.0,,48.0,,43.0,,50.0,,394.0,,43.0,,822.0,,,,,,,,1632.0,,,,1772.0,,,,,,,,1556.0,,,,,,1531.0,,,,1754.0,,514.0,,46.0,,1502.0,,46.0,,,,474.0,,369.0,,35.0,,52.0
,,,1573.0,,,,,,1466.0,,,,,,,,,,,,,,,,1576.0,,,,,,,,834.0,,1107.0,,34.0,,41.0,,51.0,,43.0,,46.0,,45.0,,53.0,,931.0,,,,,,,,,,,,1486.0,,,,,,,,,,,,,,,,,,1467.0,,703.0,,,,1141.0,,,,51.0,,49.0,,38.0,,49.0,,631.0
,2096.0,,,,,,,,1789.0,,,,,,,,,,,,,,,,1705.0,,,,,,,,1055.0,,1265.0,,48.0,,432.0,,49.0,,38.0,,47.0,,53.0,,53.0,,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,1164.0,,,,36.0,,38.0,,,,1116.0,,47.0,,45.0,,35.0,,38.0,,41.0,,881.0
,,,,,,,,,1645.0,,,,,,,,,,,,,,1118.0,,1769.0,,,,,,,,1713.0,,1474.0,,51.0,,855.0,,40.0,,38.0,,50.0,,43.0,,43.0,,716.0,,46.0,,,,,,1748.0,,,,1552.0,,,,,,,,,,,,,,,,1469.0,,40.0,,48.0,,36.0,,1328.0,,41.0,,47.0,,39.0,,42.0,,37.0,,
,,,,,,,1892.0,,,,,,,,,,,,,,,,1289.0,,,,,,1586.0,,,,,,1176.0,,777.0,,678.0,,500.0,,50.0,,51.0,,48.0,,40.0,,37.0,,43.0,,,,,,1633.0,,,,,,,,,,,,1270.0,,,,,,1156.0,,,,1393.0,,1259.0,,,,,,,,647.0,,277.0,,48.0,,44.0,,34.0
,,,,,,,,,,,,,,,,,,,,,,,1241.0,,,,1520.0,,,,,,622.0,,1121.0,,42.0,,678.0,,52.0,,41.0,,427.0,,52.0,,557.0,,37.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,960.0,,1201.0,,1056.0,,772.0,,,,,,50.0,,810.0,,44.0,,42.0,,820.0,,47.0
,,,,,,,,,1809.0,,,,,,,,,,,,,,,,1604.0,,,,,,1075.0,,48.0,,940.0,,37.0,,40.0,,45.0,,49.0,,42.0,,41.0,,45.0,,36.0,,50.0,,,,,,,,,,1663.0,,,,,,,,,,,,,,1177.0,,,,,,38.0,,,,48.0,,39.0,,50.0,,36.0,,36.0,,46.0,,47.0
,,,1872.0,,,,1880.0,,1518.0,,,,,,,,,,,,,,893.0,,1468.0,,1748.0,,1521.0,,,,1118.0,,1388.0,,953.0,,969.0,,,,48.0,,48.0,,52.0,,48.0,,52.0,,38.0,,,,,,,,,,1454.0,,,,,,,,46.0,,,,,,1528.0,,1679.0,,796.0,,45.0,,,,,,,,36.0,,46.0,,44.0,,668.0,,984.0
