0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.0,,,,436.0,,,,45.0,,45.0,,48.0,,49.0,,44.0,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.0,,,,,,,,418.0,,45.0,,44.0,,681.0,,34.0
,,,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.0,,450.0,,,,42.0,,42.0,,49.0,,55.0,,458.0,,,,671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,,462.0,,,,454.0,,35.0,,43.0,,36.0,,52.0,,44.0
,,,,,,,,,,,,,,,,,,,,,,,621.0,,,,,,,,,,527.0,,,,42.0,,,,41.0,,39.0,,52.0,,46.0,,49.0,,,,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,,532.0,,34.0,,51.0,,521.0,,525.0
,,,,,,,,,,,,,,,,,,,,,,,698.0,,,,,,,,,,,,700.0,,406.0,,,,38.0,,53.0,,53.0,,49.0,,361.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,334.0,,49.0,,,,44.0,,53.0,,46.0,,52.0,,,,
,,,842.0,,,,,,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,555.0,,,,53.0,,41.0,,37.0,,50.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.0,,501.0,,,,675.0,,614.0,,34.0,,420.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,655.0,,,,,,,,,,,,,,36.0,,,,37.0,,53.0,,43.0,,55.0,,54.0,,,,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.0,,,,,,710.0,,52.0,,51.0,,53.0,,,,427.0
,,,,,,,,,,,,,,,,,,,,,,,571.0,,,,,,,,,,,,,,454.0,,,,37.0,,42.0,,46.0,,50.0,,382.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,631.0,,,,,,,,482.0,,35.0,,55.0,,,,601.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.0,,,,346.0,,,,40.0,,36.0,,47.0,,52.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.0,,465.0,,,,655.0,,53.0,,49.0,,44.0,,,,43.0
,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.0,,461.0,,,,54.0,,449.0,,646.0,,199.0,,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.0,,594.0,,,,624.0,,475.0,,62.0,,44.0,,433.0,,331.0
,,,,,,,,,,,,,,,,,,,,,,,587.0,,,,,,,,,,,,,,397.0,,,,40.0,,35.0,,45.0,,48.0,,37.0,,,,597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,,45.0,,49.0,,,,624.0
,,,917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.0,,676.0,,38.0,,36.0,,52.0,,53.0,,34.0,,,,543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.0,,568.0,,,,687.0,,531.0,,44.0,,396.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,,46.0,,640.0,,45.0,,40.0,,53.0,,40.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.0,,572.0,,,,568.0,,388.0,,36.0,,49.0,,664.0,,597.0
,,,,,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.0,,395.0,,38.0,,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.0,,664.0,,,,653.0,,38.0,,42.0,,40.0,,,,358.0
,,,749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.0,,,,43.0,,37.0,,46.0,,36.0,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.0,,,,,,,,461.0,,190.0,,47.0,,,,
,,,841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.0,,382.0,,697.0,,47.0,,42.0,,36.0,,39.0,,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,,588.0,,,,654.0,,579.0,,40.0,,53.0,,,,
,,,917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,,698.0,,43.0,,,,42.0,,34.0,,48.0,,55.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,,379.0,,37.0,,52.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.0,,,,35.0,,37.0,,42.0,,35.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0,,,,,,685.0,,50.0,,44.0,,46.0,,572.0,,44.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.0,,,,44.0,,,,50.0,,50.0,,42.0,,42.0,,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.0,,353.0,,,,518.0,,39.0,,41.0,,43.0,,,,725.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,,,,45.0,,42.0,,49.0,,48.0,,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,439.0,,278.0,,370.0,,,,
,,,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.0,,387.0,,596.0,,36.0,,38.0,,43.0,,37.0,,372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.0,,,,,,,,570.0,,296.0,,156.0,,,,
,,,785.0,,,,,,,,,,,,,,,,,,,,696.0,,,,,,,,,,,,,,392.0,,,,40.0,,50.0,,39.0,,51.0,,389.0,,,,607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.0,,277.0,,,,488.0,,49.0,,49.0,,44.0,,,,
,,,913.0,,,,,,,,,,,,,,,,,,,,525.0,,,,,,,,,,415.0,,,,574.0,,,,42.0,,290.0,,53.0,,38.0,,34.0,,,,683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.0,,375.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,683.0,,,,,,,,,,690.0,,718.0,,299.0,,696.0,,53.0,,45.0,,39.0,,34.0,,34.0,,,,358.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,564.0,,720.0,,,,,,471.0,,41.0,,44.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.0,,,,53.0,,39.0,,46.0,,45.0,,54.0,,,,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.0,,622.0,,,,543.0,,46.0,,37.0,,52.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.0,,431.0,,,,55.0,,37.0,,34.0,,34.0,,39.0,,677.0,,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,529.0,,,,,,173.0,,45.0,,36.0,,604.0,,691.0
,,,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.0,,,,49.0,,52.0,,53.0,,53.0,,44.0,,,,709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,,576.0,,,,557.0,,37.0,,39.0,,37.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,558.0,,,,,,,,,,,,,,,,,,37.0,,55.0,,41.0,,49.0,,38.0,,611.0,,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.0,,,,,,,,450.0,,43.0,,40.0,,550.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.0,,43.0,,,,51.0,,44.0,,42.0,,48.0,,39.0,,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,,298.0,,,,,,560.0,,50.0,,97.0,,,,669.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0,,,,44.0,,51.0,,54.0,,52.0,,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,50.0,,36.0,,,,612.0
,,,694.0,,,,,,,,,,,,,,,,,,,,653.0,,,,,,,,,,667.0,,702.0,,225.0,,,,47.0,,47.0,,43.0,,43.0,,39.0,,,,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.0,,,,,,,,49.0,,38.0,,50.0,,,,701.0
