0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4110.0,6397.0,,2925.0,,,,1602.0,3958.0,2144.0,3621.0,4011.0,3802.0,4990.0,2680.0,3806.0,7.0,4181.0,2775.0,4.0,2.0,2606.0,3900.0,923.0,4278.0,1008.0,,2206.0,3265.0,1148.0,3796.0,2817.0,4376.0,1204.0,3406.0,1073.0,4008.0,44.0,2800.0,59.0,2862.0,48.0,2608.0,45.0,2840.0,59.0,2558.0,39.0,2553.0,54.0,3504.0,50.0,4576.0,41.0,3221.0,1727.0,3290.0,3509.0,3907.0,1969.0,4563.0,7481.0,3.0,1046.0,4264.0,3652.0,3170.0,2972.0,3042.0,3598.0,3720.0,1549.0,3506.0,6.0,3.0,1759.0,3353.0,2331.0,3542.0,961.0,4284.0,59.0,2461.0,48.0,2604.0,59.0,2416.0,55.0,2759.0,51.0,2803.0,45.0,2803.0,50.0,2693.0,58.0,2972.0,46.0,3144.0,55.0
4330.0,7654.0,,2026.0,,,,2146.0,,1410.0,3987.0,4542.0,3900.0,4580.0,9.0,4911.0,3038.0,3396.0,3092.0,2574.0,1690.0,3520.0,4467.0,49.0,3963.0,1218.0,4069.0,2247.0,3431.0,1329.0,3616.0,2242.0,3842.0,56.0,2631.0,602.0,3236.0,45.0,3410.0,55.0,2815.0,53.0,3054.0,51.0,2876.0,57.0,2800.0,40.0,3083.0,45.0,2971.0,55.0,3025.0,519.0,3277.0,1954.0,3263.0,3970.0,2764.0,3954.0,3936.0,6.0,4551.0,2041.0,3473.0,2464.0,2900.0,2908.0,2560.0,4619.0,2623.0,3552.0,3385.0,5821.0,3374.0,1053.0,3898.0,1371.0,,,5476.0,2008.0,,1912.0,,1428.0,,,,466.0,6337.0,360.0,4486.0,44.0,4076.0,58.0,2795.0,54.0,2821.0,43.0
4066.0,7292.0,,2433.0,,,,1758.0,3960.0,1649.0,,5202.0,4030.0,9.0,2849.0,16.0,8.0,2446.0,3241.0,1707.0,15.0,3002.0,4342.0,819.0,3908.0,54.0,4181.0,63.0,2541.0,1265.0,,1237.0,4193.0,54.0,3779.0,545.0,,68.0,3081.0,49.0,3537.0,67.0,2633.0,63.0,2809.0,49.0,2334.0,65.0,2616.0,56.0,2345.0,61.0,2523.0,49.0,2597.0,1763.0,4137.0,3142.0,4992.0,1474.0,3882.0,17.0,18.0,3283.0,2900.0,5306.0,3697.0,3258.0,4030.0,4275.0,4040.0,907.0,2858.0,10.0,18.0,3278.0,3072.0,1576.0,2867.0,921.0,3362.0,50.0,2598.0,64.0,2598.0,53.0,3904.0,56.0,2508.0,61.0,2375.0,51.0,2518.0,50.0,2627.0,53.0,3427.0,62.0,3598.0,61.0
4264.0,7731.0,,1825.0,,,,1495.0,4853.0,1360.0,4605.0,4046.0,4110.0,2.0,10.0,3824.0,7.0,3699.0,4069.0,4091.0,3.0,2698.0,3827.0,53.0,4083.0,1665.0,4160.0,2081.0,3317.0,1294.0,3721.0,2304.0,3869.0,494.0,2621.0,570.0,4077.0,48.0,2585.0,56.0,2618.0,55.0,2900.0,40.0,2489.0,57.0,2708.0,55.0,2561.0,49.0,3164.0,40.0,2824.0,48.0,2756.0,1717.0,3788.0,4429.0,3364.0,1941.0,4172.0,3.0,3366.0,1017.0,3629.0,,3527.0,1796.0,3730.0,2834.0,3098.0,450.0,2772.0,8.0,2.0,1356.0,2857.0,1090.0,3265.0,1703.0,3916.0,1878.0,,72.0,4468.0,1211.0,,1050.0,,750.0,,831.0,,51.0,8006.0,39.0,3918.0,747.0,4371.0,41.0
4352.0,8556.0,,1666.0,,,,59.0,,1420.0,,5378.0,4690.0,2.0,4483.0,3610.0,2483.0,3338.0,3093.0,0.0,2290.0,3305.0,4697.0,43.0,4137.0,1760.0,4972.0,49.0,2799.0,1323.0,2711.0,2872.0,3701.0,49.0,3379.0,620.0,6424.0,46.0,3163.0,57.0,2636.0,46.0,2707.0,56.0,2503.0,40.0,2718.0,58.0,2509.0,54.0,2786.0,49.0,2691.0,39.0,2676.0,1634.0,3414.0,4328.0,3865.0,1633.0,2814.0,5966.0,2.0,1837.0,3136.0,5669.0,3431.0,1036.0,3108.0,3008.0,3767.0,53.0,2559.0,,3314.0,2520.0,3012.0,1375.0,3288.0,843.0,2999.0,48.0,2511.0,44.0,2573.0,47.0,2582.0,43.0,2789.0,50.0,2954.0,45.0,2998.0,53.0,3518.0,53.0,2583.0,58.0,2622.0,41.0
4088.0,7814.0,,1805.0,,,,,,1306.0,7088.0,3642.0,3251.0,8.0,2884.0,3038.0,3149.0,3537.0,2704.0,10.0,4.0,3226.0,3909.0,42.0,3877.0,1040.0,4333.0,1546.0,3174.0,1185.0,3512.0,3057.0,3336.0,55.0,2386.0,1063.0,2720.0,56.0,2781.0,735.0,2216.0,56.0,2068.0,50.0,,569.0,,899.0,3431.0,95.0,4221.0,49.0,4448.0,754.0,2968.0,1424.0,3273.0,56.0,3399.0,1305.0,4235.0,10.0,3890.0,1910.0,3371.0,5828.0,2862.0,2037.0,2728.0,4508.0,3611.0,1739.0,2622.0,7918.0,6.0,1606.0,2739.0,708.0,2323.0,1173.0,2639.0,46.0,2647.0,50.0,2441.0,44.0,2593.0,54.0,2178.0,43.0,2542.0,53.0,2668.0,48.0,3018.0,53.0,2362.0,48.0,2422.0,41.0
4022.0,8077.0,,2299.0,,,,1855.0,6390.0,1800.0,4512.0,,4537.0,4714.0,7.0,6179.0,2702.0,4065.0,3084.0,3252.0,2.0,1628.0,4790.0,59.0,3866.0,2138.0,,2546.0,3349.0,1367.0,3386.0,2386.0,4392.0,47.0,2914.0,674.0,3795.0,39.0,2798.0,50.0,3102.0,56.0,3074.0,52.0,3397.0,59.0,3393.0,39.0,3424.0,50.0,3319.0,39.0,3294.0,47.0,2834.0,1484.0,3476.0,6375.0,4194.0,1551.0,3198.0,0.0,6.0,1137.0,2905.0,,3460.0,2558.0,3467.0,3244.0,3077.0,845.0,3461.0,7212.0,2.0,1102.0,3387.0,1385.0,2719.0,1580.0,3157.0,57.0,2687.0,39.0,2848.0,38.0,3793.0,44.0,2564.0,45.0,2770.0,47.0,2688.0,53.0,2950.0,45.0,2752.0,44.0,2463.0,40.0
4242.0,8195.0,,2421.0,,,,1743.0,4026.0,1138.0,,,4405.0,9.0,3455.0,1.0,5.0,3006.0,3387.0,6003.0,7.0,2121.0,3956.0,55.0,3831.0,1429.0,4114.0,2769.0,4440.0,1676.0,3686.0,2401.0,4341.0,41.0,4486.0,40.0,4900.0,39.0,,1213.0,4377.0,52.0,,58.0,,673.0,,391.0,3462.0,43.0,4338.0,54.0,2931.0,54.0,5814.0,1535.0,4427.0,3361.0,3429.0,3262.0,3752.0,4328.0,3338.0,839.0,3684.0,,2740.0,3357.0,2673.0,6526.0,4046.0,2986.0,2667.0,,3412.0,1591.0,3276.0,1751.0,4488.0,92.0,3293.0,46.0,,38.0,4467.0,38.0,3868.0,692.0,3151.0,1412.0,3641.0,663.0,3203.0,948.0,3669.0,981.0,4287.0,54.0,2467.0,38.0
4352.0,6945.0,,,,,,1250.0,3938.0,1581.0,4826.0,7475.0,4868.0,9.0,3227.0,2923.0,3762.0,4357.0,2445.0,0.0,3.0,3292.0,3514.0,1543.0,3592.0,1760.0,3033.0,1344.0,2889.0,1333.0,2903.0,2597.0,2867.0,1631.0,2811.0,1609.0,3210.0,1213.0,2698.0,2637.0,3002.0,971.0,2992.0,1108.0,2980.0,1089.0,2602.0,1879.0,2910.0,744.0,2984.0,52.0,2332.0,44.0,2674.0,,3445.0,2726.0,2874.0,2736.0,4090.0,1.0,3016.0,1250.0,3342.0,2490.0,2422.0,2592.0,2735.0,5386.0,3021.0,3284.0,2930.0,3.0,1.0,2128.0,2620.0,2109.0,2835.0,1978.0,2540.0,2176.0,2946.0,1791.0,2783.0,2443.0,2684.0,3641.0,2555.0,2516.0,2421.0,1931.0,2466.0,1668.0,2654.0,1494.0,2580.0,3608.0,2498.0,2964.0
4022.0,7881.0,,1735.0,,,,2089.0,,1152.0,4365.0,6574.0,3765.0,16.0,0.0,2.0,13.0,3338.0,3005.0,0.0,2.0,2672.0,,50.0,4004.0,1732.0,,686.0,4436.0,659.0,4312.0,1696.0,3639.0,721.0,3225.0,68.0,3358.0,57.0,2625.0,62.0,2513.0,57.0,2416.0,52.0,2296.0,48.0,2522.0,62.0,2658.0,49.0,2552.0,49.0,2469.0,68.0,2398.0,1289.0,4089.0,2055.0,3203.0,1709.0,3579.0,18.0,10.0,1573.0,,,4441.0,1978.0,3755.0,2135.0,4720.0,2738.0,,,4227.0,909.0,3510.0,822.0,3044.0,170.0,3315.0,67.0,2452.0,62.0,2500.0,62.0,2743.0,62.0,2353.0,56.0,2673.0,68.0,2623.0,55.0,2674.0,54.0,2388.0,64.0,2307.0,58.0
