0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,15756.0,0.0,,,,,,,,,,,36940.0,,82.0,,,,,,,,,,,,,,,44.0,,44.0,,,34.0,,,,,,,,74.0,,,,,,,,,,,,33.0,,,,37.0,,34.0,36.0,,,,43.0,2993.0,,,,,,,34.0,3.0,37.0,,5.0,,,,7.0,,,,33.0,,,,,,,21164.0,3661.0,,,,,
,36220.0,25192.0,,,,,,,,,,,,17424.0,,40636.0,38.0,44.0,,,,,,,,,9.0,,,36.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,38.0,2.0,,,,,28708.0,1.0,,89.0,,,,,,,,,,,,,35.0,,,,2.0,,,,,,,,,,,,
45228.0,8.0,1.0,,,,,,,,,,,,23579.0,,4171.0,10085.0,44.0,,,,,44.0,9.0,33.0,,,,,,80.0,,,,,,,,,,,,,,,,6.0,,,,,,,,7.0,,,,35.0,,,,,,,11297.0,12657.0,,,,,,,,,,,,,,,,,,,,111.0,,,,,,35791.0,9397.0,,,,,
,49428.0,,,,,,,,,,,,13643.0,22052.0,,13398.0,36.0,41.0,,,,,38.0,,9.0,,,,,,4.0,,,,,,,,,,,,39.0,,,,,,,,,,,,9.0,,,,,,6.0,2.0,,,,39.0,39.0,,,6141.0,,,,,,,,,,,,,0.0,,,,6.0,,,,,,,,,,,,
,25323.0,26253.0,,,,,,,40.0,,,34.0,43832.0,38.0,3046.0,,6.0,38157.0,,,,,,,39.0,,,,,,6.0,,,,,,,,,,,,,,,,9.0,,,,,,,,38.0,,,,,,44.0,40.0,,,,20184.0,43345.0,3048.0,,47819.0,0.0,,,,,,,,7.0,,,,,,,,,,,,3721.0,,3411.0,,,,,,
,38106.0,18948.0,,,,,,,35.0,,,38.0,,29195.0,,32297.0,13166.0,,,,,,36.0,43.0,8.0,,,,,,,,,,,,,,,,,,,,,,79.0,7.0,,,,,,,,,,,,2.0,,,,,,75.0,14199.0,,,1983.0,,,,,,,,,,,,,38.0,,,,2.0,,,,4516.0,,57.0,,,,,44.0,
,19700.0,,,,,,34.0,,,,7.0,,7266.0,24112.0,3614.0,48410.0,32027.0,23123.0,,,,,,,,,37.0,,,,36.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,38.0,7.0,44.0,,,,21539.0,31217.0,7.0,,5365.0,,,,,,,,,,,,,44.0,,,,42.0,,,,6376.0,,13015.0,,,,,,
,9089.0,32872.0,,,,,,,,,,,38700.0,4024.0,4510.0,20793.0,35.0,20989.0,,,,,38.0,,4.0,,,,,,39.0,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,35.0,,43.0,,,,38563.0,44.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,79.0,,,,,,
,52825.0,34534.0,,,,,,,,,,,33.0,9541.0,11661.0,44839.0,50895.0,52562.0,,,,,,,37.0,,,,,5.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,36.0,1.0,,,,22929.0,17507.0,8.0,,,,,,,36.0,,,42.0,,,,,,,,,40.0,,,,3139.0,,117.0,,,,,36.0,
,,4421.0,,,,,,,1.0,,,35.0,5343.0,8789.0,,22521.0,20147.0,,,,,,109.0,35.0,,,,,,,,,,,,,,,,,,,7039.0,,,,,,,,,,,,2.0,,,,38.0,,,,,,,,43.0,,,,,,,,33.0,4.0,,34.0,,,,,,,,,,,,,24283.0,,89.0,,,,,,
,34641.0,,,,,,38.0,,,,42.0,,43.0,20935.0,3734.0,,40.0,15027.0,,,,,38.0,,35.0,,,,,,3.0,,,,,,,,,,,,14546.0,,,,,,,,,,,,3.0,,,,,,9.0,2.0,,,,,10009.0,,,43982.0,3.0,,,,,,,,,,,,,,,,,,30699.0,,55.0,,4648.0,,,,,,
,49119.0,38409.0,,,,,,,,,,,34385.0,,,,39.0,26417.0,,,,,,,,,39.0,,,2.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,1.0,5.0,,,,,37505.0,9124.0,,23393.0,,,,,,,,,36.0,,,,,,,,,,6224.0,,18704.0,,44379.0,16766.0,,,,,
47076.0,2.0,,,,,,,,2.0,,,1.0,,30277.0,,38340.0,35.0,32642.0,,,,,39.0,,40.0,,,,,,4.0,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,39.0,,,,,,,14121.0,,,,,,,,0.0,,,,,,,,3.0,,,,42.0,,,,59.0,,,,,,,,
,22979.0,,,,,,,,,,,,34801.0,18262.0,50.0,10696.0,,47391.0,,,,,44.0,39.0,41.0,,,,,,,,,,,,,,,,,,70.0,,,,40.0,,,,,,,,,,,,,,8.0,41.0,,,,9460.0,,39014.0,,15600.0,,,,,,,,,,,,,43.0,,,,8.0,,,,71.0,,3074.0,,,,,,
42874.0,9.0,6351.0,,,,,,,9.0,,,40.0,6479.0,28841.0,51.0,16850.0,48681.0,18773.0,,,,,2.0,40.0,5.0,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,37.0,245.0,9.0,,,,6106.0,9615.0,,,,,,,,37.0,37.0,,9.0,,,,4.0,,,,35.0,,,,,,,78.0,,,,,6.0,
,26461.0,,,,,,,,9.0,,,1.0,36220.0,7053.0,,18641.0,54495.0,30532.0,,,,,39.0,5.0,5.0,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,5.0,,,,,,44.0,37.0,,,,45.0,39498.0,12455.0,,9432.0,,,,,,,,,,,,,40.0,,,,7.0,,,,,,12081.0,,,,,,
