0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4594.0,42.0,8.0,0.0,36.0,5.0,39.0,1.0,2.0,44.0,41.0,41.0,7.0,8458.0,5949.0,2617.0,6388.0,4580.0,367.0,8.0,727.0,146.0,176.0,3222.0,2189.0,5587.0,2693.0,35.0,34.0,8.0,33.0,4.0,42.0,38.0,7.0,42.0,0.0,36.0,,8164.0,4467.0,2942.0,37.0,2164.0,7.0,34.0,7.0,4529.0,6174.0,4480.0,7114.0,1731.0,0.0,1.0,44.0,44.0,42.0,44.0,4.0,37.0,34.0,34.0,0.0,,38.0,8.0,5441.0,38.0,73.0,963.0,3017.0,2508.0,782.0,1713.0,4798.0,3363.0,33.0,1.0,33.0,5.0,33.0,9.0,43.0,3.0,7.0,0.0,43.0,0.0,6249.0,5173.0,7.0,3035.0,5.0,2232.0,430.0,8.0,473.0,969.0,2185.0,5649.0
4088.0,8.0,8.0,43.0,40.0,40.0,5.0,36.0,35.0,37.0,39.0,34.0,39.0,7923.0,40.0,1680.0,5094.0,37.0,79.0,116.0,1395.0,193.0,261.0,3992.0,2135.0,8221.0,2312.0,35.0,0.0,35.0,8.0,35.0,33.0,35.0,4.0,39.0,37.0,37.0,9479.0,7301.0,3813.0,3579.0,34.0,3052.0,6.0,5.0,40.0,4101.0,5958.0,3412.0,5206.0,2014.0,1.0,3.0,3.0,2.0,2.0,44.0,44.0,35.0,37.0,39.0,2.0,,5867.0,33.0,4926.0,2622.0,112.0,979.0,4725.0,3256.0,692.0,1412.0,6139.0,3023.0,0.0,34.0,38.0,8.0,35.0,4.0,0.0,3.0,8.0,39.0,34.0,6.0,9475.0,44.0,9.0,37.0,34.0,2716.0,511.0,1.0,363.0,730.0,2074.0,8760.0
4352.0,3.0,6.0,8.0,8.0,39.0,8.0,9.0,1.0,41.0,43.0,6.0,7.0,8501.0,5339.0,2137.0,5615.0,3127.0,3.0,150.0,723.0,164.0,126.0,4035.0,2132.0,7560.0,2189.0,6.0,36.0,35.0,42.0,40.0,1.0,36.0,6.0,40.0,6.0,33.0,,7944.0,4195.0,3627.0,7.0,33.0,5.0,41.0,43.0,3841.0,5742.0,4081.0,5661.0,1340.0,36.0,37.0,36.0,5.0,37.0,40.0,34.0,35.0,1.0,5.0,0.0,8336.0,6971.0,1.0,4490.0,40.0,106.0,869.0,3634.0,3078.0,671.0,1642.0,8004.0,3077.0,2.0,33.0,41.0,7.0,37.0,7.0,36.0,38.0,6.0,41.0,41.0,41.0,,5215.0,122.0,4696.0,38.0,1680.0,607.0,5.0,417.0,736.0,2045.0,8088.0
4528.0,37.0,0.0,38.0,35.0,6.0,37.0,1.0,37.0,38.0,5.0,37.0,5.0,7693.0,4977.0,39.0,4358.0,35.0,42.0,8.0,1105.0,114.0,173.0,3659.0,2698.0,6182.0,2561.0,6.0,4.0,1.0,1.0,34.0,2.0,34.0,43.0,9.0,9.0,6.0,,39.0,4169.0,2529.0,8.0,2006.0,1.0,9.0,9.0,6229.0,6170.0,2010.0,5182.0,1316.0,1.0,42.0,36.0,38.0,7.0,44.0,6.0,42.0,8.0,2.0,41.0,10470.0,42.0,4.0,40.0,2889.0,47.0,1233.0,34.0,3029.0,676.0,1585.0,5779.0,3041.0,33.0,33.0,0.0,43.0,37.0,4.0,42.0,36.0,1.0,37.0,38.0,0.0,40.0,36.0,767.0,3217.0,44.0,2631.0,408.0,33.0,371.0,908.0,1977.0,8263.0
4506.0,6.0,33.0,43.0,37.0,40.0,5.0,39.0,40.0,0.0,35.0,9.0,4.0,5386.0,6075.0,1513.0,39.0,37.0,8.0,139.0,684.0,60.0,182.0,1985.0,2473.0,5558.0,2467.0,8.0,38.0,43.0,0.0,35.0,41.0,40.0,42.0,0.0,4.0,34.0,,8356.0,2669.0,33.0,43.0,1883.0,8.0,41.0,1.0,4556.0,6147.0,4621.0,4997.0,1527.0,7.0,36.0,43.0,0.0,40.0,42.0,41.0,33.0,4.0,1.0,0.0,7794.0,5939.0,2.0,4498.0,1278.0,6.0,1281.0,42.0,2070.0,1130.0,1077.0,4826.0,2884.0,6.0,37.0,0.0,41.0,3.0,37.0,8.0,33.0,6.0,40.0,44.0,40.0,9394.0,7263.0,56.0,3967.0,42.0,44.0,316.0,6.0,490.0,853.0,1810.0,7284.0
4308.0,2.0,2.0,34.0,4.0,7.0,39.0,2.0,34.0,40.0,38.0,9.0,40.0,42.0,4131.0,1978.0,5091.0,42.0,892.0,98.0,563.0,51.0,183.0,5002.0,1517.0,8127.0,2739.0,44.0,5.0,0.0,9.0,4.0,37.0,43.0,9.0,41.0,34.0,3.0,,8387.0,43.0,3437.0,8.0,1358.0,40.0,2.0,40.0,4070.0,6800.0,4666.0,6122.0,1527.0,41.0,41.0,36.0,42.0,43.0,36.0,6.0,35.0,34.0,9.0,7.0,11586.0,11748.0,6.0,6125.0,2859.0,73.0,849.0,3971.0,2057.0,698.0,1860.0,5400.0,2879.0,2.0,39.0,41.0,38.0,6.0,1.0,41.0,41.0,34.0,6.0,3.0,41.0,13477.0,42.0,5.0,3460.0,36.0,3115.0,709.0,33.0,308.0,802.0,1472.0,24311.0
4110.0,0.0,39.0,41.0,2.0,35.0,4.0,40.0,44.0,42.0,41.0,35.0,0.0,,5148.0,1631.0,4347.0,44.0,35.0,145.0,654.0,148.0,198.0,3458.0,2379.0,4869.0,2582.0,39.0,8.0,41.0,39.0,6.0,6.0,2.0,37.0,2.0,4.0,5.0,,39.0,3715.0,3675.0,4.0,1712.0,33.0,43.0,1.0,4699.0,6114.0,2731.0,5549.0,1448.0,43.0,36.0,5.0,35.0,4.0,9.0,42.0,9.0,2.0,37.0,42.0,,44.0,9.0,6499.0,2663.0,71.0,841.0,33.0,2358.0,674.0,1975.0,5738.0,2849.0,4.0,1.0,4.0,38.0,6.0,6.0,34.0,8.0,2.0,7.0,0.0,36.0,39.0,5611.0,716.0,36.0,34.0,2361.0,480.0,35.0,554.0,744.0,1498.0,28843.0
4374.0,43.0,1.0,8.0,37.0,3.0,44.0,37.0,41.0,43.0,37.0,7.0,2.0,7911.0,7234.0,1363.0,4932.0,3308.0,108.0,173.0,1096.0,60.0,199.0,3094.0,2143.0,6681.0,2331.0,39.0,7.0,1.0,7.0,43.0,37.0,5.0,34.0,1.0,0.0,38.0,,7120.0,37.0,3180.0,40.0,41.0,40.0,37.0,39.0,3452.0,5464.0,2672.0,7123.0,1674.0,39.0,3.0,38.0,42.0,35.0,5.0,37.0,9.0,34.0,34.0,41.0,8487.0,44.0,40.0,4619.0,40.0,60.0,1239.0,3701.0,2377.0,634.0,1249.0,6487.0,2815.0,41.0,3.0,7.0,44.0,38.0,34.0,43.0,41.0,35.0,7.0,42.0,38.0,7311.0,5849.0,83.0,5004.0,6.0,1375.0,457.0,7.0,470.0,713.0,1559.0,8477.0
4770.0,2.0,36.0,6.0,4.0,4.0,39.0,0.0,41.0,5.0,7.0,1.0,36.0,,5830.0,1506.0,5093.0,3877.0,396.0,203.0,723.0,132.0,140.0,2898.0,2641.0,7109.0,2528.0,34.0,40.0,33.0,4.0,41.0,9.0,38.0,35.0,4.0,5.0,34.0,,7129.0,3499.0,3599.0,38.0,2086.0,1.0,42.0,41.0,4838.0,8451.0,3254.0,5709.0,1703.0,7.0,34.0,7.0,37.0,38.0,3.0,1.0,42.0,42.0,39.0,7.0,,6233.0,7.0,5289.0,1145.0,81.0,1043.0,3801.0,2465.0,479.0,1607.0,5752.0,3261.0,5.0,42.0,5.0,5.0,0.0,41.0,9.0,40.0,41.0,42.0,3.0,41.0,,7379.0,3738.0,4519.0,36.0,35.0,497.0,35.0,344.0,763.0,1641.0,8002.0
4242.0,44.0,35.0,33.0,41.0,35.0,2.0,35.0,35.0,8.0,38.0,4.0,6.0,38.0,6245.0,2388.0,41.0,42.0,8.0,175.0,694.0,79.0,230.0,4212.0,2023.0,5560.0,2568.0,1.0,1.0,35.0,34.0,35.0,40.0,41.0,35.0,8.0,5.0,1.0,,37.0,3918.0,36.0,3.0,1289.0,3.0,42.0,37.0,4810.0,6761.0,2256.0,5396.0,1744.0,36.0,43.0,7.0,0.0,41.0,33.0,44.0,8.0,39.0,40.0,40.0,29467.0,42.0,0.0,5569.0,1738.0,81.0,1228.0,3433.0,2697.0,668.0,1713.0,6588.0,3257.0,4.0,33.0,3.0,3.0,35.0,43.0,38.0,2.0,40.0,3.0,4.0,7.0,,5792.0,55.0,44.0,7.0,1606.0,545.0,39.0,463.0,638.0,1257.0,7126.0
