0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10864.0,10.0,3847.0,4064.0,2863.0,2677.0,2971.0,3603.0,2835.0,2394.0,2587.0,2094.0,2490.0,1582.0,1861.0,2856.0,3523.0,8154.0,4629.0,5464.0,6283.0,5567.0,4097.0,4017.0,4479.0,4377.0,5595.0,5378.0,6620.0,4322.0,5474.0,4829.0,5272.0,5819.0,4917.0,5057.0,5045.0,4654.0,4668.0,5805.0,5996.0,5437.0,4383.0,4712.0,7497.0,6577.0,5772.0,5473.0,5016.0,5952.0,4558.0,3564.0,4428.0,,,,,10171.0,10722.0,11686.0,,11512.0,40.0,38.0,37.0,35.0,36.0,42.0,44.0,55.0,35.0,51.0,55.0,40.0,51.0,49.0,49.0,47.0,52.0,36.0,36.0,43.0,34.0,52.0,41.0,54.0,42.0,48.0,38.0,52.0,53.0,51.0,49.0,54.0,35.0,8.0,7.0,44.0,40.0,41.0
11348.0,6.0,3628.0,3448.0,2631.0,3666.0,3114.0,3086.0,3843.0,2216.0,2139.0,2024.0,2554.0,1360.0,1739.0,2155.0,2800.0,5238.0,4373.0,5408.0,6695.0,5352.0,4453.0,4217.0,4640.0,3953.0,4746.0,4800.0,5221.0,4519.0,9409.0,3844.0,3894.0,5701.0,7436.0,5359.0,4031.0,5437.0,4307.0,4700.0,4793.0,4727.0,4361.0,4694.0,4140.0,5118.0,5005.0,6008.0,3473.0,3817.0,4439.0,3898.0,2902.0,,,,,14677.0,11339.0,9765.0,,3934.0,4395.0,47.0,45.0,50.0,37.0,35.0,50.0,47.0,47.0,46.0,44.0,54.0,35.0,35.0,41.0,43.0,53.0,48.0,47.0,55.0,50.0,37.0,55.0,47.0,46.0,39.0,44.0,52.0,45.0,41.0,51.0,46.0,48.0,5.0,41.0,39.0,2.0,43.0
10468.0,6.0,3998.0,6.0,3090.0,3760.0,2887.0,4322.0,3095.0,2382.0,2008.0,2353.0,1801.0,3041.0,1264.0,2112.0,2846.0,4589.0,6850.0,5237.0,4639.0,5411.0,4883.0,4507.0,5595.0,5516.0,5784.0,4697.0,5044.0,3778.0,3957.0,4073.0,4941.0,5081.0,4205.0,4831.0,5258.0,5712.0,5694.0,4933.0,5390.0,5044.0,4479.0,4961.0,4685.0,5018.0,4677.0,4612.0,3456.0,5214.0,4160.0,6683.0,4407.0,,,,,,,11627.0,,7850.0,187.0,37.0,52.0,52.0,46.0,53.0,41.0,41.0,52.0,41.0,37.0,34.0,35.0,39.0,42.0,45.0,37.0,39.0,37.0,52.0,37.0,35.0,53.0,47.0,38.0,54.0,41.0,41.0,55.0,52.0,53.0,47.0,51.0,39.0,5.0,5.0,1.0,8.0
9874.0,4747.0,4371.0,3276.0,3477.0,3383.0,3296.0,2837.0,3130.0,2226.0,2101.0,2659.0,1707.0,2847.0,2921.0,2430.0,4719.0,4428.0,6713.0,4937.0,5246.0,4930.0,4005.0,3878.0,5203.0,3651.0,4041.0,5087.0,5732.0,4853.0,4395.0,4433.0,4271.0,4203.0,5004.0,4508.0,7985.0,3855.0,6467.0,4213.0,5083.0,5383.0,4039.0,5357.0,4379.0,7770.0,4570.0,3905.0,5057.0,5030.0,3830.0,5645.0,199.0,,,,,,9.0,10585.0,,5113.0,9277.0,48.0,47.0,41.0,44.0,49.0,42.0,42.0,37.0,43.0,54.0,35.0,55.0,34.0,46.0,46.0,50.0,39.0,37.0,37.0,38.0,44.0,38.0,51.0,42.0,39.0,49.0,55.0,46.0,35.0,39.0,48.0,35.0,34.0,38.0,7.0,2.0,1.0
9192.0,5806.0,3695.0,5499.0,2939.0,4128.0,8101.0,2619.0,3201.0,2329.0,2322.0,2404.0,2195.0,1493.0,1493.0,1832.0,2425.0,3558.0,4129.0,5729.0,4680.0,4287.0,5091.0,3896.0,6062.0,5264.0,4395.0,4671.0,5148.0,5581.0,4935.0,4686.0,4418.0,4593.0,4289.0,4937.0,3860.0,5027.0,5400.0,4575.0,6254.0,4997.0,4485.0,6517.0,4575.0,5348.0,4507.0,5362.0,3709.0,4957.0,4183.0,4133.0,2535.0,,,,,43038.0,7.0,10223.0,,7306.0,2339.0,49.0,34.0,37.0,50.0,44.0,46.0,34.0,42.0,35.0,49.0,50.0,43.0,53.0,35.0,52.0,43.0,48.0,53.0,40.0,44.0,48.0,55.0,35.0,34.0,45.0,49.0,46.0,50.0,47.0,48.0,44.0,37.0,42.0,42.0,36.0,0.0,4.0
8840.0,4548.0,4767.0,3611.0,2757.0,3430.0,2816.0,2620.0,2914.0,1932.0,2079.0,2247.0,2244.0,1568.0,1749.0,2846.0,3445.0,6003.0,4913.0,4937.0,4569.0,5146.0,4547.0,4363.0,4620.0,4202.0,4982.0,5219.0,6562.0,4517.0,5512.0,5567.0,3472.0,5207.0,4845.0,5726.0,5449.0,4871.0,6284.0,4562.0,5560.0,5510.0,5491.0,5432.0,4338.0,4616.0,4749.0,4891.0,3984.0,4170.0,4075.0,4507.0,2840.0,,,,,13333.0,12397.0,13104.0,,6572.0,4576.0,41.0,44.0,39.0,51.0,39.0,53.0,37.0,44.0,49.0,46.0,52.0,44.0,42.0,47.0,41.0,42.0,53.0,37.0,37.0,53.0,34.0,36.0,44.0,45.0,36.0,40.0,46.0,38.0,39.0,35.0,38.0,54.0,38.0,7.0,9.0,36.0,1.0
8554.0,1.0,4218.0,3337.0,3145.0,3433.0,2806.0,2706.0,3027.0,2748.0,1962.0,1932.0,1792.0,1319.0,1746.0,2981.0,2954.0,5294.0,5471.0,4790.0,5966.0,4518.0,5076.0,4379.0,4257.0,4625.0,4277.0,6221.0,5163.0,4625.0,6307.0,4696.0,4594.0,4053.0,4358.0,5859.0,4535.0,7396.0,4972.0,4576.0,5870.0,5296.0,5317.0,4407.0,4835.0,4959.0,4397.0,5740.0,3601.0,4557.0,4127.0,4072.0,5155.0,,,,,,17707.0,15781.0,,5020.0,79.0,51.0,35.0,34.0,51.0,48.0,50.0,52.0,43.0,54.0,47.0,38.0,38.0,35.0,42.0,42.0,44.0,36.0,37.0,48.0,46.0,46.0,44.0,50.0,37.0,37.0,44.0,51.0,41.0,44.0,50.0,34.0,35.0,44.0,42.0,36.0,3.0,8.0
9236.0,3542.0,3250.0,3256.0,4262.0,4329.0,2734.0,3096.0,2869.0,2002.0,1853.0,2177.0,1786.0,2011.0,1727.0,2969.0,3301.0,5429.0,4784.0,5093.0,7013.0,4064.0,4839.0,4810.0,5280.0,3399.0,6216.0,4318.0,5236.0,4855.0,5358.0,5103.0,4493.0,4841.0,4742.0,5410.0,4390.0,7052.0,6062.0,4640.0,5283.0,4798.0,6005.0,4578.0,3877.0,5458.0,5012.0,5109.0,3908.0,4330.0,4827.0,4033.0,3962.0,,,,,,,5.0,,7909.0,6075.0,42.0,39.0,54.0,42.0,35.0,54.0,39.0,47.0,46.0,53.0,43.0,52.0,49.0,38.0,55.0,38.0,53.0,48.0,43.0,48.0,44.0,43.0,41.0,52.0,44.0,37.0,51.0,47.0,53.0,37.0,39.0,36.0,7.0,39.0,4.0,5.0,3.0
10842.0,5.0,8.0,3710.0,2567.0,3734.0,2956.0,6778.0,3916.0,2338.0,3303.0,2448.0,1606.0,1478.0,1383.0,1590.0,2850.0,4897.0,5273.0,4745.0,4728.0,4938.0,5503.0,3863.0,5582.0,3739.0,4221.0,4754.0,5442.0,4666.0,4732.0,4019.0,4173.0,3909.0,4778.0,4644.0,4332.0,4746.0,4843.0,5322.0,5533.0,5184.0,4469.0,4589.0,5135.0,6680.0,5315.0,5073.0,3198.0,5452.0,6579.0,4961.0,4627.0,,,,,,,20298.0,,7261.0,5207.0,53.0,49.0,45.0,40.0,39.0,54.0,42.0,55.0,38.0,52.0,42.0,54.0,47.0,45.0,40.0,44.0,43.0,34.0,43.0,48.0,34.0,49.0,53.0,46.0,54.0,38.0,52.0,54.0,37.0,51.0,35.0,36.0,43.0,40.0,34.0,6.0,3.0
18366.0,8.0,0.0,3820.0,3250.0,3414.0,2678.0,3347.0,3376.0,2104.0,2565.0,2314.0,1690.0,2591.0,1291.0,1679.0,5290.0,4354.0,2935.0,4768.0,6882.0,5379.0,4358.0,5724.0,4960.0,3893.0,5986.0,5447.0,5131.0,3743.0,4747.0,5323.0,3722.0,5329.0,5374.0,4208.0,5248.0,4084.0,4486.0,4409.0,5362.0,5917.0,5665.0,4405.0,4385.0,5014.0,4555.0,4745.0,3403.0,3914.0,4155.0,3830.0,3602.0,,,,,,15551.0,11082.0,,4383.0,9089.0,44.0,47.0,54.0,40.0,40.0,53.0,53.0,38.0,45.0,50.0,37.0,34.0,40.0,40.0,45.0,52.0,43.0,55.0,34.0,40.0,51.0,38.0,38.0,44.0,55.0,45.0,36.0,34.0,34.0,51.0,37.0,36.0,9.0,44.0,34.0,43.0,36.0
