0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
9566.0,4005.0,3926.0,4283.0,3636.0,4022.0,3858.0,3852.0,4091.0,3013.0,3307.0,2947.0,2615.0,2236.0,2262.0,2715.0,1997.0,2745.0,1914.0,2103.0,2204.0,1827.0,1698.0,1137.0,1664.0,1361.0,1422.0,1413.0,2170.0,1186.0,1969.0,1854.0,1619.0,2090.0,2377.0,2030.0,1722.0,1949.0,2337.0,2458.0,3216.0,3272.0,2172.0,2241.0,2512.0,2744.0,1983.0,3096.0,1865.0,2982.0,2457.0,1835.0,1322.0,,,,,,,,,7610.0,2214.0,49.0,49.0,38.0,32.0,34.0,37.0,44.0,48.0,50.0,35.0,37.0,34.0,39.0,42.0,43.0,48.0,32.0,32.0,37.0,42.0,44.0,38.0,37.0,42.0,35.0,49.0,47.0,42.0,34.0,43.0,46.0,48.0,38.0,33.0,41.0,40.0,41.0
7718.0,2.0,3574.0,3912.0,2849.0,5.0,3968.0,3844.0,3359.0,2460.0,2911.0,2560.0,2258.0,2095.0,2133.0,2087.0,1963.0,2642.0,1853.0,1845.0,2036.0,1478.0,1598.0,1337.0,1491.0,1019.0,1672.0,2442.0,1973.0,1857.0,1636.0,2014.0,1635.0,2079.0,2447.0,2305.0,3056.0,1967.0,2851.0,2063.0,3435.0,2874.0,2256.0,2734.0,2189.0,2090.0,3068.0,2033.0,2055.0,2843.0,2397.0,2804.0,1675.0,,,,,,,,,,4975.0,51.0,37.0,50.0,49.0,34.0,50.0,47.0,45.0,48.0,48.0,44.0,51.0,40.0,45.0,35.0,45.0,49.0,38.0,45.0,50.0,50.0,38.0,33.0,52.0,34.0,42.0,40.0,50.0,37.0,41.0,39.0,31.0,9.0,36.0,34.0,0.0,3.0
9016.0,5232.0,0.0,3511.0,3319.0,6.0,6.0,3367.0,3880.0,2637.0,2418.0,3130.0,2312.0,2079.0,2346.0,2278.0,1678.0,2331.0,2099.0,1819.0,2354.0,1567.0,1487.0,1461.0,1912.0,1339.0,1187.0,2006.0,1672.0,1337.0,1432.0,2101.0,1721.0,1961.0,2554.0,1798.0,2271.0,2448.0,2503.0,2148.0,3012.0,2713.0,2315.0,2255.0,2616.0,2456.0,2894.0,3078.0,1035.0,3535.0,2657.0,2613.0,709.0,,,,,,,,,5385.0,1726.0,50.0,44.0,39.0,46.0,36.0,44.0,35.0,41.0,31.0,41.0,40.0,42.0,51.0,42.0,38.0,34.0,48.0,35.0,39.0,48.0,48.0,49.0,48.0,41.0,42.0,34.0,32.0,32.0,46.0,34.0,47.0,37.0,36.0,37.0,7.0,2.0,31.0
10358.0,10.0,3684.0,4022.0,2602.0,4456.0,3749.0,3313.0,3207.0,3247.0,2597.0,2994.0,2658.0,2220.0,3072.0,2053.0,1938.0,2103.0,1396.0,1699.0,2268.0,1369.0,1172.0,1072.0,1567.0,1327.0,1719.0,1838.0,2042.0,1828.0,2010.0,2230.0,1748.0,1848.0,2662.0,2132.0,2443.0,2642.0,2254.0,2221.0,3211.0,3054.0,2074.0,2632.0,2999.0,2935.0,3444.0,2235.0,915.0,2555.0,1942.0,2358.0,936.0,,,,,,,,,6724.0,1423.0,47.0,44.0,33.0,52.0,39.0,49.0,51.0,46.0,40.0,31.0,43.0,35.0,38.0,52.0,42.0,38.0,37.0,33.0,47.0,40.0,44.0,43.0,43.0,43.0,31.0,31.0,35.0,33.0,36.0,43.0,8.0,9.0,10.0,4.0,41.0,37.0,8.0
,,5.0,0.0,1.0,9.0,4082.0,4762.0,3.0,3602.0,3287.0,3546.0,2645.0,3222.0,3419.0,3176.0,2923.0,3486.0,2802.0,2605.0,3377.0,3426.0,2398.0,2537.0,2335.0,2718.0,2997.0,3715.0,3093.0,2680.0,2605.0,2488.0,3003.0,3010.0,2599.0,3157.0,2701.0,3906.0,2734.0,2551.0,4175.0,4412.0,4159.0,4689.0,3.0,,,,,,,3410.0,1365.0,,,,,,,,,,2356.0,2146.0,47.0,33.0,44.0,49.0,45.0,46.0,32.0,45.0,31.0,50.0,45.0,39.0,45.0,41.0,43.0,37.0,47.0,34.0,44.0,36.0,42.0,34.0,44.0,50.0,48.0,41.0,49.0,50.0,46.0,38.0,43.0,5.0,31.0,32.0,4.0,8.0
10380.0,3551.0,3.0,3.0,4238.0,5.0,3252.0,3632.0,3117.0,2633.0,2875.0,2266.0,2922.0,1971.0,2239.0,2190.0,2214.0,2603.0,1860.0,1771.0,2043.0,1822.0,1623.0,1151.0,1600.0,1010.0,1151.0,1922.0,1879.0,1598.0,1728.0,1618.0,1732.0,1948.0,2519.0,2248.0,2566.0,2501.0,1993.0,1978.0,3965.0,2467.0,2703.0,2008.0,3168.0,2630.0,2485.0,3405.0,1440.0,2856.0,2571.0,3421.0,2287.0,,,,,,,,,4622.0,1754.0,39.0,34.0,52.0,46.0,38.0,34.0,31.0,48.0,36.0,45.0,42.0,48.0,50.0,32.0,39.0,50.0,44.0,33.0,32.0,39.0,43.0,34.0,33.0,43.0,42.0,45.0,40.0,45.0,35.0,43.0,50.0,6.0,33.0,36.0,7.0,35.0,8.0
,,,,,3900.0,1855.0,1636.0,1688.0,1390.0,1613.0,2415.0,1684.0,1753.0,1659.0,1778.0,1235.0,2737.0,2178.0,1719.0,2461.0,2525.0,2990.0,1850.0,2807.0,2887.0,2807.0,2274.0,2788.0,1863.0,3085.0,3401.0,3693.0,1852.0,3129.0,2497.0,2918.0,2778.0,3370.0,2670.0,3447.0,4301.0,2168.0,2862.0,4313.0,2708.0,4871.0,3363.0,3956.0,5701.0,5404.0,3880.0,4259.0,,,,,,,,,,,7119.0,1911.0,45.0,52.0,46.0,44.0,33.0,32.0,31.0,43.0,39.0,49.0,41.0,44.0,50.0,42.0,48.0,47.0,40.0,39.0,31.0,40.0,45.0,35.0,38.0,37.0,37.0,50.0,52.0,41.0,38.0,32.0,2.0,10.0,0.0,10.0,41.0
8554.0,10.0,4366.0,4215.0,2393.0,1.0,3045.0,3547.0,3426.0,2585.0,2521.0,3021.0,2545.0,2146.0,2270.0,2230.0,2495.0,2237.0,2007.0,1560.0,1961.0,1441.0,1718.0,1328.0,1499.0,1103.0,1308.0,1926.0,2287.0,1901.0,1997.0,1975.0,2062.0,1961.0,1828.0,1774.0,2184.0,2403.0,2492.0,2074.0,3210.0,2732.0,2620.0,1688.0,2012.0,2081.0,3063.0,2828.0,1236.0,2683.0,3159.0,2446.0,451.0,,,,,,,,,3925.0,6055.0,43.0,51.0,43.0,52.0,43.0,49.0,45.0,35.0,46.0,46.0,38.0,52.0,42.0,46.0,50.0,43.0,34.0,49.0,43.0,49.0,50.0,40.0,45.0,35.0,33.0,33.0,51.0,52.0,46.0,37.0,52.0,40.0,33.0,39.0,2.0,36.0,8.0
,,,,5.0,,8608.0,5842.0,8995.0,2.0,5.0,7.0,3907.0,4563.0,2606.0,3375.0,4144.0,3686.0,2728.0,3168.0,3346.0,2658.0,2617.0,2932.0,3722.0,2124.0,2248.0,2566.0,2372.0,3268.0,1960.0,2779.0,2571.0,2810.0,2883.0,2965.0,3235.0,3223.0,2658.0,2198.0,3566.0,4274.0,3832.0,5449.0,8.0,,,,,,12836.0,771.0,2641.0,,,,,,,,,,5116.0,1456.0,44.0,8964.0,41.0,41.0,39.0,52.0,33.0,40.0,35.0,39.0,33.0,48.0,36.0,46.0,37.0,38.0,36.0,51.0,48.0,31.0,36.0,48.0,46.0,45.0,33.0,31.0,44.0,36.0,46.0,32.0,49.0,39.0,7.0,7.0,7.0,3.0
,,13529.0,12194.0,9.0,6456.0,0.0,6.0,8508.0,4315.0,5215.0,5748.0,4081.0,4522.0,3798.0,2942.0,4230.0,4024.0,2600.0,2973.0,2822.0,3042.0,2653.0,2455.0,2771.0,2548.0,2465.0,3195.0,3226.0,2211.0,2465.0,3616.0,2248.0,2776.0,3043.0,3207.0,2281.0,3774.0,3098.0,2440.0,3639.0,4874.0,3583.0,5400.0,,,,,,,,,3359.0,,,,,,,,,5908.0,5421.0,42.0,40.0,52.0,43.0,51.0,52.0,42.0,51.0,49.0,41.0,45.0,43.0,44.0,51.0,46.0,52.0,41.0,50.0,52.0,51.0,48.0,44.0,34.0,45.0,39.0,46.0,40.0,43.0,39.0,37.0,41.0,49.0,32.0,39.0,38.0,37.0,38.0
