0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,11024.0,,3859.0,,3912.0,,,,11243.0,,,,,,,,,,,,,,40.0,,11965.0,,,,,,,,50.0,,34.0,,730.0,,5386.0,,34.0,,45.0,,55.0,,47.0,,12810.0,,,,,,,,,,,,,,49.0,,,,15743.0,,,,,,,,146.0,,38.0,,35.0,,42.0,,2342.0,,46.0,,,,8262.0,,34.0,,49.0,,50.0,,1200.0,,
,,,3271.0,,2027.0,,,,40.0,,,,,,,,,,,,40.0,,40.0,,12241.0,,,,,,,,16979.0,,37.0,,37.0,,16722.0,,40.0,,38.0,,48.0,,395.0,,10071.0,,,,16144.0,,,,,,,,,,,,,,7727.0,,,,,,,,34.0,,1226.0,,51.0,,44.0,,31.0,,48.0,,49.0,,,,38.0,,36.0,,6699.0,,,,
,,,6567.0,,1816.0,,,,44.0,,,,,,,,,,,,14203.0,,43.0,,36.0,,6092.0,,9126.0,,,,5218.0,,34.0,,43.0,,41.0,,31.0,,43.0,,47.0,,33.0,,5052.0,,32.0,,,,,,,,42.0,,,,35.0,,,,41.0,,6.0,,44.0,,,,35.0,,39.0,,52.0,,48.0,,50.0,,11434.0,,,,,,43.0,,1037.0,,37.0,,,,
,,,1296.0,,38.0,,,,4905.0,,,,,,,,,,,,15774.0,,40.0,,44.0,,9266.0,,50.0,,43.0,,52.0,,827.0,,46.0,,34.0,,51.0,,42.0,,48.0,,37.0,,39.0,,,,6735.0,,,,8923.0,,,,,,15401.0,,,,36.0,,,,,,,,42.0,,38.0,,46.0,,,,263.0,,16607.0,,,,,,37.0,,44.0,,1997.0,,,,
,,,7335.0,,32.0,,,,45.0,,,,,,,,,,,,43.0,,279.0,,8004.0,,,,12319.0,,,,36.0,,51.0,,37.0,,,,51.0,,51.0,,44.0,,48.0,,42.0,,,,39.0,,,,,,,,,,,,,,37.0,,,,,,,,5965.0,,33.0,,3507.0,,1124.0,,42.0,,33.0,,35.0,,38.0,,44.0,,42.0,,38.0,,,,3527.0
,,,3667.0,,47.0,,,,12244.0,,,,,,,,,,,,39.0,,32.0,,37.0,,,,1705.0,,12660.0,,43.0,,38.0,,31.0,,2727.0,,47.0,,38.0,,33.0,,161.0,,4874.0,,,,36.0,,6336.0,,,,,,,,16772.0,,,,46.0,,,,,,,,811.0,,36.0,,1198.0,,10468.0,,38.0,,,,,,,,52.0,,38.0,,51.0,,,,
,,,4333.0,,3559.0,,,,4182.0,,,,,,,,,,,,9876.0,,37.0,,6039.0,,4477.0,,16495.0,,,,6746.0,,36.0,,566.0,,3977.0,,69.0,,33.0,,167.0,,45.0,,1407.0,,,,10845.0,,11874.0,,,,14876.0,,,,,,,,42.0,,,,,,,,33.0,,42.0,,4549.0,,38.0,,522.0,,7028.0,,,,13636.0,,2007.0,,3057.0,,565.0,,,,13393.0
,,,7737.0,,2430.0,,,,48.0,,,,,,,,,,,,3633.0,,45.0,,39.0,,2382.0,,45.0,,,,10035.0,,2064.0,,47.0,,7396.0,,42.0,,32.0,,49.0,,41.0,,49.0,,10813.0,,3449.0,,,,,,10620.0,,,,4500.0,,,,44.0,,,,,,,,9400.0,,48.0,,50.0,,2232.0,,7719.0,,41.0,,,,7199.0,,42.0,,33.0,,1943.0,,,,
,,,4465.0,,33.0,,,,1419.0,,,,,,,,15933.0,,,,41.0,,42.0,,33.0,,42.0,,42.0,,7292.0,,15517.0,,46.0,,2096.0,,2479.0,,43.0,,42.0,,135.0,,35.0,,7094.0,,13363.0,,37.0,,,,,,46.0,,,,,,,,42.0,,,,,,,,36.0,,36.0,,32.0,,10807.0,,48.0,,5969.0,,,,4322.0,,36.0,,1407.0,,40.0,,,,50.0
,,,4605.0,,2849.0,,,,39.0,,,,,,,,,,,,,,43.0,,43.0,,,,14326.0,,,,37.0,,485.0,,48.0,,,,46.0,,36.0,,31.0,,1180.0,,44.0,,,,42.0,,33.0,,37.0,,,,,,,,40.0,,44.0,,,,,,,,31.0,,13447.0,,300.0,,,,44.0,,,,11395.0,,,,33.0,,,,43.0,,,,47.0
,,,3727.0,,42.0,,,,34.0,,,,,,,,,,,,,,45.0,,49.0,,,,,,13729.0,,43.0,,7426.0,,48.0,,,,34.0,,37.0,,40.0,,39.0,,48.0,,,,44.0,,,,,,,,,,16015.0,,,,46.0,,2.0,,,,,,16212.0,,104.0,,4915.0,,,,32.0,,1012.0,,,,,,6176.0,,34.0,,51.0,,,,
,,,5307.0,,42.0,,,,,,,,,,,,10847.0,,,,,,44.0,,38.0,,50.0,,47.0,,14976.0,,45.0,,48.0,,40.0,,44.0,,761.0,,41.0,,46.0,,35.0,,7461.0,,44.0,,37.0,,,,,,50.0,,,,4513.0,,,,46.0,,,,,,,,36.0,,31.0,,5714.0,,9861.0,,31.0,,35.0,,,,49.0,,1765.0,,125.0,,285.0,,,,17084.0
