0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,40.0,33.0,44.0,6.0,36.0,,47.0,,,,,,40.0,43.0,,,,,,39.0,,,3.0,9.0,,,,,39.0,3686.0,12408.0,45.0,8.0,7.0,45.0,3.0,44.0,1.0,5.0,9.0,1.0,43.0,6.0,38.0,42.0,5.0,6.0,46.0,46.0,0.0,,,6366.0,,,,,41.0,41.0,,,,3641.0,,17499.0,,,,,42.0,,,,11319.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,34.0,1461.0,41.0,44.0,44.0,,,,,,17077.0,7660.0,4650.0,14904.0,,,43.0,,,46.0,21905.0,,,,,,,,,37.0,11662.0,37.0,36.0,40.0,5.0,36.0,38.0,43.0,9.0,41.0,8.0,47.0,1.0,3.0,1.0,40.0,47.0,37.0,4.0,6.0,,,3374.0,,,,47.0,,45.0,16611.0,,,47.0,,,,14747.0,,,45.0,,21049.0,,,,,,,,,,45.0,,,,,,,,,,,,,,,,46.0,
,42.0,1433.0,39.0,5.0,3.0,,46.0,,,,8075.0,1882.0,9889.0,45.0,,,42.0,,,,,19059.0,2.0,,,,,,46.0,2449.0,12887.0,39.0,2.0,47.0,6.0,36.0,3.0,5.0,36.0,2.0,2.0,47.0,46.0,40.0,5.0,1.0,44.0,7.0,4.0,6.0,,10812.0,37.0,,,,37.0,,39.0,,,,6236.0,,,,,,,43.0,,,,,10194.0,,,,,,,,,,,,,,,,,,,,,,,,
,,1521.0,34.0,38.0,41.0,,40.0,,,,2.0,,17145.0,,,,43.0,,,41.0,,,44.0,2029.0,,,,,,39.0,3568.0,1089.0,3.0,44.0,45.0,37.0,39.0,1.0,7.0,7.0,6.0,2.0,9.0,44.0,41.0,5.0,0.0,45.0,38.0,42.0,,,5417.0,,,,40.0,43.0,39.0,,,,40.0,,,,,7548.0,,39.0,,,,17035.0,,,,,,,,47.0,,,,,,,,,,,,,,,,,
,15975.0,1150.0,37.0,6.0,44.0,,45.0,,,,12863.0,11527.0,37.0,36.0,,,,,,36.0,,,4255.0,,,,,,45.0,47.0,14605.0,40.0,4.0,5.0,41.0,4.0,45.0,1.0,43.0,2.0,39.0,7.0,3.0,0.0,46.0,8.0,46.0,4.0,47.0,0.0,,16696.0,45.0,,,,,46.0,7139.0,,,,6253.0,,17840.0,,,8804.0,,,,,,15583.0,,,,,,,,,,,,,,,,,,,,,,,,41.0,
,34.0,35.0,44.0,43.0,3.0,,,,,,15705.0,9171.0,,,,,41.0,,,38.0,,15860.0,,,,,,,43.0,36.0,7883.0,1346.0,1.0,43.0,38.0,1.0,45.0,0.0,45.0,47.0,1.0,39.0,9.0,42.0,37.0,39.0,4.0,4.0,4.0,0.0,,,47.0,,,,44.0,38.0,9906.0,,,,7176.0,,,,,9.0,,45.0,,,,11805.0,,,,,,,,,,,,,,,,,,,,,,,,,
,39.0,39.0,,0.0,0.0,,43.0,,,,,,,39.0,,,46.0,19974.0,,,,6819.0,,,,,,,,3576.0,12732.0,43.0,40.0,38.0,44.0,0.0,6.0,39.0,37.0,4.0,40.0,6.0,7.0,4.0,9.0,6.0,41.0,39.0,36.0,37.0,,19686.0,46.0,,,,47.0,41.0,46.0,,,,7398.0,,,,12304.0,,,,,,,,19440.0,,,,,,,,,,,,,,,,,,,,,,,36.0,
,39.0,42.0,36.0,8.0,40.0,,,,,,,,12960.0,43.0,,,,,,19259.0,,5255.0,,,,,,,18316.0,2718.0,15336.0,43.0,4.0,36.0,8.0,8.0,47.0,44.0,8.0,36.0,41.0,39.0,2.0,45.0,4.0,41.0,39.0,46.0,0.0,2.0,,6608.0,8151.0,,,,45.0,,18161.0,14165.0,,,40.0,,,,,15523.0,,47.0,,,,2891.0,,,,,,,,,,,,,,,,,,,,,,,,44.0,
,12084.0,1483.0,,42.0,8.0,,38.0,,,,8763.0,,12779.0,,,,,,,42.0,,10792.0,,,,,,,,36.0,9243.0,1113.0,40.0,44.0,2.0,47.0,37.0,46.0,36.0,0.0,38.0,1.0,47.0,4.0,44.0,47.0,3.0,9.0,44.0,4.0,,15699.0,45.0,,,,42.0,,37.0,,,,44.0,,6562.0,15840.0,,,,,,,,5995.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,41.0,41.0,34.0,8.0,,38.0,,,,,,,40.0,,,,,,42.0,,20107.0,,37.0,,,,,,2893.0,7675.0,1374.0,0.0,37.0,2.0,40.0,47.0,47.0,40.0,45.0,6.0,9.0,41.0,39.0,8.0,9.0,5.0,37.0,0.0,42.0,,,39.0,,,,,7.0,12703.0,17036.0,,,46.0,,19275.0,,,,,44.0,18124.0,17951.0,,,,,,,,,,,,40.0,,,,,,,,,,,,,,36.0,
,43.0,1278.0,,5.0,0.0,,,,17252.0,,9.0,,13919.0,46.0,,,38.0,,,36.0,,,,6469.0,,,,,,2606.0,14502.0,1157.0,5.0,3.0,42.0,38.0,8.0,39.0,41.0,41.0,6.0,5.0,44.0,41.0,8.0,46.0,38.0,44.0,5.0,44.0,,,39.0,,,,46.0,2.0,45.0,,,,8786.0,,17323.0,,,1158.0,,45.0,,,,3550.0,,,,,,,,,,,,,,,,,,,,,,,,,
,36.0,1167.0,37.0,8.0,34.0,,39.0,,16466.0,12872.0,,,1545.0,41.0,,,,18287.0,,18938.0,,9675.0,,,,,,,,47.0,12542.0,1595.0,36.0,45.0,47.0,38.0,9.0,46.0,40.0,5.0,41.0,42.0,0.0,8.0,5.0,40.0,47.0,37.0,9.0,37.0,,,47.0,,,,,47.0,43.0,,,,47.0,,17271.0,,14160.0,,,37.0,,,,18090.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,
,15184.0,1482.0,41.0,33.0,9.0,,39.0,,,,16805.0,7592.0,14581.0,44.0,,,45.0,,,41.0,,9307.0,,,,,,,44.0,2249.0,11284.0,36.0,0.0,38.0,2.0,44.0,2.0,1.0,39.0,47.0,0.0,1.0,2.0,41.0,6.0,46.0,4.0,46.0,2.0,42.0,,13229.0,46.0,,,,,18209.0,38.0,,,,5771.0,,,,,37.0,7753.0,37.0,,,,18660.0,,,,,,,,,,,,,,,,,,,,,,,,,
,38.0,37.0,40.0,39.0,9.0,,39.0,,,,3426.0,1187.0,8672.0,,,,47.0,,,,,,10910.0,12580.0,,,,,39.0,39.0,7277.0,2820.0,47.0,36.0,39.0,44.0,4.0,36.0,7.0,0.0,43.0,3.0,39.0,0.0,37.0,46.0,8.0,2.0,37.0,40.0,,18933.0,36.0,,,,37.0,45.0,18841.0,,,,5049.0,,16803.0,19429.0,7621.0,,,44.0,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,44.0,
,36.0,1345.0,35.0,43.0,37.0,,45.0,,,,,16217.0,,,,,,,,40.0,,,6.0,13637.0,,,,,,1720.0,5040.0,1259.0,43.0,4.0,39.0,0.0,6.0,2.0,41.0,43.0,47.0,37.0,47.0,7.0,43.0,5.0,1.0,44.0,7.0,3.0,,,7997.0,,,,,41.0,38.0,,,,42.0,,,,,1877.0,,42.0,,,,,14148.0,,,,,,,,,,,,,,,,,,,,,,,38.0,
,41.0,33.0,,9.0,0.0,,47.0,,,,,12253.0,8737.0,43.0,,,37.0,,,,,17565.0,,,,,,,39.0,36.0,6370.0,1245.0,1.0,0.0,2.0,0.0,36.0,8.0,4.0,41.0,7.0,6.0,39.0,7.0,36.0,38.0,40.0,7.0,45.0,40.0,,,1552.0,,,,,5.0,4743.0,,,,7136.0,,,,,388.0,,,,,,12684.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,40.0,,3.0,41.0,,45.0,,,,2449.0,0.0,11539.0,,,,42.0,,,36.0,,,44.0,4646.0,,,,,39.0,2168.0,6462.0,1324.0,47.0,46.0,2.0,46.0,39.0,42.0,9.0,36.0,45.0,41.0,37.0,41.0,47.0,9.0,1.0,44.0,0.0,41.0,,,41.0,,,,42.0,42.0,16973.0,,,,39.0,,,,,8369.0,,38.0,,,,11142.0,,,,,,,,,,,,,,,,,,,,,,,,42.0,
,39.0,37.0,,1.0,5.0,,43.0,,14495.0,,,,7836.0,42.0,,,41.0,,,47.0,,,44.0,8260.0,,,,,37.0,43.0,7605.0,1197.0,42.0,47.0,47.0,7.0,42.0,8.0,8.0,5.0,5.0,0.0,8.0,43.0,2.0,8.0,45.0,43.0,45.0,42.0,,19845.0,7952.0,,,,37.0,0.0,44.0,,,,6453.0,,,,,,,17648.0,,,,,8803.0,,,,,,,,,,,,,,,,,,,,,,,,
