0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
8532.0,7063.0,879.0,32.0,4.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,3.0,30.0,0.0,7.0,2.0,2.0,33.0,41.0,5.0,6.0,41.0,37.0,35.0,31.0,2.0,9.0,39.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8356.0,31.0,731.0,34.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.0,38.0,39.0,35.0,37.0,35.0,40.0,33.0,35.0,36.0,2.0,7.0,1.0,37.0,31.0,30.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9786.0,37.0,33.0,36.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,3.0,32.0,3.0,40.0,36.0,5.0,2.0,36.0,6.0,0.0,34.0,7.0,1.0,31.0,35.0,33.0,34.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9478.0,36.0,900.0,37.0,37.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,1.0,30.0,30.0,33.0,7.0,35.0,34.0,32.0,6.0,36.0,8.0,32.0,39.0,7.0,37.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7872.0,40.0,39.0,,7.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,33.0,41.0,2.0,1.0,2.0,5.0,39.0,9.0,30.0,31.0,31.0,2.0,38.0,5.0,36.0,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8774.0,37.0,31.0,,32.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,39.0,41.0,9.0,33.0,38.0,1.0,1.0,5.0,37.0,32.0,31.0,5.0,31.0,32.0,3.0,38.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,747.0,34.0,2.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,34.0,2.0,8.0,30.0,7.0,39.0,37.0,5.0,41.0,6.0,37.0,6.0,35.0,38.0,32.0,2.0,5.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9588.0,7544.0,728.0,,33.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,32.0,2.0,4.0,31.0,32.0,35.0,35.0,39.0,31.0,34.0,32.0,39.0,35.0,1.0,31.0,37.0,36.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9170.0,9175.0,834.0,40.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,31.0,41.0,33.0,36.0,35.0,39.0,38.0,39.0,2.0,2.0,37.0,41.0,5.0,33.0,37.0,32.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8862.0,8762.0,663.0,,6.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,39.0,37.0,31.0,3.0,41.0,4.0,7.0,33.0,37.0,37.0,36.0,39.0,30.0,33.0,31.0,8.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9060.0,9877.0,34.0,36.0,38.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,4.0,8.0,33.0,8.0,41.0,30.0,39.0,33.0,9.0,3.0,36.0,6.0,34.0,31.0,1.0,9.0,37.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
