0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
8246.0,5462.0,40.0,,2.0,38.0,33.0,6775.0,,,,10910.0,11960.0,11972.0,38.0,10938.0,,7507.0,11419.0,8700.0,9063.0,,,,,,,,,38.0,37.0,32.0,38.0,33.0,31.0,40.0,37.0,40.0,41.0,8.0,35.0,8.0,4.0,32.0,37.0,33.0,31.0,4.0,0.0,1.0,38.0,7371.0,6405.0,35.0,37.0,,,8824.0,31.0,4625.0,7304.0,,,35.0,9576.0,31.0,,10686.0,3.0,,5611.0,35.0,9534.0,,,,8286.0,,10185.0,10775.0,8.0,7.0,,8799.0,,,7.0,6041.0,,11135.0,,10532.0,,7555.0,5.0,,8303.0,,8234.0,9250.0
9984.0,5966.0,31.0,33.0,33.0,40.0,7685.0,6202.0,,,,,9388.0,,35.0,,,41.0,9525.0,8450.0,9096.0,,,11543.0,1.0,,,10181.0,,30.0,1456.0,39.0,1539.0,38.0,33.0,30.0,38.0,31.0,32.0,0.0,38.0,32.0,9.0,0.0,5.0,41.0,30.0,0.0,36.0,35.0,2.0,36.0,6665.0,30.0,6118.0,,,39.0,37.0,4996.0,6823.0,,,32.0,31.0,39.0,10808.0,8944.0,8588.0,,32.0,31.0,9515.0,10581.0,3.0,6.0,10635.0,10412.0,8.0,,,8136.0,,9.0,,,,6126.0,,,,11095.0,,7039.0,,11519.0,8902.0,,8458.0,
7982.0,31.0,31.0,,5.0,39.0,32.0,33.0,,,,10886.0,,11673.0,6211.0,10156.0,,7000.0,11191.0,8396.0,10936.0,,,,11273.0,,,10780.0,,41.0,41.0,37.0,1547.0,7.0,31.0,31.0,0.0,2.0,39.0,7.0,34.0,41.0,38.0,35.0,37.0,33.0,39.0,33.0,6.0,8.0,35.0,31.0,6055.0,41.0,7067.0,,,37.0,6822.0,41.0,31.0,,,31.0,7876.0,0.0,9684.0,8.0,9321.0,,6186.0,30.0,10072.0,,,11391.0,0.0,,,,9558.0,,,4.0,,,10642.0,7540.0,0.0,0.0,10238.0,7.0,,6064.0,,,8874.0,,36.0,9377.0
9302.0,5784.0,966.0,,32.0,3.0,8206.0,31.0,,,11429.0,,,,5960.0,,,6445.0,12020.0,8411.0,,9540.0,,11431.0,1.0,,,,,37.0,40.0,31.0,1542.0,38.0,33.0,5.0,32.0,38.0,3.0,37.0,33.0,36.0,3.0,41.0,0.0,38.0,35.0,8.0,33.0,30.0,8.0,31.0,39.0,37.0,7654.0,,,30.0,40.0,4253.0,35.0,,,2445.0,31.0,7826.0,,9925.0,8.0,,7676.0,7047.0,8294.0,,,,,,9838.0,11984.0,3.0,8641.0,,2.0,,,10440.0,7153.0,9881.0,,,9380.0,,8195.0,11221.0,9253.0,10927.0,,38.0,8740.0
8862.0,31.0,1015.0,35.0,4.0,3.0,8911.0,37.0,,9137.0,,11254.0,3.0,,32.0,11375.0,,39.0,10724.0,7579.0,8716.0,,,,,,,,,31.0,31.0,38.0,41.0,32.0,2.0,33.0,33.0,36.0,35.0,0.0,33.0,0.0,39.0,31.0,32.0,38.0,2.0,31.0,8.0,9.0,0.0,6343.0,35.0,30.0,7024.0,,,7877.0,40.0,32.0,7110.0,11927.0,,32.0,10188.0,9779.0,10671.0,,10949.0,,5987.0,35.0,7521.0,,,,12020.0,,11019.0,4.0,,8841.0,,,,,7.0,9530.0,,10592.0,5.0,6.0,,5822.0,,3.0,9618.0,,8755.0,
8378.0,4690.0,41.0,30.0,37.0,9.0,8161.0,,,,,,3.0,10473.0,6933.0,,,7264.0,,7348.0,10256.0,,,,,,,10639.0,,5788.0,1080.0,41.0,1408.0,32.0,35.0,1.0,39.0,41.0,6.0,9.0,36.0,6.0,32.0,9.0,7.0,40.0,4.0,7.0,34.0,33.0,40.0,5747.0,36.0,3807.0,33.0,,,7448.0,38.0,4622.0,6647.0,11830.0,,3102.0,37.0,5.0,10532.0,9799.0,,,35.0,6823.0,8121.0,,,,,,11528.0,11870.0,7.0,6.0,,1.0,,,9449.0,6925.0,,,8994.0,,,7628.0,,,,,8044.0,
9412.0,5611.0,31.0,41.0,33.0,40.0,30.0,38.0,11994.0,10151.0,,,9275.0,10695.0,35.0,11742.0,,7509.0,,8027.0,41.0,,,,,,,8489.0,,6584.0,1230.0,5021.0,1386.0,32.0,39.0,37.0,8.0,38.0,8.0,35.0,8.0,3.0,0.0,31.0,4.0,31.0,4.0,9.0,0.0,38.0,8.0,6315.0,34.0,38.0,7742.0,,,7817.0,8536.0,4753.0,6997.0,11976.0,,34.0,7572.0,10003.0,11927.0,4.0,8403.0,,6137.0,31.0,9113.0,11212.0,,2.0,11944.0,,,12001.0,2.0,,,4.0,,,0.0,6810.0,8.0,9522.0,5.0,10205.0,,10282.0,,9724.0,1.0,3.0,5875.0,9405.0
,5082.0,32.0,36.0,36.0,5.0,32.0,32.0,,9139.0,,,3.0,,41.0,10830.0,,7962.0,11488.0,7811.0,31.0,,,,,,,10291.0,9744.0,3983.0,30.0,41.0,37.0,31.0,1.0,40.0,30.0,4.0,1.0,40.0,31.0,33.0,38.0,0.0,31.0,5.0,38.0,38.0,31.0,38.0,33.0,5373.0,5836.0,4092.0,7280.0,,,8499.0,7750.0,39.0,6312.0,,,34.0,8042.0,3.0,10794.0,11744.0,6.0,,34.0,30.0,8714.0,,,,9403.0,,,,11674.0,9126.0,,11543.0,,,10157.0,6911.0,,,9926.0,5.0,,5512.0,7.0,3.0,10267.0,,34.0,10158.0
8488.0,34.0,35.0,40.0,0.0,41.0,9635.0,39.0,,,,,10755.0,11277.0,35.0,,,6469.0,,7515.0,11035.0,,,0.0,9264.0,3.0,,10477.0,,5789.0,31.0,5390.0,31.0,9.0,3.0,34.0,33.0,35.0,2.0,37.0,38.0,7.0,4.0,4.0,0.0,31.0,3.0,38.0,30.0,4.0,33.0,30.0,8213.0,30.0,40.0,,,7373.0,7547.0,7993.0,32.0,,,3809.0,37.0,1.0,,,10954.0,,6780.0,40.0,9421.0,,,8.0,9.0,,10996.0,10108.0,0.0,,,9110.0,,,,6594.0,,,,,,8960.0,,,9548.0,,32.0,9075.0
9412.0,5129.0,38.0,35.0,9.0,2.0,35.0,35.0,,,,,10371.0,,7023.0,,11240.0,7594.0,,11477.0,9103.0,,,9470.0,1.0,4.0,,11151.0,,6629.0,30.0,35.0,30.0,6.0,31.0,40.0,31.0,4.0,3.0,38.0,36.0,37.0,8.0,2.0,2.0,40.0,2.0,7.0,41.0,9.0,0.0,6449.0,34.0,30.0,41.0,,,8427.0,36.0,6115.0,41.0,,,34.0,41.0,5.0,10297.0,,,,33.0,6665.0,9702.0,10810.0,11912.0,,9497.0,,,7.0,11167.0,4.0,,5.0,,,8.0,5375.0,,,11786.0,4.0,,7538.0,9.0,10139.0,,,9675.0,
