0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,946.0,,37.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1519.0,1478.0,3.0,3.0,38.0,36.0,42.0,38.0,5.0,37.0,4.0,6.0,5.0,33.0,4.0,44.0,7.0,8.0,44.0,8.0,,,36.0,,,,34.0,,39.0,1436.0,,,,,,,1458.0,33.0,34.0,34.0,,,,1311.0,4.0,5.0,1.0,2.0,44.0,42.0,33.0,1.0,8.0,38.0,40.0,40.0,9.0,6.0,9.0,6.0,36.0,37.0,39.0,41.0,1.0,43.0,42.0,35.0,
,,992.0,,37.0,6.0,,,,,,,,,,,,,,,,,,,,,,,593.0,39.0,39.0,,1502.0,40.0,4.0,7.0,37.0,7.0,32.0,34.0,40.0,44.0,36.0,35.0,0.0,27.0,45.0,28.0,41.0,1.0,1.0,,,40.0,,,,,7.0,42.0,,,,,,,,,242.0,3.0,41.0,,,,,341.0,38.0,39.0,43.0,37.0,7.0,5.0,44.0,45.0,41.0,35.0,33.0,44.0,32.0,44.0,26.0,31.0,38.0,30.0,32.0,37.0,35.0,3.0,,
,38.0,882.0,32.0,31.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,38.0,643.0,,35.0,38.0,37.0,39.0,43.0,34.0,0.0,39.0,9.0,33.0,5.0,41.0,6.0,41.0,42.0,39.0,36.0,37.0,36.0,,,39.0,,,,37.0,2.0,35.0,,,,34.0,,,,,517.0,4.0,,6.0,,,1391.0,3.0,35.0,43.0,42.0,44.0,36.0,41.0,39.0,34.0,0.0,44.0,4.0,41.0,5.0,43.0,41.0,36.0,1.0,3.0,6.0,35.0,42.0,42.0,,
,,36.0,31.0,36.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,39.0,1433.0,37.0,4.0,34.0,35.0,3.0,37.0,0.0,44.0,34.0,39.0,3.0,39.0,41.0,37.0,4.0,35.0,2.0,3.0,8.0,,,35.0,,,,41.0,9.0,37.0,,,,1478.0,,,,,263.0,2.0,33.0,,,,,145.0,9.0,3.0,44.0,35.0,9.0,6.0,2.0,39.0,9.0,43.0,38.0,3.0,38.0,35.0,0.0,6.0,38.0,36.0,43.0,0.0,3.0,6.0,34.0,
,35.0,1063.0,,33.0,39.0,,,,,,,,,,,,,,,,,,,,,,,877.0,41.0,640.0,,41.0,4.0,42.0,41.0,44.0,5.0,35.0,6.0,40.0,38.0,0.0,36.0,2.0,41.0,37.0,40.0,2.0,9.0,41.0,,,973.0,,,,41.0,1.0,38.0,1240.0,,,,,,,,455.0,0.0,35.0,1278.0,,,,563.0,42.0,2.0,7.0,5.0,36.0,7.0,8.0,39.0,2.0,38.0,43.0,5.0,39.0,35.0,9.0,3.0,1.0,35.0,2.0,8.0,38.0,44.0,,
,38.0,41.0,31.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,304.0,44.0,39.0,,1234.0,8.0,4.0,8.0,44.0,8.0,33.0,2.0,36.0,40.0,35.0,1.0,3.0,4.0,0.0,33.0,40.0,1.0,,,,1167.0,,,,,36.0,43.0,,,,,,,,,388.0,38.0,,,,,,290.0,33.0,40.0,7.0,1.0,7.0,34.0,44.0,44.0,41.0,42.0,38.0,41.0,43.0,42.0,9.0,33.0,33.0,9.0,8.0,39.0,43.0,5.0,,
,36.0,1012.0,37.0,4.0,39.0,,,,,,,,,,,,,,,,,,,,,,1548.0,39.0,,36.0,,1220.0,6.0,17.0,9.0,8.0,14.0,17.0,18.0,5.0,13.0,17.0,12.0,8.0,5.0,19.0,18.0,6.0,16.0,,,,331.0,,,,,17.0,,,,,1466.0,,,,,282.0,11.0,,,,,,238.0,12.0,6.0,5.0,0.0,17.0,12.0,2.0,12.0,4.0,17.0,10.0,5.0,14.0,13.0,14.0,18.0,15.0,7.0,18.0,10.0,11.0,11.0,,
,30.0,36.0,41.0,36.0,39.0,,,,,,,,,,,,,,,,,,,,,,,1569.0,,37.0,1393.0,34.0,9.0,44.0,9.0,34.0,39.0,43.0,43.0,37.0,6.0,36.0,4.0,37.0,42.0,43.0,39.0,42.0,37.0,7.0,,,354.0,,,,,36.0,950.0,,,,44.0,,,,1537.0,34.0,37.0,34.0,,,,,211.0,37.0,5.0,6.0,35.0,37.0,37.0,44.0,4.0,4.0,0.0,42.0,37.0,36.0,38.0,37.0,41.0,39.0,36.0,1.0,40.0,2.0,6.0,35.0,
,,37.0,41.0,7.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,751.0,1486.0,37.0,44.0,9.0,7.0,1.0,36.0,9.0,1.0,8.0,8.0,35.0,8.0,35.0,41.0,4.0,39.0,0.0,4.0,1.0,,,469.0,,,,,35.0,34.0,,,,44.0,,,,,300.0,37.0,34.0,,,,1369.0,36.0,4.0,43.0,40.0,36.0,6.0,8.0,8.0,38.0,2.0,8.0,43.0,2.0,8.0,0.0,1.0,1.0,0.0,34.0,5.0,34.0,41.0,40.0,42.0,
,,1012.0,33.0,37.0,32.0,,,,,,,,,,,,,,,,,,,,,,,347.0,,44.0,,34.0,2.0,5.0,8.0,0.0,1.0,1.0,,,5.0,3.0,39.0,3.0,43.0,1.0,7.0,39.0,42.0,1.0,,,1183.0,,,,,7.0,,1343.0,,,40.0,,,,1710.0,36.0,9.0,,,,,,168.0,8.0,36.0,3.0,37.0,1.0,2.0,8.0,35.0,33.0,37.0,4.0,33.0,8.0,7.0,4.0,43.0,8.0,35.0,37.0,33.0,8.0,42.0,42.0,
