0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,35.0,1802.0,40.0,38.0,32.0,,,,,,,416.0,35.0,41.0,,,36.0,,,,,1690.0,0.0,40.0,44.0,38.0,2.0,34.0,33.0,44.0,,44.0,38.0,38.0,33.0,33.0,38.0,41.0,4.0,3.0,36.0,44.0,4.0,40.0,43.0,5.0,2.0,35.0,38.0,40.0,,642.0,43.0,1405.0,,,39.0,,43.0,1749.0,,,,,,,,192.0,0.0,44.0,1564.0,,,1435.0,37.0,0.0,40.0,41.0,44.0,43.0,0.0,3.0,5.0,36.0,40.0,7.0,44.0,37.0,36.0,34.0,7.0,33.0,5.0,1.0,7.0,7.0,2.0,44.0,
,,770.0,,8.0,0.0,,,,124.0,,1137.0,44.0,42.0,,,,,,,43.0,,804.0,6.0,38.0,44.0,40.0,43.0,6.0,,44.0,,,36.0,33.0,0.0,40.0,35.0,1.0,1.0,5.0,3.0,39.0,2.0,43.0,2.0,6.0,9.0,35.0,37.0,0.0,,,1107.0,,,1794.0,42.0,,33.0,477.0,,,44.0,,,,1303.0,39.0,2.0,37.0,,,,661.0,37.0,38.0,4.0,9.0,5.0,9.0,6.0,0.0,9.0,41.0,6.0,2.0,4.0,5.0,34.0,38.0,42.0,40.0,7.0,0.0,36.0,39.0,2.0,34.0,
,31.0,1187.0,36.0,9.0,0.0,,,,,,,,,43.0,,,35.0,,,,,871.0,5.0,34.0,38.0,9.0,35.0,36.0,39.0,35.0,,38.0,41.0,40.0,39.0,2.0,4.0,1.0,2.0,43.0,0.0,8.0,2.0,43.0,2.0,8.0,3.0,9.0,35.0,3.0,,705.0,603.0,,,,,33.0,,527.0,,1498.0,37.0,,,,1284.0,7.0,41.0,34.0,,,,1861.0,2.0,41.0,40.0,39.0,44.0,33.0,36.0,0.0,1.0,41.0,39.0,8.0,36.0,42.0,4.0,36.0,35.0,5.0,3.0,1.0,43.0,1.0,43.0,,
,,40.0,,31.0,8.0,,,,,,1619.0,1.0,42.0,,,,35.0,,,,1831.0,42.0,7.0,6.0,2.0,44.0,35.0,4.0,38.0,34.0,,,36.0,38.0,3.0,40.0,0.0,8.0,42.0,6.0,42.0,39.0,33.0,36.0,6.0,37.0,33.0,3.0,37.0,7.0,,1269.0,40.0,1389.0,,,,41.0,,1642.0,,1677.0,42.0,,,,1433.0,4.0,3.0,,292.0,,,512.0,4.0,34.0,35.0,40.0,35.0,7.0,40.0,41.0,5.0,40.0,44.0,8.0,43.0,44.0,42.0,6.0,33.0,6.0,1.0,38.0,2.0,38.0,33.0,38.0,
,36.0,33.0,,37.0,2.0,,,,,,1819.0,41.0,,38.0,,,,,,42.0,,1495.0,5.0,41.0,0.0,40.0,3.0,7.0,,43.0,,,37.0,5.0,8.0,5.0,44.0,44.0,44.0,35.0,33.0,39.0,5.0,5.0,3.0,38.0,4.0,37.0,5.0,40.0,,,427.0,,,,,38.0,1460.0,1022.0,,1657.0,37.0,,,,929.0,35.0,34.0,44.0,1461.0,,,707.0,34.0,0.0,37.0,41.0,38.0,41.0,40.0,38.0,3.0,38.0,44.0,4.0,39.0,1.0,9.0,8.0,34.0,1.0,3.0,40.0,43.0,41.0,4.0,35.0,
,34.0,35.0,41.0,31.0,31.0,,,,,,1199.0,35.0,,37.0,,,,,,,,1030.0,38.0,4.0,43.0,39.0,35.0,37.0,,44.0,505.0,39.0,35.0,5.0,42.0,36.0,7.0,44.0,6.0,34.0,35.0,37.0,2.0,34.0,1.0,42.0,37.0,0.0,6.0,41.0,,379.0,43.0,628.0,,,43.0,35.0,1571.0,1346.0,,,,,220.0,,1784.0,4.0,6.0,35.0,,,,640.0,38.0,41.0,6.0,36.0,0.0,38.0,34.0,34.0,40.0,38.0,44.0,43.0,3.0,0.0,43.0,7.0,6.0,4.0,7.0,38.0,36.0,3.0,42.0,34.0,
,33.0,36.0,,8.0,39.0,,,,,,1133.0,36.0,37.0,34.0,,,37.0,,,,,922.0,44.0,1.0,37.0,34.0,37.0,44.0,43.0,44.0,,34.0,5.0,7.0,8.0,40.0,38.0,0.0,6.0,39.0,7.0,35.0,1.0,37.0,42.0,1.0,7.0,44.0,36.0,0.0,,,573.0,1524.0,,,997.0,41.0,1366.0,819.0,,1653.0,35.0,,,,,90.0,39.0,,,,,971.0,36.0,9.0,40.0,3.0,7.0,6.0,1.0,43.0,42.0,4.0,40.0,9.0,36.0,38.0,39.0,40.0,2.0,38.0,0.0,2.0,1.0,39.0,43.0,,
,30.0,1327.0,,41.0,41.0,,,,,,1278.0,36.0,36.0,,,,34.0,,,38.0,,1082.0,34.0,40.0,3.0,8.0,6.0,42.0,33.0,3.0,,36.0,2.0,3.0,33.0,42.0,3.0,0.0,41.0,2.0,0.0,0.0,4.0,36.0,4.0,39.0,39.0,1.0,0.0,35.0,,62.0,40.0,813.0,,,37.0,,33.0,1237.0,,,43.0,,,,1466.0,4.0,38.0,39.0,,,,1367.0,44.0,34.0,2.0,41.0,34.0,35.0,33.0,5.0,36.0,42.0,7.0,5.0,38.0,5.0,36.0,41.0,5.0,35.0,3.0,37.0,7.0,4.0,1.0,,
,37.0,31.0,34.0,41.0,38.0,,,,759.0,,1251.0,37.0,35.0,33.0,,,,,,34.0,,755.0,8.0,1.0,34.0,9.0,2.0,8.0,43.0,929.0,,44.0,42.0,40.0,34.0,2.0,39.0,38.0,4.0,39.0,8.0,39.0,2.0,4.0,38.0,33.0,40.0,5.0,7.0,40.0,145.0,59.0,450.0,,,,,,1382.0,,,,40.0,,,,1256.0,35.0,35.0,43.0,,,,1046.0,9.0,7.0,41.0,9.0,39.0,36.0,38.0,4.0,35.0,2.0,39.0,5.0,38.0,3.0,36.0,1.0,37.0,7.0,2.0,34.0,2.0,41.0,3.0,41.0,
,31.0,1362.0,,31.0,5.0,,,,,,1187.0,41.0,39.0,,,,44.0,,,35.0,,842.0,2.0,40.0,33.0,3.0,38.0,6.0,38.0,4.0,,35.0,5.0,35.0,39.0,6.0,0.0,43.0,40.0,36.0,36.0,44.0,4.0,2.0,9.0,4.0,36.0,8.0,42.0,42.0,,,493.0,,,,,39.0,,383.0,,,,,,,1059.0,8.0,34.0,,,,,,1433.0,9.0,0.0,43.0,5.0,38.0,4.0,42.0,43.0,6.0,39.0,39.0,38.0,35.0,35.0,39.0,40.0,0.0,42.0,43.0,0.0,1.0,3.0,,
,33.0,1076.0,32.0,3.0,33.0,,,,,,,246.0,34.0,39.0,,,34.0,,,38.0,,776.0,37.0,39.0,41.0,43.0,0.0,4.0,,39.0,,39.0,42.0,7.0,34.0,40.0,4.0,6.0,2.0,0.0,2.0,34.0,41.0,7.0,38.0,44.0,4.0,7.0,4.0,41.0,,731.0,530.0,,,,,1220.0,1308.0,,,1780.0,43.0,,,,969.0,1.0,41.0,33.0,,,,673.0,1.0,34.0,8.0,33.0,33.0,0.0,6.0,37.0,39.0,44.0,41.0,42.0,9.0,43.0,35.0,2.0,38.0,36.0,36.0,40.0,1.0,33.0,5.0,,
,,35.0,41.0,39.0,6.0,,,,,,1544.0,38.0,,44.0,,,37.0,,,,,1028.0,35.0,2.0,1.0,0.0,34.0,4.0,39.0,42.0,,41.0,41.0,43.0,44.0,42.0,5.0,5.0,33.0,44.0,8.0,40.0,2.0,2.0,6.0,4.0,33.0,39.0,42.0,40.0,,480.0,39.0,1357.0,,,36.0,41.0,,88.0,,,1770.0,,,,1111.0,37.0,3.0,34.0,1113.0,,,1007.0,1.0,4.0,0.0,9.0,44.0,44.0,44.0,37.0,42.0,34.0,1.0,39.0,0.0,42.0,33.0,4.0,39.0,9.0,2.0,43.0,5.0,1.0,35.0,,
,38.0,39.0,40.0,39.0,31.0,,,,,,1540.0,9.0,,41.0,,,,,,,,837.0,37.0,1.0,7.0,0.0,38.0,35.0,40.0,37.0,,42.0,3.0,36.0,35.0,39.0,1.0,35.0,8.0,37.0,36.0,34.0,37.0,35.0,6.0,0.0,44.0,8.0,8.0,39.0,,776.0,36.0,658.0,,,35.0,92.0,1768.0,,,1761.0,42.0,,,,1716.0,4.0,37.0,,,,,1587.0,9.0,7.0,5.0,4.0,33.0,8.0,43.0,35.0,41.0,4.0,6.0,7.0,4.0,36.0,0.0,38.0,6.0,36.0,3.0,44.0,38.0,36.0,43.0,40.0,
,34.0,31.0,31.0,1.0,8.0,,,,1708.0,,1150.0,8.0,,38.0,,,39.0,,,39.0,,877.0,38.0,34.0,0.0,4.0,8.0,36.0,42.0,41.0,,34.0,37.0,4.0,6.0,4.0,44.0,7.0,39.0,40.0,37.0,42.0,9.0,2.0,3.0,3.0,7.0,8.0,39.0,43.0,,1393.0,43.0,1523.0,,1742.0,,,,1402.0,,,38.0,,,,1518.0,37.0,7.0,38.0,325.0,,,784.0,37.0,2.0,0.0,4.0,4.0,2.0,42.0,34.0,43.0,5.0,34.0,35.0,41.0,36.0,36.0,34.0,7.0,1.0,5.0,39.0,42.0,1.0,33.0,34.0,
,33.0,32.0,32.0,41.0,37.0,,,,446.0,,1283.0,1.0,,35.0,,,36.0,,,36.0,,1397.0,7.0,1.0,6.0,8.0,7.0,43.0,,44.0,,1501.0,35.0,5.0,3.0,37.0,41.0,38.0,36.0,40.0,4.0,5.0,9.0,7.0,36.0,39.0,33.0,38.0,40.0,41.0,288.0,37.0,358.0,,,,,4.0,,1773.0,,,42.0,,,,954.0,33.0,40.0,,51.0,,,1458.0,5.0,36.0,9.0,39.0,1.0,9.0,39.0,40.0,40.0,5.0,38.0,40.0,42.0,6.0,9.0,44.0,34.0,5.0,36.0,41.0,3.0,35.0,4.0,,
,,34.0,,39.0,0.0,,,,,,1246.0,41.0,,42.0,,,,,,33.0,,613.0,36.0,9.0,9.0,34.0,42.0,8.0,,9.0,,34.0,44.0,2.0,8.0,9.0,6.0,7.0,36.0,39.0,41.0,39.0,33.0,42.0,33.0,34.0,44.0,41.0,3.0,39.0,,320.0,599.0,,,,,38.0,33.0,1316.0,,,1791.0,,1754.0,,713.0,38.0,35.0,38.0,,,,1429.0,38.0,41.0,1.0,4.0,0.0,33.0,6.0,9.0,43.0,44.0,39.0,7.0,9.0,35.0,8.0,36.0,5.0,7.0,33.0,2.0,38.0,6.0,41.0,43.0,
,31.0,38.0,31.0,37.0,38.0,,,,,,1384.0,7.0,39.0,,,,38.0,,1870.0,,,481.0,5.0,44.0,36.0,6.0,2.0,8.0,39.0,40.0,,36.0,39.0,0.0,8.0,1.0,42.0,37.0,40.0,34.0,1.0,8.0,4.0,43.0,8.0,41.0,40.0,3.0,9.0,35.0,,45.0,34.0,511.0,,,,,36.0,45.0,,,,,,,1069.0,38.0,3.0,,,,,666.0,3.0,38.0,0.0,5.0,5.0,38.0,5.0,43.0,34.0,8.0,40.0,44.0,5.0,0.0,9.0,41.0,35.0,36.0,6.0,3.0,3.0,5.0,8.0,43.0,
,,38.0,38.0,1.0,7.0,,,,,5.0,1299.0,6.0,40.0,34.0,,,44.0,,,,,414.0,38.0,9.0,36.0,41.0,44.0,4.0,40.0,43.0,1056.0,1411.0,4.0,0.0,44.0,41.0,35.0,39.0,5.0,7.0,36.0,43.0,1.0,1.0,40.0,37.0,34.0,6.0,41.0,42.0,97.0,51.0,36.0,,,,,,1770.0,,,,40.0,,,,1220.0,9.0,42.0,35.0,496.0,,,962.0,1.0,9.0,36.0,42.0,9.0,4.0,38.0,4.0,4.0,4.0,38.0,35.0,38.0,41.0,33.0,35.0,2.0,40.0,3.0,35.0,1.0,41.0,34.0,39.0,
,,39.0,,1.0,9.0,,,,,,1643.0,2.0,34.0,,,,35.0,,,,,1388.0,2.0,1.0,5.0,44.0,39.0,5.0,42.0,44.0,,44.0,42.0,7.0,44.0,1.0,43.0,8.0,36.0,36.0,36.0,7.0,3.0,41.0,39.0,38.0,4.0,7.0,44.0,35.0,,1049.0,42.0,1380.0,,,34.0,,,,,,,,,,868.0,2.0,42.0,,,,,1426.0,40.0,6.0,38.0,6.0,3.0,39.0,3.0,6.0,0.0,5.0,34.0,8.0,8.0,42.0,9.0,8.0,3.0,0.0,4.0,44.0,39.0,9.0,37.0,40.0,
,,1479.0,,1.0,6.0,,,,,,1463.0,35.0,,35.0,,,,,,35.0,,1042.0,37.0,44.0,44.0,37.0,4.0,36.0,38.0,1063.0,,,36.0,34.0,0.0,35.0,8.0,6.0,44.0,35.0,4.0,0.0,42.0,4.0,39.0,1.0,6.0,40.0,2.0,35.0,,1212.0,34.0,1005.0,,,,931.0,35.0,,,1604.0,,,,,1680.0,2.0,4.0,38.0,1722.0,,,726.0,4.0,6.0,4.0,43.0,40.0,42.0,38.0,37.0,40.0,0.0,2.0,6.0,8.0,33.0,5.0,8.0,37.0,41.0,42.0,0.0,37.0,7.0,6.0,43.0,
,,1390.0,39.0,35.0,32.0,,,,,,1534.0,41.0,41.0,38.0,,,,,,,,876.0,39.0,44.0,37.0,44.0,4.0,39.0,38.0,4.0,,34.0,38.0,9.0,42.0,2.0,1.0,3.0,33.0,7.0,33.0,8.0,44.0,34.0,2.0,43.0,42.0,42.0,44.0,5.0,,995.0,37.0,1464.0,,,,33.0,40.0,1805.0,,,44.0,,,,1553.0,36.0,8.0,33.0,,,,,134.0,4.0,37.0,1.0,39.0,37.0,1.0,0.0,0.0,34.0,3.0,8.0,42.0,34.0,6.0,36.0,9.0,35.0,41.0,34.0,40.0,35.0,35.0,,
,38.0,35.0,,7.0,9.0,,,,,,1313.0,41.0,37.0,,,,41.0,,,,,1265.0,3.0,1.0,39.0,33.0,42.0,39.0,43.0,882.0,1575.0,,7.0,37.0,9.0,38.0,36.0,5.0,37.0,35.0,33.0,0.0,5.0,40.0,4.0,41.0,40.0,4.0,39.0,7.0,,1723.0,39.0,1187.0,,,39.0,38.0,44.0,,,,40.0,,1593.0,,1414.0,36.0,2.0,36.0,,,,584.0,4.0,40.0,33.0,4.0,35.0,2.0,41.0,6.0,0.0,40.0,33.0,3.0,36.0,3.0,6.0,37.0,0.0,9.0,40.0,7.0,41.0,33.0,6.0,,
,32.0,1695.0,35.0,9.0,30.0,,,,,,1393.0,38.0,40.0,,,,33.0,,1817.0,43.0,,1067.0,43.0,7.0,1.0,1.0,38.0,39.0,,4.0,,36.0,34.0,6.0,7.0,5.0,8.0,44.0,37.0,6.0,43.0,4.0,38.0,36.0,44.0,44.0,8.0,8.0,44.0,36.0,,1650.0,536.0,1480.0,,,,37.0,,42.0,,,38.0,,,,666.0,42.0,43.0,,1385.0,,,860.0,38.0,44.0,34.0,33.0,2.0,44.0,37.0,38.0,35.0,34.0,8.0,44.0,3.0,37.0,2.0,42.0,3.0,4.0,4.0,6.0,5.0,38.0,8.0,34.0,
,,40.0,,31.0,36.0,,,,,,,709.0,35.0,,,,,,,,,691.0,7.0,39.0,41.0,39.0,37.0,34.0,,41.0,,34.0,9.0,7.0,4.0,1.0,39.0,2.0,9.0,3.0,42.0,33.0,8.0,35.0,37.0,2.0,7.0,36.0,2.0,35.0,,,36.0,,,,43.0,5.0,38.0,424.0,,,35.0,,,,,79.0,1.0,41.0,,,,1160.0,38.0,42.0,38.0,3.0,42.0,6.0,3.0,36.0,6.0,44.0,34.0,4.0,44.0,43.0,7.0,40.0,1.0,7.0,9.0,37.0,4.0,44.0,39.0,39.0,
,,35.0,36.0,0.0,7.0,,,,,,1344.0,2.0,35.0,44.0,,,33.0,,,,,668.0,7.0,1.0,40.0,36.0,7.0,35.0,39.0,42.0,1160.0,1547.0,7.0,2.0,9.0,4.0,37.0,44.0,35.0,35.0,39.0,43.0,6.0,37.0,1.0,34.0,44.0,35.0,35.0,3.0,,715.0,35.0,1698.0,,,,4.0,,1960.0,,,,,,,1563.0,34.0,5.0,,1568.0,,,1110.0,44.0,2.0,8.0,38.0,36.0,41.0,2.0,33.0,43.0,36.0,36.0,39.0,34.0,35.0,43.0,34.0,1.0,35.0,40.0,9.0,40.0,35.0,4.0,,
,30.0,41.0,37.0,41.0,35.0,,,,,,1105.0,35.0,35.0,,,,36.0,,,,,151.0,33.0,9.0,34.0,44.0,42.0,7.0,39.0,37.0,,1394.0,8.0,43.0,0.0,38.0,36.0,8.0,35.0,42.0,42.0,4.0,37.0,40.0,40.0,38.0,0.0,41.0,0.0,39.0,,1158.0,424.0,,,,,,,38.0,,,,,,,1445.0,5.0,3.0,44.0,1198.0,,,335.0,6.0,33.0,37.0,35.0,39.0,37.0,41.0,38.0,37.0,35.0,37.0,34.0,41.0,3.0,37.0,3.0,9.0,41.0,9.0,33.0,40.0,1.0,39.0,36.0,
,32.0,1078.0,32.0,30.0,7.0,,,,,,1555.0,36.0,,,,,39.0,,,,,1238.0,37.0,36.0,38.0,41.0,41.0,44.0,,996.0,,1548.0,40.0,40.0,4.0,42.0,40.0,38.0,37.0,38.0,9.0,0.0,37.0,34.0,9.0,40.0,4.0,9.0,40.0,39.0,,40.0,420.0,1048.0,,,,1299.0,37.0,41.0,,,40.0,,,,991.0,43.0,39.0,38.0,,,,555.0,36.0,42.0,5.0,38.0,36.0,2.0,38.0,3.0,35.0,1.0,37.0,5.0,42.0,38.0,4.0,41.0,1.0,0.0,9.0,6.0,3.0,39.0,3.0,42.0,
