0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,39.0,,329.0,,,,,,,44.0,,,,38.0,,7.0,,,587.0,,,,35.0,,,,,33.0,,,36.0,,,,396.0,322.0,201.0,34.0,43.0,,,,33.0,,39.0,,,,,,,58.0,39.0,7.0,37.0,,7.0,,,40.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,33.0,,,,,,,,,,,,,,,,41.0,,,,,44.0,,,,44.0,35.0,,632.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,5.0,,,,,38.0,,309.0,,426.0,41.0,117.0,590.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,1.0,44.0,,,,,152.0,,,,,,,,,,,,,,,,,,,36.0,,,,,,394.0,4.0,7.0,,,,43.0,,,,,,,,,,,,41.0,5.0,43.0,,2.0,,5.0,121.0,41.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,478.0,,,33.0,353.0,8.0,,
,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,152.0,,,,42.0,,,,,38.0,,,38.0,,,,,,450.0,0.0,,42.0,,,42.0,248.0,44.0,,,,,,,41.0,,,,,,,,,,42.0,,41.0,37.0,,,,33.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,37.0,,,5.0,146.0,39.0,283.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,42.0,,,,,,,,,,,,,,,,,,,,,38.0,179.0,,289.0,,,307.0,,,43.0,465.0,77.0,279.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,569.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.0,,,,,,,,36.0,,37.0,,,,39.0,6.0,,,277.0,9.0,,,,,,,,39.0,,,,,,,,,,,,38.0,38.0,39.0,135.0,,,,,
,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,3.0,,47.0,,,,,,,638.0,,,,36.0,,6.0,,,464.0,,,,,,,,,,104.0,,40.0,,,,,497.0,357.0,39.0,3.0,,,,,,1.0,,,,,,,,42.0,34.0,40.0,47.0,,,,39.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,37.0,,,,213.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,39.0,,,,,,348.0,,,,,35.0,,5.0,,,,,,,,,,,376.0,,,7.0,1.0,,,4.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,,,,,,,,,34.0,,,,,,,,,,,,570.0,,4.0,44.0,39.0,,34.0,,,,,,,,,,,,2.0,,,,39.0,51.0,41.0,254.0,,,,,
