0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,6.0,,,4.0,,,,,,0.0,496.0,3326.0,,2100.0,,,,,,,,,,,,,,,,34.0,1173.0,4600.0,,1202.0,8.0,,,,,,,,,,,,,,,,39.0,,,,,,2187.0,2072.0,43.0,,33.0,,0.0,40.0,277.0,,2.0,,37.0,,,,,34.0,,,,36.0,,,,38.0,,798.0,0.0,,,,,
,,,,,,,,,,6.0,,,46.0,38.0,,,36.0,,,,,,,,,473.0,,2817.0,40.0,,,,,,,,,,34.0,909.0,4732.0,,1510.0,163.0,,,,231.0,,,,,,,42.0,,,,44.0,,34.0,,,,,1769.0,1434.0,,148.0,2057.0,,,,35.0,,2.0,,,,,,39.0,,,,,,,,,38.0,,710.0,,,,,2.0,
,,,,,,,,4728.0,,,,,4.0,,,,,,,,,,,,,,,,,35.0,,,,,,,,,34.0,1239.0,4248.0,,806.0,,,,38.0,,,,,,,,,,,,44.0,,,,,,,1813.0,1082.0,197.0,,33.0,,,,,,,,,9.0,,,,,,,,,,,,38.0,,314.0,0.0,,,,,
,,,,,,,,,,6.0,,,4.0,,,,,,,,,854.0,,,,,512.0,4665.0,,,,,,,,,,,34.0,1305.0,,,36.0,559.0,,,,,,,,,,,,,,,374.0,,34.0,,,,,2275.0,3238.0,835.0,38.0,2541.0,,,,,7.0,,,,318.0,,,,,,,,,,224.0,,38.0,,754.0,0.0,,,,,
,,,,,,,,,,,,,,,,,,,130.0,1508.0,,,2980.0,4.0,,,,,,,,,,,,,,,34.0,1877.0,2422.0,,36.0,,,,,,,,,,,,,,,,44.0,,,,,,,889.0,1038.0,43.0,38.0,33.0,,,,35.0,,2.0,,37.0,,,,,34.0,,,,36.0,,,,38.0,,380.0,,,,,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,970.0,38.0,33.0,,,,,,,,,,,,,34.0,1503.0,2708.0,,696.0,,,,104.0,,,,,,,,42.0,,,,44.0,,,,,,,1923.0,642.0,43.0,,33.0,,,40.0,35.0,,2.0,,37.0,,,,,,,,,,,,,38.0,,336.0,67.0,,,,,
,,,,,,,,,,6.0,,,,,,2.0,36.0,,240.0,4742.0,,40.0,,4.0,,33.0,,,,,,,,,,,,,34.0,1767.0,1.0,41.0,36.0,3045.0,,,,33.0,,,,,,,,,,,,,,,,,,2209.0,1368.0,43.0,,539.0,,,40.0,35.0,,2.0,,37.0,,,,,,,,41.0,,,,,588.0,,1040.0,0.0,,,,2.0,
,,,,,,,,,,,,,,4284.0,646.0,,36.0,,,78.0,6.0,,,,,,5.0,,,35.0,,,,,,,,,,,376.0,,36.0,,,,,33.0,,,,,,,42.0,,,,44.0,,34.0,,,,,933.0,1456.0,,126.0,33.0,,,,,,,,,9.0,,,,,,,,,,,,38.0,,600.0,0.0,,,,,
,,,,,,,,,,,,,,,2384.0,,36.0,4384.0,,,,,,,38.0,,5.0,,,35.0,,2.0,,,9.0,,,,,,1564.0,,36.0,,,,,33.0,,,,,,,,,,,,39.0,,6.0,,,,515.0,774.0,43.0,,,,,40.0,35.0,,,,,,,,,34.0,,,,36.0,,,,38.0,,248.0,0.0,,,,2.0,
,,,,,,,,,,6.0,,,,,,2.0,36.0,,0.0,1926.0,,,32.0,,,,,,,,,,,,,,,,,1723.0,,41.0,36.0,8.0,,,,,,,,35.0,,,,,,,352.0,,34.0,6.0,,,,2187.0,2292.0,43.0,38.0,671.0,,,40.0,35.0,,2.0,,,,,,,,,,41.0,,,,,38.0,,512.0,,,,,2.0,
