0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,40.0,,,,,,,,,,,,,,378.0,,,,,,0.0,,,,38.0,6.0,36.0,,,2.0,32.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,40.0,,,,,332.0,,2.0,32.0,,,,,,,,,,,,,,,,38.0,6.0,36.0,4.0,34.0,2.0,32.0,240.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,40.0,,258.0,6.0,36.0,,298.0,,,,360.0,,,38.0,,,,34.0,,,0.0,,,,38.0,6.0,36.0,4.0,34.0,2.0,32.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,206.0,40.0,,,,,,,,,,,,,,884.0,,,,,,,,40.0,,,,,4.0,,2.0,318.0,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,32.0,,,40.0,,,,,,,,,,,,,,928.0,,,,,,,,40.0,,478.0,6.0,36.0,,518.0,,,,,
,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,40.0,,,,,,,,,,,,,,796.0,,,,2.0,,,,,,,,,,,418.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,42.0,30.0,40.0,,,,,,,,,,,,,,,,,,2.0,978.0,,,,,,,564.0,4.0,672.0,2.0,32.0,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,40.0,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,30.0,40.0,,,,,,,,,,,,,,6.0,,,,,,0.0,,,,38.0,6.0,36.0,,848.0,,32.0,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,40.0,,,,,574.0,,,,,,,,,,,,,2.0,,,,,50.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,514.0,,,,,,,,,,,,,,,,,,,2.0,,,,656.0,160.0,,6.0,36.0,,386.0,,32.0,0.0,,700.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,40.0,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,4.0,,550.0,,,,
,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,4.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,522.0,,,,,,,,,,,,,,,,726.0,32.0,,,40.0,,,532.0,,486.0,,66.0,,,,,,,,36.0,,,,,,,,,,,36.0,4.0,34.0,2.0,32.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,206.0,,,38.0,,806.0,,848.0,,32.0,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,2.0,,,,964.0,,,,,4.0,,2.0,648.0,636.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,42.0,30.0,40.0,,,,,,,,,,,,,,,,,,726.0,,,,,50.0,,,,,,,,724.0,,
