0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,497.0,3.0,,,,,,,,,,,,,,,,,,39.0,4.0,44.0,,,,,1624.0,,1456.0,1168.0,1121.0,,,,37.0,,,,,,,,,,1412.0,,44.0,,,,,40.0,,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.0,,,44.0,,,0.0,,6.0,,,388.0,,,,,,,37.0,,,,,,35.0,9.0,,,,41.0,42.0,,790.0,,885.0,0.0,,,,,,,,,,,,,,,8.0,,,,,39.0,1529.0,1117.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,49.0,,,,,,,96.0,,,,46.0,,4.0,,,,,,,,,,,,1199.0,41.0,44.0,40.0,,,,1387.0,1230.0,206.0,,,,541.0,,,,,,,,,,,,41.0,527.0,,,,,54.0,923.0,8.0,,
,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.0,,1.0,,,,,,,,35.0,4.0,,,43.0,,,,,,9.0,765.0,1042.0,561.0,,41.0,,,,38.0,,,,,,,,,,1441.0,,41.0,,,,1085.0,,450.0,1656.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,47.0,,,,,,244.0,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,40.0,,8.0,,,,,,,,,,,,1.0,,1001.0,39.0,,,39.0,,428.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,584.0,,1695.0,,,1363.0,,,,,,,,3.0,,,,37.0,,2.0,,,,,,,,1368.0,,800.0,1.0,39.0,,,,,,37.0,,,,,,,,,,541.0,,41.0,692.0,692.0,1323.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,4.0,,,,,,,,,42.0,,,,0.0,,36.0,,,,,40.0,,,,,,,,,,1078.0,,37.0,,,,,,,,,,,43.0,9.0,46.0,1271.0,,,2.0,36.0,1.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,43.0,,,9.0,,826.0,,,1268.0,,,,,,,,,,,,45.0,,,,,,36.0,46.0,,,41.0,927.0,1554.0,,,45.0,,,,,,,,,,,,,,36.0,,,1104.0,1700.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,8.0,,,,39.0,,,,,39.0,,,,,,,,,46.0,113.0,39.0,,,,,,,1489.0,1284.0,9.0,,,,,,44.0,,,,,,,,1484.0,,,,8.0,,37.0,37.0,42.0,46.0,
,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,1568.0,,,,,,1.0,,,,,,,6.0,,,,,41.0,,42.0,,,,,,,,,,45.0,,39.0,,,,,38.0,,,,,,,,7.0,,,,38.0,6.0,42.0,5.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.0,1254.0,365.0,,,,,,,40.0,,1457.0,,,,,178.0,,,,,,,,41.0,,,,40.0,,46.0,9.0,,,,36.0,,,752.0,632.0,5.0,40.0,,,,,,,9.0,,,,,,,,,,,,45.0,1328.0,,,,37.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405.0,,807.0,,,,,38.0,,,2.0,,41.0,,37.0,357.0,38.0,44.0,,,2.0,1141.0,1042.0,4.0,9.0,42.0,,,,,,42.0,,,,,,,,43.0,,36.0,422.0,,1411.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.0,,,1079.0,,,1410.0,,,,,,,,,,,,,,,36.0,,,,,320.0,428.0,,,,,,,43.0,,,,,,,,,,634.0,,38.0,971.0,,1658.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,36.0,,,,,,,,,,,,,,,,,1.0,,6.0,,,,,1055.0,39.0,7.0,681.0,45.0,378.0,,,,,,,,,,,,,,1502.0,,,,9.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,3.0,,,870.0,,,505.0,,,,,,,38.0,,,,,,,,37.0,,,,6.0,1107.0,1498.0,1322.0,35.0,357.0,,,,46.0,,45.0,,,,,,,,,1.0,6.0,1180.0,1418.0,1635.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,4.0,,,,,46.0,,,7.0,,,,,,,,,,,,,,,,,,,,1132.0,,1503.0,345.0,282.0,,,,,,,,,,,,,,36.0,,,,,,,870.0,3.0,375.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,6.0,766.0,,,,3.0,,,,,,,,,,,2.0,,,,,,,,37.0,,,0.0,36.0,37.0,,,,,,,3.0,,,,,,,,,,,,,,38.0,,2.0,39.0,7.0,6.0,
,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,44.0,,43.0,,,,,,2.0,2.0,,,,2.0,,,,,1499.0,,,,,,,,,38.0,444.0,42.0,,,,,,,,,,,,1358.0,,,,,,,,,,,,6.0,,,,,39.0,,913.0,1361.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394.0,6.0,,,,,,,,,,,,,,,,,,1484.0,330.0,,,,,,,1646.0,1688.0,,,39.0,,,,,,,,,,,,,41.0,46.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649.0,,42.0,,,479.0,,,408.0,,,,,,,8.0,,,,,,,,42.0,,,,,1293.0,258.0,1413.0,1.0,35.0,,,,,,,,,,,,,,42.0,35.0,,,0.0,,1070.0,,875.0,1223.0,
,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1586.0,,,,,,,758.0,,325.0,40.0,,,,,,,39.0,,,,,,,,,,,,,322.0,,1100.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,40.0,,,,859.0,,,,,,,,,7.0,,,,,38.0,,40.0,,,,,895.0,1502.0,267.0,2.0,1194.0,,,,40.0,,36.0,,,,,,,,46.0,50.0,2.0,,,,661.0,,437.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,,,45.0,,1428.0,50.0,,,,43.0,,,,,,,,1.0,,,,36.0,,6.0,,,,,41.0,,,932.0,,382.0,,,,,,,,5.0,,,,,,,,,,,,,1472.0,831.0,,,0.0,43.0,990.0,
