0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,286.0,,,41.0,0.0,1308.0,42.0,37.0,,36.0,34.0,5.0,,,,,3.0,,,44.0,,,34.0,4.0,,41.0,,,,,,973.0,,38.0,,,,2.0,,,,,,,,,,,,41.0,,8.0,,,,,35.0,4363.0,597.0,5.0,1304.0,,,,,,,,,,,,,,,,,,,,,3460.0,,773.0,36.0,,,,,
,,,,,,,,,,43.0,,,,,,,9.0,,3672.0,2383.0,42.0,,,,,,,7.0,2.0,,,,43.0,,,,,,,42.0,5022.0,,41.0,9.0,,,445.0,,,,,,,,,,,,,7.0,,,,,,41.0,1125.0,343.0,33.0,603.0,39.0,,9.0,0.0,,82.0,,36.0,,,,2.0,,,,,,,,,42.0,,42.0,,,,,38.0,
,,,,,,,,,,,,,5631.0,9.0,,43.0,6537.0,,,8.0,43.0,,,173.0,,,,,,,,,,,,,,,,,,,40.0,5.0,,,,,,35.0,,40.0,,,,,,,,,,,,4.0,,5.0,36.0,,,5.0,9.0,,,,,,,,,,,,,,,,,33.0,34.0,,,,33.0,83.0,,,36.0,,
,,,,,,,,,,,,,7063.0,4.0,,44.0,,,1047.0,2821.0,3143.0,,,,,44.0,,,9.0,,,1.0,,,36.0,,,,,,1280.0,,862.0,,,,,1.0,,,,,,,,,34.0,,,,,,,,,,34.0,38.0,40.0,,,4.0,,,,,,,,,,,,,,,,,6.0,,,,,35.0,,0.0,8.0,,
,,,,,,,,34.0,,,,,42.0,6023.0,41.0,39.0,,,6.0,43.0,,,6.0,,36.0,,,,,,3.0,,,,,,,,,,,,398.0,,,,,6.0,,,,,,,,,44.0,,,,,,,,,34.0,37.0,233.0,0.0,33.0,,,,,,,,,,,,,34.0,,,,38.0,,,,44.0,,4449.0,2.0,,,,36.0,
,,,,,,,,37.0,,,4390.0,40.0,41.0,34.0,43.0,,,,129.0,357.0,,42.0,,,,,,,,,,,,,,,,,,,37.0,43.0,1072.0,,34.0,,,,,283.0,,0.0,,,,,40.0,,,,,,,,,40.0,43.0,,,,,,,,,,,,,,,,,,,,,552.0,43.0,,36.0,79.0,,,,1.0,,,
,,,,,,,,,,33.0,,,,5606.0,34.0,5992.0,4949.0,,35.0,37.0,,,,6.0,9.0,,,,,,105.0,,,,,,,,,,2643.0,,885.0,8.0,,,,,,,,,,,,,,,,,,,,,,42.0,36.0,,,428.0,44.0,,,,,,,,,,,,,,,,,3.0,6.0,,,,44.0,663.0,,,44.0,,
,,,,,,,,,,44.0,,,,,,,7.0,,490.0,2090.0,153.0,,261.0,,,5.0,,,1.0,,,37.0,7.0,,2.0,,,,,54.0,2407.0,,714.0,,,,,,,,,,,,,,39.0,,,,,,3.0,,36.0,,33.0,,56.0,526.0,42.0,61.0,33.0,,34.0,34.0,,6.0,,,,42.0,,,,36.0,,,,,,,2186.0,92.0,,,,,
,,,,,,,,38.0,,,,,645.0,42.0,,43.0,43.0,,,42.0,,2.0,,,,,,,,,,,,,,,3.0,,,,,,36.0,36.0,,,,,,14.0,,18.0,,,,,,,,,,,12.0,,5.0,1313.0,,,,15.0,7.0,,,,,,,,,,,,,,,,,,,,107.0,15.0,123.0,179.0,,,8.0,,
,,,,,,,,0.0,,,,,33.0,34.0,71.0,37.0,4318.0,,39.0,7.0,42.0,,40.0,6.0,,,,,,9.0,,40.0,,,42.0,,,,,,,,1016.0,479.0,,,,,,,,41.0,,,,,,,,,,,,,,37.0,33.0,,151.0,,92.0,,,,42.0,,,,,,,9.0,,,,,,,,,1985.0,2.0,,1232.0,,40.0,,,
