0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,1071.0,40.0,,,,,,,,,,,5572.0,7477.0,7352.0,,37.0,37.0,,,,,,,,,,,,,,,,41.0,,35.0,,,,1565.0,1303.0,,,43.0,,,,,,,,,,,,,6.0,,,,7.0,,,,2868.0,,2997.0,1355.0,,,,,
,,,,,,,,,,,,,7161.0,42.0,35.0,,37.0,,1324.0,5267.0,4571.0,,1170.0,,,,,,,,,,,,,,,,1894.0,3720.0,40.0,,3038.0,,,,41.0,5.0,,,,,,,,,,,,40.0,,,,,,56.0,33.0,33.0,,4841.0,,,,,,,,,8.0,,,,,,,,,,1076.0,40.0,36.0,5228.0,38.0,5312.0,,,,,
,,,,,,,,,,,1790.0,,5768.0,6298.0,44.0,,44.0,,34.0,5.0,,,,,,,4.0,,,,42.0,,,,,,,,,,,,2249.0,,,,1.0,,,,,,,,,,,,,37.0,,,,,,73.0,6032.0,8.0,,38.0,2837.0,,,,,,33.0,,,,,,,,,,,,40.0,,,1469.0,,,,,,,
,,,,,,,,8080.0,,,,,42.0,,,2.0,,,7605.0,,,2826.0,,6768.0,2202.0,40.0,,,,,,,,,,,,,481.0,40.0,,,1749.0,,,,,9.0,,,,,,,,,,,,,,,,,,58.0,44.0,1142.0,,4336.0,,,,,,,,,,,,,41.0,,,,37.0,,,,39.0,1765.0,,,,3.0,,,
,,,,,,,,5.0,,,,,35.0,,,33.0,41.0,,,,,,,3425.0,,,,,,,,,,,,,,,,6320.0,,3199.0,,,,,,,,,,,,,7.0,,,,38.0,,41.0,,,,,37.0,41.0,,,2971.0,,,,,,,,,,,,,42.0,,,,33.0,,,,42.0,,43.0,,,,,,
,,,,,,,,,,38.0,,,,,,33.0,,,,,,,,7464.0,2100.0,3439.0,,,,,,,,,,,,,41.0,,,3219.0,48.0,1028.0,,,42.0,,,,,,,,,,,,,39.0,,,,,,98.0,2737.0,,,42.0,,,,,35.0,,,41.0,,,,42.0,,,,38.0,,,,,,,,,,,,4.0,
,,,,,,,,,,,,,,,,39.0,,,7052.0,,,5.0,4541.0,,,,,38.0,,,,,0.0,,,,,,,42.0,3040.0,,35.0,,,,41.0,,,,,,,,,,,,,35.0,,,,,,53.0,2716.0,,,38.0,,,,,9.0,,,39.0,,,,33.0,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,,,,,,,7238.0,36.0,34.0,,957.0,2933.0,941.0,,,,,,,40.0,40.0,,,,0.0,,,,,,,1329.0,33.0,,1437.0,,,,,,,,,,,,41.0,,,,37.0,,39.0,8.0,,,,,,5182.0,36.0,7133.0,3.0,,,,,,,,37.0,,,,,,,,,,,,,3429.0,4219.0,3037.0,,,,,
,,,,,,,,,,,,,,,7290.0,,,,,,,,,5406.0,2005.0,6835.0,,,,,,,,,,,,,35.0,,,,39.0,3731.0,,,,,,,,,,,36.0,,,,39.0,,8.0,,,,,37.0,5215.0,37.0,,3636.0,2.0,,,,,,36.0,,,,,,,,,,,,3744.0,,39.0,36.0,4565.0,2934.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,5306.0,,3082.0,,,,,,,,,,,,,,,2157.0,44.0,,44.0,3398.0,35.0,,,5.0,,,,,,,,,,,,,0.0,,39.0,,,,,7505.0,5342.0,44.0,44.0,35.0,,,,,,,,5.0,,,,,,,,,,,35.0,,7097.0,52.0,3026.0,,,,,
