0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,31.0,9.0,30.0,802.0,38.0,,,41.0,8.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.0,,,,260.0,,33.0,,,,,,,725.0,,,,,39.0,4.0,,,,,7.0,527.0,549.0,929.0,977.0,,8.0,,30.0,,,,30.0,,,,,,,,40.0,7.0,37.0,36.0,38.0,30.0,33.0,40.0,,
,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.0,,,,,,,,,,,30.0,,,419.0,,5.0,,,,41.0,,,,8.0,981.0,995.0,806.0,2.0,1040.0,31.0,,,37.0,,559.0,,,,,,,,33.0,31.0,37.0,34.0,7.0,4.0,272.0,41.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,997.0,,241.0,9.0,39.0,,,,,,8.0,,,,,,,,,,31.0,35.0,41.0,8.0,37.0,9.0,38.0,39.0,38.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,990.0,,,,,,,842.0,,,,,,,,,,,,34.0,9.0,40.0,32.0,,1.0,31.0,7.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,201.0,,,,,,713.0,,,,,,,,5.0,,38.0,,,,,32.0,,62.0,39.0,148.0,40.0,,,,,,,,,,,,,,,,34.0,33.0,,,,35.0,32.0,,41.0,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.0,,,31.0,,,,,,,,,,,,,3.0,,,,,41.0,0.0,2.0,35.0,,,33.0,72.0,37.0,,,,,,,,,,,3.0,,,,2.0,,,,2.0,7.0,39.0,31.0,41.0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,36.0,,,826.0,,,36.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803.0,,,,432.0,,6.0,,,,,,,38.0,,,,,,4.0,4.0,5.0,40.0,,30.0,341.0,393.0,954.0,,,,,,,,,,,,,,,30.0,,,30.0,9.0,39.0,8.0,37.0,,33.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,,,,,,,34.0,,674.0,,,5.0,,6.0,8.0,34.0,31.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,31.0,,,,,,,,32.0,41.0,,,,,99.0,8.0,0.0,8.0,362.0,,,,6.0,,,,,,,,,,,2.0,9.0,38.0,3.0,965.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,113.0,,,,,,,,,,,,,,,,,31.0,31.0,,,,,,39.0,31.0,31.0,8.0,30.0,1039.0,,,,35.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,684.0,,,,30.0,102.0,,,,,,5.0,,40.0,41.0,3.0,30.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,107.0,37.0,,,213.0,31.0,32.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,45.0,,39.0,,,,350.0,198.0,32.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,,,,,,,,,38.0,41.0,,3.0,,,,,,
,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,720.0,,,,,35.0,,,,,,38.0,37.0,3.0,960.0,,,,7.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,773.0,5.0,37.0,,,,,,,31.0,,,,,,,,,,,34.0,39.0,33.0,40.0,35.0,33.0,9.0,,,
,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,1.0,,,36.0,36.0,239.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,,41.0,,1.0,,34.0,,305.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,9.0,,,,,,,,,,,,,,,,5.0,386.0,,,,,,39.0,5.0,,107.0,34.0,,,31.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,40.0,,,,,,,,,38.0,6.0,,,,,,,,657.0,3.0,,,,,,,,,,,,,,,,,,,37.0,32.0,30.0,39.0,2.0,38.0,2.0,234.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,33.0,46.0,,,,,32.0,,834.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972.0,,30.0,35.0,,,,,,,,,,,,,,,,,,,,,1.0,,40.0,,36.0,,39.0,,,2.0,,,
,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.0,,,,,,30.0,1007.0,,,,31.0,,,,31.0,7.0,264.0,529.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,846.0,41.0,0.0,35.0,31.0,,,54.0,,36.0,,,,,,,,,,,31.0,7.0,31.0,8.0,9.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,1.0,,,917.0,,122.0,154.0,3.0,4.0,164.0,,,,453.0,,,,,,,,,,,,36.0,8.0,31.0,40.0,1.0,1.0,,,
