0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,31.0,36.0,,34.0,,,38.0,,33.0,,,,,2755.0,437.0,,,,,1622.0,992.0,44.0,39.0,8.0,35.0,,37.0,40.0,956.0,44.0,,35.0,,,1934.0,1959.0,485.0,44.0,46.0,,,,,,1897.0,,41.0,,,36.0,,1705.0,38.0,8.0,85.0,42.0,39.0,,,41.0,,,,,,1849.0,,,,952.0,,1446.0,3.0,,42.0,,,37.0,6.0,41.0,,,,,,,,530.0,696.0,,,
,,,,,,,,31.0,41.0,,32.0,,34.0,8.0,,37.0,,1785.0,86.0,1458.0,167.0,139.0,,,,,1247.0,,39.0,33.0,42.0,,,7.0,,,38.0,,,,44.0,1619.0,661.0,181.0,39.0,38.0,,,,,,,,33.0,555.0,,7.0,,1538.0,39.0,39.0,9.0,,42.0,,,43.0,,,,,,,,,,,,,37.0,,9.0,,,,6.0,34.0,,38.0,,34.0,,,,1536.0,1741.0,,,
,,,,,,,,6.0,31.0,,0.0,,,32.0,,33.0,,,,2233.0,652.0,1258.0,,,,,1978.0,,,37.0,38.0,,,1933.0,,,40.0,,,38.0,34.0,,,,257.0,87.0,,,,,,1224.0,,42.0,0.0,,37.0,,9.0,38.0,43.0,893.0,,44.0,,,,,,37.0,,,,,,,379.0,,,5.0,,8.0,,,7.0,0.0,38.0,,,,,,36.0,,1674.0,,,,
,,,,535.0,,38.0,,3.0,39.0,,9.0,,41.0,7.0,,36.0,,,,2254.0,1018.0,1088.0,,,,,1670.0,,,40.0,34.0,,,,,,36.0,37.0,,43.0,42.0,1663.0,1791.0,82.0,137.0,2.0,,,,,,1837.0,,6.0,1494.0,,7.0,,,40.0,9.0,37.0,41.0,40.0,,43.0,36.0,,,42.0,,,,,,,907.0,,344.0,41.0,,9.0,,,35.0,34.0,8.0,,,,,1450.0,1540.0,1805.0,709.0,658.0,,,
,,,,,,,,0.0,3.0,,38.0,,,32.0,,,,,,,,,,,,,1087.0,,44.0,37.0,43.0,,,37.0,,,40.0,38.0,36.0,,42.0,1281.0,1744.0,271.0,1.0,40.0,,,,,,1523.0,,34.0,40.0,,9.0,,6.0,37.0,8.0,1297.0,44.0,,,33.0,40.0,1586.0,,,,,,,,,1188.0,,,36.0,,42.0,,,34.0,3.0,38.0,36.0,,,,,,,182.0,972.0,,,
,,,,,,,,1.0,8.0,,35.0,,,41.0,,,,5.0,427.0,,869.0,294.0,,,,,,,,36.0,,,,,,,41.0,,37.0,,,1064.0,1101.0,86.0,59.0,41.0,,,,,,,,0.0,,,38.0,,,35.0,0.0,2.0,34.0,,,43.0,,1194.0,1614.0,,,,,,,,1421.0,,,1.0,,37.0,,,,40.0,42.0,,,,,1664.0,40.0,,1527.0,353.0,,,
,,,,,,1462.0,,2.0,0.0,,4.0,,38.0,34.0,,,31.0,8.0,1355.0,1344.0,747.0,332.0,2732.0,,,,1955.0,,42.0,4.0,42.0,38.0,,37.0,40.0,1099.0,34.0,,,,35.0,,38.0,517.0,59.0,8.0,,,4.0,,,1886.0,,43.0,37.0,,44.0,,6.0,42.0,9.0,7.0,42.0,34.0,,36.0,,1489.0,1649.0,34.0,,,,,,,,,,2.0,,408.0,,,,38.0,44.0,38.0,43.0,,,,,,659.0,,,,
,,,,,,,,37.0,33.0,,37.0,,,30.0,,9.0,40.0,,1941.0,1828.0,793.0,186.0,,,,,1915.0,,717.0,38.0,38.0,,,36.0,,,6.0,,44.0,39.0,35.0,,1961.0,758.0,551.0,12.0,,,,,,1649.0,,43.0,10.0,,7.0,,5.0,19.0,19.0,13.0,43.0,,,,,,,,,,,,,,930.0,,,3.0,,11.0,,,,0.0,1.0,43.0,,,,,,,1426.0,1332.0,,,
,,,,,,,,40.0,6.0,,36.0,,,0.0,,6.0,33.0,,,,1818.0,634.0,,,,,1364.0,,761.0,8.0,34.0,,,36.0,,,36.0,,40.0,,41.0,,35.0,1458.0,607.0,81.0,,,,,,1654.0,,8.0,35.0,,3.0,,33.0,35.0,43.0,1495.0,37.0,39.0,,33.0,,1714.0,,34.0,,,,,,,,,,43.0,,33.0,,,,7.0,2.0,41.0,,,,,1579.0,,883.0,1498.0,,,
,,,,,,,,5.0,5.0,,2.0,,,34.0,,36.0,32.0,,,,1207.0,258.0,,,,,1339.0,,,2.0,41.0,,,,,,41.0,,,37.0,37.0,,40.0,1952.0,587.0,43.0,,,,,,,,38.0,,,40.0,,,1792.0,36.0,6.0,,43.0,,43.0,,,,34.0,,,,,,,1416.0,,,1.0,,0.0,,,44.0,38.0,3.0,,,,,872.0,42.0,,70.0,1181.0,1558.0,,
,,,,,,,,41.0,3.0,,8.0,,,31.0,33.0,36.0,35.0,,,,,,,,,,1821.0,,544.0,2.0,8.0,,,9.0,,,6.0,43.0,42.0,,,2001.0,,1676.0,414.0,39.0,,,,,,1569.0,,7.0,38.0,,34.0,,40.0,37.0,7.0,1669.0,,,,41.0,40.0,,,43.0,,,,,,,,,,6.0,,42.0,,,,39.0,42.0,44.0,,,39.0,,,,855.0,,,,
,,,,499.0,,31.0,34.0,40.0,40.0,,2.0,,,3.0,,38.0,32.0,2140.0,954.0,2742.0,697.0,53.0,,,,,1430.0,,,1.0,0.0,,,,,,2.0,,44.0,33.0,,,34.0,1942.0,985.0,45.0,,,,,,,,6.0,,,9.0,,,5.0,16.0,6.0,,,,,,,,,,,,,,,783.0,,,4.0,,14.0,,,12.0,10.0,14.0,,,,,,,,,,,,
,,,,,,,,35.0,38.0,,33.0,,,30.0,,,,,,,,2190.0,,,,,1285.0,,44.0,2.0,6.0,,,34.0,,,4.0,36.0,33.0,35.0,,1554.0,40.0,261.0,48.0,38.0,,,,,,,,43.0,,,36.0,,,,36.0,2.0,42.0,34.0,,,41.0,796.0,,,,,,,,,815.0,,,34.0,,7.0,,,,37.0,41.0,,,,,,43.0,1473.0,263.0,1346.0,1686.0,,
,,,,,,36.0,,7.0,39.0,,9.0,,34.0,1.0,,40.0,30.0,,991.0,,752.0,799.0,,,,,1408.0,,678.0,37.0,0.0,,,5.0,,,4.0,43.0,39.0,39.0,41.0,,,411.0,115.0,63.0,,,,,,,,33.0,,,33.0,,,3.0,41.0,38.0,34.0,,,38.0,43.0,1037.0,,36.0,,,,,,,931.0,,961.0,4.0,,40.0,,,5.0,43.0,8.0,37.0,,,,1639.0,36.0,,879.0,,,,
,,,,,,,,40.0,34.0,,36.0,,36.0,7.0,2.0,40.0,40.0,,,,,,,,,,1908.0,,,39.0,5.0,,,0.0,,,1.0,,,,,,37.0,1589.0,365.0,243.0,,,,,,,,4.0,,,39.0,,,34.0,8.0,36.0,34.0,,,,43.0,,,41.0,,,,,,,731.0,,,41.0,,3.0,,,,38.0,35.0,,,,,,40.0,,326.0,499.0,1415.0,,
,,,,,,,,35.0,2.0,,5.0,,38.0,4.0,,,30.0,,1779.0,1876.0,1953.0,596.0,,,,,1489.0,,391.0,41.0,7.0,44.0,,44.0,0.0,,41.0,44.0,37.0,,37.0,,37.0,596.0,35.0,6.0,,,,,,,,1.0,,,41.0,,,35.0,43.0,5.0,,,,,,,,40.0,,,,,,,1292.0,,972.0,9.0,,40.0,,,6.0,7.0,41.0,,,,,,42.0,1787.0,621.0,,,,
,,,,,,,,,,,,,37.0,,,,,,1098.0,1370.0,588.0,142.0,,,,,934.0,,164.0,34.0,36.0,,,44.0,,,36.0,,,41.0,,,41.0,,959.0,62.0,,,,,,,,34.0,,,39.0,,,,40.0,38.0,38.0,36.0,,,,1300.0,,36.0,,,,,,,1606.0,,,38.0,,1.0,,,2.0,1.0,8.0,33.0,33.0,,,,,,641.0,,,,
,,,,,,,,3.0,8.0,,1.0,,37.0,30.0,,32.0,,,1545.0,1799.0,199.0,521.0,,,,,,,,44.0,,,,,,,7.0,,,,39.0,,34.0,365.0,41.0,51.0,,,,,,1538.0,,37.0,44.0,,42.0,,1692.0,4.0,6.0,7.0,,35.0,,39.0,,,,,,,,,,,1085.0,,,34.0,,0.0,,,44.0,36.0,44.0,,,,,301.0,,,539.0,,,,
