0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,39.0,,,38.0,,,,,,,,,,,,,,,,,,,,,,,38.0,6.0,8.0,0.0,46.0,42.0,,,,,,,,,,,,,,,,,,,,,46.0,35.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,39.0,35.0,,,,,,
,,,,,,,,,,,,,,46.0,41.0,,,9.0,35.0,,,,,,,,,,,,,,,,,,,,43.0,34.0,40.0,6.0,,,,,,,,,,,,,,,,,,,,,,39.0,2.0,2.0,42.0,39.0,,12.0,36.0,,,,,,,,,,,,,,,,,37.0,,46.0,0.0,5.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,33.0,33.0,,12.0,,,,,,,,,,,,,,,,,,,,,41.0,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,46.0,3.0,3.0,34.0,,,,,,,
,,,,,,,,,,,,,41.0,,,35.0,37.0,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,,12.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,12.0,4.0,35.0,2.0,,12.0,7.0,,,,,,,,,,,,,,,,,7.0,,46.0,9.0,42.0,35.0,,,,,,
,,,,,,,,,,,,,,,,34.0,,36.0,,,,,,,,,,,,,,,,,,,,,42.0,8.0,46.0,35.0,40.0,39.0,,,,,,,,,,,,,,,,,,,,,12.0,44.0,0.0,8.0,2.0,,,,,,,,,,,,,,,,,,,34.0,44.0,7.0,7.0,,,,,,,,
,,,,,,,,,,,,,,,,46.0,,0.0,,,,,,,,,,,,,,,,,,,,,37.0,0.0,46.0,35.0,36.0,34.0,,,,,,,,,,,,,,,,,,,,34.0,5.0,35.0,5.0,46.0,,,,,,,,,,,,,,,,,,,,,46.0,9.0,46.0,,12.0,46.0,5.0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,6.0,35.0,41.0,9.0,46.0,2.0,,,,,,,,,,,,,,,,,,43.0,6.0,,12.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,12.0,,12.0,12.0,13.0,3.0,,,,
,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,46.0,34.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,23.0,6.0,46.0,3.0,0.0,38.0,,,,,,,,,,,,,,,,,,,36.0,44.0,,12.0,,12.0,14.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,1.0,,12.0,3.0,42.0,7.0,,,,,,,,,,,,,,,,,,,46.0,,4.0,40.0,7.0,,9.0,36.0,,,,,,,,,,,,,,,,,6.0,,12.0,,6.0,8.0,,,,,,
,,,,,,,,,,,,,,,,33.0,,12.0,,,,,,,,,,,,,,,,,,,,,,12.0,41.0,37.0,4.0,6.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,23.0,0.0,8.0,33.0,,12.0,0.0,,,,,,,,,,,,,,,,,,39.0,2.0,43.0,,12.0,,,,,,
,,,,,,,,,,,,,39.0,,,,,12.0,35.0,,,,,,,,,,,,,,,,,,,,38.0,41.0,38.0,,12.0,,12.0,0.0,,,,,,,,,,,,,,,,,,37.0,33.0,,12.0,2.0,40.0,,,,,,,,,,,,,,,,,,,39.0,40.0,41.0,35.0,44.0,33.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,6.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,23.0,9.0,36.0,2.0,17.0,46.0,,,,,,,,,,,,,,,,,,,12.0,,12.0,,5.0,,12.0,46.0,6.0,,
,,,,,,,,,,,,,42.0,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,12.0,5.0,,24.0,46.0,,34.0,,,,,,,,,,,,,,,,,,,12.0,0.0,36.0,7.0,23.0,34.0,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.0,46.0,3.0,,,,,
,,,,,,,,,,,,,,,46.0,44.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,12.0,9.0,,15.0,,,,,,,,,,,,,,,,,,,,,12.0,,46.0,41.0,40.0,37.0,,,,,,,,,,,,,,,,,,,43.0,3.0,46.0,0.0,46.0,,,,,,
,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,0.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,35.0,6.0,46.0,5.0,46.0,41.0,36.0,,,,,,,,,,,,,,,,,,,,43.0,,46.0,6.0,34.0,9.0,,,,
,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,,12.0,42.0,6.0,1.0,,,,,,,,,,,,,,,,,,,35.0,,12.0,2.0,23.0,7.0,5.0,,,,,,,,,,,,,,,,,,12.0,39.0,40.0,33.0,,23.0,5.0,41.0,,,
,,,,,,,,,,,,,,46.0,,12.0,46.0,39.0,,,,,,,,,,,,,,,,,,,,,,12.0,40.0,6.0,34.0,3.0,23.0,35.0,,,,,,,,,,,,,,,,,,39.0,37.0,5.0,,12.0,,,,,,,,,,,,,,,,,,,,,46.0,38.0,39.0,6.0,,12.0,,,,,
,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,12.0,41.0,1.0,,,,,,,,,,,,,,,,,,,46.0,5.0,34.0,3.0,,12.0,,12.0,2.0,,,,,,,,,,,,,,,,12.0,39.0,34.0,5.0,37.0,5.0,46.0,7.0,,,
,,,,,,,,,,,,,,,,40.0,4.0,4.0,1.0,,5.0,,,,,,,,,,,,,,,,,,40.0,9.0,46.0,4.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,37.0,2.0,43.0,43.0,6.0,46.0,5.0,,,,,,,,,,,,,,,,,,,43.0,,12.0,0.0,46.0,,,,,,
,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,41.0,41.0,4.0,2.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,46.0,3.0,,12.0,0.0,2.0,37.0,,,,,,,,,,,,,,,,,,,,2.0,,12.0,,2.0,,,,,
,,,,,,,,,,,,,12.0,5.0,40.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,46.0,6.0,,25.0,46.0,7.0,,,,,,,,,,,,,,,,,,,,33.0,7.0,5.0,23.0,2.0,46.0,4.0,,,,,,,,,,,,,,,,,,,12.0,38.0,2.0,42.0,,,,,,
,,,,,,,,,,,,,,23.0,46.0,,46.0,4.0,,,,,,,,,,,,,,,,,,,,,,34.0,5.0,46.0,,12.0,,,,,,,,,,,,,,,,,,,,,39.0,,12.0,37.0,4.0,3.0,,,,,,,,,,,,,,,,,,,12.0,43.0,35.0,33.0,44.0,8.0,,,,,
