0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,40.0,,39.0,36.0,,35.0,41.0,,,,,,,,,,,,,,,,,,,,39.0,38.0,,,,,,,,479.0,,,,,,,,,,,260.0,,,6.0,42.0,43.0,,,,,3.0,,,,,,,,,,,,,44.0,,9.0,,,,43.0,5.0,,,,,,40.0,,,,,,
,,,,,,,,4.0,6.0,,9.0,,36.0,38.0,,,40.0,,,,,,,,,,,,,,,,,,,,33.0,33.0,,,,,2.0,,,,,,,,,,,,,,,,,,269.0,42.0,,,,40.0,,,,,,,,,,,,,,43.0,,39.0,,,,4.0,5.0,37.0,,,,,44.0,,,,,,
,,,,,,,,42.0,36.0,,38.0,,41.0,41.0,,35.0,43.0,,,,,,,,,,,,,779.0,887.0,,,801.0,,,34.0,,,34.0,,,,,,,,,,,,,,,,,,,,,4.0,9.0,44.0,34.0,,41.0,,,,43.0,,,,,,,,,,280.0,,3.0,,,5.0,4.0,6.0,,34.0,,44.0,,,,,,,,
,,,,,,,,41.0,39.0,,35.0,,43.0,40.0,,37.0,0.0,,,,,,,,,,,,,655.0,,,,,,,3.0,33.0,41.0,,,,39.0,,,,,,,,,,,,,,34.0,,4.0,42.0,3.0,,,34.0,,44.0,8.0,,,,,,,,,,,,,,,,,,,8.0,34.0,40.0,,,,,,,,,,,
,,,,,,,,,,,43.0,,34.0,,,,,,,,,,,,,,,,,792.0,,,,,,,1.0,,42.0,41.0,3.0,,42.0,,,,,,,,,,,,,,,,,,,3.0,39.0,40.0,,,41.0,,,44.0,,,,,,,,,,,,,,,,,,,40.0,,,,4.0,,,,,,
,,,,,,,,,,,1.0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,0.0,43.0,,,40.0,,,,,,,,,,,,,,,,,,,,,38.0,41.0,,,42.0,9.0,,,40.0,,,,,,,,,,38.0,,39.0,,,41.0,5.0,0.0,41.0,,,,,40.0,,,,,,
,,,,,,,,509.0,519.0,,2.0,,44.0,38.0,,41.0,,,,,,,,,,,,,,649.0,,,,,,,44.0,,,41.0,,,34.0,,,932.0,,,,,,,,616.0,,,38.0,,,40.0,34.0,4.0,38.0,36.0,,34.0,,,,42.0,,,,,,,,,,387.0,,,,,,39.0,38.0,,,,,,,,,,,,
,,,,,,,,,854.0,,33.0,,42.0,,,37.0,,,,,,,,,,,,,,,,,,,,,9.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,38.0,,44.0,,,,,,,,,,,,,,,,,,,,,,758.0,33.0,35.0,43.0,,,,42.0,,,,,,
,,,,,,,,67.0,716.0,,4.0,,,1.0,,37.0,,,,,,,,,,,,,,326.0,,,,,,,36.0,,42.0,35.0,,,,,,,,,,,,,,,,,67.0,,,39.0,38.0,0.0,37.0,38.0,,42.0,,,,39.0,,,,,,,,,,,,395.0,,,,39.0,6.0,42.0,37.0,,,,39.0,,,,,,
,,,,,,,,44.0,40.0,,37.0,,,37.0,,37.0,,,,,,,,,,,,,,,,,,41.0,,,3.0,37.0,,40.0,36.0,,35.0,,,,,,,,,,,568.0,,,34.0,,359.0,37.0,41.0,4.0,,39.0,,38.0,0.0,,,39.0,,,,,,,,,,,,257.0,,,39.0,1.0,5.0,43.0,,,,,,,,,,,
,,,,,,,,,,,2.0,,,44.0,,36.0,9.0,,,,,,,,,,,,,,,,,,,,4.0,,,41.0,,,6.0,,,,,,,,,,,,,,266.0,,,,38.0,38.0,34.0,33.0,,34.0,42.0,,,39.0,,,,,,,,,,,,8.0,,,35.0,33.0,6.0,41.0,,,,,38.0,,,,,,
,,,,,,,,,764.0,,40.0,,42.0,35.0,,38.0,41.0,,,,,,,,,,,,,478.0,,,,,,,33.0,,36.0,3.0,,,,,,,,,,,,,,,,,505.0,,,42.0,41.0,5.0,41.0,38.0,,,43.0,,,39.0,,,,,,,,,,928.0,,,,,,39.0,40.0,,,,38.0,,1.0,,,,,,
,,,,,,,,,,,,,43.0,37.0,,34.0,,,,,,,,,,,,,,,,,,,,,1.0,33.0,,,,,1.0,,,,,,,,,,,,,,,,,,41.0,37.0,,,,,41.0,,,42.0,,,,,,,,,,710.0,,43.0,,,,35.0,3.0,39.0,42.0,,,,9.0,,,,,,
,,,,,,,,4.0,40.0,,3.0,,35.0,37.0,,34.0,44.0,,,,,,,,,,,,,631.0,765.0,,,,,,5.0,,,,,,3.0,,,,,,,,,,,,,,514.0,,,39.0,36.0,39.0,41.0,44.0,,,,,,,,,,,,,,,,325.0,,34.0,,,,36.0,36.0,38.0,37.0,,,,,,,,,,
,,,,,,,,,,,305.0,,35.0,,,42.0,,,,,,,,,,,,,,44.0,856.0,,,,,,36.0,,,38.0,,,9.0,,,,,,,,,,,,,,,,,,,8.0,,37.0,,,41.0,,,39.0,,,,,,,,,,,,,,,,38.0,35.0,,33.0,,,,37.0,,,,,,
