0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
8554.0,1518.0,44.0,1025.0,38.0,,39.0,,37.0,46.0,,1.0,39.0,44.0,6659.0,4310.0,28.0,36.0,2086.0,81.0,1518.0,184.0,365.0,3437.0,5014.0,5065.0,5253.0,46.0,,,4.0,41.0,,,43.0,5678.0,,32.0,6441.0,,29.0,7351.0,447.0,5599.0,46.0,28.0,44.0,4350.0,7671.0,5819.0,5928.0,6774.0,47.0,,36.0,577.0,,35.0,,42.0,38.0,46.0,5344.0,,37.0,3237.0,42.0,46.0,226.0,2769.0,36.0,5633.0,1532.0,2833.0,6055.0,4716.0,,41.0,,35.0,32.0,,32.0,,2708.0,48.0,47.0,3.0,,,2618.0,4934.0,40.0,39.0,1861.0,35.0,950.0,1074.0,2798.0,
9192.0,1676.0,37.0,5.0,33.0,,5.0,6439.0,1.0,3.0,,7.0,3302.0,,39.0,7558.0,7142.0,5877.0,5.0,86.0,1465.0,138.0,142.0,4521.0,3647.0,5874.0,3848.0,3.0,1242.0,8.0,6.0,5.0,6.0,,37.0,5.0,,44.0,6202.0,39.0,,5890.0,1.0,3963.0,611.0,41.0,5.0,3968.0,6435.0,,4055.0,3950.0,4.0,,5.0,36.0,,8.0,,8.0,39.0,6.0,3940.0,,8036.0,1587.0,6276.0,5582.0,64.0,2721.0,3901.0,3168.0,2461.0,1615.0,5514.0,6239.0,,5.0,,,46.0,,41.0,,,8.0,40.0,36.0,46.0,,3.0,5217.0,69.0,2970.0,1030.0,45.0,270.0,852.0,2245.0,4863.0
,1975.0,36.0,2.0,33.0,,4.0,,41.0,8.0,,4.0,2.0,,,7041.0,6601.0,5646.0,6.0,163.0,1265.0,142.0,157.0,4297.0,2927.0,5311.0,4181.0,37.0,46.0,47.0,4.0,43.0,3.0,,47.0,37.0,8.0,2.0,7616.0,39.0,6429.0,3019.0,7.0,3865.0,39.0,45.0,5.0,3800.0,6924.0,7296.0,4467.0,,2284.0,,2.0,6.0,,2.0,,3.0,42.0,37.0,3608.0,,46.0,1885.0,5808.0,40.0,51.0,1909.0,5642.0,3348.0,1386.0,2662.0,6731.0,4183.0,3052.0,42.0,,45.0,37.0,1.0,45.0,,38.0,1.0,39.0,8.0,,7902.0,4930.0,4144.0,206.0,36.0,1381.0,42.0,527.0,1095.0,3132.0,5960.0
,2593.0,43.0,5346.0,8.0,,38.0,,46.0,0.0,,40.0,,,,4537.0,7334.0,4917.0,83.0,100.0,2894.0,1920.0,482.0,3126.0,2966.0,5821.0,5866.0,6.0,,,3.0,44.0,,,45.0,0.0,4248.0,15.0,,,,,,,,,,,,,,16.0,9.0,,1.0,18.0,13.0,16.0,7.0,12.0,5.0,17.0,,,,,,,,,,,,,,1.0,15.0,4.0,12.0,0.0,,9.0,,4.0,3.0,,,,,,,,,,,,,,,
8400.0,9.0,6.0,0.0,3.0,,6.0,,8.0,46.0,,4.0,,41.0,,42.0,40.0,7070.0,6.0,262.0,2081.0,338.0,197.0,3577.0,4217.0,5095.0,5583.0,9.0,,43.0,31.0,32.0,1798.0,,40.0,30.0,30.0,36.0,6204.0,,5041.0,5421.0,171.0,46.0,84.0,28.0,40.0,4556.0,5588.0,7222.0,5237.0,,,,42.0,2541.0,,36.0,,43.0,2.0,41.0,3869.0,,,2206.0,41.0,4069.0,69.0,1199.0,3242.0,4450.0,3142.0,3557.0,4138.0,5260.0,,42.0,,,40.0,,43.0,,,38.0,8.0,3.0,47.0,43.0,4445.0,5671.0,231.0,37.0,2007.0,45.0,217.0,1001.0,2275.0,6595.0
,,2055.0,,,,,,7.0,46.0,,10.0,,,,,,,,,,,,,,,11.0,15.0,12.0,0.0,2.0,9.0,2.0,7086.0,3.0,4.0,19.0,8.0,,,,,,,,,,,,,,8.0,19.0,3.0,,4.0,13.0,18.0,19.0,15.0,,,,,,,,,,,,,,,,,7.0,,16.0,,,,,18.0,,,,,,,,,,,,,,,,
8906.0,502.0,1.0,66.0,61.0,,3.0,,8.0,42.0,,38.0,,,6939.0,5516.0,6195.0,5137.0,61.0,98.0,358.0,47.0,112.0,4437.0,5415.0,5678.0,4323.0,2.0,42.0,7.0,3.0,42.0,8.0,,3.0,37.0,6.0,5.0,6986.0,36.0,7572.0,3500.0,39.0,5219.0,81.0,9.0,47.0,5533.0,6830.0,5971.0,4748.0,4118.0,0.0,,45.0,6.0,,6.0,,5.0,40.0,43.0,4333.0,,,2455.0,38.0,3176.0,110.0,1048.0,7357.0,4198.0,1310.0,1855.0,7178.0,4092.0,,43.0,,4.0,43.0,,8.0,,3297.0,1.0,1.0,4.0,,7783.0,2.0,47.0,216.0,6263.0,983.0,37.0,476.0,1790.0,2263.0,7159.0
,4022.0,44.0,,,,,,4.0,39.0,,42.0,,,,6136.0,46.0,5717.0,1468.0,120.0,1362.0,149.0,89.0,5274.0,3739.0,4666.0,3667.0,45.0,1.0,38.0,41.0,39.0,5380.0,,40.0,38.0,,43.0,5859.0,7408.0,5605.0,5097.0,43.0,3609.0,106.0,46.0,36.0,4553.0,5724.0,7276.0,4611.0,3429.0,3.0,,46.0,41.0,,8.0,,46.0,7.0,5.0,4.0,,,2593.0,46.0,4685.0,83.0,890.0,3824.0,4318.0,982.0,1697.0,7572.0,4185.0,,4.0,,6.0,5.0,,42.0,,,46.0,4.0,0.0,,39.0,7.0,4759.0,221.0,4542.0,1330.0,46.0,922.0,1400.0,2827.0,7720.0
,1714.0,7.0,6.0,1.0,,35.0,,9.0,43.0,,4.0,3874.0,,,4775.0,,5502.0,10.0,57.0,2062.0,53.0,167.0,4621.0,3187.0,3574.0,3654.0,16.0,12.0,16.0,0.0,2.0,3284.0,,9.0,18.0,1451.0,4.0,6501.0,,6154.0,5596.0,10.0,3580.0,15.0,11.0,5.0,4751.0,6897.0,6946.0,4209.0,5034.0,3.0,,9.0,2486.0,,14.0,,19.0,7.0,0.0,0.0,,,3438.0,7089.0,5061.0,323.0,1885.0,3467.0,3646.0,2074.0,2566.0,6399.0,3921.0,,14.0,,4.0,8.0,,17.0,,,6.0,3.0,33.0,,33.0,5859.0,4820.0,56.0,,13.0,7.0,218.0,362.0,3311.0,7590.0
8224.0,1936.0,44.0,,36.0,,37.0,,45.0,8.0,,40.0,,,,5367.0,,6254.0,729.0,123.0,2460.0,674.0,341.0,3822.0,4401.0,4377.0,4258.0,40.0,,,5.0,9.0,,,,,,8.0,5912.0,,6569.0,2871.0,47.0,4308.0,78.0,7.0,45.0,4648.0,8612.0,44.0,5047.0,3842.0,40.0,,37.0,40.0,,37.0,,8.0,38.0,0.0,4794.0,7755.0,7532.0,304.0,47.0,5100.0,74.0,1837.0,6038.0,4238.0,1108.0,2821.0,7022.0,4581.0,,0.0,,2881.0,4.0,,2.0,,,40.0,2.0,46.0,,43.0,4526.0,3915.0,62.0,4467.0,1694.0,38.0,320.0,1885.0,5321.0,7141.0
