0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,31.0,,,7.0,,34.0,,,,,,,,,,,,,,,,,,41.0,,,6.0,35.0,,31.0,40.0,,,,,,,,,,,,,,,,8.0,,40.0,6.0,40.0,3.0,36.0,,,,,,,31.0,,,,,,,,,,1.0,,37.0,,,30.0,37.0,7.0,39.0,6.0,5.0,37.0,,37.0,,,,,,
,,,,,,,,,1073.0,,3.0,,30.0,34.0,,34.0,,,,,,,,,,,,,,78.0,33.0,,,2.0,151.0,,38.0,,9.0,,,,,,,,,,,,,,,,,,32.0,,6.0,33.0,9.0,37.0,30.0,,,,,,,31.0,,,,,,,,,,805.0,,35.0,,,,8.0,41.0,,6.0,7.0,,,,,,,,,
,,,,,,,,1065.0,,,2.0,,32.0,31.0,,,,,,,,,,,,,,,,694.0,474.0,,,5.0,,,8.0,,,32.0,,,,,,,,,,,,,,469.0,,,33.0,,,9.0,6.0,41.0,,32.0,6.0,,,,,38.0,,,,,,,,,,4.0,,40.0,,,30.0,1.0,38.0,30.0,32.0,1.0,39.0,,33.0,,,,,,
,,,,,,,,,,,41.0,,39.0,,,37.0,,,,,,,,,,,,,,38.0,301.0,,,,,,3.0,,5.0,1.0,,,,,,,,,,,,,,329.0,,,7.0,,41.0,32.0,3.0,2.0,31.0,,,,,,,41.0,,,,,,,,,,7.0,,6.0,,,8.0,5.0,3.0,41.0,6.0,38.0,30.0,,,,,,,,
,,,,,,,,,,,31.0,,37.0,34.0,,31.0,,,,,,,,,,,,,,3.0,,,,,,,0.0,,1.0,34.0,,,36.0,,,,,,,,,,,653.0,,,33.0,,32.0,7.0,3.0,40.0,,41.0,,31.0,,,,37.0,,,,,,,,,,0.0,,37.0,,,4.0,0.0,39.0,,37.0,31.0,,,32.0,,,,,,
,,,,,,,,,,,4.0,,33.0,35.0,,,32.0,,,,,,,,,,,,,30.0,0.0,,,31.0,8.0,737.0,39.0,,4.0,,,,,,,,,,,,,,,,,,0.0,,,2.0,33.0,36.0,31.0,30.0,,,,,,35.0,,,,,,,,,,201.0,,33.0,,,37.0,34.0,33.0,33.0,8.0,32.0,38.0,,,,,,,,
,,,,,,,,,,,33.0,,34.0,,,,30.0,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,447.0,,,36.0,,,1041.0,38.0,7.0,31.0,9.0,1.0,30.0,,,,,,,,,,,,,,31.0,,8.0,,,5.0,0.0,36.0,32.0,9.0,,,,,,,,,,
,,,,,,,,,,,39.0,,41.0,8.0,,,,,,,,,,,,,,,,333.0,222.0,,,33.0,283.0,,40.0,,,,,,,,,,,,,,,,,230.0,,,31.0,,6.0,34.0,33.0,3.0,,,,,,,,,,,,,,,,,,40.0,,1.0,,,39.0,5.0,34.0,,6.0,,,,,,,,,,
,,,,,,,,,,,32.0,,,7.0,,,,,,,,,,,,,,,,5.0,36.0,,,,,,39.0,36.0,34.0,37.0,,,,,,,,,,,,,,597.0,,,,,,,,7.0,30.0,35.0,33.0,31.0,,,,38.0,,,,,,,,,,142.0,,8.0,,,229.0,4.0,7.0,,33.0,6.0,38.0,,37.0,,,,,,
,,,,,,,,221.0,536.0,,38.0,,,34.0,,,,,,,,,,,,,,,,30.0,4.0,,,35.0,,,30.0,,32.0,32.0,,,32.0,,,,,,,,,,,350.0,,,9.0,,37.0,32.0,7.0,2.0,31.0,5.0,,0.0,,,,,,,,,,,,,,5.0,,36.0,,,,32.0,41.0,,1.0,39.0,,,,,,,,,
,,,,,,,,,,,9.0,,,38.0,,,,,,,,,,,,,,,,7.0,35.0,,,40.0,,,40.0,,2.0,32.0,37.0,,,,,,,,,,,,,241.0,,,3.0,,3.0,1.0,30.0,3.0,34.0,32.0,,,,,,,,,,,,,,,,8.0,,1.0,,,,33.0,1.0,31.0,5.0,3.0,35.0,,,,,,,,
,,,,,,,,,,,32.0,,32.0,3.0,,35.0,34.0,,,,,,,,,,,,,,,,,,,,,39.0,38.0,9.0,37.0,,,,,,,,,,,,,421.0,854.0,,41.0,,32.0,4.0,41.0,36.0,36.0,34.0,,,,,,,,,,,,,,,,37.0,,6.0,,,0.0,33.0,3.0,31.0,35.0,,,,,,,,,,
,,,,,,,,,,,34.0,,,35.0,,33.0,34.0,,,,,,,,,,,,,,,,,,,,0.0,,35.0,7.0,34.0,,,,,,,,,,,,,340.0,,,30.0,,,8.0,39.0,30.0,32.0,33.0,5.0,,,,,41.0,,,,,,,,,,,,,,,,,,,32.0,34.0,,,,,,,,,
,,,,,,,,40.0,53.0,,8.0,,,35.0,,35.0,,,,,,,,,,,,,,34.0,38.0,,,0.0,7.0,,39.0,34.0,7.0,34.0,32.0,,,,,,,,,,,,,,,,0.0,,,37.0,32.0,6.0,31.0,40.0,,33.0,37.0,,,,,,,,,,,,,,,39.0,,,33.0,39.0,8.0,36.0,6.0,,38.0,,,,,,,,
,,,,,,,,40.0,224.0,,1.0,,38.0,1.0,,35.0,32.0,,,,,,,,,,,,,3.0,598.0,,,,,,32.0,40.0,31.0,1.0,,,31.0,,,,,,,,,,,234.0,,,8.0,,264.0,34.0,0.0,35.0,,2.0,,,,,,34.0,,,,,,,,,,,,,,,462.0,4.0,5.0,,1.0,,,,,,,,,,
,,,,,,,,445.0,41.0,,33.0,,32.0,33.0,,37.0,,,,,,,,,,,,,,0.0,,,,,,,3.0,39.0,34.0,7.0,34.0,,,,,,,,,,,,,,,,,,,,,,34.0,34.0,0.0,,,,,,,,,,,,,,,32.0,,8.0,,,4.0,30.0,39.0,,37.0,34.0,,,,,,,,,
