0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
9764.0,44.0,3.0,36.0,3.0,38152.0,,,,,,9182.0,38404.0,13181.0,10261.0,8911.0,40.0,40.0,2831.0,126.0,5512.0,,,,34388.0,5931.0,4868.0,6.0,34.0,6.0,,,,,,,15010.0,42.0,10571.0,12751.0,9950.0,8878.0,8.0,9172.0,35.0,1.0,2.0,4993.0,8998.0,12233.0,5435.0,13160.0,5.0,,7.0,2.0,38.0,,36.0,,,10130.0,7932.0,12868.0,14916.0,40.0,10165.0,5671.0,145.0,2233.0,10586.0,5802.0,925.0,1251.0,4637.0,4838.0,44.0,35.0,33.0,,,,,,,,10838.0,1.0,13538.0,10993.0,0.0,6937.0,84.0,4308.0,738.0,36.0,398.0,536.0,3054.0,8609.0
9016.0,7.0,44.0,41.0,0.0,38.0,,,,,,10199.0,2608.0,13716.0,11752.0,7164.0,36.0,6289.0,7281.0,138.0,1650.0,149.0,160.0,8418.0,5899.0,6129.0,4412.0,35.0,33.0,4.0,,,,,,,20929.0,38.0,10904.0,12670.0,7280.0,11685.0,9.0,8524.0,3.0,41.0,0.0,5387.0,7260.0,10477.0,4098.0,8135.0,35.0,40730.0,0.0,38.0,7.0,,,,,14340.0,6.0,12681.0,11062.0,44.0,10056.0,42.0,144.0,556.0,7482.0,4748.0,1371.0,2954.0,4406.0,8061.0,1034.0,42.0,8.0,9.0,,,,,,,9807.0,35.0,15876.0,37.0,5081.0,8721.0,42.0,37.0,2032.0,34.0,468.0,1702.0,3309.0,8449.0
,,,,,,3217.0,3.0,42.0,38.0,4.0,8233.0,7656.0,10991.0,9424.0,6433.0,11449.0,9882.0,4614.0,132.0,1455.0,169.0,187.0,4406.0,3753.0,4193.0,4754.0,35.0,8.0,5.0,,,,,,,13649.0,2.0,9081.0,12651.0,7498.0,10490.0,4.0,34.0,76.0,33.0,43.0,7197.0,7520.0,12225.0,5414.0,6367.0,3.0,,2.0,43.0,40.0,,,,,8731.0,7674.0,35.0,13868.0,3.0,10634.0,7342.0,109.0,2954.0,42.0,4933.0,434.0,1444.0,5612.0,14373.0,36630.0,38.0,39.0,36.0,5.0,34.0,,,,,10172.0,9.0,14430.0,12508.0,5.0,7562.0,96.0,6136.0,423.0,35.0,454.0,860.0,2240.0,8216.0
8862.0,1.0,3.0,6.0,43.0,,8.0,,,,,9001.0,35.0,13380.0,8029.0,10833.0,8867.0,42.0,38.0,120.0,974.0,92.0,170.0,7853.0,3505.0,6514.0,4535.0,36.0,43.0,2.0,,,,,,,14694.0,0.0,9688.0,13755.0,9979.0,8352.0,8.0,39.0,52.0,4.0,33.0,6206.0,7758.0,13673.0,4715.0,4515.0,44.0,8.0,,,4.0,,,,,8853.0,7077.0,12536.0,42.0,9.0,8761.0,8345.0,126.0,2831.0,5504.0,5477.0,667.0,2734.0,6142.0,6972.0,39469.0,33.0,33.0,4.0,,9.0,,,,,8942.0,43.0,14069.0,9277.0,4.0,10673.0,85.0,6490.0,751.0,0.0,402.0,919.0,3193.0,8044.0
9500.0,37.0,41.0,2.0,4.0,7.0,,,,,,17127.0,5.0,11303.0,10523.0,7435.0,9310.0,8460.0,7211.0,161.0,744.0,163.0,173.0,5016.0,3304.0,6171.0,4510.0,42.0,42.0,,,,,,,,7544.0,,10660.0,16393.0,9642.0,8901.0,7.0,6259.0,76.0,39.0,36.0,6212.0,6640.0,12473.0,4337.0,5431.0,37.0,,40.0,44.0,1.0,,,,,8802.0,7.0,14217.0,10415.0,42.0,9333.0,7797.0,124.0,1936.0,6647.0,3846.0,1090.0,3014.0,6092.0,4726.0,37.0,44.0,9.0,39.0,,,,,,,10204.0,8.0,21767.0,9852.0,40.0,9047.0,67.0,36.0,471.0,0.0,355.0,447.0,2926.0,8486.0
8884.0,7.0,5.0,8.0,38.0,43.0,,,,,,9403.0,20460.0,12590.0,12795.0,8357.0,35.0,7748.0,4.0,103.0,946.0,131.0,144.0,4256.0,3293.0,7038.0,4616.0,33.0,5.0,37.0,40.0,,,,,,11740.0,35.0,9551.0,40.0,10630.0,5971.0,34.0,5513.0,9.0,36.0,6.0,5034.0,9003.0,13109.0,6067.0,4273.0,38.0,1412.0,,,38.0,,,,,9566.0,4290.0,12728.0,9061.0,5.0,5043.0,9320.0,151.0,1039.0,9345.0,4167.0,725.0,2779.0,6436.0,4408.0,7.0,1.0,34.0,37.0,,,,,,,10411.0,4.0,18001.0,10574.0,10596.0,7047.0,79.0,38.0,662.0,8.0,424.0,478.0,3604.0,7809.0
8444.0,4.0,36.0,1.0,34.0,2.0,,,,,,9776.0,47294.0,12593.0,10855.0,9192.0,10743.0,7550.0,5.0,158.0,2335.0,147.0,116.0,5966.0,4470.0,6515.0,4605.0,8.0,8.0,41.0,,,,,,,12138.0,5.0,10066.0,11846.0,10589.0,5515.0,38.0,5606.0,62.0,33.0,4.0,5304.0,7661.0,11077.0,4546.0,37075.0,37.0,20052.0,4.0,36.0,2.0,,,,,10385.0,7.0,12771.0,11650.0,7.0,43.0,6835.0,182.0,2775.0,9149.0,7042.0,362.0,4905.0,5559.0,4809.0,38.0,0.0,3.0,8.0,,8.0,,,,,9378.0,33.0,12784.0,38.0,6.0,8934.0,73.0,7254.0,689.0,9.0,348.0,531.0,1674.0,10560.0
8818.0,9.0,36.0,3.0,43.0,2162.0,,,,,,9593.0,0.0,13741.0,9073.0,9521.0,34.0,9107.0,7.0,157.0,860.0,169.0,140.0,3506.0,4245.0,6846.0,4668.0,35.0,38.0,34.0,2.0,,,1.0,,,25581.0,33.0,9592.0,10974.0,9906.0,9638.0,33.0,8532.0,41.0,2.0,38.0,5364.0,6236.0,9131.0,4501.0,11327.0,41.0,53314.0,38.0,40.0,3.0,,,,,12380.0,44.0,11978.0,11942.0,3.0,40.0,40.0,128.0,2513.0,8889.0,5778.0,1932.0,3869.0,6691.0,5266.0,1787.0,35.0,35.0,1.0,,,,,,,9259.0,6216.0,13100.0,10021.0,6489.0,8095.0,58.0,7134.0,616.0,35.0,422.0,1016.0,2286.0,6901.0
7828.0,36.0,3.0,40.0,9.0,38.0,,,,,,9007.0,,13104.0,7704.0,10076.0,8673.0,7682.0,5051.0,132.0,399.0,136.0,166.0,3725.0,2980.0,6581.0,4593.0,2.0,8.0,6.0,,,,,,,10276.0,,9924.0,11530.0,8922.0,5600.0,38.0,10025.0,36.0,6.0,8.0,6132.0,10626.0,5005.0,6323.0,5783.0,38.0,30472.0,37.0,,36.0,,,,,11578.0,3.0,13408.0,11004.0,3.0,42.0,33.0,164.0,1908.0,5136.0,3627.0,778.0,3346.0,7547.0,4872.0,7.0,4.0,33.0,34.0,,2.0,,,,,7692.0,33589.0,13091.0,10232.0,4.0,8546.0,5.0,3698.0,340.0,9.0,386.0,639.0,3028.0,9386.0
8972.0,5.0,41.0,8.0,,8.0,,,,,,8455.0,45616.0,43.0,9015.0,6887.0,9673.0,7970.0,5736.0,161.0,1578.0,127.0,158.0,6326.0,2855.0,7118.0,4612.0,2.0,44.0,36.0,,,,,,,,34.0,15137.0,37.0,12211.0,8913.0,2.0,6502.0,90.0,5.0,37.0,5833.0,8210.0,11780.0,6725.0,4745.0,34.0,28972.0,40.0,37.0,35.0,,,,,11376.0,1.0,13721.0,11369.0,34.0,44.0,7178.0,139.0,1321.0,33.0,5490.0,836.0,3182.0,6337.0,5332.0,35.0,0.0,40.0,37.0,,,,,,,9825.0,5.0,16748.0,7421.0,7.0,36.0,42.0,7873.0,382.0,39.0,293.0,2403.0,3921.0,7629.0
