0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4726.0,5.0,6.0,33.0,32.0,9.0,39.0,37.0,31.0,40.0,32.0,34.0,0.0,36.0,2783.0,173.0,41.0,38.0,100.0,79.0,266.0,38.0,48.0,2286.0,2157.0,4799.0,1200.0,30.0,5.0,3.0,2.0,34.0,30.0,36.0,43.0,4.0,41.0,41.0,,29.0,32.0,61.0,35.0,141.0,2.0,41.0,33.0,2249.0,5911.0,33.0,5062.0,666.0,40.0,34.0,41.0,41.0,9.0,35.0,44.0,39.0,43.0,37.0,43.0,34.0,3566.0,37.0,2841.0,190.0,36.0,598.0,39.0,2045.0,804.0,2147.0,3594.0,1538.0,1.0,38.0,34.0,38.0,5.0,38.0,2.0,40.0,4.0,40.0,36.0,39.0,44.0,36.0,3.0,689.0,39.0,32.0,242.0,43.0,128.0,244.0,1515.0,5382.0
4682.0,34.0,36.0,37.0,4.0,4.0,3.0,4.0,5.0,37.0,33.0,38.0,4.0,44.0,33.0,3051.0,4204.0,43.0,34.0,5.0,173.0,35.0,55.0,3208.0,1317.0,3976.0,1126.0,7.0,2.0,9.0,42.0,36.0,3.0,33.0,37.0,41.0,2.0,6.0,7546.0,,45.0,300.0,2.0,66.0,46.0,0.0,4.0,2266.0,5240.0,39.0,5344.0,632.0,4.0,4.0,39.0,7.0,41.0,43.0,37.0,8.0,42.0,7.0,38.0,39.0,37.0,286.0,39.0,104.0,2.0,827.0,782.0,1977.0,965.0,2152.0,4656.0,1386.0,38.0,41.0,35.0,34.0,42.0,39.0,41.0,2.0,7.0,40.0,1.0,3.0,43.0,37.0,1.0,1078.0,9.0,59.0,179.0,8.0,121.0,605.0,2918.0,4727.0
4330.0,37.0,5.0,9.0,31.0,38.0,5.0,9.0,43.0,41.0,7.0,42.0,2.0,40.0,1214.0,190.0,1739.0,798.0,6.0,46.0,330.0,46.0,9.0,3073.0,2308.0,4959.0,1085.0,44.0,33.0,18.0,0.0,10.0,16.0,7.0,4.0,9.0,16.0,2.0,,6866.0,35.0,190.0,33.0,227.0,7.0,42.0,39.0,1831.0,5109.0,1889.0,4486.0,693.0,10.0,12.0,18.0,19.0,7.0,4.0,15.0,0.0,15.0,3.0,8.0,,4492.0,43.0,1677.0,177.0,12.0,468.0,550.0,1751.0,461.0,626.0,3982.0,1563.0,9.0,0.0,10.0,8.0,15.0,43.0,5.0,13.0,7.0,11.0,9.0,11.0,,4491.0,35.0,1365.0,45.0,42.0,99.0,39.0,200.0,313.0,1777.0,6884.0
4440.0,6.0,1.0,31.0,5.0,2.0,5.0,40.0,6.0,0.0,41.0,6.0,41.0,39.0,2818.0,92.0,1678.0,1361.0,8.0,46.0,358.0,65.0,42.0,2664.0,2672.0,4917.0,1054.0,38.0,34.0,39.0,5.0,42.0,35.0,39.0,37.0,42.0,40.0,5.0,,44.0,2534.0,1354.0,39.0,147.0,36.0,43.0,38.0,1840.0,5220.0,39.0,6734.0,606.0,0.0,5.0,3.0,34.0,42.0,41.0,39.0,6.0,7.0,9.0,44.0,,4952.0,38.0,1636.0,38.0,66.0,135.0,41.0,1904.0,506.0,1617.0,4352.0,1654.0,44.0,4.0,36.0,5.0,1.0,7.0,4.0,3.0,8.0,44.0,2.0,38.0,42.0,3462.0,61.0,1637.0,49.0,178.0,40.0,39.0,84.0,111.0,1244.0,7556.0
4396.0,39.0,4.0,36.0,34.0,6.0,1.0,8.0,37.0,6.0,37.0,43.0,9.0,6362.0,42.0,1517.0,2444.0,178.0,44.0,38.0,221.0,36.0,35.0,2963.0,2479.0,5898.0,1020.0,9.0,38.0,1.0,38.0,34.0,4.0,9.0,43.0,38.0,5.0,38.0,33.0,6752.0,37.0,353.0,42.0,111.0,7.0,42.0,3.0,2247.0,,1479.0,3803.0,461.0,42.0,37.0,4.0,1.0,42.0,43.0,6.0,9.0,0.0,36.0,1.0,5464.0,42.0,6.0,2695.0,749.0,38.0,378.0,363.0,1743.0,670.0,1223.0,3256.0,1433.0,8.0,36.0,2.0,5.0,42.0,6.0,37.0,2.0,5.0,6.0,5.0,6.0,5506.0,4610.0,1.0,811.0,34.0,36.0,166.0,35.0,178.0,251.0,1943.0,5846.0
4440.0,4.0,3.0,4.0,38.0,40.0,0.0,39.0,44.0,1.0,39.0,34.0,2.0,43.0,39.0,1110.0,39.0,838.0,37.0,86.0,502.0,48.0,37.0,2329.0,2480.0,4659.0,1273.0,2.0,35.0,35.0,42.0,3.0,33.0,39.0,2.0,45.0,4.0,6.0,,7343.0,35.0,39.0,0.0,43.0,4.0,45.0,1.0,2291.0,6816.0,2677.0,4920.0,746.0,35.0,39.0,46.0,8.0,38.0,6.0,32.0,35.0,43.0,2.0,6.0,41.0,34.0,40.0,33.0,45.0,109.0,817.0,338.0,1745.0,281.0,1083.0,4238.0,1487.0,4.0,7.0,5.0,38.0,40.0,43.0,8.0,39.0,35.0,34.0,1.0,41.0,39.0,3803.0,40.0,34.0,46.0,304.0,264.0,5.0,162.0,587.0,1352.0,6650.0
4154.0,37.0,37.0,3.0,5.0,40.0,41.0,44.0,35.0,9.0,39.0,2.0,41.0,32.0,36.0,945.0,2070.0,857.0,4.0,40.0,313.0,6.0,46.0,2826.0,2222.0,4418.0,1341.0,5.0,45.0,30.0,2.0,35.0,43.0,44.0,3.0,44.0,4.0,38.0,,36.0,39.0,235.0,2.0,144.0,42.0,38.0,35.0,2645.0,5336.0,1593.0,5673.0,634.0,43.0,36.0,4.0,42.0,2.0,40.0,42.0,43.0,37.0,2.0,1.0,43.0,6309.0,72.0,45.0,726.0,57.0,456.0,397.0,1787.0,282.0,739.0,4064.0,1596.0,36.0,2.0,37.0,38.0,40.0,31.0,42.0,42.0,37.0,40.0,30.0,30.0,37.0,43.0,36.0,252.0,42.0,265.0,392.0,40.0,131.0,756.0,1414.0,6018.0
4484.0,3.0,1.0,4.0,4.0,34.0,8.0,36.0,35.0,4.0,34.0,1.0,44.0,33.0,34.0,502.0,3900.0,977.0,56.0,40.0,480.0,49.0,35.0,1731.0,2545.0,4932.0,1416.0,4.0,3.0,35.0,33.0,34.0,40.0,40.0,7.0,41.0,8.0,39.0,,7550.0,931.0,639.0,36.0,74.0,2.0,4.0,0.0,1991.0,5766.0,36.0,4734.0,660.0,33.0,34.0,38.0,5.0,34.0,37.0,6.0,36.0,45.0,28.0,26.0,39.0,37.0,30.0,33.0,34.0,74.0,290.0,41.0,1431.0,809.0,1533.0,4564.0,1824.0,0.0,7.0,38.0,5.0,7.0,40.0,4.0,4.0,5.0,40.0,37.0,42.0,44.0,35.0,1.0,34.0,47.0,25.0,217.0,31.0,196.0,426.0,2262.0,6564.0
4440.0,37.0,5.0,34.0,39.0,39.0,9.0,8.0,0.0,36.0,34.0,9.0,33.0,38.0,2180.0,312.0,39.0,362.0,9.0,36.0,243.0,43.0,57.0,4092.0,3093.0,4724.0,1031.0,5.0,4.0,35.0,37.0,35.0,1.0,5.0,37.0,8.0,41.0,38.0,,,2624.0,38.0,36.0,106.0,4.0,35.0,4.0,1974.0,4449.0,883.0,5864.0,682.0,33.0,33.0,38.0,7.0,34.0,3.0,2.0,1.0,4.0,8.0,37.0,34.0,4912.0,46.0,39.0,515.0,46.0,857.0,419.0,1558.0,661.0,610.0,4232.0,1321.0,4.0,3.0,35.0,38.0,9.0,43.0,43.0,4.0,2.0,38.0,2.0,43.0,39.0,3477.0,7.0,453.0,36.0,160.0,131.0,4.0,102.0,178.0,1198.0,5538.0
4704.0,5.0,5.0,39.0,33.0,0.0,2.0,41.0,40.0,43.0,2.0,35.0,37.0,,42.0,473.0,2423.0,1213.0,7.0,42.0,279.0,50.0,71.0,3459.0,2173.0,4202.0,1219.0,6.0,5.0,1.0,1.0,3.0,34.0,0.0,40.0,43.0,43.0,39.0,,44.0,2073.0,753.0,43.0,105.0,37.0,0.0,5.0,2044.0,5175.0,40.0,3872.0,739.0,5.0,0.0,4.0,38.0,40.0,35.0,42.0,41.0,7.0,3.0,9.0,40.0,4493.0,4.0,44.0,278.0,42.0,352.0,397.0,1835.0,240.0,1079.0,5565.0,1528.0,39.0,33.0,44.0,43.0,0.0,44.0,36.0,8.0,0.0,33.0,43.0,44.0,7638.0,41.0,8.0,1393.0,5.0,43.0,221.0,5.0,143.0,186.0,1428.0,6292.0
