0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,1712.0,33.0,8.0,3.0,37.0,4.0,39.0,42.0,44.0,9.0,2.0,33.0,,6.0,35.0,,1143.0,1150.0,1393.0,573.0,138.0,,,,1103.0,35.0,5.0,1.0,42.0,8.0,6.0,40.0,4.0,35.0,6.0,8.0,,37.0,41.0,,1476.0,383.0,93.0,92.0,0.0,,,41.0,,917.0,40.0,7.0,43.0,41.0,1.0,44.0,6.0,1.0,7.0,37.0,36.0,34.0,,,,,1606.0,711.0,1367.0,,1607.0,,,,115.0,3.0,43.0,35.0,2.0,44.0,35.0,6.0,35.0,36.0,4.0,33.0,,,,,872.0,1060.0,784.0,8.0,504.0,1022.0,,
,,424.0,8.0,31.0,7.0,7.0,44.0,42.0,5.0,39.0,1.0,42.0,,34.0,7.0,,,1.0,670.0,1231.0,158.0,421.0,,,,1313.0,34.0,33.0,40.0,9.0,6.0,42.0,7.0,3.0,36.0,39.0,43.0,,36.0,,,,41.0,71.0,86.0,37.0,,,,,697.0,43.0,37.0,0.0,33.0,2.0,4.0,35.0,36.0,42.0,40.0,34.0,,34.0,,38.0,,874.0,1009.0,1282.0,,1601.0,,,,138.0,35.0,1.0,41.0,0.0,3.0,41.0,7.0,5.0,35.0,40.0,5.0,,35.0,,,,863.0,1066.0,402.0,1060.0,1255.0,,
,,414.0,6.0,2.0,34.0,33.0,41.0,8.0,2.0,41.0,41.0,34.0,,36.0,,43.0,983.0,1033.0,256.0,,565.0,231.0,,,,1123.0,36.0,4.0,43.0,44.0,38.0,8.0,8.0,1.0,40.0,36.0,6.0,,38.0,,,,40.0,328.0,75.0,97.0,,,,,530.0,5.0,5.0,43.0,4.0,34.0,33.0,3.0,44.0,9.0,43.0,42.0,34.0,39.0,,42.0,35.0,309.0,1037.0,1409.0,,,,,1367.0,40.0,33.0,4.0,42.0,38.0,2.0,41.0,34.0,0.0,39.0,5.0,34.0,37.0,,,35.0,1154.0,510.0,672.0,43.0,662.0,,,
,,151.0,30.0,41.0,0.0,37.0,4.0,33.0,2.0,44.0,0.0,6.0,,43.0,,,,746.0,206.0,1517.0,7.0,357.0,,,,1287.0,8.0,9.0,18.0,9.0,18.0,4.0,10.0,6.0,6.0,7.0,10.0,,,,,969.0,156.0,130.0,19.0,12.0,,,12.0,,858.0,4.0,12.0,17.0,0.0,6.0,11.0,16.0,19.0,18.0,6.0,16.0,,,,,,1304.0,,,,,,,,95.0,15.0,3.0,1.0,14.0,1.0,10.0,43.0,6.0,6.0,13.0,2.0,,,,,983.0,1528.0,,350.0,798.0,768.0,,
,,186.0,38.0,31.0,2.0,1.0,9.0,34.0,3.0,6.0,35.0,1.0,35.0,,,33.0,,3.0,337.0,406.0,604.0,196.0,,,,1068.0,33.0,6.0,6.0,36.0,5.0,39.0,35.0,6.0,40.0,9.0,40.0,,,1.0,,,43.0,399.0,123.0,7.0,,,,,676.0,4.0,3.0,0.0,1.0,7.0,43.0,36.0,41.0,39.0,42.0,5.0,36.0,40.0,,43.0,,1412.0,1545.0,40.0,,,,,1392.0,34.0,34.0,3.0,43.0,39.0,8.0,43.0,40.0,41.0,42.0,3.0,9.0,,,,,591.0,,909.0,3.0,367.0,435.0,,
,,270.0,41.0,41.0,5.0,32.0,38.0,3.0,40.0,38.0,44.0,38.0,,42.0,9.0,,38.0,2.0,915.0,,1639.0,655.0,,,,1226.0,42.0,9.0,9.0,8.0,9.0,44.0,34.0,41.0,33.0,35.0,4.0,,40.0,36.0,,799.0,82.0,51.0,7.0,43.0,,,,,974.0,34.0,42.0,4.0,36.0,37.0,37.0,9.0,8.0,5.0,2.0,44.0,,,,,1524.0,309.0,1265.0,40.0,,,,,,210.0,8.0,42.0,6.0,42.0,5.0,37.0,41.0,1.0,8.0,4.0,9.0,,34.0,,1124.0,902.0,120.0,423.0,0.0,229.0,,,
,,102.0,39.0,1.0,37.0,33.0,0.0,6.0,37.0,8.0,6.0,9.0,42.0,,,41.0,,1133.0,645.0,1232.0,552.0,106.0,,,,1290.0,3.0,40.0,35.0,34.0,9.0,8.0,2.0,40.0,9.0,8.0,33.0,,,,44.0,,44.0,198.0,148.0,37.0,,,,,655.0,40.0,0.0,0.0,4.0,42.0,38.0,35.0,35.0,0.0,42.0,4.0,,43.0,,43.0,1461.0,183.0,1306.0,34.0,,1596.0,,,1628.0,0.0,9.0,41.0,44.0,39.0,43.0,44.0,44.0,37.0,8.0,6.0,43.0,,,,,470.0,35.0,1024.0,151.0,530.0,867.0,,
,,340.0,40.0,0.0,8.0,39.0,2.0,39.0,0.0,3.0,33.0,38.0,,35.0,,40.0,,855.0,768.0,1157.0,1064.0,657.0,,,,1098.0,9.0,36.0,2.0,33.0,40.0,42.0,0.0,38.0,41.0,43.0,2.0,,,38.0,,555.0,557.0,122.0,38.0,58.0,,,,,662.0,0.0,6.0,1.0,6.0,3.0,1.0,32.0,35.0,42.0,37.0,29.0,41.0,,,35.0,1555.0,221.0,876.0,885.0,,,,,1523.0,43.0,35.0,7.0,41.0,40.0,34.0,41.0,33.0,0.0,44.0,41.0,42.0,42.0,34.0,,37.0,724.0,41.0,518.0,6.0,321.0,623.0,,
,,125.0,31.0,34.0,30.0,35.0,5.0,3.0,8.0,35.0,41.0,2.0,44.0,34.0,,,40.0,7.0,592.0,1027.0,55.0,89.0,,,,1058.0,3.0,40.0,9.0,2.0,0.0,38.0,41.0,8.0,36.0,37.0,36.0,,,,,1611.0,1241.0,1202.0,481.0,178.0,,,,,667.0,40.0,42.0,7.0,6.0,1.0,37.0,0.0,34.0,5.0,5.0,9.0,41.0,,,,,1167.0,,,,,,,,179.0,41.0,3.0,42.0,40.0,41.0,0.0,6.0,2.0,9.0,35.0,35.0,40.0,,,,1345.0,41.0,553.0,297.0,317.0,1365.0,,
,,387.0,39.0,7.0,0.0,31.0,45.0,2.0,33.0,37.0,3.0,44.0,30.0,31.0,,38.0,,814.0,,,1001.0,767.0,,,,,79.0,41.0,43.0,38.0,34.0,42.0,0.0,6.0,1.0,40.0,8.0,,,44.0,,927.0,34.0,389.0,34.0,33.0,,,,,713.0,38.0,36.0,44.0,6.0,38.0,0.0,37.0,33.0,6.0,2.0,43.0,37.0,,,,,1286.0,,1327.0,,,,,1359.0,36.0,42.0,39.0,37.0,8.0,7.0,43.0,5.0,2.0,5.0,38.0,8.0,,,,,,,1474.0,39.0,1538.0,,,
