0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,43.0,,,,,17601.0,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,17809.0,,15585.0,,,,
,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,39.0,,,,,20403.0,1.0,,,,
,,,,,,,,,,,,,,9.0,,41.0,40.0,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,34.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,19764.0,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,34.0,,13800.0,,,,
,,,,,,,,,,,,,39.0,44.0,,43.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,5460.0,,,,,,,,,,,,,,,,,,43.0,,42.0,,,,21334.0,,,,,,,,,,,,,,,,,,37.0,38.0,,,,34.0,,,,,,
,,,,,,,,,,,,,39.0,41.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,41.0,36.0,38.0,,,26141.0,211.0,3163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,43.0,,,,,,,,,,
,,,,,,,,,,,,,,6.0,,42.0,33.0,,,,,,,,,,,,,,,,,,,,,,36.0,37.0,41.0,,,,17367.0,18021.0,,,,,,,,,,,,,,,,,,,,,,,,23251.0,,,,,,,,,,,,,,,,,,41.0,,4.0,,,,13866.0,,16330.0,,,
,,,,,,,,,,,,,,9.0,,42.0,43.0,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,17157.0,,,,,,,,,,,,,,,,,,39.0,,,40.0,,,12777.0,,,,,,,,,,,,,,,,,,35.0,,,,,40.0,,,,,,
,,,,,,,,,,,,,34.0,2.0,36.0,39.0,,,,,,,,,,,,,,,,,,,,,,,34.0,,38.0,,5573.0,,,5378.0,,,,,,,,,,,,,,,,,,,,40.0,,,,38.0,,,,,,,,,,,,,,,,,,,,,35.0,,42.0,,,,,,
,,,,,,,,,,,,,,6.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,34.0,38.0,,,26945.0,,1111.0,15623.0,,,,,,,,,,,,,,,,,,44.0,,37.0,,,,8381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
