0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4176.0,5.0,36.0,8.0,1.0,7.0,35.0,6.0,38.0,2.0,43.0,4.0,6.0,33.0,6080.0,2320.0,39.0,43.0,9.0,65.0,349.0,58.0,47.0,3220.0,1642.0,5942.0,1200.0,33.0,37.0,42.0,44.0,9.0,40.0,6.0,7.0,44.0,39.0,41.0,8649.0,41.0,38.0,211.0,7.0,130.0,35.0,40.0,44.0,1876.0,5708.0,37.0,3335.0,814.0,7.0,38.0,3.0,3.0,38.0,35.0,34.0,8.0,41.0,36.0,34.0,,4186.0,4.0,44.0,75.0,43.0,385.0,35.0,1613.0,361.0,1204.0,4905.0,1491.0,41.0,33.0,2.0,34.0,41.0,4.0,38.0,41.0,4.0,42.0,39.0,35.0,37.0,37.0,77.0,39.0,3.0,339.0,200.0,34.0,180.0,368.0,1269.0,5398.0
4418.0,1.0,3.0,38.0,1.0,6.0,0.0,42.0,41.0,42.0,0.0,34.0,37.0,35.0,39.0,1116.0,35.0,354.0,37.0,33.0,452.0,38.0,67.0,2327.0,3639.0,5029.0,1241.0,33.0,36.0,37.0,39.0,2.0,6.0,5.0,0.0,40.0,41.0,35.0,6676.0,43.0,38.0,236.0,6.0,139.0,3.0,2.0,0.0,2629.0,4601.0,33.0,6079.0,637.0,4.0,2.0,35.0,34.0,37.0,37.0,44.0,3.0,42.0,41.0,33.0,36.0,4408.0,38.0,40.0,85.0,42.0,602.0,36.0,2905.0,223.0,1694.0,3996.0,1644.0,36.0,40.0,1.0,36.0,6.0,35.0,0.0,35.0,36.0,6.0,0.0,40.0,,39.0,9.0,1977.0,36.0,290.0,182.0,38.0,188.0,701.0,644.0,6346.0
4330.0,5.0,2.0,3.0,32.0,41.0,36.0,37.0,39.0,9.0,0.0,2.0,33.0,,33.0,772.0,2362.0,537.0,35.0,56.0,295.0,43.0,51.0,3230.0,1804.0,5818.0,1173.0,8.0,41.0,44.0,7.0,36.0,34.0,37.0,8.0,42.0,0.0,38.0,8059.0,,40.0,374.0,37.0,134.0,35.0,5.0,9.0,2345.0,6134.0,1021.0,5166.0,654.0,38.0,41.0,43.0,7.0,40.0,9.0,42.0,43.0,43.0,39.0,9.0,8542.0,40.0,38.0,1920.0,82.0,38.0,554.0,471.0,1458.0,309.0,1315.0,4463.0,1624.0,34.0,34.0,2.0,43.0,2.0,1.0,43.0,35.0,4.0,41.0,40.0,4.0,8362.0,40.0,3.0,994.0,6.0,43.0,150.0,4.0,183.0,318.0,641.0,6954.0
4726.0,40.0,31.0,5.0,9.0,41.0,36.0,8.0,41.0,8.0,8.0,40.0,43.0,6275.0,33.0,69.0,40.0,844.0,44.0,43.0,340.0,51.0,46.0,2680.0,2413.0,4472.0,1436.0,34.0,41.0,37.0,8.0,7.0,4.0,9.0,40.0,34.0,36.0,34.0,,35.0,36.0,293.0,43.0,248.0,42.0,44.0,7.0,2424.0,4922.0,2375.0,5530.0,666.0,43.0,34.0,42.0,5.0,9.0,5.0,43.0,35.0,7.0,2.0,7.0,40.0,40.0,35.0,2097.0,43.0,33.0,221.0,465.0,2640.0,357.0,1368.0,3354.0,1227.0,9.0,36.0,44.0,9.0,42.0,40.0,36.0,41.0,4.0,4.0,42.0,7.0,,2936.0,60.0,130.0,47.0,225.0,158.0,1.0,112.0,433.0,1435.0,6557.0
4616.0,37.0,7.0,35.0,4.0,31.0,39.0,41.0,37.0,2.0,7.0,34.0,9.0,38.0,1827.0,639.0,36.0,1343.0,65.0,73.0,352.0,67.0,55.0,2523.0,1890.0,5194.0,1373.0,8.0,35.0,42.0,1.0,3.0,5.0,36.0,0.0,9.0,7.0,35.0,,43.0,37.0,909.0,38.0,79.0,3.0,44.0,33.0,2181.0,4714.0,37.0,5236.0,725.0,9.0,34.0,40.0,36.0,44.0,3.0,34.0,33.0,1.0,3.0,7.0,44.0,40.0,41.0,37.0,59.0,36.0,399.0,36.0,1422.0,759.0,1512.0,3890.0,1679.0,36.0,37.0,35.0,2.0,2.0,40.0,2.0,42.0,1.0,36.0,34.0,36.0,41.0,35.0,8.0,685.0,8.0,311.0,90.0,5.0,165.0,236.0,1367.0,7554.0
4704.0,32.0,41.0,2.0,34.0,1.0,38.0,44.0,33.0,9.0,8.0,35.0,42.0,43.0,2472.0,640.0,38.0,840.0,6.0,36.0,394.0,40.0,41.0,3446.0,1928.0,5533.0,1115.0,43.0,43.0,41.0,35.0,7.0,6.0,41.0,43.0,7.0,4.0,34.0,7148.0,40.0,2822.0,35.0,3.0,155.0,7.0,44.0,44.0,2754.0,4955.0,1298.0,3548.0,668.0,6.0,43.0,7.0,4.0,1.0,8.0,39.0,40.0,4.0,41.0,34.0,8672.0,7240.0,44.0,1725.0,97.0,51.0,401.0,1037.0,1962.0,576.0,2168.0,4135.0,1965.0,41.0,42.0,3.0,43.0,40.0,36.0,35.0,4.0,1.0,2.0,7.0,2.0,6317.0,33.0,6.0,273.0,6.0,34.0,233.0,37.0,155.0,531.0,1867.0,6210.0
5012.0,40.0,0.0,1.0,34.0,4.0,7.0,35.0,35.0,4.0,6.0,33.0,34.0,42.0,34.0,110.0,38.0,338.0,61.0,64.0,344.0,35.0,44.0,2310.0,2708.0,5122.0,1398.0,33.0,7.0,41.0,1.0,6.0,4.0,4.0,40.0,3.0,5.0,44.0,6947.0,41.0,36.0,2145.0,8.0,202.0,44.0,35.0,42.0,1811.0,4450.0,43.0,5140.0,621.0,6.0,4.0,4.0,5.0,5.0,36.0,0.0,7.0,36.0,36.0,41.0,44.0,6384.0,3.0,1455.0,190.0,9.0,235.0,33.0,1461.0,329.0,1008.0,3450.0,1640.0,8.0,34.0,4.0,1.0,4.0,44.0,34.0,5.0,7.0,33.0,8.0,7.0,44.0,41.0,110.0,1922.0,1.0,42.0,214.0,4.0,46.0,291.0,1621.0,5370.0
4572.0,30.0,3.0,9.0,39.0,8.0,37.0,5.0,33.0,41.0,6.0,7.0,2.0,6630.0,33.0,41.0,2209.0,41.0,33.0,48.0,599.0,45.0,50.0,1244.0,2737.0,5442.0,1197.0,4.0,37.0,3.0,8.0,7.0,38.0,38.0,0.0,3.0,43.0,6.0,7522.0,41.0,38.0,207.0,5.0,42.0,37.0,6.0,8.0,2324.0,4692.0,3676.0,4711.0,735.0,34.0,6.0,37.0,1.0,36.0,4.0,36.0,0.0,37.0,8.0,7.0,6302.0,4696.0,36.0,34.0,35.0,46.0,818.0,37.0,2064.0,1037.0,1130.0,3898.0,1457.0,44.0,44.0,40.0,5.0,2.0,6.0,9.0,43.0,6.0,0.0,3.0,2.0,5372.0,39.0,44.0,1549.0,9.0,378.0,123.0,38.0,143.0,450.0,599.0,8250.0
4550.0,37.0,33.0,33.0,4.0,35.0,9.0,3.0,33.0,1.0,2.0,38.0,38.0,38.0,3327.0,780.0,3042.0,43.0,7.0,50.0,321.0,63.0,51.0,3424.0,3293.0,6318.0,1283.0,1.0,3.0,1.0,7.0,0.0,43.0,3.0,38.0,9.0,2.0,5.0,,43.0,360.0,882.0,4.0,59.0,39.0,33.0,0.0,2566.0,,3477.0,4916.0,612.0,33.0,42.0,5.0,41.0,33.0,41.0,36.0,40.0,34.0,39.0,4.0,35.0,37.0,41.0,39.0,774.0,44.0,260.0,44.0,1560.0,224.0,1164.0,3868.0,1744.0,0.0,8.0,9.0,35.0,2.0,36.0,41.0,43.0,41.0,0.0,5.0,1.0,34.0,4231.0,64.0,1765.0,3.0,34.0,127.0,38.0,152.0,411.0,2510.0,6062.0
4264.0,6.0,1.0,3.0,35.0,31.0,3.0,9.0,3.0,7.0,35.0,4.0,6.0,6713.0,37.0,66.0,3240.0,37.0,38.0,42.0,247.0,57.0,82.0,2625.0,2531.0,6308.0,1255.0,5.0,38.0,9.0,9.0,8.0,4.0,5.0,36.0,0.0,44.0,3.0,7434.0,6097.0,40.0,41.0,8.0,274.0,44.0,34.0,44.0,2245.0,5678.0,1982.0,5045.0,709.0,7.0,43.0,39.0,44.0,0.0,6.0,3.0,0.0,34.0,41.0,39.0,5061.0,38.0,43.0,3042.0,268.0,8.0,222.0,427.0,2274.0,664.0,2050.0,4637.0,1431.0,1.0,1.0,44.0,35.0,33.0,6.0,43.0,5.0,6.0,5.0,1.0,0.0,38.0,37.0,3.0,744.0,43.0,204.0,153.0,37.0,44.0,273.0,2046.0,6358.0
