0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4572.0,4528.0,3.0,9.0,6.0,4199.0,3.0,7.0,4277.0,4393.0,3.0,4462.0,5.0,7274.0,8718.0,8182.0,6512.0,5588.0,32.0,35.0,6576.0,8126.0,6823.0,8066.0,8358.0,11162.0,4459.0,4108.0,1.0,3932.0,9.0,4305.0,3.0,9.0,4284.0,4502.0,4653.0,4060.0,11247.0,8388.0,9139.0,6646.0,2.0,6385.0,8199.0,1.0,0.0,7818.0,9773.0,10016.0,10289.0,4901.0,4254.0,4188.0,4174.0,4805.0,4234.0,4059.0,4194.0,2.0,5.0,4390.0,9.0,9789.0,6573.0,8290.0,7704.0,8179.0,7841.0,7351.0,34.0,7002.0,8203.0,7979.0,10974.0,4409.0,4352.0,4344.0,4373.0,4087.0,4219.0,9.0,5.0,8.0,4280.0,4397.0,4.0,4413.0,8026.0,6971.0,6.0,7278.0,8.0,6940.0,6980.0,3.0,6780.0,7143.0,8744.0,9914.0
3692.0,4482.0,4189.0,5.0,4454.0,4256.0,4089.0,2.0,4304.0,4351.0,4417.0,3842.0,4496.0,9316.0,8113.0,8495.0,5684.0,5790.0,7.0,5829.0,6900.0,7448.0,8004.0,8423.0,9997.0,10327.0,4601.0,4547.0,4320.0,4243.0,4023.0,4.0,1.0,9.0,7.0,4.0,4590.0,6.0,13943.0,7684.0,7949.0,7289.0,7952.0,5699.0,7168.0,6790.0,8200.0,9827.0,7499.0,7688.0,9175.0,4274.0,3.0,2.0,9.0,4395.0,8.0,4233.0,9.0,7.0,4.0,1.0,2.0,9940.0,7279.0,1.0,6490.0,32.0,6170.0,7826.0,5625.0,8112.0,7649.0,7915.0,10011.0,4689.0,8.0,3974.0,4.0,4219.0,4.0,7.0,7.0,3.0,4238.0,8.0,4501.0,3.0,8391.0,6765.0,4.0,37.0,8127.0,7331.0,5807.0,6944.0,7321.0,7760.0,8746.0,9096.0
4330.0,4212.0,4541.0,9.0,4434.0,9.0,4192.0,5.0,9.0,4256.0,4589.0,3.0,4255.0,9382.0,6827.0,7125.0,7525.0,6647.0,35.0,7292.0,6154.0,33.0,6981.0,7793.0,7368.0,9000.0,4647.0,4109.0,9.0,4367.0,3752.0,4351.0,2.0,4459.0,4221.0,4302.0,4210.0,4257.0,12854.0,8191.0,7768.0,7719.0,8.0,8713.0,9.0,9.0,4.0,7255.0,9181.0,9584.0,10738.0,4458.0,4394.0,4309.0,4389.0,4130.0,1.0,4214.0,1.0,1.0,4414.0,4239.0,4238.0,8566.0,8488.0,9235.0,7662.0,41.0,31.0,7976.0,5865.0,8057.0,7927.0,8563.0,9475.0,4486.0,5.0,4419.0,4306.0,7.0,4066.0,3820.0,3970.0,4397.0,0.0,4299.0,4254.0,6.0,9510.0,8652.0,2.0,5940.0,4.0,6380.0,7109.0,6830.0,6277.0,8506.0,6752.0,10678.0
4616.0,4.0,0.0,3.0,0.0,5.0,7.0,4171.0,6.0,4279.0,4322.0,4243.0,4416.0,9664.0,8285.0,8474.0,9089.0,6893.0,6531.0,40.0,7879.0,7304.0,6310.0,9920.0,7968.0,10187.0,4714.0,4282.0,4177.0,5.0,4264.0,1.0,1.0,4.0,3951.0,4.0,4526.0,4300.0,11959.0,8763.0,7172.0,6524.0,9.0,8182.0,6655.0,7895.0,7290.0,8712.0,9440.0,8680.0,10510.0,4558.0,2.0,4453.0,1.0,4.0,4307.0,4102.0,5.0,4104.0,4086.0,7.0,4526.0,9764.0,7171.0,4.0,7541.0,6726.0,6297.0,6756.0,37.0,8444.0,7582.0,7061.0,8970.0,4265.0,5.0,4373.0,8.0,4191.0,4238.0,4063.0,4322.0,4082.0,4001.0,4329.0,4788.0,6.0,7869.0,7460.0,40.0,7661.0,7341.0,8743.0,7389.0,8.0,7834.0,7109.0,7709.0,9951.0
4418.0,4167.0,3911.0,2.0,9.0,4369.0,4211.0,8.0,2.0,4145.0,4419.0,4259.0,4392.0,9102.0,9194.0,8801.0,7256.0,37.0,8.0,6733.0,6907.0,7657.0,6400.0,7147.0,8892.0,9574.0,4698.0,0.0,4122.0,4174.0,4124.0,4129.0,4173.0,4585.0,3774.0,4256.0,4.0,3994.0,13199.0,8249.0,6755.0,7324.0,6397.0,6675.0,7.0,6326.0,1.0,6807.0,9760.0,9561.0,10732.0,4339.0,6.0,4303.0,1.0,4303.0,4166.0,4126.0,4067.0,4153.0,4394.0,4391.0,4519.0,9297.0,7903.0,37.0,6654.0,6892.0,7213.0,6635.0,6450.0,7565.0,8054.0,9570.0,10597.0,4367.0,4452.0,2.0,4284.0,8.0,4529.0,4173.0,4371.0,4387.0,4172.0,4014.0,4174.0,9.0,8733.0,7587.0,7798.0,7455.0,41.0,7475.0,7516.0,3.0,7348.0,7074.0,8845.0,9898.0
4550.0,5.0,7.0,4416.0,4236.0,4104.0,2.0,5.0,4321.0,9.0,4235.0,0.0,4038.0,6810.0,7577.0,8930.0,31.0,32.0,5.0,31.0,6746.0,6475.0,7288.0,9875.0,9219.0,8754.0,4582.0,7.0,9.0,4463.0,7.0,8.0,4391.0,0.0,4345.0,1.0,8.0,4459.0,12216.0,8177.0,7626.0,8117.0,7520.0,7649.0,33.0,8.0,7073.0,7215.0,9756.0,9252.0,8050.0,4733.0,7.0,8.0,0.0,7.0,4109.0,3.0,4212.0,8.0,4281.0,4461.0,4546.0,9859.0,7898.0,8.0,4791.0,6394.0,7030.0,38.0,5855.0,8433.0,7519.0,8585.0,8863.0,4197.0,2.0,2.0,4527.0,4021.0,4528.0,2.0,3992.0,4.0,4.0,1.0,4.0,4.0,11110.0,7635.0,6853.0,5698.0,38.0,6803.0,6483.0,7269.0,7327.0,6766.0,7084.0,9155.0
4286.0,6.0,4188.0,3970.0,2.0,4215.0,4109.0,4082.0,5.0,3817.0,3624.0,4.0,4065.0,7793.0,7962.0,6777.0,7229.0,37.0,5.0,7415.0,6345.0,34.0,8080.0,7807.0,9385.0,9988.0,4459.0,2.0,4236.0,4103.0,0.0,7.0,4.0,4284.0,6.0,4016.0,4.0,6.0,11681.0,9318.0,8231.0,8638.0,6660.0,7459.0,6922.0,7.0,7534.0,7296.0,9046.0,8666.0,11321.0,4251.0,4304.0,3.0,1.0,4498.0,7.0,4349.0,4081.0,4084.0,4635.0,5.0,4130.0,8243.0,6904.0,0.0,8029.0,7039.0,7306.0,8457.0,30.0,8249.0,7749.0,7022.0,9085.0,4357.0,5.0,5.0,3822.0,4476.0,4.0,4023.0,8.0,9.0,4483.0,4241.0,9.0,4433.0,7269.0,7201.0,8439.0,7390.0,6323.0,5709.0,41.0,6834.0,6969.0,6476.0,8254.0,9265.0
4352.0,4287.0,9.0,3.0,6.0,1.0,6.0,3.0,1.0,5.0,4016.0,8.0,2.0,8381.0,8031.0,8357.0,6399.0,6465.0,8.0,41.0,6995.0,6935.0,7306.0,7078.0,6526.0,8499.0,4132.0,9.0,1.0,6.0,4212.0,4331.0,1.0,1.0,4155.0,0.0,4634.0,2.0,11768.0,8648.0,6881.0,39.0,6300.0,7808.0,6482.0,8.0,9.0,8672.0,9508.0,9789.0,9420.0,4615.0,1.0,4103.0,8.0,4.0,0.0,3933.0,9.0,4352.0,5.0,4307.0,5077.0,9828.0,6890.0,8834.0,7939.0,8177.0,8386.0,6433.0,5846.0,7661.0,8309.0,7323.0,8873.0,4430.0,4154.0,4101.0,0.0,4368.0,5.0,4529.0,4260.0,4287.0,4410.0,6.0,4375.0,4771.0,8892.0,7293.0,1.0,32.0,34.0,6357.0,7603.0,35.0,40.0,7738.0,9228.0,9563.0
4704.0,4276.0,2.0,4172.0,6.0,4418.0,6.0,4282.0,4543.0,4241.0,4435.0,5.0,4409.0,9727.0,9832.0,7358.0,7976.0,7419.0,3.0,8291.0,7166.0,7010.0,8006.0,6791.0,8595.0,7611.0,4608.0,4324.0,4.0,4431.0,4041.0,4.0,4256.0,3952.0,4084.0,7.0,0.0,3.0,11846.0,8020.0,7636.0,7747.0,9.0,32.0,41.0,9.0,7.0,7837.0,9593.0,10002.0,9467.0,4724.0,4282.0,4388.0,4343.0,3.0,3887.0,8.0,6.0,2.0,5.0,4151.0,6.0,9812.0,7985.0,0.0,6959.0,6341.0,32.0,36.0,8054.0,7093.0,7612.0,7718.0,9042.0,4612.0,4477.0,8.0,8.0,2.0,3950.0,0.0,4481.0,4562.0,4414.0,5.0,9.0,2.0,6711.0,8440.0,7036.0,8494.0,0.0,6490.0,7262.0,6.0,7847.0,6922.0,7974.0,8798.0
4264.0,4210.0,3777.0,4020.0,4128.0,3972.0,4131.0,4.0,6.0,7.0,4130.0,2.0,3951.0,9536.0,7645.0,8030.0,6516.0,6911.0,7367.0,7191.0,41.0,7515.0,7832.0,8177.0,7511.0,8307.0,4501.0,4101.0,0.0,5.0,3977.0,6.0,4188.0,4353.0,7.0,3647.0,0.0,4080.0,10719.0,8597.0,7449.0,6963.0,8.0,6047.0,5.0,6946.0,38.0,6573.0,9216.0,9093.0,10832.0,4718.0,3992.0,4430.0,3.0,4265.0,9.0,3881.0,2.0,4262.0,4.0,4283.0,5.0,8600.0,7717.0,9.0,7876.0,37.0,5967.0,7561.0,7045.0,35.0,7693.0,9443.0,10474.0,4344.0,2.0,8.0,3864.0,4089.0,8.0,4352.0,3869.0,8.0,2.0,4150.0,3890.0,2.0,8689.0,8644.0,6806.0,7010.0,7915.0,6402.0,7564.0,7.0,6786.0,7620.0,6310.0,9483.0
