0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,10.0,,7.0,,,,,8.0,,,47.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,51.0,48.0,56.0,54.0,51.0,58.0,41.0,51.0,9.0,7.0,44.0,37.0,44.0,46.0,6.0,5.0,39.0,37.0,42.0,9.0,9.0,40.0,47.0,1.0,0.0,38.0,5.0,41.0,42.0,42.0,2.0,45.0,3.0,43.0,46.0,3.0,47.0,42.0
,,,,,,,,,,,,,,,2942.0,,51.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0,49.0,42.0,49.0,39.0,47.0,49.0,44.0,45.0,56.0,55.0,52.0,48.0,37.0,4.0,45.0,38.0,46.0,39.0,9.0,38.0,7.0,6.0,47.0,47.0,8.0,38.0,0.0,38.0,38.0,0.0,7.0,3.0,39.0,38.0,7.0,38.0,2.0,10.0,42.0,2.0,1.0,44.0
,,,,,,,,,54.0,985.0,,,,,49.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,42.0,55.0,50.0,55.0,57.0,55.0,37.0,48.0,57.0,4.0,37.0,4.0,2.0,46.0,52.0,5.0,44.0,38.0,44.0,39.0,38.0,3.0,42.0,4.0,0.0,7.0,7.0,6.0,40.0,3.0,41.0,46.0,45.0,43.0,9.0,38.0,4.0,1.0,42.0
,,,,,,,,,,,,,,,,,51.0,56.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,44.0,45.0,43.0,57.0,44.0,57.0,57.0,44.0,44.0,47.0,37.0,38.0,6.0,1.0,53.0,9.0,7.0,41.0,41.0,2.0,9.0,45.0,40.0,1.0,4.0,43.0,6.0,0.0,39.0,42.0,0.0,5.0,38.0,9.0,2.0,39.0,40.0,3.0,4.0
,,,,,,,,,,,,,3162.0,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,51.0,51.0,47.0,47.0,48.0,43.0,41.0,43.0,54.0,40.0,38.0,9.0,8.0,10.0,37.0,44.0,51.0,2.0,46.0,38.0,9.0,5.0,8.0,40.0,2.0,8.0,3.0,44.0,43.0,37.0,1.0,45.0,40.0,6.0,42.0,38.0,9.0,8.0,1.0,8.0,40.0
,,,,,,,6.0,,3.0,,,46.0,,,45.0,57.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,45.0,37.0,54.0,56.0,37.0,7.0,8.0,0.0,42.0,1.0,48.0,42.0,9.0,42.0,44.0,37.0,40.0,38.0,4.0,38.0,37.0,46.0,37.0,44.0,3.0,6.0,42.0,42.0,4.0,44.0,45.0,37.0,41.0,5.0,4.0
,,,,,,,,,,,,,7778.0,,,,55.0,58.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,48.0,53.0,48.0,38.0,40.0,39.0,4.0,45.0,10.0,0.0,41.0,49.0,1.0,37.0,2.0,38.0,1.0,47.0,4.0,39.0,5.0,7.0,38.0,0.0,3.0,1.0,37.0,6.0,9.0,41.0,2.0,2.0,10.0,3.0,0.0,39.0
,,,,,,,,,,,,,1121.0,,40.0,48.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,47.0,5.0,8.0,41.0,2.0,0.0,57.0,38.0,38.0,45.0,5.0,46.0,10.0,5.0,38.0,41.0,39.0,42.0,42.0,43.0,0.0,38.0,0.0,43.0,5.0,40.0,6.0,6.0,45.0,37.0,39.0
,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.0,37.0,47.0,37.0,48.0,38.0,47.0,6.0,44.0,0.0,41.0,8.0,38.0,0.0,40.0,42.0,8.0,42.0,2.0,38.0,45.0,45.0,8.0,44.0,47.0,40.0,45.0,8.0,42.0
,,,,,,,,,,,,,,,41.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,50.0,42.0,52.0,47.0,38.0,43.0,48.0,55.0,2.0,7.0,1.0,7.0,44.0,50.0,5.0,44.0,38.0,0.0,41.0,7.0,8.0,47.0,39.0,37.0,40.0,38.0,38.0,0.0,7.0,0.0,8.0,39.0,5.0,7.0,44.0,46.0,46.0,9.0
