0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,6190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,40.0,45.0,43.0,52.0,54.0,42.0,54.0,40.0,53.0,54.0,55.0,46.0,46.0,49.0,37.0,3.0,40.0,43.0,5.0,34.0,9.0,38.0,2.0,34.0,39.0,5.0,37.0,4.0,8.0,42.0,38.0,40.0,3.0,4.0,7.0,42.0,0.0,34.0,40.0,35.0,3.0,43.0,9.0,8.0
,,,18357.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,35.0,36.0,48.0,55.0,47.0,37.0,39.0,42.0,52.0,44.0,48.0,36.0,42.0,35.0,10.0,8.0,44.0,35.0,54.0,8.0,34.0,7.0,8.0,35.0,42.0,34.0,1.0,1.0,5.0,4.0,36.0,1.0,41.0,44.0,3.0,41.0,41.0,42.0,7.0,34.0,35.0,37.0,40.0
,,,29277.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,39.0,48.0,38.0,36.0,48.0,45.0,42.0,49.0,47.0,38.0,49.0,42.0,40.0,6.0,37.0,41.0,38.0,35.0,53.0,4.0,8.0,35.0,37.0,6.0,35.0,3.0,0.0,0.0,4.0,6.0,7.0,2.0,36.0,6.0,38.0,8.0,1.0,38.0,34.0,42.0,0.0,8.0,8.0
,,24623.0,11833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.0,53.0,54.0,35.0,38.0,39.0,42.0,42.0,51.0,45.0,38.0,41.0,45.0,5.0,9.0,3.0,7.0,34.0,53.0,43.0,3.0,4.0,40.0,36.0,4.0,6.0,34.0,42.0,2.0,40.0,34.0,39.0,1.0,41.0,6.0,42.0,1.0,34.0,2.0,8.0,35.0,41.0,4.0
,,16806.0,2051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0,54.0,52.0,34.0,40.0,48.0,51.0,41.0,35.0,38.0,41.0,53.0,46.0,55.0,53.0,37.0,41.0,10.0,0.0,36.0,8.0,40.0,35.0,39.0,38.0,10.0,8.0,10.0,38.0,4.0,5.0,7.0,36.0,8.0,37.0,2.0,6.0,39.0,8.0,40.0,0.0,37.0,5.0,6.0,39.0,36.0
,,19945.0,8813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.0,53.0,55.0,34.0,52.0,51.0,34.0,36.0,50.0,48.0,45.0,35.0,53.0,47.0,50.0,34.0,9.0,34.0,44.0,39.0,36.0,44.0,2.0,3.0,35.0,36.0,34.0,39.0,0.0,37.0,5.0,10.0,5.0,41.0,41.0,44.0,5.0,2.0,2.0,0.0,39.0,35.0,2.0,43.0,6.0,6.0
,,14203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,45.0,52.0,47.0,49.0,52.0,37.0,54.0,55.0,55.0,45.0,41.0,35.0,50.0,54.0,54.0,1.0,1.0,43.0,34.0,36.0,41.0,42.0,2.0,43.0,34.0,44.0,42.0,43.0,44.0,8.0,1.0,41.0,9.0,42.0,1.0,42.0,40.0,2.0,40.0,0.0,4.0,36.0,36.0,9.0,39.0
,,6010.0,11586.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,39.0,37.0,50.0,42.0,46.0,55.0,45.0,36.0,37.0,44.0,43.0,35.0,55.0,44.0,44.0,4.0,40.0,0.0,36.0,1.0,50.0,37.0,36.0,6.0,3.0,41.0,36.0,41.0,1.0,42.0,40.0,43.0,7.0,2.0,38.0,42.0,2.0,35.0,9.0,2.0,42.0,8.0,5.0,9.0,2.0
,,14110.0,10069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,47.0,45.0,46.0,38.0,52.0,43.0,34.0,42.0,55.0,39.0,52.0,50.0,40.0,47.0,53.0,40.0,4.0,34.0,35.0,1.0,44.0,40.0,39.0,38.0,44.0,38.0,38.0,36.0,4.0,4.0,10.0,3.0,36.0,38.0,37.0,37.0,43.0,7.0,3.0,9.0,6.0,40.0,38.0,9.0,10.0
,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,59.0,57.0,54.0,55.0,49.0,54.0,56.0,53.0,64.0,58.0,58.0,49.0,50.0,58.0,4.0,20.0,12.0,4.0,7.0,47.0,3.0,18.0,5.0,19.0,20.0,3.0,4.0,5.0,10.0,1.0,3.0,18.0,7.0,1.0,1.0,4.0,1.0,9.0,12.0,0.0,6.0,7.0,3.0,8.0
