0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,39.0,39.0,38.0,38.0,40.0,52.0,37.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.0,35.0,45.0,34.0,43.0,47.0,51.0,37.0,40.0,47.0,49.0,51.0,52.0,38.0,38.0,42.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,109.0,47.0,45.0,44.0,34.0,52.0,45.0,46.0,54.0,53.0,55.0,43.0,40.0,35.0,54.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.0,45.0,45.0,43.0,41.0,48.0,35.0,38.0,44.0,50.0,40.0,48.0,42.0,27.0,51.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.0,55.0,38.0,39.0,42.0,48.0,45.0,39.0,35.0,36.0,40.0,47.0,54.0,39.0,46.0,53.0,45.0,42.0,46.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.0,129.0,39.0,43.0,52.0,51.0,32.0,37.0,44.0,31.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,53.0,36.0,39.0,52.0,50.0,46.0,44.0,37.0,39.0,38.0,47.0,47.0,50.0,52.0,49.0,50.0,48.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.0,52.0,55.0,37.0,43.0,48.0,41.0,54.0,55.0,36.0,36.0,39.0,46.0,52.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.0,60.0,45.0,44.0,50.0,53.0,58.0,60.0,62.0,64.0,45.0,44.0,47.0,49.0,50.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,44.0,52.0,44.0,34.0,45.0,44.0,38.0,35.0,34.0,35.0,52.0,44.0,,42.0,36.0,50.0,43.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.0,34.0,52.0,33.0,37.0,40.0,41.0,50.0,39.0,32.0,41.0,53.0,41.0,50.0,43.0,50.0,51.0,49.0,43.0,35.0,50.0,42.0,33.0,42.0,41.0,42.0,44.0,47.0,45.0,40.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,579.0,37.0,40.0,39.0,44.0,54.0,52.0,53.0,55.0,34.0,36.0,41.0,38.0,34.0,53.0,53.0,54.0,53.0,53.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.0,233.0,42.0,54.0,45.0,34.0,45.0,55.0,48.0,41.0,52.0,38.0,45.0,52.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.0,47.0,50.0,55.0,55.0,50.0,41.0,34.0,48.0,40.0,34.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
