0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,19330.0,8.0,1332.0,1625.0,1471.0,1802.0,1947.0,1674.0,1482.0,2162.0,1105.0,1661.0,997.0,1063.0,780.0,1538.0,1025.0,865.0,1400.0,1080.0,752.0,698.0,1419.0,1087.0,1845.0,1302.0,1436.0,1961.0,1445.0,1692.0,2298.0,1478.0,1977.0,1882.0,1446.0,2060.0,2251.0,2478.0,2609.0,3597.0,1826.0,1664.0,1633.0,2108.0,2213.0,3202.0,1889.0,2882.0,3218.0,3163.0,2041.0,,,,,,,,,2524.0,123.0,44.0,56.0,47.0,62.0,51.0,47.0,55.0,59.0,54.0,55.0,52.0,59.0,50.0,55.0,47.0,57.0,54.0,65.0,51.0,54.0,50.0,57.0,53.0,50.0,64.0,57.0,45.0,49.0,48.0,45.0,62.0,48.0,54.0,8.0,1.0,48.0,50.0
8928.0,3290.0,2332.0,5.0,1365.0,1.0,1613.0,1834.0,1907.0,1606.0,2033.0,1486.0,1386.0,905.0,1259.0,949.0,1030.0,1296.0,887.0,807.0,1063.0,905.0,1113.0,860.0,1384.0,1011.0,958.0,3735.0,1433.0,1508.0,1738.0,1667.0,1673.0,1520.0,2128.0,1592.0,1216.0,1411.0,1649.0,1498.0,1993.0,2273.0,1510.0,1342.0,1410.0,1552.0,1726.0,1650.0,598.0,2289.0,1538.0,1186.0,604.0,,,,,18165.0,15409.0,6942.0,,1224.0,231.0,62.0,56.0,53.0,62.0,64.0,48.0,49.0,48.0,54.0,58.0,58.0,63.0,51.0,49.0,56.0,59.0,58.0,55.0,46.0,62.0,65.0,51.0,49.0,60.0,52.0,45.0,56.0,61.0,47.0,49.0,49.0,44.0,5.0,8.0,6.0,53.0,3.0
8818.0,2608.0,2222.0,1870.0,1102.0,1680.0,1718.0,1912.0,1964.0,1346.0,1434.0,1397.0,1434.0,1195.0,872.0,937.0,1105.0,2370.0,803.0,709.0,1251.0,841.0,722.0,790.0,983.0,1040.0,1089.0,1568.0,2804.0,1411.0,1366.0,1396.0,1658.0,1521.0,1728.0,1739.0,1352.0,1576.0,2263.0,1829.0,1510.0,2174.0,1516.0,1351.0,2136.0,1700.0,1579.0,1752.0,693.0,1463.0,1577.0,1386.0,712.0,,,,,,,,,1771.0,48.0,63.0,48.0,58.0,65.0,53.0,54.0,50.0,62.0,48.0,56.0,52.0,46.0,59.0,48.0,59.0,46.0,52.0,63.0,61.0,59.0,48.0,53.0,59.0,65.0,61.0,63.0,61.0,61.0,62.0,63.0,57.0,45.0,54.0,8.0,1.0,47.0,4.0
9038.0,2656.0,0.0,1.0,1160.0,1669.0,1521.0,1729.0,1953.0,1305.0,1586.0,1407.0,1652.0,1575.0,1114.0,1121.0,1156.0,1504.0,851.0,777.0,871.0,622.0,559.0,820.0,1127.0,1061.0,1425.0,1264.0,2068.0,1401.0,1267.0,1276.0,1518.0,1611.0,1928.0,1531.0,2253.0,1562.0,1768.0,1908.0,2169.0,1868.0,1332.0,1864.0,2416.0,1931.0,2364.0,1522.0,965.0,1961.0,1401.0,1319.0,494.0,,,,,12980.0,6978.0,9471.0,,1091.0,197.0,62.0,57.0,58.0,51.0,56.0,55.0,52.0,57.0,54.0,52.0,46.0,46.0,46.0,49.0,56.0,45.0,46.0,56.0,55.0,64.0,61.0,62.0,57.0,52.0,52.0,56.0,63.0,60.0,52.0,56.0,62.0,64.0,6.0,6.0,45.0,49.0,54.0
,4785.0,2150.0,10.0,1515.0,8.0,1753.0,2012.0,1596.0,1382.0,1403.0,1646.0,1459.0,1230.0,1608.0,1392.0,1018.0,1446.0,1276.0,779.0,1361.0,891.0,663.0,703.0,1172.0,792.0,1036.0,1433.0,1656.0,1232.0,1473.0,1728.0,1270.0,1155.0,2272.0,1802.0,1414.0,1650.0,1757.0,1865.0,2670.0,2436.0,1492.0,1579.0,1868.0,1633.0,1679.0,2147.0,1377.0,2057.0,1585.0,1521.0,706.0,,,,,,,,,2191.0,173.0,65.0,55.0,51.0,50.0,51.0,53.0,65.0,51.0,58.0,44.0,46.0,63.0,46.0,52.0,50.0,46.0,57.0,50.0,60.0,56.0,44.0,59.0,49.0,57.0,49.0,58.0,62.0,55.0,62.0,51.0,63.0,54.0,44.0,9.0,0.0,44.0,52.0
9324.0,2325.0,1596.0,1883.0,1150.0,1437.0,1489.0,1589.0,1637.0,1482.0,1327.0,1416.0,1215.0,1105.0,874.0,959.0,751.0,1195.0,1002.0,948.0,1200.0,1078.0,892.0,892.0,1985.0,1097.0,1492.0,1510.0,2675.0,1266.0,2432.0,1308.0,1139.0,1691.0,2292.0,1652.0,2906.0,1818.0,1799.0,1395.0,2597.0,2406.0,1476.0,1401.0,2712.0,2040.0,1776.0,2424.0,1431.0,1557.0,1502.0,1616.0,949.0,,,,,,,,,1829.0,249.0,53.0,56.0,65.0,51.0,61.0,59.0,51.0,62.0,58.0,46.0,48.0,54.0,45.0,55.0,45.0,63.0,52.0,62.0,49.0,61.0,48.0,60.0,60.0,59.0,61.0,44.0,62.0,47.0,62.0,55.0,47.0,46.0,54.0,52.0,2.0,0.0,53.0
9104.0,2859.0,10.0,0.0,1168.0,1738.0,1633.0,2208.0,1698.0,1352.0,1525.0,1466.0,1484.0,1173.0,976.0,1468.0,1086.0,1501.0,967.0,905.0,851.0,823.0,733.0,694.0,1272.0,1325.0,941.0,1828.0,736.0,1530.0,1589.0,1465.0,1427.0,1421.0,1479.0,1622.0,1720.0,1507.0,1618.0,1723.0,2477.0,2386.0,1404.0,2170.0,2602.0,2139.0,1854.0,2460.0,529.0,2391.0,2146.0,2474.0,1097.0,,,,,,,,,1234.0,144.0,54.0,64.0,45.0,48.0,46.0,50.0,62.0,57.0,60.0,60.0,50.0,45.0,44.0,50.0,56.0,56.0,64.0,50.0,58.0,49.0,54.0,51.0,59.0,50.0,64.0,52.0,62.0,58.0,59.0,52.0,63.0,54.0,1.0,49.0,10.0,46.0,45.0
,,,,,,9641.0,1328.0,2197.0,1899.0,1430.0,1473.0,1526.0,1600.0,1752.0,1759.0,1765.0,2446.0,1829.0,2099.0,2643.0,1713.0,2079.0,2384.0,2082.0,1781.0,1926.0,2067.0,1703.0,1430.0,1582.0,2190.0,2065.0,2109.0,2172.0,1862.0,1712.0,1431.0,2378.0,1925.0,3794.0,2809.0,1420.0,1389.0,1584.0,2372.0,1936.0,1826.0,770.0,1648.0,1736.0,2140.0,723.0,,,,,,,,,1852.0,56.0,57.0,50.0,53.0,63.0,47.0,54.0,63.0,51.0,44.0,55.0,46.0,62.0,46.0,65.0,62.0,54.0,64.0,52.0,59.0,49.0,63.0,58.0,53.0,52.0,48.0,59.0,52.0,57.0,49.0,55.0,63.0,57.0,1.0,53.0,45.0,45.0,51.0
12184.0,9.0,1.0,1510.0,1542.0,1610.0,1764.0,1618.0,2483.0,1557.0,1188.0,1876.0,1367.0,1152.0,1107.0,1426.0,1180.0,1089.0,942.0,902.0,1107.0,1092.0,708.0,938.0,1264.0,905.0,1521.0,1532.0,2018.0,1221.0,1030.0,1582.0,1528.0,1414.0,2237.0,1724.0,1476.0,1966.0,2032.0,1755.0,2595.0,1775.0,2087.0,1329.0,2264.0,2739.0,1559.0,1979.0,791.0,3442.0,2387.0,1953.0,799.0,,,,,,,,,1800.0,153.0,61.0,48.0,47.0,60.0,58.0,60.0,64.0,52.0,52.0,61.0,59.0,46.0,55.0,46.0,56.0,54.0,48.0,53.0,56.0,50.0,45.0,51.0,52.0,44.0,45.0,61.0,49.0,44.0,52.0,60.0,46.0,50.0,1.0,54.0,48.0,48.0,6.0
16562.0,3002.0,6.0,2147.0,1655.0,1750.0,1464.0,2313.0,1647.0,1259.0,1618.0,1566.0,1333.0,1547.0,1441.0,1030.0,723.0,1414.0,1246.0,934.0,962.0,645.0,728.0,794.0,1440.0,851.0,1266.0,1563.0,1421.0,972.0,1255.0,1472.0,1242.0,1512.0,1632.0,1420.0,2629.0,1314.0,2642.0,1661.0,2467.0,2650.0,1416.0,1686.0,2096.0,2429.0,1798.0,1811.0,849.0,3085.0,1491.0,1442.0,646.0,,,,,,,,,2413.0,249.0,60.0,56.0,47.0,64.0,57.0,44.0,65.0,44.0,65.0,54.0,46.0,61.0,56.0,55.0,53.0,57.0,47.0,47.0,63.0,51.0,65.0,59.0,60.0,60.0,60.0,50.0,60.0,59.0,50.0,48.0,63.0,62.0,2.0,9.0,3.0,5.0,1.0
