0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.0,107.0,43.0,46.0,49.0,48.0,56.0,37.0,41.0,53.0,56.0,57.0,47.0,57.0,49.0,45.0,47.0,44.0,45.0,44.0,54.0,46.0,47.0,37.0,53.0,53.0,42.0,44.0,42.0,50.0,43.0,42.0,49.0,7.0,38.0,42.0,37.0,43.0
,,,,,,,,,,,,,2245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.0,144.0,51.0,43.0,48.0,46.0,37.0,55.0,50.0,47.0,37.0,54.0,46.0,58.0,38.0,52.0,51.0,40.0,54.0,44.0,41.0,51.0,53.0,54.0,45.0,43.0,54.0,53.0,50.0,43.0,53.0,42.0,49.0,42.0,9.0,5.0,45.0,9.0
,,,,,,,,,,2294.0,2.0,1510.0,2156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.0,92.0,53.0,51.0,51.0,57.0,58.0,38.0,42.0,46.0,43.0,54.0,40.0,43.0,48.0,52.0,39.0,39.0,53.0,41.0,54.0,57.0,47.0,41.0,55.0,42.0,40.0,43.0,45.0,55.0,41.0,56.0,37.0,39.0,38.0,41.0,5.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.0,49.0,52.0,45.0,52.0,44.0,46.0,39.0,47.0,40.0,48.0,52.0,44.0,48.0,56.0,55.0,40.0,49.0,53.0,40.0,43.0,38.0,37.0,39.0,44.0,41.0,50.0,39.0,45.0,42.0,47.0,51.0,56.0,42.0,2.0,45.0,44.0,43.0
,,,,,2040.0,1822.0,2.0,8.0,1596.0,3.0,1663.0,1379.0,1424.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.0,69.0,58.0,46.0,38.0,54.0,46.0,46.0,52.0,54.0,46.0,48.0,45.0,49.0,41.0,57.0,52.0,57.0,49.0,38.0,52.0,37.0,40.0,52.0,47.0,54.0,55.0,44.0,53.0,54.0,53.0,51.0,45.0,5.0,3.0,2.0,41.0,39.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.0,157.0,44.0,43.0,48.0,39.0,51.0,43.0,58.0,47.0,57.0,42.0,47.0,37.0,44.0,37.0,43.0,39.0,53.0,37.0,56.0,55.0,44.0,47.0,48.0,55.0,37.0,58.0,42.0,57.0,46.0,58.0,56.0,46.0,44.0,0.0,37.0,0.0
,,,,2096.0,1677.0,1513.0,1298.0,2177.0,1.0,1334.0,10.0,1537.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.0,56.0,56.0,52.0,55.0,56.0,46.0,46.0,51.0,38.0,37.0,54.0,42.0,56.0,58.0,41.0,49.0,58.0,47.0,42.0,50.0,48.0,54.0,38.0,37.0,45.0,54.0,41.0,39.0,44.0,47.0,46.0,50.0,44.0,46.0,44.0,4.0,42.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,48.0,47.0,48.0,41.0,57.0,57.0,55.0,41.0,47.0,50.0,51.0,57.0,40.0,58.0,53.0,38.0,52.0,45.0,58.0,45.0,52.0,50.0,43.0,45.0,50.0,42.0,49.0,53.0,57.0,45.0,47.0,5.0,38.0,45.0,2.0,4.0
,,,,,,,,,,1838.0,2048.0,,2099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.0,77.0,49.0,53.0,94.0,37.0,44.0,56.0,53.0,50.0,43.0,58.0,48.0,45.0,56.0,52.0,50.0,51.0,46.0,58.0,39.0,52.0,56.0,37.0,41.0,47.0,49.0,57.0,43.0,37.0,48.0,57.0,58.0,10.0,40.0,5.0,4.0,45.0
,,,,1952.0,1807.0,1291.0,0.0,2.0,1597.0,6.0,7.0,1496.0,1249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.0,56.0,54.0,47.0,38.0,56.0,49.0,56.0,41.0,49.0,52.0,38.0,55.0,38.0,44.0,43.0,37.0,46.0,40.0,44.0,40.0,49.0,44.0,44.0,41.0,48.0,46.0,50.0,46.0,50.0,54.0,46.0,48.0,9.0,5.0,5.0,41.0,43.0
,,,,,,,,,0.0,8.0,5.0,1492.0,1201.0,,,1742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,43.0,57.0,46.0,42.0,38.0,45.0,58.0,48.0,42.0,42.0,55.0,42.0,39.0,38.0,58.0,52.0,51.0,49.0,44.0,58.0,57.0,48.0,41.0,46.0,37.0,50.0,46.0,54.0,47.0,58.0,45.0,54.0,10.0,5.0,2.0,6.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277.0,121.0,55.0,47.0,56.0,53.0,48.0,44.0,40.0,57.0,37.0,53.0,53.0,49.0,52.0,46.0,41.0,55.0,48.0,41.0,53.0,55.0,57.0,43.0,46.0,58.0,58.0,38.0,40.0,50.0,42.0,52.0,39.0,43.0,6.0,42.0,9.0,44.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.0,68.0,52.0,41.0,46.0,51.0,48.0,37.0,55.0,44.0,45.0,51.0,55.0,42.0,54.0,47.0,56.0,45.0,41.0,54.0,43.0,39.0,41.0,56.0,54.0,58.0,38.0,50.0,51.0,41.0,53.0,40.0,44.0,39.0,37.0,47.0,41.0,39.0
,,,,,,,,,,,,,1075.0,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.0,59.0,46.0,44.0,57.0,43.0,39.0,45.0,37.0,39.0,38.0,46.0,53.0,56.0,49.0,52.0,39.0,48.0,38.0,54.0,51.0,52.0,53.0,54.0,45.0,49.0,41.0,58.0,52.0,40.0,56.0,53.0,48.0,8.0,45.0,42.0,4.0,8.0
,,,,1550.0,,1.0,0.0,,1357.0,1361.0,1.0,1404.0,1.0,,,3.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.0,48.0,56.0,38.0,56.0,40.0,42.0,45.0,56.0,57.0,48.0,48.0,52.0,45.0,47.0,44.0,41.0,47.0,58.0,41.0,51.0,54.0,58.0,46.0,52.0,43.0,40.0,49.0,41.0,42.0,41.0,45.0,39.0,6.0,46.0,37.0,5.0,8.0
,,,,,,1865.0,3.0,1934.0,0.0,1047.0,1533.0,2.0,1510.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039.0,48.0,55.0,48.0,42.0,40.0,41.0,42.0,54.0,53.0,39.0,48.0,57.0,42.0,49.0,46.0,47.0,54.0,53.0,47.0,48.0,48.0,41.0,50.0,38.0,51.0,39.0,51.0,46.0,44.0,37.0,47.0,47.0,38.0,4.0,40.0,7.0,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.0,55.0,596.0,51.0,47.0,43.0,53.0,55.0,40.0,46.0,39.0,52.0,55.0,50.0,57.0,43.0,50.0,39.0,52.0,58.0,56.0,52.0,39.0,40.0,38.0,57.0,37.0,45.0,45.0,47.0,53.0,52.0,38.0,37.0,1.0,8.0,47.0,43.0
,,,,,,1918.0,1075.0,2.0,980.0,1340.0,2.0,1617.0,1676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.0,56.0,39.0,51.0,41.0,42.0,51.0,43.0,38.0,40.0,44.0,50.0,45.0,51.0,52.0,52.0,41.0,37.0,53.0,49.0,47.0,58.0,40.0,47.0,40.0,54.0,49.0,50.0,37.0,48.0,42.0,44.0,37.0,3.0,43.0,9.0,5.0,42.0
