0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,619.0,159.0,53.0,53.0,34.0,34.0,37.0,43.0,49.0,35.0,39.0,40.0,46.0,46.0,48.0,53.0,36.0,42.0,40.0,47.0,49.0,53.0,37.0,40.0,49.0,35.0,38.0,44.0,54.0,37.0,45.0,49.0,8.0,35.0,40.0,1.0,8.0
,,,,,,,,,600.0,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,669.0,170.0,45.0,48.0,54.0,40.0,46.0,35.0,43.0,47.0,54.0,48.0,40.0,46.0,51.0,37.0,48.0,35.0,47.0,35.0,39.0,47.0,35.0,45.0,36.0,45.0,49.0,34.0,41.0,52.0,41.0,50.0,37.0,3.0,8.0,42.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,40.0,42.0,50.0,37.0,40.0,45.0,51.0,54.0,38.0,38.0,38.0,42.0,45.0,46.0,50.0,36.0,41.0,45.0,52.0,40.0,47.0,34.0,43.0,49.0,54.0,37.0,42.0,51.0,54.0,34.0,35.0,39.0,43.0,2.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0,35.0,38.0,38.0,42.0,42.0,39.0,41.0,38.0,38.0,36.0,35.0,38.0,39.0,37.0,42.0,51.0,35.0,41.0,48.0,50.0,51.0,36.0,40.0,43.0,40.0,41.0,43.0,49.0,52.0,52.0,7.0,36.0,41.0,43.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,34.0,47.0,52.0,38.0,46.0,48.0,51.0,35.0,42.0,50.0,53.0,37.0,39.0,46.0,49.0,51.0,34.0,39.0,49.0,35.0,41.0,42.0,49.0,40.0,43.0,52.0,37.0,41.0,49.0,48.0,5.0,6.0,7.0,34.0,37.0
,,,,,,,,,,827.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,37.0,41.0,47.0,54.0,36.0,41.0,46.0,51.0,52.0,51.0,53.0,36.0,40.0,41.0,47.0,53.0,35.0,40.0,48.0,55.0,34.0,37.0,42.0,51.0,34.0,34.0,37.0,38.0,43.0,45.0,2.0,6.0,9.0,43.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,54.0,42.0,47.0,51.0,38.0,44.0,45.0,50.0,34.0,41.0,46.0,46.0,48.0,50.0,34.0,41.0,50.0,35.0,39.0,46.0,54.0,39.0,43.0,51.0,34.0,41.0,49.0,54.0,42.0,43.0,1.0,4.0,34.0,38.0,42.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.0,35.0,40.0,43.0,48.0,54.0,36.0,42.0,50.0,34.0,39.0,43.0,49.0,53.0,37.0,44.0,51.0,35.0,42.0,50.0,38.0,48.0,53.0,36.0,39.0,46.0,35.0,37.0,42.0,47.0,52.0,35.0,39.0,2.0,6.0,34.0,41.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.0,46.0,50.0,52.0,54.0,35.0,38.0,48.0,35.0,39.0,42.0,46.0,53.0,34.0,36.0,43.0,49.0,35.0,40.0,40.0,40.0,43.0,52.0,35.0,40.0,48.0,53.0,39.0,42.0,46.0,49.0,5.0,7.0,38.0,41.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,49.0,34.0,39.0,45.0,47.0,50.0,35.0,40.0,48.0,54.0,36.0,43.0,49.0,34.0,42.0,48.0,36.0,43.0,46.0,50.0,35.0,40.0,49.0,53.0,35.0,46.0,53.0,36.0,43.0,46.0,5.0,34.0,43.0,6.0,35.0
