0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.0,36.0,38.0,37.0,46.0,41.0,46.0,52.0,47.0,38.0,37.0,52.0,51.0,43.0,44.0,48.0,35.0,37.0,52.0,52.0,37.0,44.0,50.0,42.0,46.0,40.0,48.0,35.0,2.0,34.0,41.0,41.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,265.0,55.0,53.0,51.0,51.0,54.0,43.0,50.0,54.0,34.0,47.0,0.0,3.0,41.0,40.0,38.0,34.0,40.0,35.0,37.0,36.0,1.0,39.0,43.0,44.0,3.0,41.0,42.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,50.0,39.0,40.0,52.0,40.0,45.0,39.0,40.0,46.0,36.0,46.0,39.0,47.0,49.0,54.0,46.0,34.0,35.0,46.0,54.0,36.0,39.0,42.0,36.0,8.0,39.0,7.0,2.0,7.0,1.0,37.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.0,53.0,39.0,50.0,36.0,35.0,36.0,53.0,34.0,44.0,39.0,35.0,48.0,43.0,38.0,48.0,34.0,54.0,39.0,36.0,35.0,38.0,51.0,53.0,39.0,36.0,42.0,42.0,2.0,5.0,6.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.0,39.0,44.0,41.0,51.0,34.0,36.0,48.0,40.0,38.0,41.0,51.0,44.0,48.0,34.0,41.0,41.0,41.0,45.0,50.0,55.0,42.0,53.0,35.0,40.0,0.0,8.0,35.0,42.0,44.0,44.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,7.0,,,5.0,3.0,113.0,35.0,45.0,47.0,51.0,50.0,54.0,39.0,52.0,50.0,35.0,43.0,43.0,5.0,36.0,36.0,0.0,0.0,9.0,7.0,3.0,39.0,43.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.0,40.0,46.0,39.0,46.0,36.0,52.0,40.0,52.0,44.0,34.0,40.0,45.0,46.0,48.0,50.0,53.0,36.0,38.0,41.0,51.0,53.0,36.0,51.0,41.0,42.0,49.0,39.0,7.0,44.0,38.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.0,47.0,48.0,51.0,51.0,35.0,44.0,45.0,47.0,55.0,45.0,38.0,35.0,54.0,36.0,47.0,50.0,37.0,39.0,44.0,44.0,36.0,55.0,35.0,50.0,51.0,50.0,2.0,34.0,35.0,0.0,34.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,40.0,38.0,35.0,44.0,34.0,52.0,39.0,50.0,41.0,52.0,39.0,50.0,35.0,45.0,39.0,50.0,49.0,36.0,34.0,53.0,45.0,54.0,46.0,37.0,38.0,44.0,48.0,44.0,44.0,40.0,54.0,37.0,39.0,41.0,4.0,37.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,932.0,45.0,34.0,43.0,49.0,39.0,41.0,41.0,50.0,40.0,51.0,50.0,37.0,48.0,36.0,52.0,45.0,51.0,54.0,41.0,34.0,36.0,4.0,1.0,0.0,0.0,5.0,2.0
