0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4176.0,6.0,4806.0,3.0,4699.0,2324.0,1.0,8.0,1.0,2.0,4133.0,4.0,2.0,2061.0,2697.0,2016.0,7.0,5.0,3211.0,4.0,3049.0,2986.0,2016.0,3623.0,2064.0,2.0,5.0,1.0,5.0,5.0,2350.0,3297.0,1470.0,4508.0,7.0,10.0,9.0,2300.0,2727.0,5.0,1860.0,2595.0,2633.0,2413.0,0.0,1738.0,4290.0,1620.0,3534.0,7.0,628.0,47.0,39.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4088.0,6.0,4086.0,5.0,3316.0,6.0,2345.0,3646.0,5.0,3159.0,1687.0,4046.0,1266.0,4.0,1178.0,4112.0,3.0,3534.0,7.0,4593.0,1777.0,2194.0,7.0,0.0,0.0,8.0,1668.0,4685.0,0.0,8.0,7.0,3453.0,1165.0,4880.0,1665.0,3431.0,2.0,2566.0,1496.0,3695.0,1861.0,5.0,5.0,1237.0,1373.0,0.0,2.0,6.0,1333.0,3541.0,5.0,43.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4330.0,5.0,5.0,9.0,5.0,3643.0,3491.0,3.0,7.0,0.0,9.0,5.0,1382.0,4061.0,2063.0,1.0,1734.0,3122.0,6.0,4112.0,2134.0,2618.0,2306.0,6.0,1621.0,4.0,1825.0,2939.0,2.0,3429.0,1.0,3708.0,2149.0,1.0,10.0,1751.0,3.0,1996.0,10.0,10.0,3070.0,2588.0,6.0,8.0,2.0,5.0,1776.0,2.0,2521.0,1833.0,6.0,30.0,43.0,46.0,34.0,37.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4044.0,0.0,3313.0,2.0,10.0,4020.0,1819.0,7.0,2720.0,9.0,7.0,2176.0,4.0,5.0,2042.0,9.0,4042.0,1206.0,6.0,8.0,1254.0,3252.0,1927.0,5.0,1605.0,7.0,9.0,1169.0,5.0,1751.0,4.0,1579.0,2.0,1355.0,2461.0,3359.0,1730.0,2904.0,3.0,4308.0,5.0,3929.0,1340.0,3870.0,1626.0,2.0,2.0,3.0,3139.0,2.0,8.0,44.0,40.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4374.0,7.0,0.0,2718.0,4893.0,2058.0,4856.0,2172.0,7.0,1779.0,7.0,2767.0,2785.0,1.0,2705.0,4.0,3672.0,1402.0,2.0,1711.0,3378.0,1818.0,3444.0,876.0,4048.0,2104.0,4.0,6.0,8.0,1490.0,7.0,1185.0,0.0,3097.0,2851.0,2.0,6.0,1840.0,2285.0,3077.0,2151.0,6.0,3.0,2168.0,1738.0,4396.0,1296.0,4463.0,1624.0,9.0,5.0,42.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4308.0,10.0,10.0,3.0,3033.0,10.0,9.0,2853.0,6.0,2462.0,2.0,0.0,10.0,10.0,10.0,3730.0,1535.0,3798.0,6.0,3849.0,9.0,3885.0,2.0,4460.0,1602.0,4352.0,1363.0,3.0,1405.0,7.0,1470.0,3583.0,1759.0,2.0,2.0,1.0,1718.0,6.0,4.0,8.0,9.0,1406.0,4832.0,1624.0,3757.0,2322.0,5.0,9.0,4.0,2153.0,791.0,42.0,41.0,49.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000.0,3222.0,1.0,0.0,2548.0,1.0,1993.0,2.0,7.0,1.0,1709.0,4324.0,2194.0,4246.0,1008.0,4418.0,1.0,3466.0,1779.0,0.0,0.0,3183.0,3161.0,0.0,3429.0,2220.0,3777.0,9.0,3.0,1310.0,7.0,6.0,9.0,8.0,2498.0,8.0,3.0,6.0,1.0,2986.0,4.0,1623.0,2938.0,5.0,0.0,10.0,3162.0,2.0,4221.0,0.0,870.0,40.0,51.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4198.0,2835.0,3091.0,3096.0,1.0,9.0,6.0,6.0,3560.0,3.0,3842.0,10.0,2507.0,2.0,2394.0,8.0,7.0,2814.0,2039.0,3756.0,1496.0,3145.0,2192.0,2793.0,3.0,8.0,2239.0,1.0,3.0,1.0,5.0,1.0,3122.0,4.0,2571.0,10.0,2154.0,3.0,1596.0,10.0,1228.0,4221.0,1443.0,8.0,1.0,7.0,2.0,2067.0,3056.0,1.0,1069.0,40.0,44.0,48.0,54.0,34.0,47.0,40.0,45.0,53.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4440.0,6.0,9.0,4502.0,5.0,4784.0,2188.0,2.0,8.0,2174.0,3162.0,1754.0,2618.0,2784.0,2068.0,3122.0,0.0,2.0,7.0,8.0,8.0,3407.0,1691.0,3599.0,2065.0,4.0,6.0,6.0,1823.0,4.0,1758.0,2962.0,9.0,2500.0,4.0,1.0,2.0,1825.0,7.0,1597.0,5.0,0.0,2633.0,1887.0,3159.0,3.0,7.0,10.0,0.0,1.0,1005.0,42.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4198.0,10.0,0.0,2283.0,4612.0,1.0,3.0,9.0,7.0,3585.0,8.0,2.0,1.0,2836.0,3158.0,6.0,2043.0,3136.0,2002.0,6.0,2.0,9.0,0.0,3272.0,1.0,3.0,1.0,2373.0,2111.0,0.0,2548.0,2179.0,9.0,3298.0,1605.0,3343.0,2200.0,5.0,1907.0,5.0,1620.0,2.0,2.0,8.0,2634.0,2766.0,2742.0,2942.0,1542.0,2718.0,988.0,39.0,36.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
