0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4198.0,4061.0,3935.0,3.0,1.0,6.0,1.0,0.0,4085.0,4343.0,1.0,10.0,6.0,7.0,4702.0,10.0,4061.0,0.0,4235.0,0.0,1.0,4233.0,4041.0,9.0,4284.0,2.0,4367.0,4.0,3975.0,3950.0,3978.0,0.0,6.0,4109.0,3887.0,2.0,6.0,7.0,3860.0,4083.0,3578.0,0.0,3449.0,1.0,3.0,9.0,3134.0,7.0,8.0,4.0,9.0,2966.0,2299.0,2541.0,2196.0,2430.0,2051.0,2261.0,1883.0,1949.0,1691.0,1945.0,2029.0,1990.0,1936.0,1834.0,1708.0,1729.0,1977.0,1561.0,5.0,5.0,0.0,8.0,6.0,1577.0,1603.0,6.0,0.0,1463.0,1424.0,4.0,1571.0,1468.0,6.0,1531.0,1397.0,8.0,4.0,4.0,10.0,5.0,2.0,10.0,6.0,1317.0,1329.0,9.0,3.0,1183.0
4418.0,2.0,5.0,4129.0,4109.0,10.0,2.0,4218.0,8.0,4479.0,4079.0,3888.0,1.0,5.0,1.0,4086.0,4.0,3.0,1.0,4239.0,5.0,4175.0,4022.0,3845.0,6.0,10.0,6.0,4235.0,4.0,3930.0,6.0,3669.0,4013.0,3.0,2.0,3907.0,3859.0,8.0,1.0,4019.0,4020.0,6.0,3712.0,2.0,5.0,3621.0,3.0,3273.0,2855.0,2372.0,2474.0,2998.0,2828.0,2806.0,2301.0,2420.0,2265.0,1968.0,1922.0,2029.0,1881.0,1828.0,1850.0,1828.0,1485.0,1756.0,1838.0,1673.0,1722.0,1716.0,0.0,6.0,1.0,0.0,2.0,8.0,1660.0,3.0,3.0,10.0,0.0,7.0,1.0,9.0,1358.0,1602.0,1.0,1293.0,5.0,3.0,1317.0,6.0,1353.0,1286.0,8.0,1335.0,1312.0,1203.0,1176.0,6.0
4022.0,4199.0,3.0,4415.0,7.0,4.0,3.0,10.0,4433.0,8.0,4189.0,2.0,6.0,1.0,4391.0,10.0,4369.0,4124.0,4365.0,4256.0,10.0,3910.0,3839.0,5.0,3.0,6.0,4287.0,4.0,3884.0,7.0,7.0,4483.0,4149.0,4238.0,3994.0,4153.0,0.0,4168.0,3886.0,6.0,9.0,9.0,6.0,5294.0,3906.0,7.0,3314.0,2.0,2744.0,10.0,6.0,2889.0,2600.0,2534.0,2600.0,2438.0,2310.0,2248.0,2356.0,1821.0,1835.0,1915.0,2033.0,2092.0,1750.0,1883.0,2041.0,1723.0,1736.0,1504.0,1598.0,7.0,1752.0,9.0,1557.0,1395.0,2.0,4.0,2.0,1509.0,1398.0,1405.0,1491.0,1529.0,1600.0,1312.0,5.0,1329.0,1360.0,0.0,7.0,1464.0,6.0,9.0,1223.0,3.0,1352.0,1075.0,1268.0,7.0
4242.0,3751.0,4387.0,4057.0,6.0,0.0,4414.0,3.0,5.0,4195.0,3991.0,4265.0,4191.0,6.0,3975.0,10.0,4126.0,4195.0,4368.0,4037.0,1.0,2.0,4503.0,2.0,3.0,6.0,3904.0,4105.0,5.0,4239.0,8.0,4302.0,10.0,3822.0,3952.0,4.0,7.0,7.0,3575.0,5.0,4.0,3798.0,3683.0,6.0,4.0,3225.0,3358.0,3727.0,7.0,2433.0,6.0,3276.0,2466.0,2490.0,2385.0,2214.0,2189.0,2156.0,2396.0,2233.0,2091.0,2210.0,1864.0,1865.0,1863.0,1890.0,1767.0,1698.0,1858.0,1500.0,9.0,0.0,1446.0,1619.0,0.0,3.0,7.0,4.0,7.0,1486.0,7.0,0.0,10.0,1665.0,9.0,6.0,3.0,3.0,9.0,1447.0,1398.0,1581.0,1395.0,5.0,1420.0,1184.0,1286.0,1242.0,1314.0,1.0
4528.0,2.0,4215.0,4129.0,9.0,4110.0,5.0,6.0,4040.0,3.0,9.0,6.0,10.0,3913.0,4107.0,0.0,1.0,4.0,4414.0,8.0,6.0,4431.0,3818.0,4300.0,4241.0,4505.0,4220.0,9.0,4044.0,4326.0,6.0,0.0,3.0,3912.0,3903.0,4019.0,3691.0,7.0,2.0,2.0,3624.0,10.0,3375.0,2.0,5.0,1.0,3270.0,3295.0,2939.0,2545.0,0.0,3789.0,2777.0,2655.0,2253.0,2447.0,2145.0,2379.0,1970.0,2036.0,1834.0,2027.0,1688.0,1738.0,1786.0,1696.0,1615.0,1685.0,1680.0,1532.0,2.0,10.0,2.0,10.0,1448.0,5.0,1401.0,7.0,4.0,1382.0,2.0,8.0,1424.0,1442.0,1339.0,1361.0,1532.0,1549.0,4.0,1405.0,5.0,1329.0,10.0,1181.0,1314.0,7.0,1244.0,1312.0,1375.0,1.0
4418.0,4308.0,8.0,10.0,4084.0,4193.0,5.0,3.0,0.0,4242.0,3864.0,3.0,4131.0,4088.0,3753.0,6.0,4219.0,8.0,4243.0,4036.0,3441.0,4.0,3.0,4085.0,1.0,4191.0,3.0,3.0,0.0,4017.0,4125.0,4038.0,4329.0,3910.0,4.0,3908.0,0.0,0.0,7.0,7.0,10.0,3862.0,4.0,6.0,9.0,3205.0,,3341.0,0.0,2613.0,1.0,2682.0,3002.0,2404.0,2453.0,2341.0,2164.0,2256.0,2228.0,2174.0,2013.0,1999.0,1864.0,1913.0,1479.0,1820.0,1844.0,1532.0,1499.0,1458.0,1.0,7.0,1.0,2.0,1493.0,1512.0,7.0,2.0,1551.0,6.0,4.0,1530.0,1381.0,1443.0,1.0,1468.0,3.0,1383.0,4.0,1268.0,1375.0,3.0,6.0,0.0,3.0,6.0,1377.0,1329.0,4.0,1295.0
4220.0,8.0,3887.0,4147.0,6.0,4.0,4523.0,10.0,5.0,3.0,4190.0,9.0,4527.0,4286.0,8.0,4238.0,9.0,3.0,4175.0,4017.0,3.0,3.0,5.0,4146.0,4218.0,4258.0,4149.0,4367.0,2.0,3663.0,4.0,4146.0,9.0,3.0,8.0,3815.0,7.0,0.0,3891.0,8.0,8.0,10.0,10.0,3733.0,,3528.0,,3199.0,2807.0,7.0,2349.0,3473.0,2537.0,2664.0,2435.0,2303.0,2288.0,2218.0,2015.0,1862.0,2001.0,1989.0,1887.0,2107.0,1698.0,1627.0,1867.0,1506.0,1852.0,1588.0,1574.0,1.0,1574.0,1669.0,1.0,1625.0,1997.0,8.0,6.0,6.0,1574.0,1594.0,1.0,3.0,1448.0,5.0,1375.0,8.0,1449.0,9.0,1376.0,9.0,1510.0,9.0,1200.0,1.0,1361.0,6.0,1067.0,1220.0
4286.0,3.0,3.0,4.0,5.0,4475.0,0.0,5.0,4013.0,6.0,6.0,4432.0,8.0,5.0,3.0,4123.0,8.0,3971.0,5.0,8.0,8.0,4718.0,8.0,6.0,8.0,4409.0,3998.0,3.0,10.0,3995.0,4219.0,1.0,9.0,4017.0,6.0,10.0,10.0,4039.0,3665.0,7.0,3.0,4.0,2.0,2.0,9.0,3773.0,5.0,9.0,2813.0,8.0,7.0,3201.0,2424.0,2653.0,2392.0,2322.0,2261.0,2088.0,2244.0,1880.0,1981.0,1962.0,1949.0,1584.0,1865.0,1867.0,1597.0,1717.0,1654.0,1468.0,9.0,1623.0,8.0,1620.0,1616.0,1688.0,10.0,1483.0,1.0,8.0,1373.0,1577.0,5.0,1338.0,8.0,4.0,9.0,6.0,1351.0,9.0,1358.0,3.0,6.0,7.0,1355.0,1351.0,1399.0,1222.0,1.0,5.0
4132.0,3.0,4101.0,9.0,3.0,4281.0,4480.0,8.0,8.0,5.0,4197.0,10.0,4415.0,4455.0,4214.0,3882.0,4369.0,4389.0,4347.0,4261.0,8.0,4154.0,4433.0,8.0,8.0,0.0,4175.0,9.0,6.0,4.0,3.0,6.0,1.0,1.0,4035.0,4110.0,5.0,1.0,3885.0,,3784.0,10.0,3825.0,3311.0,1.0,3471.0,3398.0,3404.0,6.0,5.0,2521.0,2719.0,2693.0,2639.0,2232.0,2184.0,2364.0,2240.0,1912.0,2157.0,2275.0,1482.0,1951.0,1864.0,1867.0,1825.0,1849.0,2016.0,1704.0,1567.0,1813.0,2.0,2.0,1471.0,9.0,5.0,1534.0,1464.0,8.0,1466.0,1339.0,8.0,1663.0,8.0,1464.0,1330.0,1359.0,2.0,4.0,3.0,1511.0,1404.0,4.0,0.0,9.0,6.0,1155.0,1182.0,1361.0,9.0
4572.0,7.0,4258.0,4433.0,2.0,4260.0,4285.0,4146.0,6.0,2.0,7.0,4304.0,8.0,3.0,5.0,1.0,3737.0,4190.0,10.0,1.0,4168.0,4153.0,9.0,1.0,3905.0,4390.0,0.0,3907.0,7.0,4111.0,3908.0,8.0,0.0,1.0,4.0,3839.0,7.0,3954.0,9.0,0.0,5.0,3597.0,6.0,9.0,6.0,1.0,9.0,8.0,7.0,2583.0,3.0,3219.0,2707.0,2544.0,2227.0,2274.0,2128.0,1989.0,1885.0,2136.0,1970.0,1843.0,1836.0,1682.0,1829.0,1807.0,1965.0,1875.0,1698.0,1732.0,1684.0,1601.0,1601.0,3.0,2.0,1382.0,1461.0,1687.0,1379.0,1598.0,9.0,7.0,4.0,6.0,7.0,1488.0,6.0,5.0,1380.0,1382.0,2.0,1309.0,1294.0,3.0,8.0,1266.0,1114.0,5.0,10.0,1048.0
