0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1933.0,,,,33.0,,,,,,39.0,,,,,,41.0,,,,,,42.0,,,,50.0,,37.0,,,,33.0,,,,37.0,,,,33.0,,,,36.0,,,,47.0,,,,41.0,,48.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1593.0,,,,37.0,,,,,,34.0,,,,,,31.0,,,,,,48.0,,,,41.0,,44.0,,,,43.0,,,,48.0,,,,48.0,,,,41.0,,,,39.0,,,,40.0,,36.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1848.0,,,,42.0,,,,,,31.0,,,,,,52.0,,,,,,37.0,,,,51.0,,51.0,,,,41.0,,,,48.0,,,,33.0,,,,37.0,,,,49.0,,,,51.0,,47.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2078.0,,,,38.0,,,,,,,,,,,,,,,,,,44.0,,,,38.0,,33.0,,,,42.0,,,,36.0,,,,34.0,,,,37.0,,,,48.0,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1781.0,,,,34.0,,,,,,37.0,,,,,,45.0,,,,,,41.0,,,,32.0,,41.0,,,,40.0,,,,46.0,,,,31.0,,,,47.0,,,,35.0,,,,49.0,,43.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1918.0,,,,35.0,,,,,,,,,,,,39.0,,,,,,43.0,,,,35.0,,32.0,,,,40.0,,,,32.0,,,,39.0,,,,34.0,,,,46.0,,,,31.0,,42.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1913.0,,,,39.0,,,,,,9.0,,,,,,33.0,,,,,,41.0,,,,38.0,,38.0,,,,33.0,,,,42.0,,,,49.0,,,,37.0,,,,39.0,,,,31.0,,36.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1572.0,,,,50.0,,,,,,31.0,,,,,,48.0,,,,,,35.0,,,,32.0,,38.0,,,,32.0,,,,45.0,,,,41.0,,,,35.0,,,,52.0,,,,52.0,,43.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1622.0,,,,46.0,,,,,,38.0,,,,,,40.0,,,,,,43.0,,,,43.0,,40.0,,,,31.0,,,,34.0,,,,48.0,,,,39.0,,,,51.0,,,,37.0,,37.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2085.0,,,,31.0,,,,,,,,,,,,,,,,,,47.0,,,,33.0,,45.0,,,,36.0,,,,47.0,,,,41.0,,,,41.0,,,,47.0,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1581.0,,,,38.0,,,,,,40.0,,,,,,42.0,,,,,,31.0,,,,33.0,,36.0,,,,41.0,,,,43.0,,,,42.0,,,,52.0,,,,34.0,,,,44.0,,43.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1805.0,,,,43.0,,,,,,35.0,,,,,,32.0,,,,,,38.0,,,,32.0,,37.0,,,,43.0,,,,38.0,,,,38.0,,,,31.0,,,,51.0,,,,40.0,,45.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1715.0,,,,44.0,,,,,,32.0,,,,,,31.0,,,,,,41.0,,,,34.0,,36.0,,,,52.0,,,,32.0,,,,34.0,,,,38.0,,,,48.0,,,,37.0,,39.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1855.0,,,,38.0,,,,,,,,,,,,37.0,,,,,,51.0,,,,37.0,,40.0,,,,31.0,,,,40.0,,,,47.0,,,,48.0,,,,39.0,,,,45.0,,37.0,,9.0,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1566.0,,,,42.0,,,,,,31.0,,,,,,42.0,,,,,,38.0,,,,39.0,,33.0,,,,47.0,,,,39.0,,,,44.0,,,,51.0,,,,36.0,,,,51.0,,46.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1467.0,,,,52.0,,,,,,3.0,,,,,,31.0,,,,,,41.0,,,,34.0,,34.0,,,,38.0,,,,47.0,,,,51.0,,,,40.0,,,,38.0,,,,37.0,,34.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2070.0,,,,34.0,,,,,,,,,,,,37.0,,,,,,39.0,,,,45.0,,41.0,,,,45.0,,,,50.0,,,,34.0,,,,35.0,,,,39.0,,,,46.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1650.0,,,,52.0,,,,,,34.0,,,,,,41.0,,,,,,48.0,,,,38.0,,33.0,,,,40.0,,,,42.0,,,,40.0,,,,44.0,,,,32.0,,,,49.0,,50.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1805.0,,,,52.0,,,,,,40.0,,,,,,34.0,,,,,,46.0,,,,49.0,,48.0,,,,47.0,,,,45.0,,,,38.0,,,,38.0,,,,50.0,,,,31.0,,43.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1708.0,,,,51.0,,,,,,7.0,,,,,,45.0,,,,,,35.0,,,,31.0,,46.0,,,,41.0,,,,39.0,,,,43.0,,,,36.0,,,,43.0,,,,31.0,,34.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1624.0,,,,44.0,,,,,,33.0,,,,,,31.0,,,,,,35.0,,,,49.0,,33.0,,,,51.0,,,,34.0,,,,46.0,,,,42.0,,,,41.0,,,,45.0,,37.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1644.0,,,,38.0,,,,,,10.0,,,,,,50.0,,,,,,37.0,,,,50.0,,50.0,,,,39.0,,,,50.0,,,,46.0,,,,41.0,,,,48.0,,,,51.0,,46.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1731.0,,,,39.0,,,,,,3.0,,,,,,35.0,,,,,,40.0,,,,35.0,,40.0,,,,41.0,,,,48.0,,,,38.0,,,,41.0,,,,32.0,,,,33.0,,48.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1564.0,,,,47.0,,,,,,36.0,,,,,,46.0,,,,,,44.0,,,,43.0,,36.0,,,,49.0,,,,45.0,,,,46.0,,,,45.0,,,,41.0,,,,40.0,,43.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1544.0,,,,45.0,,,,,,32.0,,,,,,31.0,,,,,,32.0,,,,40.0,,31.0,,,,31.0,,,,36.0,,,,31.0,,,,34.0,,,,37.0,,,,41.0,,48.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1709.0,,,,50.0,,,,,,39.0,,,,,,36.0,,,,,,39.0,,,,43.0,,33.0,,,,43.0,,,,47.0,,,,32.0,,,,42.0,,,,44.0,,,,33.0,,43.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1442.0,,,,34.0,,,,,,4.0,,,,,,38.0,,,,,,45.0,,,,33.0,,38.0,,,,36.0,,,,46.0,,,,33.0,,,,48.0,,,,44.0,,,,50.0,,48.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
