0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,963.0,,,,1240.0,,,,909.0,,,,,,,,,,,,,,39.0,,765.0,,,,,,,,625.0,,502.0,,152.0,,554.0,,36.0,,38.0,,40.0,,55.0,,34.0,,419.0,,49.0,,,,3.0,,,,,,714.0,,,,,,,,,,,,755.0,,,,,,,,697.0,,785.0,,,,,,43.0,,51.0,,54.0,,,,802.0
,,,,,,,,,925.0,,,,,,,,,,,,,,311.0,,,,,,819.0,,,,322.0,,698.0,,46.0,,783.0,,48.0,,54.0,,41.0,,47.0,,50.0,,628.0,,42.0,,,,8.0,,,,,,845.0,,,,,,,,,,,,,,,,,,705.0,,375.0,,309.0,,,,44.0,,44.0,,41.0,,48.0,,469.0,,399.0
,1044.0,,,,,,,,817.0,,,,,,,,,,,,,,212.0,,794.0,,,,,,,,367.0,,751.0,,604.0,,636.0,,51.0,,45.0,,38.0,,50.0,,105.0,,339.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,,607.0,,,,,,,,644.0,,,,789.0,,480.0,,41.0,,38.0,,672.0,,36.0
,,,,,,,,,697.0,,,,,,,,,,,,,,378.0,,,,,,,,,,523.0,,778.0,,443.0,,698.0,,50.0,,43.0,,43.0,,53.0,,40.0,,50.0,,39.0,,,,5.0,,,,,,674.0,,,,,,,,,,,,,,702.0,,766.0,,793.0,,443.0,,54.0,,,,43.0,,34.0,,54.0,,36.0,,680.0,,54.0
,,,,,,,,,919.0,,,,,,,,,,,,,,323.0,,739.0,,,,771.0,,,,43.0,,,,585.0,,,,36.0,,41.0,,42.0,,38.0,,44.0,,372.0,,35.0,,,,,,,,,,,,,,,,,,,,,,864.0,,720.0,,,,393.0,,322.0,,38.0,,,,44.0,,41.0,,35.0,,53.0,,38.0,,34.0
,,,,,,,,,870.0,,,,,,,,,,,,,,52.0,,,,,,,,,,465.0,,809.0,,256.0,,555.0,,43.0,,54.0,,45.0,,34.0,,36.0,,405.0,,459.0,,,,,,,,,,850.0,,,,,,,,,,,,716.0,,771.0,,736.0,,553.0,,321.0,,35.0,,,,35.0,,38.0,,49.0,,38.0,,735.0,,323.0
,,,,,,,,,842.0,,,,,,,,,,,,,,224.0,,,,,,,,,,718.0,,531.0,,194.0,,395.0,,45.0,,54.0,,44.0,,52.0,,53.0,,730.0,,40.0,,,,4.0,,,,,,832.0,,,,,,,,,,,,,,734.0,,790.0,,445.0,,337.0,,375.0,,,,544.0,,51.0,,47.0,,42.0,,36.0,,49.0
,,,,,,,,,671.0,,,,,,,,,,,,,,317.0,,678.0,,,,,,,,691.0,,632.0,,108.0,,,,52.0,,151.0,,52.0,,46.0,,52.0,,703.0,,50.0,,,,,,,,,,696.0,,,,,,,,,,,,,,653.0,,,,486.0,,130.0,,35.0,,785.0,,41.0,,399.0,,109.0,,54.0,,54.0,,35.0
,1034.0,,,,1096.0,,,,931.0,,,,,,,,,,,,,,418.0,,,,,,,,,,560.0,,53.0,,231.0,,366.0,,51.0,,43.0,,37.0,,51.0,,239.0,,639.0,,83.0,,,,,,,,,,805.0,,,,,,,,,,,,,,697.0,,,,631.0,,425.0,,499.0,,,,57.0,,41.0,,54.0,,50.0,,54.0,,48.0
,,,,,,,,,933.0,,,,,,,,,,,,,,363.0,,,,834.0,,,,,,641.0,,,,569.0,,726.0,,35.0,,50.0,,46.0,,41.0,,40.0,,40.0,,47.0,,,,,,,,,,,,,,,,,,,,,,765.0,,657.0,,,,755.0,,39.0,,387.0,,,,713.0,,55.0,,53.0,,47.0,,37.0,,492.0
,,,,,,,,,790.0,,,,,,,,,,,,,,493.0,,,,,,,,,,501.0,,827.0,,428.0,,,,41.0,,45.0,,39.0,,48.0,,45.0,,,,108.0,,,,5.0,,,,,,859.0,,,,,,,,,,,,,,622.0,,660.0,,615.0,,371.0,,367.0,,,,45.0,,54.0,,45.0,,43.0,,789.0,,50.0
,,,,,,,,,769.0,,,,,,,,,,,,,,51.0,,,,,,,,,,184.0,,220.0,,39.0,,525.0,,122.0,,41.0,,36.0,,46.0,,53.0,,549.0,,228.0,,,,,,,,,,853.0,,,,,,,,,,,,,,,,576.0,,650.0,,427.0,,639.0,,,,776.0,,245.0,,295.0,,129.0,,,,823.0
,1076.0,,,,,,,,945.0,,,,,,,,,,,,,,242.0,,770.0,,,,,,,,460.0,,452.0,,166.0,,,,232.0,,140.0,,44.0,,40.0,,50.0,,502.0,,674.0,,,,0.0,,,,,,729.0,,,,799.0,,,,,,,,,,608.0,,,,,,519.0,,641.0,,,,512.0,,39.0,,52.0,,45.0,,456.0,,49.0
,,,,,,,,,748.0,,,,,,,,,,,,,,270.0,,,,,,783.0,,,,617.0,,,,544.0,,766.0,,55.0,,52.0,,40.0,,34.0,,37.0,,,,472.0,,,,,,,,,,713.0,,,,,,,,,,,,,,,,558.0,,,,351.0,,459.0,,669.0,,35.0,,38.0,,34.0,,37.0,,565.0,,50.0
,,,,,,,,,866.0,,,,,,,,,,,,,,208.0,,,,,,848.0,,,,785.0,,262.0,,470.0,,458.0,,42.0,,51.0,,41.0,,36.0,,248.0,,45.0,,574.0,,,,6.0,,,,,,,,,,,,,,,,,,457.0,,339.0,,,,769.0,,459.0,,474.0,,,,34.0,,42.0,,45.0,,55.0,,613.0,,382.0
,,,,,,,,,,,,,,,,,,,,,,,440.0,,,,,,,,,,498.0,,115.0,,80.0,,51.0,,35.0,,45.0,,47.0,,34.0,,48.0,,770.0,,629.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,635.0,,394.0,,544.0,,,,799.0,,309.0,,37.0,,53.0,,51.0,,46.0
,,,,,,,,,,,,,,,,,,,,,,,389.0,,,,,,804.0,,,,541.0,,540.0,,444.0,,575.0,,52.0,,54.0,,39.0,,54.0,,49.0,,156.0,,46.0,,,,,,,,,,661.0,,,,,,,,,,,,,,577.0,,,,364.0,,474.0,,35.0,,,,52.0,,51.0,,48.0,,45.0,,479.0,,702.0
,1079.0,,,,,,,,840.0,,,,,,,,,,,,,,116.0,,538.0,,,,,,,,474.0,,370.0,,432.0,,567.0,,42.0,,35.0,,45.0,,53.0,,36.0,,47.0,,39.0,,,,7.0,,,,,,,,,,,,,,,,,,543.0,,499.0,,,,687.0,,252.0,,37.0,,632.0,,413.0,,129.0,,53.0,,34.0,,469.0,,40.0
,,,,,,,,,683.0,,,,,,,,,,,,,,238.0,,722.0,,,,797.0,,,,564.0,,,,437.0,,429.0,,48.0,,34.0,,40.0,,35.0,,47.0,,394.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,,607.0,,637.0,,478.0,,35.0,,55.0,,815.0,,183.0,,45.0,,35.0,,49.0,,612.0,,599.0
,,,,,,,,,813.0,,,,,,,,,,,,,,286.0,,856.0,,,,800.0,,,,577.0,,498.0,,330.0,,717.0,,44.0,,49.0,,40.0,,55.0,,53.0,,135.0,,37.0,,,,2.0,,,,,,666.0,,,,799.0,,,,,,,,699.0,,696.0,,,,698.0,,496.0,,371.0,,,,55.0,,41.0,,45.0,,47.0,,803.0,,726.0
,,,,,,,,,926.0,,,,,,,,,,,,,,214.0,,,,,,789.0,,,,779.0,,222.0,,179.0,,39.0,,47.0,,49.0,,44.0,,46.0,,39.0,,666.0,,42.0,,,,,,,,,,849.0,,,,,,,,,,,,,,829.0,,822.0,,333.0,,323.0,,370.0,,818.0,,39.0,,50.0,,53.0,,50.0,,54.0,,42.0
,,,,,,,,,664.0,,,,,,,,,,,,,,326.0,,,,,,797.0,,,,726.0,,501.0,,412.0,,37.0,,49.0,,46.0,,44.0,,53.0,,50.0,,532.0,,158.0,,,,8.0,,,,,,,,,,,,,,,,,,,,648.0,,675.0,,706.0,,329.0,,50.0,,604.0,,39.0,,53.0,,54.0,,51.0,,540.0,,38.0
,,,,,,,,,723.0,,,,,,,,,,,,,,217.0,,,,,,703.0,,,,442.0,,413.0,,45.0,,49.0,,52.0,,53.0,,54.0,,36.0,,54.0,,43.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,861.0,,727.0,,405.0,,269.0,,361.0,,,,49.0,,38.0,,47.0,,234.0,,39.0,,563.0
,1097.0,,,,,,,,763.0,,,,,,,,,,,,,,362.0,,806.0,,,,,,,,,,396.0,,275.0,,719.0,,64.0,,49.0,,343.0,,47.0,,518.0,,316.0,,724.0,,,,6.0,,,,,,,,,,,,,,,,,,,,649.0,,793.0,,607.0,,279.0,,38.0,,683.0,,217.0,,53.0,,48.0,,48.0,,641.0,,47.0
,896.0,,,,754.0,,,,932.0,,,,,,,,,,,,,,267.0,,842.0,,,,,,,,38.0,,585.0,,37.0,,651.0,,38.0,,40.0,,40.0,,40.0,,38.0,,404.0,,49.0,,837.0,,5.0,,,,,,,,,,,,,,603.0,,,,749.0,,,,488.0,,689.0,,208.0,,362.0,,,,36.0,,46.0,,40.0,,36.0,,51.0,,48.0
,,,,,,,,,,,,,,,,,,,,,,,207.0,,701.0,,,,,,,,42.0,,843.0,,219.0,,841.0,,34.0,,38.0,,50.0,,35.0,,42.0,,724.0,,462.0,,,,9.0,,,,,,,,,,,,,,,,,,750.0,,654.0,,556.0,,,,318.0,,519.0,,259.0,,44.0,,40.0,,54.0,,49.0,,684.0,,38.0
,,,963.0,,,,,,653.0,,,,,,,,,,,,,,335.0,,,,,,818.0,,,,759.0,,710.0,,49.0,,287.0,,40.0,,55.0,,157.0,,40.0,,125.0,,55.0,,34.0,,,,,,,,,,,,,,,,,,,,,,694.0,,,,,,,,242.0,,39.0,,,,651.0,,301.0,,43.0,,52.0,,43.0,,44.0
,,,,,,,,,838.0,,,,,,,,,,,,,,424.0,,,,,,,,,,638.0,,527.0,,555.0,,750.0,,350.0,,54.0,,170.0,,46.0,,42.0,,54.0,,41.0,,,,9.0,,,,,,,,,,753.0,,,,,,,,750.0,,,,712.0,,709.0,,484.0,,603.0,,,,414.0,,50.0,,45.0,,39.0,,56.0,,87.0
,,,,,,,,,722.0,,,,,,,,,,,,,,376.0,,735.0,,,,,,,,800.0,,613.0,,250.0,,682.0,,42.0,,82.0,,74.0,,45.0,,45.0,,431.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,682.0,,657.0,,674.0,,35.0,,46.0,,,,48.0,,42.0,,49.0,,38.0,,621.0,,45.0
,1103.0,,,,,,,,798.0,,,,,,,,,,,,,,219.0,,810.0,,,,,,,,497.0,,528.0,,296.0,,,,55.0,,34.0,,42.0,,48.0,,53.0,,558.0,,53.0,,,,481.0,,,,,,,,,,,,,,,,,,,,803.0,,,,,,460.0,,679.0,,,,507.0,,324.0,,392.0,,55.0,,,,630.0
