0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1142.0,,555.0,,812.0,,,,,,,,,,,,,,,,,,240.0,,810.0,,,,,,,,718.0,,464.0,,52.0,,528.0,,42.0,,37.0,,38.0,,50.0,,516.0,,,,836.0,,,,,,,,,,,,,,,,,,,,,,,,532.0,,796.0,,791.0,,422.0,,518.0,,,,494.0,,44.0,,39.0,,39.0,,42.0,,657.0
,1074.0,,750.0,,965.0,,,,,,,,,,,,,,,,,,415.0,,682.0,,,,,,,,,,501.0,,321.0,,676.0,,58.0,,59.0,,50.0,,50.0,,65.0,,64.0,,52.0,,,,1.0,,,,,,,,,,,,,,,,,,,,671.0,,,,589.0,,419.0,,62.0,,,,723.0,,67.0,,50.0,,47.0,,844.0,,
,,,555.0,,730.0,,,,,,,,,,,,,,,,,,58.0,,670.0,,,,,,,,563.0,,498.0,,492.0,,661.0,,43.0,,48.0,,50.0,,46.0,,52.0,,,,608.0,,,,9.0,,,,,,,,,,,,,,,,,,,,667.0,,714.0,,688.0,,439.0,,42.0,,,,89.0,,45.0,,55.0,,43.0,,847.0,,
,,,449.0,,803.0,,,,,,,,,,,,,,,,,,350.0,,669.0,,,,,,,,710.0,,543.0,,56.0,,635.0,,39.0,,56.0,,37.0,,46.0,,594.0,,743.0,,633.0,,,,4.0,,,,,,,,,,,,,,,,,,,,676.0,,810.0,,809.0,,58.0,,47.0,,,,672.0,,47.0,,41.0,,45.0,,513.0,,55.0
,,,522.0,,763.0,,,,763.0,,,,,,,,,,,,,,358.0,,762.0,,,,,,,,488.0,,555.0,,326.0,,569.0,,50.0,,50.0,,58.0,,47.0,,57.0,,60.0,,317.0,,,,3.0,,,,,,,,,,,,,,,,,,,,544.0,,743.0,,,,601.0,,696.0,,,,,,526.0,,64.0,,53.0,,67.0,,54.0
,,,545.0,,878.0,,,,,,,,,,,,,,,,,,51.0,,744.0,,,,,,,,611.0,,549.0,,62.0,,628.0,,66.0,,66.0,,47.0,,55.0,,59.0,,643.0,,47.0,,,,18.0,,,,,,,,,,,,,,,,,,,,608.0,,,,752.0,,62.0,,365.0,,,,693.0,,320.0,,65.0,,65.0,,700.0,,715.0
,,,550.0,,809.0,,,,924.0,,,,,,,,,,,,,,362.0,,,,585.0,,,,,,842.0,,491.0,,502.0,,505.0,,47.0,,44.0,,49.0,,40.0,,51.0,,52.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,753.0,,774.0,,,,615.0,,515.0,,,,798.0,,610.0,,44.0,,41.0,,46.0,,46.0
,,,655.0,,807.0,,,,791.0,,,,,,,,,,,,,,385.0,,800.0,,,,,,,,672.0,,492.0,,53.0,,539.0,,48.0,,45.0,,58.0,,49.0,,40.0,,,,708.0,,,,,,,,,,,,,,,,,,,,,,,,646.0,,729.0,,577.0,,385.0,,548.0,,,,,,238.0,,50.0,,43.0,,,,
,,,575.0,,859.0,,,,,,,,,,,,,,,,,,448.0,,,,,,,,,,854.0,,540.0,,470.0,,684.0,,44.0,,49.0,,44.0,,53.0,,52.0,,672.0,,715.0,,,,4.0,,,,,,,,,,,,,,,,,,,,644.0,,,,829.0,,723.0,,843.0,,,,,,44.0,,52.0,,56.0,,650.0,,40.0
,,,410.0,,701.0,,,,,,,,,,,,,,,,,,354.0,,846.0,,,,,,,,538.0,,604.0,,494.0,,766.0,,51.0,,58.0,,47.0,,40.0,,50.0,,,,91.0,,,,4.0,,,,,,,,,,,,,,,,,,,,699.0,,829.0,,,,552.0,,696.0,,,,478.0,,45.0,,54.0,,48.0,,58.0,,46.0
,,,504.0,,754.0,,,,,,,,,,,,,,,,,,45.0,,803.0,,,,,,,,582.0,,617.0,,381.0,,770.0,,42.0,,37.0,,55.0,,48.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.0,,657.0,,775.0,,327.0,,549.0,,,,677.0,,52.0,,37.0,,43.0,,,,695.0
,,,588.0,,629.0,,,,735.0,,,,,,,,,,,,,,474.0,,745.0,,,,,,,,,,482.0,,38.0,,491.0,,40.0,,57.0,,50.0,,49.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,801.0,,746.0,,501.0,,39.0,,,,760.0,,39.0,,44.0,,41.0,,37.0,,45.0
