0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1949.0,,,,50.0,,2555.0,,1723.0,,,,,,,9111.0,,,,1266.0,6491.0,,191.0,,1209.0,,53.0,,1441.0,,1573.0,,745.0,,951.0,,54.0,,70.0,,58.0,,45.0,,41.0,,48.0,18465.0,48.0,,338.0,,59.0,,2055.0,,3346.0,,1528.0,,,,1246.0,,3124.0,,2076.0,,3116.0,,2119.0,,,,1729.0,,964.0,,1061.0,,1224.0,,930.0,,60.0,,1570.0,22039.0,48.0,,57.0,,46.0,,58.0,,220.0,,427.0
,2008.0,,,,37.0,,,,2012.0,21017.0,,,,,,14585.0,,,,52.0,3282.0,,61.0,,1309.0,,1847.0,,1317.0,20924.0,2206.0,,55.0,,791.0,,54.0,,49.0,,57.0,,50.0,19271.0,61.0,,59.0,,56.0,,491.0,,42.0,,1809.0,,,,2091.0,,,,1723.0,,4171.0,,1567.0,,3059.0,,56.0,,,,840.0,,999.0,,3836.0,,105.0,,152.0,,66.0,,3.0,,86.0,,55.0,,57.0,,55.0,,684.0,,532.0
,1852.0,,,,33.0,,1847.0,,1456.0,,,,,,,,2858.0,,,,,,48.0,,1041.0,,60.0,,1404.0,,1668.0,,60.0,,983.0,,59.0,,44.0,,58.0,,53.0,,59.0,,46.0,,52.0,,446.0,,741.0,,1863.0,,3113.0,,2474.0,,16863.0,,1700.0,,,,,,2305.0,,58.0,,,,1195.0,,999.0,,1049.0,,1088.0,,354.0,,54.0,,47.0,,55.0,,42.0,,43.0,,57.0,,44.0,,395.0
,1792.0,,,,34.0,,1551.0,,1565.0,,4632.0,,,,,,3874.0,17672.0,9544.0,,,,922.0,,1084.0,,45.0,,1629.0,,1745.0,,57.0,,654.0,,42.0,,43.0,,493.0,,53.0,,604.0,,440.0,,56.0,,53.0,,56.0,,1721.0,,,,2726.0,,17370.0,,1317.0,,,,2074.0,,2334.0,,1483.0,,,,1562.0,,1221.0,,1335.0,,1423.0,,52.0,,54.0,,53.0,,43.0,,49.0,,51.0,,44.0,,60.0,,48.0
,1602.0,,,,38.0,,,,1800.0,,,,,,,,,25545.0,19840.0,,,,798.0,,1119.0,,1193.0,,1571.0,,2086.0,,45.0,,703.0,,58.0,,73.0,,53.0,,60.0,,43.0,,61.0,,105.0,,70.0,,75.0,,1922.0,,2808.0,,2339.0,,,,638.0,,,,,,,,2120.0,,,,2997.0,,987.0,,1638.0,,1260.0,,836.0,,52.0,,53.0,21652.0,890.0,,357.0,,55.0,,59.0,,371.0,,48.0
,1984.0,,,,43.0,,1933.0,,2195.0,,,,,,,,,,,8372.0,2297.0,,52.0,,996.0,,47.0,,1401.0,,1443.0,,49.0,,663.0,,45.0,,695.0,,57.0,,55.0,,50.0,,54.0,,41.0,,61.0,,43.0,,1893.0,,45.0,,1503.0,,,,1044.0,,,,1741.0,,,,43.0,,,,1556.0,,812.0,,1283.0,,61.0,,53.0,,48.0,,1533.0,,99.0,22815.0,57.0,,41.0,,55.0,,57.0,,47.0
,2197.0,,,,37.0,,,,1928.0,,,,,,,,,,,20317.0,,,730.0,,1212.0,,1689.0,,1299.0,,1992.0,,55.0,,613.0,,46.0,,50.0,,41.0,,47.0,,43.0,,52.0,,86.0,,316.0,,44.0,,1949.0,,3333.0,,1553.0,,,,44.0,,,,2177.0,,,,59.0,,,,1384.0,,1241.0,,825.0,,1131.0,,640.0,,61.0,,41.0,,46.0,,41.0,,60.0,,60.0,,60.0,,231.0
,1809.0,,,,34.0,,2319.0,,1468.0,,,,,,5.0,20909.0,,,,473.0,,,463.0,,1207.0,,1490.0,,1177.0,,1240.0,,60.0,,565.0,,56.0,,62.0,,56.0,,52.0,,42.0,,58.0,,42.0,,64.0,,61.0,,1705.0,,,,2825.0,,,,1588.0,,,,2313.0,,3240.0,,2025.0,,,,1798.0,,1011.0,,947.0,,231.0,,51.0,,62.0,,95.0,22121.0,44.0,,47.0,,47.0,,41.0,,295.0,,44.0
,,,,,,,,,1471.0,,,,,,,,,,,20298.0,2257.0,,681.0,,1195.0,,1577.0,,1112.0,,1541.0,,46.0,,,,897.0,,792.0,,60.0,,51.0,,52.0,,54.0,,53.0,25650.0,48.0,,47.0,,1737.0,,,,1490.0,,,,1233.0,,,,1999.0,,,,905.0,,,,1347.0,,1175.0,,,,54.0,,46.0,,45.0,,,,896.0,,679.0,,62.0,,48.0,,853.0,,668.0
,1864.0,,,,32.0,,1740.0,,1837.0,,,,,,,12616.0,,3943.0,,,,1112.0,1523.0,,1306.0,,1293.0,,1889.0,,2184.0,,44.0,,619.0,,44.0,,80.0,,41.0,,60.0,,50.0,,49.0,20636.0,52.0,,57.0,,43.0,,1700.0,,,,1764.0,,22873.0,,1322.0,22731.0,3038.0,,1770.0,,2.0,,2395.0,,,,1440.0,,1054.0,,1089.0,,55.0,,42.0,,41.0,,53.0,,54.0,,45.0,,43.0,,117.0,,42.0,,49.0
