0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1776.0,,,,,,,,,,,,,,,,,,,,,,574.0,,1528.0,,1763.0,,1250.0,,,,1382.0,,596.0,,830.0,,1168.0,,226.0,,269.0,,48.0,,46.0,,48.0,,1215.0,,1014.0,,,,,,,,,,1394.0,,,,,,,,,,,,,,1152.0,,984.0,,784.0,,861.0,,942.0,,883.0,,721.0,,498.0,,35.0,,37.0,,1187.0,,35.0
,1869.0,,,,609.0,,,,,,,,,,,,,,,,,,708.0,,1422.0,,1317.0,,1238.0,,2413.0,,1115.0,,499.0,,362.0,,49.0,,54.0,,37.0,,38.0,,686.0,,664.0,,2091.0,,899.0,,1936.0,,1671.0,,,,,,1172.0,,,,1654.0,,,,2149.0,,,,1382.0,,933.0,,1398.0,,748.0,,573.0,,48.0,,1918.0,,678.0,,34.0,,43.0,,39.0,,48.0,,922.0
,2953.0,,,,926.0,,,,1560.0,,,,,,,,,,,,,,512.0,,,,1882.0,,1417.0,,,,865.0,,609.0,,895.0,,790.0,,36.0,,37.0,,35.0,,43.0,,45.0,,981.0,,840.0,,,,,,1666.0,,,,1605.0,,,,2063.0,,,,,,,,,,,,1214.0,,1186.0,,587.0,,600.0,,51.0,,42.0,,48.0,,35.0,,39.0,,1233.0,,38.0
,2183.0,,,,,,,,1257.0,,,,,,,,,,,,,,490.0,,1114.0,,2149.0,,1439.0,,1973.0,,1114.0,,926.0,,941.0,,689.0,,195.0,,51.0,,43.0,,41.0,,678.0,,743.0,,873.0,,,,1285.0,,,,,,757.0,,,,1180.0,,,,1729.0,,,,,,,,1105.0,,1270.0,,877.0,,559.0,,1536.0,,787.0,,48.0,,38.0,,42.0,,37.0,,34.0
,,,,,,,,,1357.0,,,,,,,,,,,,,,498.0,,1288.0,,1118.0,,1528.0,,1701.0,,1182.0,,1311.0,,739.0,,1095.0,,50.0,,52.0,,38.0,,37.0,,677.0,,48.0,,921.0,,,,,,2665.0,,,,1692.0,,,,1381.0,,,,828.0,,,,1194.0,,1329.0,,1299.0,,872.0,,1306.0,,840.0,,2028.0,,787.0,,515.0,,53.0,,40.0,,52.0,,39.0
,2842.0,,,,,,,,1519.0,,,,,,,,,,,,,,681.0,,1687.0,,1541.0,,1375.0,,,,,,1251.0,,564.0,,35.0,,45.0,,41.0,,38.0,,43.0,,43.0,,1198.0,,52.0,,,,,,2227.0,,,,964.0,,,,1631.0,,1688.0,,1555.0,,,,,,1174.0,,1299.0,,1172.0,,52.0,,34.0,,,,46.0,,34.0,,36.0,,48.0,,1236.0,,901.0
,2021.0,,,,,,,,1770.0,,,,,,,,,,,,,,775.0,,1130.0,,1185.0,,1592.0,,,,,,977.0,,610.0,,817.0,,41.0,,42.0,,42.0,,46.0,,37.0,,39.0,,760.0,,,,,,2189.0,,,,1564.0,,,,,,,,1931.0,,,,,,1389.0,,1533.0,,1182.0,,46.0,,780.0,,1432.0,,822.0,,46.0,,37.0,,51.0,,906.0,,48.0
,1709.0,,,,,,2692.0,,1322.0,,,,,,,,,,,,,,873.0,,1264.0,,1515.0,,1397.0,,,,1122.0,,490.0,,637.0,,1134.0,,45.0,,50.0,,52.0,,52.0,,44.0,,35.0,,48.0,,2393.0,,955.0,,,,,,1930.0,,,,,,,,1414.0,,,,1292.0,,,,1868.0,,34.0,,37.0,,325.0,,1258.0,,614.0,,47.0,,48.0,,55.0,,1411.0,,43.0
,1952.0,,,,1134.0,,,,1329.0,,,,,,,,,,,,,,994.0,,1833.0,,630.0,,,,,,1115.0,,1042.0,,35.0,,53.0,,54.0,,54.0,,40.0,,48.0,,48.0,,1050.0,,39.0,,,,,,,,,,,,,,,,,,1693.0,,,,1889.0,,550.0,,,,801.0,,821.0,,51.0,,954.0,,45.0,,39.0,,49.0,,35.0,,596.0,,963.0
,1731.0,,,,3184.0,,,,1356.0,,,,,,,,,,,,,,701.0,,1267.0,,2000.0,,1668.0,,2346.0,,,,850.0,,42.0,,41.0,,49.0,,47.0,,54.0,,37.0,,51.0,,712.0,,50.0,,,,1069.0,,,,,,1566.0,,,,2186.0,,,,981.0,,,,1360.0,,1348.0,,1489.0,,777.0,,44.0,,43.0,,,,,,,,1458.0,,1114.0,,2242.0,,1337.0
