0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1654.0,,,,58.0,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,41.0,,,,1382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3551.0,,,,,,,,,,,,2568.0,,,,
,1615.0,,,,2254.0,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,1190.0,,,,46.0,,,,44.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,43.0,,,,44.0,,,,,,,,,,,,3552.0,,,,
,1582.0,,,,44.0,,,,,,,,,,,,44.0,,,,,,46.0,,,,38.0,,46.0,,,,32.0,,,,34.0,,,,32.0,,,,43.0,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,39.0,,,,32.0,,,,,,,,43.0,,,,36.0,,,,
,1544.0,,,,49.0,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,1912.0,,,,51.0,,,,41.0,,,,85.0,,,,42.0,,51.0,,33.0,,,,,,,,,,43.0,,,,,,,,42.0,,,,41.0,,,,40.0,,,,32.0,,,,50.0,,,,36.0,,,,46.0
,1691.0,,,,35.0,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,503.0,,,,44.0,,,,33.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,47.0,,,,48.0,,,,,,,,49.0,,,,45.0,,,,
,1624.0,,,,36.0,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,50.0,,,,40.0,,,,637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578.0,,,,
,1391.0,,,,128.0,,,,,,,,,,,,47.0,,,,,,51.0,,,,35.0,,34.0,,,,50.0,,,,52.0,,,,44.0,,,,51.0,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,43.0,,,,34.0,,,,,,,,49.0,,,,42.0,,,,
,1414.0,,,,41.0,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,37.0,,,,40.0,,,,1437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1508.0,,,,234.0,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,39.0,,,,41.0,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,52.0,,,,
,1578.0,,,,42.0,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,32.0,,,,37.0,,,,3250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.0,,,,43.0
,1393.0,,,,49.0,,,,,,,,,,,,45.0,,,,,,49.0,,,,1543.0,,,,,,49.0,,,,50.0,,,,31.0,,,,34.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,47.0,,,,,,,,37.0,,,,50.0,,,,
,1430.0,,,,37.0,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,52.0,,,,42.0,,,,33.0,,,,1239.0,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,32.0,,,,36.0,,,,,,,,,,,,33.0,,,,
,1798.0,,,,53.0,,,,,,,,,,,,34.0,,,,,,38.0,,,,40.0,,,,,,43.0,,,,47.0,,,,38.0,,,,41.0,,,,3291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,51.0,,,,
,1625.0,,,,46.0,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,38.0,,,,120.0,,,,43.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,1603.0,,,,681.0,,,,52.0,,,,,,,,42.0,,,,39.0,,,,
,1543.0,,,,46.0,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,37.0,,,,33.0,,,,264.0,,,,32.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,49.0,,,,42.0,,,,42.0,,,,,,,,38.0,,,,38.0,,,,
,1546.0,,,,42.0,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,41.0,,,,43.0,,,,37.0,,,,42.0,,,,794.0,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,36.0,,,,37.0,,,,,,,,34.0,,,,35.0,,,,
,1581.0,,,,36.0,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,39.0,,,,49.0,,,,40.0,,,,41.0,,,,2339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,43.0,,,,
,1404.0,,,,48.0,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,41.0,,,,47.0,,,,42.0,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,38.0,,,,
,1356.0,,,,32.0,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,3341.0,,,,33.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1527.0,,,,48.0,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,34.0,,,,43.0,,,,31.0,,,,43.0,,,,45.0,,,,38.0,,,,,,,,,,,,,,48.0,,,,,,,,52.0,,,,39.0,,,,43.0,,,,,,,,43.0,,,,33.0,,,,
,1332.0,,,,45.0,,,,,,,,,,,,,,,,,,48.0,,,,51.0,,32.0,,,,49.0,,,,48.0,,,,36.0,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179.0,,,,36.0,,,,,,,,,,,,49.0,,,,
,1534.0,,,,41.0,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,937.0,,,,35.0,,,,41.0,,,,33.0,,,,49.0,,,,,,,,,,,,,,35.0,,,,,,,,33.0,,,,42.0,,,,47.0,,,,,,,,38.0,,,,45.0,,,,
,1451.0,,,,31.0,,,,,,,,,,,,,,,,,,34.0,,,,927.0,,,,,,41.0,,,,39.0,,,,39.0,,,,33.0,,,,47.0,,,,48.0,,,,,,,,,,,,,,,,,,,,,,43.0,,,,36.0,,,,43.0,,,,,,,,1755.0,,,,1891.0,,,,
,1368.0,,,,50.0,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,38.0,,,,48.0,,,,46.0,,,,38.0,,,,3026.0,,,,,,,,,,,,,,,,,,,,,,42.0,,,,39.0,,,,46.0,,,,,,,,51.0,,,,41.0,,,,
,1241.0,,,,48.0,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,301.0,,,,45.0,,,,48.0,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,50.0,,,,46.0,,,,,,,,39.0,,,,50.0,,,,
,1536.0,,,,40.0,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,46.0,,,,45.0,,,,51.0,,,,34.0,,,,2930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2188.0,,,,44.0,,,,,,,,2447.0,,,,112.0,,,,50.0
,1428.0,,,,44.0,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,41.0,,,,31.0,,,,35.0,,,,1456.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,45.0,,,,35.0,,,,35.0,,,,7.0,,,,32.0,,,,37.0,,,,35.0
,1689.0,,,,47.0,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,256.0,,,,47.0,,,,34.0,,,,2828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3326.0,,,,2482.0,,,,,,,,,,,,2079.0,,,,
,1668.0,,,,31.0,,,,,,,,,,,,31.0,,,,,,45.0,,,,,,,,,,45.0,,,,49.0,,,,45.0,,,,33.0,,,,2262.0,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,45.0,,,,52.0,,,,,,,,35.0,,,,31.0,,,,
,1446.0,,,,241.0,,,,,,,,,,,,,,,,,,43.0,,,,48.0,,,,,,32.0,,,,49.0,,,,50.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,43.0,,,,
