0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1315.0,,405.0,,597.0,,1313.0,,849.0,,2859.0,,,,8.0,,1318.0,,,,1042.0,,277.0,,572.0,,822.0,,1089.0,55758.0,1061.0,58117.0,690.0,,481.0,,349.0,,631.0,,268.0,,139.0,,317.0,36541.0,190.0,50100.0,688.0,57225.0,1233.0,,1023.0,,1539.0,,1927.0,,1035.0,,17227.0,,1026.0,50524.0,2245.0,,1163.0,,2044.0,,1393.0,57733.0,35353.0,,676.0,,480.0,,629.0,,538.0,,529.0,,564.0,,1651.0,44155.0,943.0,,612.0,,501.0,,322.0,,1010.0,,889.0
,1066.0,,417.0,,540.0,,1017.0,,827.0,,2486.0,,,,,,1326.0,,,,974.0,,313.0,,596.0,,889.0,,913.0,48251.0,1210.0,,685.0,,277.0,,445.0,,643.0,,277.0,,143.0,,384.0,,282.0,,506.0,53092.0,1120.0,,1155.0,,1545.0,,1634.0,,1040.0,,13129.0,,858.0,,2510.0,,1001.0,,1779.0,,1457.0,,42103.0,,941.0,,457.0,,736.0,,829.0,,539.0,,700.0,,1710.0,44653.0,836.0,,611.0,,473.0,,459.0,,1226.0,,966.0
,1121.0,,386.0,,677.0,,1126.0,,763.0,,2939.0,,,,48789.0,,1532.0,,,,1101.0,,314.0,,661.0,,905.0,,1178.0,45198.0,1227.0,43823.0,649.0,,351.0,,310.0,,776.0,,238.0,,152.0,53340.0,300.0,38628.0,298.0,37789.0,531.0,47304.0,1277.0,,881.0,,1376.0,56763.0,1719.0,,1037.0,,15333.0,,852.0,,2118.0,,1150.0,,2251.0,,1428.0,,,,856.0,,484.0,,524.0,,750.0,55515.0,527.0,,633.0,,1404.0,,872.0,,635.0,,440.0,,454.0,,990.0,,1046.0
,1076.0,,384.0,,599.0,,1251.0,,882.0,50895.0,2573.0,,,,,,1472.0,,,,1225.0,,269.0,,493.0,,831.0,,1042.0,59072.0,1120.0,,860.0,,312.0,,472.0,,561.0,,268.0,,150.0,,260.0,,256.0,,510.0,46565.0,1175.0,,1041.0,,1380.0,,1563.0,,1091.0,,16816.0,,857.0,,2139.0,,1215.0,,2017.0,,1526.0,,44114.0,,578.0,,429.0,,675.0,,652.0,,394.0,,529.0,,1520.0,,898.0,,513.0,,442.0,,490.0,,1176.0,,953.0
,1134.0,,434.0,45865.0,560.0,,1304.0,,684.0,46689.0,2935.0,,,,,,1556.0,,,,1128.0,,377.0,,671.0,,873.0,,963.0,,916.0,,678.0,,420.0,,393.0,,659.0,,223.0,,148.0,,324.0,,270.0,,618.0,58242.0,1265.0,,856.0,,1467.0,,1665.0,,967.0,,15308.0,,839.0,,2083.0,,960.0,56238.0,2095.0,,1443.0,,26630.0,47909.0,760.0,,389.0,,615.0,,569.0,,397.0,,587.0,,1605.0,51455.0,888.0,,542.0,,405.0,,327.0,,1160.0,,1129.0
,1192.0,,413.0,,585.0,,1285.0,,653.0,,,,,,43539.0,,1556.0,,,,964.0,,243.0,,527.0,,795.0,,1155.0,,1109.0,,671.0,,367.0,,456.0,,672.0,,266.0,,199.0,,300.0,53587.0,212.0,33466.0,609.0,,1361.0,,874.0,,1298.0,,1742.0,,1080.0,,14497.0,,956.0,,2500.0,,1150.0,,2062.0,,1406.0,,42201.0,,898.0,,462.0,,563.0,,648.0,,408.0,,647.0,,1611.0,56212.0,729.0,,590.0,,400.0,,397.0,,1180.0,,1081.0
,1181.0,,339.0,,647.0,,1255.0,,668.0,,3635.0,,,,54690.0,,1652.0,,,,1140.0,,297.0,,691.0,,808.0,,961.0,46341.0,1050.0,,713.0,,415.0,,414.0,,612.0,,250.0,,170.0,,273.0,55980.0,210.0,,577.0,,1129.0,,750.0,,1485.0,,1883.0,,988.0,,15144.0,,867.0,,2520.0,,1110.0,,2239.0,,1437.0,,41110.0,,877.0,,366.0,,507.0,,690.0,,496.0,,646.0,,1682.0,,770.0,,622.0,,473.0,,323.0,,1339.0,,965.0
,1000.0,,335.0,,700.0,,1056.0,,847.0,54687.0,3284.0,,,,45559.0,,1574.0,,,,987.0,,332.0,,541.0,,837.0,,1000.0,,912.0,,732.0,,413.0,,365.0,,667.0,,194.0,,139.0,,379.0,,279.0,,660.0,,1178.0,,908.0,,1486.0,,1900.0,,1099.0,,14839.0,,1006.0,55025.0,2055.0,,1073.0,,2175.0,,1671.0,51125.0,37271.0,56556.0,708.0,,491.0,,618.0,,495.0,,503.0,,560.0,,1718.0,52078.0,931.0,,665.0,,403.0,,442.0,,1138.0,,991.0
,1001.0,,422.0,52436.0,506.0,,1201.0,,863.0,,,,,,,,1636.0,,,,1118.0,,327.0,,632.0,,947.0,,1154.0,,1141.0,52113.0,728.0,,366.0,,504.0,,720.0,,262.0,,273.0,,327.0,,181.0,55846.0,532.0,56946.0,1185.0,,871.0,,1330.0,,1686.0,,1119.0,,17858.0,,959.0,,2385.0,,1016.0,,2091.0,,1273.0,42499.0,42702.0,,744.0,,482.0,,616.0,,686.0,,509.0,,555.0,,1438.0,,754.0,51051.0,547.0,,446.0,,425.0,,998.0,,901.0
,962.0,,372.0,52897.0,663.0,,1331.0,,833.0,,,,,,52263.0,,1413.0,,,,1149.0,,293.0,,701.0,,1017.0,,1097.0,55639.0,1021.0,,845.0,,314.0,,417.0,,624.0,,295.0,,153.0,,303.0,,253.0,,600.0,,1112.0,,858.0,,1363.0,,1738.0,,866.0,,13843.0,,934.0,,2241.0,,1204.0,,1864.0,,1427.0,,53764.0,46905.0,706.0,,453.0,,657.0,,724.0,,456.0,,603.0,,1843.0,,768.0,56417.0,528.0,,403.0,,442.0,,1282.0,,1127.0
