0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1495.0,,,,,,2086.0,,,,,,,,,,,,,,,,,,1572.0,,,,1710.0,,,,952.0,,1315.0,,66.0,,965.0,,66.0,,53.0,,55.0,,50.0,,58.0,,61.0,,61.0,,,,,,2093.0,,,,1407.0,,,,,,,,1476.0,,,,,,1518.0,,1637.0,,780.0,,1343.0,,480.0,,57.0,,50.0,,1147.0,,53.0,,,,,,1279.0
,1875.0,,,,,,,,1710.0,,,,,,,,,,,,,,916.0,,1843.0,,,,1196.0,,1737.0,,1257.0,,,,62.0,,1365.0,,60.0,,56.0,,66.0,,54.0,,56.0,,63.0,,51.0,,,,,,1362.0,,,,1167.0,,,,1647.0,,,,1436.0,,,,1200.0,,1522.0,,1324.0,,,,54.0,,53.0,,659.0,,49.0,,187.0,,52.0,,65.0,,60.0,,853.0
,,,1536.0,,,,2087.0,,1417.0,,,,,,,,,,,,,,1452.0,,1903.0,,1937.0,,,,1806.0,,543.0,,1241.0,,37.0,,41.0,,41.0,,40.0,,38.0,,52.0,,43.0,,48.0,,47.0,,,,,,,,,,,,,,,,1546.0,,1734.0,,,,,,1621.0,,1412.0,,,,1078.0,,519.0,,52.0,,39.0,,,,47.0,,56.0,,,,39.0
,1978.0,,,,,,,,1607.0,,,,,,,,,,,,,,,,1820.0,,1760.0,,,,,,559.0,,1271.0,,57.0,,788.0,,38.0,,41.0,,53.0,,41.0,,56.0,,641.0,,,,,,,,,,,,1406.0,,,,,,,,,,,,,,1453.0,,1611.0,,557.0,,57.0,,,,,,52.0,,37.0,,52.0,,50.0,,,,48.0
,2040.0,,2030.0,,,,,,1520.0,,,,,,,,,,,,,,1056.0,,1583.0,,1352.0,,,,,,750.0,,1264.0,,54.0,,700.0,,39.0,,53.0,,49.0,,41.0,,57.0,,41.0,,45.0,,,,,,,,,,941.0,,,,1534.0,,,,1774.0,,,,,,1799.0,,1482.0,,610.0,,41.0,,55.0,,,,50.0,,53.0,,55.0,,38.0,,616.0,,40.0
,2194.0,,,,,,,,1566.0,,,,,,,,,,,,,,,,1488.0,,,,1801.0,,,,941.0,,916.0,,,,43.0,,36.0,,44.0,,45.0,,38.0,,,,49.0,,825.0,,,,,,,,,,1612.0,,,,,,,,1526.0,,,,,,1081.0,,1370.0,,57.0,,46.0,,49.0,,,,,,48.0,,39.0,,37.0,,36.0,,44.0
,2192.0,,,,,,,,1892.0,,,,,,,,,,,,,,,,,,1820.0,,,,,,57.0,,965.0,,50.0,,56.0,,47.0,,41.0,,51.0,,47.0,,55.0,,646.0,,,,,,,,,,,,,,,,,,,,,,,,,,1580.0,,1250.0,,1378.0,,,,52.0,,1280.0,,52.0,,42.0,,56.0,,49.0,,,,762.0
,,,,,,,1985.0,,1709.0,,,,,,,,,,,,,,,,1478.0,,1532.0,,,,1766.0,,634.0,,1163.0,,52.0,,637.0,,56.0,,49.0,,56.0,,56.0,,801.0,,39.0,,45.0,,,,,,,,,,1199.0,,,,,,,,1840.0,,,,,,967.0,,1473.0,,38.0,,54.0,,,,53.0,,775.0,,45.0,,55.0,,49.0,,46.0,,53.0
,,,,,,,1900.0,,1914.0,,,,,,,,,,,,1483.0,,1334.0,,,,1583.0,,1795.0,,1676.0,,1951.0,,1191.0,,1383.0,,566.0,,54.0,,38.0,,57.0,,46.0,,539.0,,,,,,,,,,1477.0,,,,1659.0,,,,,,,,,,,,,,1737.0,,1752.0,,1064.0,,,,,,,,51.0,,49.0,,37.0,,55.0,,43.0,,46.0
,,,,,,,,,1936.0,,,,,,,,,,,,1927.0,,632.0,,1157.0,,1884.0,,1810.0,,,,749.0,,1014.0,,,,645.0,,45.0,,42.0,,42.0,,47.0,,54.0,,288.0,,,,,,,,,,,,1782.0,,,,,,,,1167.0,,,,,,1298.0,,1129.0,,992.0,,75.0,,44.0,,1260.0,,53.0,,53.0,,50.0,,44.0,,,,50.0
,,,,,,,,,1991.0,,,,,,,,,,,,,,,,1878.0,,,,,,,,938.0,,,,818.0,,551.0,,1467.0,,326.0,,949.0,,49.0,,1377.0,,,,669.0,,,,,,,,,,1460.0,,,,,,,,,,,,1781.0,,1614.0,,1400.0,,686.0,,43.0,,37.0,,43.0,,48.0,,50.0,,48.0,,41.0,,480.0,,43.0
,1956.0,,,,,,,,1633.0,,,,,,,,,,,,,,850.0,,1517.0,,1616.0,,1759.0,,1576.0,,1419.0,,1460.0,,577.0,,500.0,,54.0,,49.0,,54.0,,55.0,,54.0,,,,51.0,,,,,,1389.0,,,,1184.0,,,,,,,,,,,,,,1547.0,,1708.0,,715.0,,44.0,,54.0,,38.0,,45.0,,38.0,,44.0,,57.0,,544.0,,
,,,,,,,,,1547.0,,,,,,,,,,,,,,1089.0,,1773.0,,1794.0,,,,1429.0,,1734.0,,1184.0,,38.0,,46.0,,39.0,,48.0,,49.0,,38.0,,54.0,,52.0,,38.0,,,,1642.0,,1569.0,,,,1774.0,,,,,,,,,,,,1940.0,,1680.0,,,,1371.0,,1091.0,,43.0,,996.0,,37.0,,40.0,,51.0,,52.0,,,,
,,,,,,,,,1594.0,,,,,,,,,,,,,,,,1745.0,,,,1817.0,,1569.0,,41.0,,1007.0,,446.0,,54.0,,46.0,,42.0,,42.0,,43.0,,37.0,,679.0,,53.0,,,,,,,,,,1822.0,,,,,,,,1079.0,,,,,,1022.0,,1262.0,,,,,,40.0,,749.0,,37.0,,44.0,,54.0,,43.0,,52.0,,54.0
,2503.0,,,,,,,,,,,,,,,,,,,,,,1387.0,,,,,,1653.0,,,,1254.0,,1662.0,,554.0,,1237.0,,46.0,,36.0,,49.0,,45.0,,46.0,,43.0,,57.0,,,,,,1315.0,,,,1673.0,,,,,,,,,,,,,,1217.0,,1381.0,,,,40.0,,36.0,,,,136.0,,38.0,,43.0,,56.0,,44.0,,53.0
,1972.0,,,,,,,,1815.0,,,,,,,,,,,,,,1057.0,,1866.0,,,,,,,,1872.0,,875.0,,49.0,,48.0,,40.0,,38.0,,47.0,,52.0,,37.0,,36.0,,40.0,,,,,,1435.0,,,,1824.0,,,,,,,,,,,,,,948.0,,1716.0,,,,43.0,,38.0,,1245.0,,36.0,,39.0,,55.0,,38.0,,,,42.0
,2074.0,,,,,,2128.0,,,,,,,,,,,,,,,,850.0,,1130.0,,1821.0,,,,1645.0,,1018.0,,949.0,,1294.0,,1004.0,,1386.0,,45.0,,1317.0,,,,1629.0,,,,,,1852.0,,,,1862.0,,,,1173.0,,,,,,,,,,,,,,1779.0,,1674.0,,54.0,,37.0,,49.0,,,,42.0,,42.0,,47.0,,37.0,,43.0,,46.0
,2248.0,,1704.0,,,,,,1625.0,,,,,,,,,,,,,,42.0,,1787.0,,1895.0,,1576.0,,1043.0,,709.0,,1098.0,,525.0,,960.0,,44.0,,40.0,,57.0,,45.0,,55.0,,57.0,,,,,,,,,,,,,,,,1562.0,,,,,,,,,,1742.0,,1843.0,,1458.0,,1089.0,,1280.0,,,,1817.0,,1540.0,,123.0,,52.0,,44.0,,43.0
,2115.0,,,,,,,,1963.0,,,,,,,,,,,,,,1230.0,,1693.0,,1825.0,,,,1787.0,,1913.0,,1039.0,,1007.0,,115.0,,45.0,,50.0,,45.0,,44.0,,37.0,,,,57.0,,,,,,1810.0,,,,1658.0,,,,,,,,,,,,,,1383.0,,1521.0,,,,56.0,,52.0,,816.0,,,,44.0,,55.0,,42.0,,554.0,,112.0
,2343.0,,2172.0,,2385.0,,,,1994.0,,,,,,,,,,,,1812.0,,,,,,,,,,,,946.0,,1689.0,,51.0,,1097.0,,,,51.0,,48.0,,45.0,,45.0,,166.0,,,,,,,,,,,,,,,,,,,,1343.0,,,,,,1182.0,,,,851.0,,471.0,,38.0,,,,39.0,,50.0,,43.0,,40.0,,51.0,,48.0
,2102.0,,1841.0,,,,2006.0,,1575.0,,,,,,,,,,,,,,1077.0,,,,,,1911.0,,,,51.0,,1431.0,,50.0,,420.0,,53.0,,51.0,,53.0,,38.0,,52.0,,38.0,,953.0,,,,,,,,,,1440.0,,,,,,,,1870.0,,,,1801.0,,1147.0,,1743.0,,36.0,,46.0,,,,1173.0,,39.0,,53.0,,43.0,,54.0,,37.0,,
,1958.0,,,,,,2017.0,,1608.0,,,,,,,,,,,,,,1092.0,,1610.0,,1632.0,,1672.0,,1920.0,,1565.0,,1322.0,,530.0,,,,52.0,,36.0,,45.0,,42.0,,36.0,,40.0,,54.0,,,,,,,,,,1674.0,,,,,,,,1655.0,,,,,,769.0,,1859.0,,561.0,,45.0,,,,807.0,,265.0,,55.0,,56.0,,37.0,,54.0,,51.0
,2010.0,,,,,,2002.0,,1847.0,,,,,,,,,,,,,,463.0,,1741.0,,1573.0,,1797.0,,,,801.0,,1291.0,,53.0,,560.0,,48.0,,53.0,,47.0,,44.0,,46.0,,37.0,,51.0,,,,,,,,,,,,,,,,,,926.0,,,,,,1364.0,,1522.0,,559.0,,726.0,,37.0,,47.0,,38.0,,36.0,,54.0,,46.0,,57.0,,46.0
,,,2051.0,,,,2108.0,,1278.0,,,,,,,,,,,,,,46.0,,1517.0,,1721.0,,1694.0,,1835.0,,574.0,,1448.0,,1730.0,,961.0,,36.0,,38.0,,37.0,,54.0,,40.0,,56.0,,688.0,,,,,,,,,,999.0,,,,,,,,,,,,1866.0,,1387.0,,,,1081.0,,44.0,,,,,,,,,,47.0,,46.0,,,,899.0
,,,,,,,,,1571.0,,,,,,,,,,,,,,1392.0,,,,1932.0,,,,1461.0,,1246.0,,1650.0,,,,953.0,,50.0,,37.0,,40.0,,48.0,,,,52.0,,44.0,,,,,,,,,,,,,,1745.0,,,,,,,,,,,,1753.0,,693.0,,58.0,,42.0,,,,38.0,,1167.0,,36.0,,1598.0,,877.0,,1482.0
,,,1813.0,,,,1791.0,,1924.0,,,,,,,,,,,,,,1498.0,,,,1881.0,,,,,,1827.0,,1191.0,,,,53.0,,35.0,,34.0,,49.0,,48.0,,,,1175.0,,1002.0,,,,,,,,,,1720.0,,,,,,,,,,,,,,1360.0,,,,990.0,,1686.0,,,,1155.0,,,,48.0,,56.0,,42.0,,40.0,,43.0
,,,1764.0,,,,2095.0,,1220.0,,,,,,,,,,,,,,245.0,,1889.0,,1306.0,,,,,,,,922.0,,54.0,,43.0,,47.0,,55.0,,54.0,,43.0,,44.0,,,,471.0,,,,,,,,,,,,,,,,,,,,,,,,1735.0,,1650.0,,604.0,,37.0,,,,,,61.0,,55.0,,46.0,,51.0,,41.0,,42.0
,,,1613.0,,,,,,1881.0,,,,,,,,,,,,,,1178.0,,1610.0,,1928.0,,1845.0,,1820.0,,1132.0,,1520.0,,1052.0,,1043.0,,432.0,,52.0,,45.0,,56.0,,40.0,,,,,,,,1681.0,,1359.0,,,,,,,,,,,,1108.0,,,,,,1299.0,,1497.0,,45.0,,55.0,,48.0,,699.0,,51.0,,44.0,,47.0,,50.0,,882.0,,40.0
,2193.0,,,,,,,,1754.0,,,,,,,,,,,,,,,,1856.0,,1826.0,,1106.0,,1898.0,,1641.0,,837.0,,,,1571.0,,1461.0,,41.0,,,,56.0,,48.0,,,,55.0,,,,1113.0,,1485.0,,,,1859.0,,,,,,,,,,,,,,1204.0,,,,829.0,,541.0,,45.0,,,,45.0,,43.0,,51.0,,51.0,,41.0,,43.0
,2181.0,,,,,,,,1620.0,,,,,,,,,,,,,,1240.0,,1774.0,,1930.0,,1176.0,,,,1531.0,,1204.0,,1473.0,,87.0,,563.0,,51.0,,52.0,,43.0,,56.0,,36.0,,39.0,,,,,,1243.0,,,,1866.0,,,,,,,,1554.0,,,,,,1730.0,,,,844.0,,909.0,,,,,,56.0,,48.0,,45.0,,38.0,,49.0,,42.0
