0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1775.0,,,,,,,,,,,,,,,,,,,,,,1529.0,,1706.0,,1656.0,,,,1617.0,,468.0,,1081.0,,374.0,,573.0,,54.0,,45.0,,50.0,,40.0,,53.0,,593.0,,520.0,,,,,,,,,,,,,,,,,,,,,,,,1566.0,,,,633.0,,734.0,,55.0,,565.0,,53.0,,57.0,,42.0,,55.0,,629.0,,656.0
,,,1787.0,,,,,,,,,,,,,,,,,,,,1124.0,,,,,,,,1693.0,,56.0,,1027.0,,54.0,,,,57.0,,58.0,,59.0,,59.0,,55.0,,52.0,,39.0,,,,,,,,,,1750.0,,,,840.0,,,,,,,,,,1330.0,,1275.0,,711.0,,565.0,,44.0,,,,51.0,,59.0,,48.0,,54.0,,55.0,,45.0
,,,,,,,,,,,,,,,,,,,,,,,1151.0,,1525.0,,,,,,,,540.0,,1019.0,,55.0,,39.0,,40.0,,58.0,,47.0,,57.0,,171.0,,47.0,,45.0,,,,,,,,,,,,,,1501.0,,,,39.0,,,,,,1514.0,,1363.0,,49.0,,53.0,,,,1193.0,,53.0,,42.0,,56.0,,56.0,,188.0,,600.0
,,,,,,,,,1742.0,,,,,,,,,,,,,,1293.0,,1651.0,,,,1704.0,,,,1108.0,,942.0,,54.0,,391.0,,52.0,,44.0,,57.0,,41.0,,48.0,,44.0,,512.0,,,,,,,,,,,,,,,,,,,,,,,,905.0,,1394.0,,53.0,,52.0,,54.0,,46.0,,48.0,,40.0,,50.0,,51.0,,677.0,,
,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,592.0,,1035.0,,47.0,,589.0,,45.0,,46.0,,53.0,,45.0,,53.0,,57.0,,51.0,,,,,,,,,,1504.0,,,,,,,,,,,,,,1115.0,,,,770.0,,671.0,,,,,,40.0,,53.0,,59.0,,51.0,,49.0,,51.0
,,,2104.0,,,,,,,,,,,,,,,,,,,,46.0,,1669.0,,,,,,,,49.0,,1116.0,,53.0,,,,39.0,,47.0,,48.0,,49.0,,39.0,,655.0,,225.0,,,,,,,,,,1039.0,,,,,,,,1634.0,,,,,,1372.0,,,,447.0,,294.0,,51.0,,,,58.0,,55.0,,59.0,,46.0,,59.0,,54.0
,2023.0,,,,,,1918.0,,1735.0,,,,,,,,,,,,,,,,,,1683.0,,,,,,688.0,,810.0,,,,111.0,,57.0,,52.0,,53.0,,47.0,,54.0,,73.0,,44.0,,,,,,,,,,1766.0,,,,,,,,,,,,,,1172.0,,1282.0,,47.0,,47.0,,41.0,,,,46.0,,52.0,,52.0,,42.0,,459.0,,42.0
,,,1670.0,,,,,,1847.0,,,,,,,,,,,,,,,,1270.0,,,,,,930.0,,1037.0,,1082.0,,55.0,,52.0,,52.0,,58.0,,54.0,,53.0,,41.0,,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,852.0,,1331.0,,,,46.0,,40.0,,1251.0,,48.0,,57.0,,45.0,,57.0,,40.0,,42.0
,2080.0,,2033.0,,,,1966.0,,1779.0,,,,,,,,,,,,,,1247.0,,,,,,1654.0,,,,993.0,,539.0,,1051.0,,849.0,,57.0,,444.0,,40.0,,59.0,,50.0,,47.0,,48.0,,,,894.0,,1369.0,,,,,,,,,,,,1639.0,,,,,,922.0,,1719.0,,48.0,,847.0,,40.0,,812.0,,365.0,,42.0,,57.0,,60.0,,,,59.0
,,,,,,,,,,,,,,,,,,,,,,,,,1680.0,,,,,,,,1148.0,,968.0,,54.0,,42.0,,40.0,,54.0,,53.0,,42.0,,51.0,,42.0,,39.0,,,,,,,,,,1717.0,,,,,,,,1448.0,,,,,,1504.0,,1309.0,,335.0,,47.0,,57.0,,685.0,,45.0,,40.0,,42.0,,43.0,,,,
