0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.0,,,,35.0,,38.0,,49.0,,49.0,,46.0,,514.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,246.0,,,,802.0,,836.0,,43.0,,834.0,,682.0,,594.0,,392.0,,239.0,,561.0,,599.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,322.0,,35.0,,50.0,,46.0,,594.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,,54.0,,,,38.0,,53.0,,49.0,,48.0,,53.0,,364.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.0,,738.0,,40.0,,44.0,,50.0,,88.0,,38.0,,,,40.0,,,,659.0,,,,,,,,,,,,,,789.0,,,,,,,,,,,,847.0,,378.0,,,,379.0,,613.0,,311.0,,334.0,,383.0,,482.0
,,,,,,,,,,,,,,,,,,,,,,,482.0,,798.0,,,,,,,,579.0,,,,502.0,,764.0,,45.0,,47.0,,40.0,,35.0,,479.0,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0,,520.0,,,,524.0,,160.0,,54.0,,358.0,,48.0,,400.0
,,,,,,,,,,,,,,,,,,,,,,,594.0,,,,,,,,,,,,673.0,,44.0,,47.0,,46.0,,48.0,,41.0,,53.0,,387.0,,38.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.0,,644.0,,39.0,,,,48.0,,385.0,,488.0,,194.0,,,,690.0
,,,,,,,,,,,,,,,,,,,,,,,797.0,,798.0,,,,,,,,610.0,,426.0,,305.0,,,,53.0,,235.0,,45.0,,37.0,,46.0,,600.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0,,,,68.0,,37.0,,49.0,,48.0,,51.0,,296.0
,,,,,,,,,,,,,,,,,,,,,,,644.0,,,,,,,,,,,,632.0,,472.0,,514.0,,38.0,,54.0,,39.0,,38.0,,213.0,,804.0,,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.0,,,,310.0,,595.0,,48.0,,38.0,,718.0,,54.0
,,,1288.0,,,,,,,,,,,,,,,,,,,,,,,,810.0,,,,,,782.0,,700.0,,155.0,,831.0,,34.0,,52.0,,38.0,,38.0,,160.0,,42.0,,658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.0,,524.0,,,,47.0,,40.0,,40.0,,42.0,,47.0,,38.0
,,,,,,,,,,,,,,,,,,,,,,,605.0,,,,,,,,,,438.0,,,,,,,,49.0,,52.0,,54.0,,34.0,,525.0,,165.0,,817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.0,,704.0,,,,52.0,,35.0,,44.0,,575.0,,540.0,,631.0
,,,,,,,,,,,,,,,,,,,,,,,643.0,,,,,,,,,,,,827.0,,661.0,,786.0,,50.0,,52.0,,38.0,,53.0,,371.0,,39.0,,629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.0,,52.0,,714.0,,656.0,,70.0,,52.0,,191.0,,729.0,,702.0
,,,1016.0,,,,,,,,,,,,,,,,,,,,606.0,,,,,,,,,,,,,,533.0,,623.0,,448.0,,51.0,,52.0,,35.0,,35.0,,,,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.0,,575.0,,49.0,,,,179.0,,628.0,,40.0,,350.0,,716.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.0,,,,686.0,,308.0,,38.0,,357.0,,44.0,,34.0,,53.0,,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.0,,,,555.0,,490.0,,45.0,,44.0,,39.0,,42.0
,,,,,,,,,,,,,,,,,,,,,,,485.0,,,,,,,,,,,,807.0,,44.0,,,,290.0,,42.0,,38.0,,47.0,,40.0,,34.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,826.0,,,,848.0,,425.0,,49.0,,767.0,,44.0,,49.0,,34.0,,38.0,,639.0,,692.0
,,,1077.0,,,,,,,,,,,,,,,,,,,,671.0,,,,,,,,,,393.0,,,,679.0,,847.0,,52.0,,43.0,,47.0,,43.0,,38.0,,525.0,,599.0,,,,,,,,,,489.0,,,,,,,,,,,,,,,,,,,,,,543.0,,,,735.0,,528.0,,53.0,,44.0,,36.0,,312.0
,,,,,,,,,,,,,,,,,,,,,,,771.0,,,,,,,,,,695.0,,,,569.0,,,,64.0,,434.0,,47.0,,35.0,,36.0,,700.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.0,,816.0,,386.0,,,,49.0,,45.0,,37.0,,37.0,,524.0,,674.0
