0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,924.0,,824.0,,,,,,,,,,,,,,,,,,777.0,,,,,,,,,,788.0,,759.0,,624.0,,556.0,,67.0,,53.0,,72.0,,44.0,,49.0,,49.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,710.0,,,,,,634.0,,592.0,,,,,,,,,,,,,,508.0
,,,683.0,,880.0,,,,,,,,,,,,,,,,,,343.0,,,,,,,,,,737.0,,812.0,,54.0,,55.0,,38.0,,49.0,,49.0,,52.0,,52.0,,57.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,,517.0,,431.0,,54.0,,51.0,,44.0,,37.0,,509.0,,749.0
,,,702.0,,,,,,,,,,,,,,,,,,,,697.0,,,,,,,,,,,,,,,,,,118.0,,38.0,,43.0,,58.0,,42.0,,47.0,,608.0,,,,441.0,,,,,,,,,,,,,,,,,,,,509.0,,,,,,,,,,,,,,,,836.0,,95.0,,,,435.0
,,,720.0,,955.0,,,,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,54.0,,440.0,,43.0,,46.0,,39.0,,58.0,,42.0,,40.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,815.0,,,,,,,,57.0,,757.0,,55.0,,42.0,,42.0,,50.0,,57.0,,50.0
,,,1015.0,,,,,,,,,,,,,,,,,,,,575.0,,,,,,,,,,772.0,,791.0,,47.0,,593.0,,53.0,,52.0,,38.0,,57.0,,40.0,,49.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0,,267.0,,,,56.0,,45.0,,41.0,,42.0,,43.0,,156.0
,,,757.0,,,,,,,,,,,,,,,,,,,,770.0,,,,,,,,,,,,625.0,,327.0,,,,763.0,,769.0,,437.0,,677.0,,388.0,,360.0,,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.0,,,,,,,,44.0,,54.0,,537.0,,44.0
,,,609.0,,,,,,,,,,,,,,,,,,,,357.0,,,,,,,,,,653.0,,,,270.0,,274.0,,38.0,,44.0,,42.0,,54.0,,78.0,,54.0,,191.0,,,,,,,,,,,,,,,,,,,,,,,,682.0,,801.0,,449.0,,65.0,,54.0,,50.0,,59.0,,67.0,,59.0,,52.0,,519.0,,50.0
,,,674.0,,902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.0,,460.0,,52.0,,55.0,,48.0,,58.0,,41.0,,39.0,,618.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,,641.0,,281.0,,54.0,,40.0,,365.0,,57.0,,46.0,,48.0,,57.0,,58.0,,40.0
,,,474.0,,1004.0,,,,,,,,,,,,,,,,,,452.0,,,,,,,,818.0,,43.0,,678.0,,38.0,,39.0,,44.0,,48.0,,44.0,,41.0,,53.0,,485.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0,,,,423.0,,,,51.0,,56.0,,58.0,,49.0,,58.0,,42.0
,,,861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.0,,691.0,,41.0,,768.0,,46.0,,46.0,,52.0,,38.0,,41.0,,40.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,47.0,,55.0,,484.0,,667.0,,135.0,,38.0,,52.0,,387.0,,596.0
