0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10688.0,9684.0,13977.0,5165.0,11535.0,4920.0,9852.0,2047.0,22647.0,3562.0,7948.0,,14457.0,3.0,6704.0,,9567.0,5824.0,,,8.0,1839.0,10144.0,1089.0,9898.0,1486.0,,2999.0,14987.0,2884.0,,1732.0,,2267.0,12545.0,1271.0,,1248.0,7645.0,1332.0,9279.0,1014.0,8823.0,906.0,7329.0,1167.0,6929.0,1482.0,6903.0,1873.0,8601.0,2014.0,8770.0,3722.0,3696.0,2354.0,,3299.0,8998.0,1937.0,12890.0,,15941.0,3546.0,,12201.0,7905.0,1688.0,11069.0,21260.0,17159.0,1303.0,10189.0,7751.0,1.0,1482.0,16155.0,1342.0,,1003.0,12274.0,1461.0,12901.0,898.0,,1622.0,,3392.0,,2515.0,,1513.0,10794.0,1264.0,22133.0,1183.0,13476.0,2278.0,10407.0,2055.0
10116.0,5270.0,12680.0,3285.0,10878.0,6412.0,11003.0,14136.0,,2402.0,19049.0,,10343.0,15483.0,6837.0,,,3125.0,,,5.0,1826.0,,914.0,,2626.0,11170.0,1970.0,11060.0,3873.0,11326.0,1407.0,,2178.0,10293.0,1037.0,,1354.0,4938.0,2480.0,9704.0,1041.0,7839.0,874.0,10208.0,1011.0,8161.0,1536.0,,1855.0,,3391.0,13073.0,2537.0,3596.0,2682.0,,1341.0,13575.0,2894.0,12459.0,,18162.0,1665.0,15739.0,12156.0,9069.0,1405.0,18682.0,3562.0,7046.0,1655.0,,,11894.0,1565.0,10116.0,1980.0,11708.0,1466.0,,1626.0,5788.0,1804.0,7857.0,2471.0,,3703.0,,1579.0,6357.0,1912.0,8477.0,1237.0,9023.0,1051.0,6952.0,4631.0,10279.0,2643.0
22502.0,1886.0,10972.0,1319.0,11785.0,1335.0,8412.0,7413.0,11976.0,3516.0,8995.0,13854.0,12868.0,10216.0,12456.0,,10.0,2337.0,,10056.0,3318.0,1789.0,,1189.0,,781.0,12381.0,2048.0,,1623.0,12771.0,2206.0,,1325.0,9334.0,1097.0,,921.0,6725.0,2345.0,,1022.0,8884.0,779.0,7098.0,1377.0,6751.0,1026.0,20515.0,1487.0,7530.0,3449.0,7577.0,2320.0,3261.0,3020.0,,4866.0,8731.0,2000.0,9272.0,,,1375.0,,11316.0,10349.0,2286.0,,6073.0,,2411.0,15926.0,2.0,9281.0,1351.0,7533.0,1229.0,,2173.0,11580.0,1577.0,13542.0,1268.0,11240.0,1446.0,,4325.0,,2099.0,5880.0,1493.0,9020.0,1319.0,21136.0,1497.0,7439.0,3717.0,9171.0,2462.0
11282.0,3990.0,10719.0,1492.0,18088.0,1655.0,7278.0,3022.0,,2663.0,,,12011.0,4.0,8025.0,,,3510.0,17082.0,7000.0,8559.0,3183.0,,1251.0,11249.0,1101.0,7310.0,3204.0,,2143.0,10389.0,1604.0,,1381.0,9410.0,823.0,,1031.0,6622.0,1981.0,,1052.0,6914.0,860.0,13902.0,1149.0,7258.0,851.0,8336.0,1565.0,7857.0,3383.0,11182.0,2669.0,3610.0,4416.0,,8559.0,8960.0,2179.0,,,13091.0,856.0,,12540.0,14423.0,2773.0,13633.0,5700.0,11742.0,1521.0,,13322.0,18672.0,1478.0,10073.0,1054.0,,1673.0,9564.0,1416.0,7387.0,1296.0,8925.0,2194.0,12300.0,8428.0,,2856.0,19726.0,1711.0,11815.0,1152.0,10392.0,1699.0,8624.0,2880.0,,1486.0
,14156.0,9703.0,1556.0,15303.0,4941.0,7261.0,5193.0,,1768.0,16231.0,15851.0,10657.0,10.0,,,5628.0,3289.0,,,7.0,2443.0,,1157.0,,1597.0,,2083.0,14800.0,1663.0,20241.0,1754.0,,1160.0,9876.0,1162.0,21516.0,1294.0,7991.0,2129.0,,1184.0,7609.0,1070.0,,1550.0,7656.0,994.0,8002.0,1412.0,6384.0,2700.0,18249.0,2853.0,3524.0,3549.0,,3288.0,8340.0,1813.0,9412.0,9.0,,897.0,11037.0,,11026.0,1495.0,,2728.0,,1511.0,,13477.0,10.0,1133.0,,909.0,,1173.0,7908.0,1487.0,,1187.0,8948.0,1699.0,,3183.0,,1788.0,14764.0,1528.0,9665.0,1502.0,11356.0,2011.0,8273.0,2079.0,10071.0,2555.0
,3645.0,11958.0,1074.0,,2260.0,9044.0,7209.0,19846.0,2789.0,,,16366.0,10568.0,5740.0,,4878.0,4044.0,,,3743.0,2111.0,,1207.0,8417.0,1628.0,8232.0,2132.0,21027.0,2167.0,12596.0,1765.0,,2190.0,9874.0,1111.0,11492.0,1156.0,7958.0,1607.0,17362.0,1013.0,7487.0,754.0,7361.0,1119.0,8205.0,1866.0,8050.0,2167.0,7326.0,3906.0,10005.0,2136.0,3146.0,3871.0,,2956.0,10201.0,4944.0,,,11499.0,46.0,,,,1866.0,9082.0,3303.0,7787.0,1846.0,,9852.0,8576.0,1359.0,11302.0,1215.0,14784.0,1348.0,7954.0,1988.0,15586.0,1416.0,10778.0,1458.0,,2897.0,,3939.0,5803.0,2057.0,10753.0,1192.0,11697.0,1320.0,8264.0,2436.0,8961.0,3768.0
22238.0,3691.0,11146.0,1644.0,10511.0,2693.0,,9417.0,,1805.0,,10148.0,9653.0,13082.0,7865.0,,8111.0,2308.0,10439.0,6681.0,6563.0,2623.0,16782.0,959.0,21040.0,1766.0,9528.0,2043.0,,2212.0,9929.0,1696.0,12023.0,1938.0,7930.0,1298.0,,976.0,,963.0,9348.0,1106.0,6578.0,1062.0,7907.0,1235.0,6424.0,1106.0,6930.0,1912.0,6617.0,4791.0,,2085.0,2864.0,3422.0,,,5836.0,1555.0,16764.0,,11430.0,55.0,,21707.0,,1899.0,16447.0,8249.0,12391.0,1348.0,,,16272.0,1869.0,22921.0,1539.0,8390.0,1699.0,10194.0,1751.0,,1397.0,14527.0,1682.0,,10064.0,,1935.0,7302.0,673.0,,1277.0,,1100.0,12386.0,5205.0,7650.0,2300.0
9654.0,4454.0,,1913.0,15102.0,1669.0,7463.0,6970.0,10479.0,2049.0,22590.0,13635.0,13360.0,12774.0,6237.0,,,3969.0,,7192.0,3.0,2505.0,,1181.0,13085.0,1251.0,,1845.0,11858.0,1755.0,10978.0,1875.0,,1839.0,8704.0,1591.0,,993.0,5060.0,1894.0,,845.0,7641.0,868.0,7857.0,1222.0,6877.0,1508.0,,2155.0,10177.0,2969.0,,2170.0,4069.0,2800.0,,2686.0,8963.0,1741.0,,,,44.0,,,,1587.0,16641.0,4897.0,13054.0,2377.0,12341.0,8065.0,0.0,688.0,12073.0,1145.0,,1474.0,,1939.0,6536.0,1297.0,8128.0,1332.0,13414.0,5103.0,,2984.0,19010.0,1645.0,10676.0,953.0,13465.0,1165.0,7398.0,2603.0,9348.0,1768.0
10710.0,4730.0,13662.0,1626.0,11550.0,1621.0,9271.0,6890.0,12043.0,3671.0,13990.0,,9057.0,4.0,7316.0,,12513.0,5540.0,,,,2343.0,,919.0,10198.0,1769.0,17331.0,1633.0,10017.0,3760.0,8562.0,2361.0,9901.0,2167.0,,1434.0,,1495.0,,971.0,,1045.0,11111.0,900.0,8335.0,1395.0,7038.0,1232.0,7707.0,1415.0,9775.0,2150.0,11364.0,1782.0,5308.0,2985.0,,3488.0,9590.0,1988.0,10431.0,0.0,9150.0,726.0,9826.0,,8275.0,37.0,12194.0,2555.0,,1406.0,,8487.0,8493.0,1287.0,11990.0,1119.0,12158.0,1564.0,8471.0,1943.0,,1387.0,11811.0,1390.0,12444.0,2657.0,,1832.0,6487.0,2142.0,7642.0,1559.0,10790.0,1146.0,7287.0,4320.0,8640.0,2600.0
14868.0,3229.0,,1161.0,10380.0,1557.0,8206.0,9940.0,10916.0,2412.0,9662.0,17059.0,11563.0,11347.0,8103.0,,2.0,4102.0,,8264.0,9.0,1966.0,12544.0,945.0,16802.0,2752.0,,2103.0,16355.0,1894.0,9303.0,2353.0,,1708.0,12883.0,1115.0,6129.0,1341.0,5567.0,1465.0,8798.0,1204.0,8530.0,869.0,8027.0,1128.0,6811.0,1549.0,8602.0,2474.0,7895.0,2999.0,10468.0,3740.0,3452.0,4187.0,,2723.0,9270.0,2257.0,,,,761.0,,14948.0,8911.0,1517.0,8957.0,9481.0,,1424.0,,7294.0,,947.0,,918.0,12982.0,1638.0,10960.0,1713.0,7659.0,1274.0,18498.0,1577.0,,2636.0,,2118.0,6478.0,2319.0,10951.0,1610.0,11723.0,1606.0,8021.0,2945.0,7976.0,2701.0
