0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1993.0,,,,,,2058.0,,1880.0,,,,,,,,,,,,,,1824.0,,2053.0,,,,1686.0,,,,1883.0,,1449.0,,1455.0,,719.0,,35.0,,53.0,,43.0,,39.0,,35.0,,50.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,1678.0,,1928.0,,1662.0,,683.0,,51.0,,52.0,,608.0,,38.0,,42.0,,38.0,,52.0,,36.0
,,,,,,,,,1832.0,,,,,,,,,,,,,,1439.0,,1388.0,,,,,,,,,,1458.0,,1363.0,,509.0,,673.0,,37.0,,37.0,,46.0,,48.0,,54.0,,50.0,,,,,,,,,,1949.0,,,,,,,,,,,,,,1610.0,,1963.0,,632.0,,601.0,,53.0,,740.0,,113.0,,41.0,,35.0,,51.0,,48.0,,49.0
,,,1946.0,,,,1751.0,,2067.0,,,,,,,,,,,,,,1930.0,,,,1975.0,,1815.0,,,,1746.0,,1193.0,,43.0,,1107.0,,44.0,,50.0,,52.0,,44.0,,52.0,,38.0,,53.0,,,,,,1987.0,,,,,,,,,,,,,,,,,,1518.0,,1859.0,,1649.0,,870.0,,34.0,,52.0,,44.0,,49.0,,54.0,,49.0,,38.0,,42.0
,1916.0,,,,,,2020.0,,1769.0,,,,,,,,,,,,,,1696.0,,,,,,,,1992.0,,1924.0,,954.0,,1320.0,,744.0,,52.0,,37.0,,51.0,,46.0,,50.0,,552.0,,47.0,,,,,,,,,,,,,,,,,,1613.0,,,,,,1750.0,,1796.0,,1430.0,,1314.0,,753.0,,,,44.0,,555.0,,49.0,,46.0,,49.0,,706.0
,,,,,,,,,2056.0,,,,,,,,,,,,,,1628.0,,1635.0,,2075.0,,,,,,2059.0,,1567.0,,1565.0,,1040.0,,34.0,,54.0,,43.0,,53.0,,46.0,,41.0,,59.0,,,,,,,,,,2050.0,,,,,,,,,,,,2041.0,,1633.0,,,,,,1252.0,,1240.0,,1407.0,,636.0,,41.0,,42.0,,37.0,,52.0,,48.0
,,,,,,,,,1860.0,,,,,,,,,,,,,,1836.0,,1875.0,,,,,,,,2023.0,,1780.0,,1490.0,,999.0,,39.0,,53.0,,42.0,,40.0,,53.0,,52.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,1659.0,,1836.0,,1572.0,,450.0,,44.0,,55.0,,593.0,,54.0,,41.0,,48.0,,52.0,,52.0
,,,1990.0,,,,,,1822.0,,,,,,,,,,,,,,1672.0,,1860.0,,1975.0,,,,,,1610.0,,1286.0,,852.0,,1166.0,,49.0,,39.0,,54.0,,51.0,,52.0,,728.0,,51.0,,,,,,,,,,1711.0,,,,,,,,,,,,,,1814.0,,1715.0,,1536.0,,43.0,,38.0,,619.0,,40.0,,49.0,,47.0,,40.0,,50.0,,41.0
,,,,,,,,,1845.0,,,,,,,,,,,,,,1548.0,,1866.0,,,,,,1892.0,,1970.0,,863.0,,589.0,,44.0,,40.0,,52.0,,49.0,,35.0,,54.0,,605.0,,38.0,,,,,,,,,,1957.0,,,,,,,,,,,,,,1634.0,,,,1085.0,,695.0,,38.0,,1028.0,,44.0,,52.0,,53.0,,36.0,,42.0,,36.0
,,,,,,,,,1710.0,,,,,,,,,,,,,,1602.0,,,,2019.0,,,,,,,,1260.0,,1402.0,,966.0,,448.0,,42.0,,51.0,,35.0,,43.0,,49.0,,40.0,,,,,,1908.0,,,,,,,,,,,,,,,,,,1782.0,,1847.0,,753.0,,918.0,,35.0,,1039.0,,55.0,,44.0,,39.0,,47.0,,53.0,,44.0
,2299.0,,,,,,,,1629.0,,,,,,,,,,,,,,1565.0,,1570.0,,2100.0,,,,,,1953.0,,1332.0,,1037.0,,1252.0,,45.0,,46.0,,43.0,,41.0,,45.0,,44.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,1495.0,,1835.0,,1192.0,,50.0,,48.0,,43.0,,41.0,,46.0,,41.0,,39.0,,55.0,,53.0
,1936.0,,,,,,,,1704.0,,,,,,,,,,,,,,1430.0,,1608.0,,,,1931.0,,,,,,1373.0,,1329.0,,1253.0,,578.0,,35.0,,34.0,,36.0,,45.0,,42.0,,41.0,,,,1512.0,,1831.0,,,,1998.0,,,,,,,,,,,,,,1610.0,,,,,,1518.0,,997.0,,1606.0,,47.0,,37.0,,48.0,,39.0,,45.0,,37.0
,,,2073.0,,,,,,,,,,,,,,,,,,,,1885.0,,2031.0,,,,,,,,1761.0,,1520.0,,1214.0,,884.0,,37.0,,52.0,,42.0,,50.0,,54.0,,40.0,,41.0,,,,,,1971.0,,,,,,,,,,,,1834.0,,,,,,1449.0,,,,1530.0,,643.0,,48.0,,852.0,,54.0,,36.0,,48.0,,43.0,,55.0,,47.0
,2124.0,,1365.0,,,,1922.0,,1770.0,,,,,,,,,,,,,,1402.0,,1811.0,,,,,,2048.0,,1963.0,,1355.0,,1214.0,,55.0,,45.0,,39.0,,44.0,,54.0,,40.0,,46.0,,51.0,,,,,,,,,,1964.0,,,,,,,,,,,,2015.0,,1643.0,,1586.0,,1246.0,,1614.0,,41.0,,2060.0,,55.0,,682.0,,34.0,,41.0,,42.0,,39.0
